game,2010,4,20101003,201010030rai,htx,"Houston Texans",31,rai,"Oakland Raiders",24
team,201010030rai,htx,First Downs,21,,,,,,
team,201010030rai,rai,First Downs,24,,,,,,
team,201010030rai,htx,Rush-Yds-TDs,36-249-2,,,,,,
team,201010030rai,rai,Rush-Yds-TDs,25-118-1,,,,,,
team,201010030rai,htx,Cmp-Att-Yd-TD-INT,16-29-192-2-0,,,,,,
team,201010030rai,rai,Cmp-Att-Yd-TD-INT,24-39-278-2-2,,,,,,
team,201010030rai,htx,Sacked-Yards,0-0,,,,,,
team,201010030rai,rai,Sacked-Yards,4-33,,,,,,
team,201010030rai,htx,Net Pass Yards,192,,,,,,
team,201010030rai,rai,Net Pass Yards,245,,,,,,
team,201010030rai,htx,Total Yards,441,,,,,,
team,201010030rai,rai,Total Yards,363,,,,,,
team,201010030rai,htx,Fumbles-Lost,0-0,,,,,,
team,201010030rai,rai,Fumbles-Lost,2-1,,,,,,
team,201010030rai,htx,Turnovers,0,,,,,,
team,201010030rai,rai,Turnovers,3,,,,,,
team,201010030rai,htx,Penalties-Yards,5-26,,,,,,
team,201010030rai,rai,Penalties-Yards,2-23,,,,,,
team,201010030rai,htx,Third Down Conv.,6-13,,,,,,
team,201010030rai,rai,Third Down Conv.,5-12,,,,,,
team,201010030rai,htx,Fourth Down Conv.,0-0,,,,,,
team,201010030rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201010030rai,htx,Time of Possession,29:29,,,,,,
team,201010030rai,rai,Time of Possession,30:31,,,,,,
player,201010030rai,htx,SchaMa00,pass_cmp,16,,,,,
player,201010030rai,htx,SchaMa00,pass_att,29,,,,,
player,201010030rai,htx,SchaMa00,pass_yds,192,,,,,
player,201010030rai,htx,SchaMa00,pass_td,2,,,,,
player,201010030rai,htx,SchaMa00,pass_int,0,,,,,
player,201010030rai,htx,SchaMa00,pass_sacked,0,,,,,
player,201010030rai,htx,SchaMa00,pass_sacked_yds,0,,,,,
player,201010030rai,htx,SchaMa00,pass_long,31,,,,,
player,201010030rai,htx,SchaMa00,pass_rating,98.6,,,,,
player,201010030rai,htx,SchaMa00,rush_att,3,,,,,
player,201010030rai,htx,SchaMa00,rush_yds,1,,,,,
player,201010030rai,htx,SchaMa00,rush_td,0,,,,,
player,201010030rai,htx,SchaMa00,rush_long,2,,,,,
player,201010030rai,htx,SchaMa00,targets,0,,,,,
player,201010030rai,htx,SchaMa00,rec,0,,,,,
player,201010030rai,htx,SchaMa00,rec_yds,0,,,,,
player,201010030rai,htx,SchaMa00,rec_td,0,,,,,
player,201010030rai,htx,SchaMa00,rec_long,0,,,,,
player,201010030rai,htx,SchaMa00,fumbles,0,,,,,
player,201010030rai,htx,SchaMa00,fumbles_lost,,,,,,
player,201010030rai,htx,FostAr00,pass_cmp,0,,,,,
player,201010030rai,htx,FostAr00,pass_att,0,,,,,
player,201010030rai,htx,FostAr00,pass_yds,0,,,,,
player,201010030rai,htx,FostAr00,pass_td,0,,,,,
player,201010030rai,htx,FostAr00,pass_int,0,,,,,
player,201010030rai,htx,FostAr00,pass_sacked,,,,,,
player,201010030rai,htx,FostAr00,pass_sacked_yds,,,,,,
player,201010030rai,htx,FostAr00,pass_long,0,,,,,
player,201010030rai,htx,FostAr00,pass_rating,,,,,,
player,201010030rai,htx,FostAr00,rush_att,17,,,,,
player,201010030rai,htx,FostAr00,rush_yds,133,,,,,
player,201010030rai,htx,FostAr00,rush_td,1,,,,,
player,201010030rai,htx,FostAr00,rush_long,74,,,,,
player,201010030rai,htx,FostAr00,targets,4,,,,,
player,201010030rai,htx,FostAr00,rec,3,,,,,
player,201010030rai,htx,FostAr00,rec_yds,56,,,,,
player,201010030rai,htx,FostAr00,rec_td,1,,,,,
player,201010030rai,htx,FostAr00,rec_long,31,,,,,
player,201010030rai,htx,FostAr00,fumbles,0,,,,,
player,201010030rai,htx,FostAr00,fumbles_lost,,,,,,
player,201010030rai,htx,WardDe01,pass_cmp,0,,,,,
player,201010030rai,htx,WardDe01,pass_att,0,,,,,
player,201010030rai,htx,WardDe01,pass_yds,0,,,,,
player,201010030rai,htx,WardDe01,pass_td,0,,,,,
player,201010030rai,htx,WardDe01,pass_int,0,,,,,
player,201010030rai,htx,WardDe01,pass_sacked,,,,,,
player,201010030rai,htx,WardDe01,pass_sacked_yds,,,,,,
player,201010030rai,htx,WardDe01,pass_long,0,,,,,
player,201010030rai,htx,WardDe01,pass_rating,,,,,,
player,201010030rai,htx,WardDe01,rush_att,11,,,,,
player,201010030rai,htx,WardDe01,rush_yds,78,,,,,
player,201010030rai,htx,WardDe01,rush_td,1,,,,,
player,201010030rai,htx,WardDe01,rush_long,33,,,,,
player,201010030rai,htx,WardDe01,targets,1,,,,,
player,201010030rai,htx,WardDe01,rec,0,,,,,
player,201010030rai,htx,WardDe01,rec_yds,0,,,,,
player,201010030rai,htx,WardDe01,rec_td,0,,,,,
