game,2010,3,20100926,201009260kan,sfo,"San Francisco 49ers",10,kan,"Kansas City Chiefs",31
team,201009260kan,sfo,First Downs,11,,,,,,
team,201009260kan,kan,First Downs,21,,,,,,
team,201009260kan,sfo,Rush-Yds-TDs,15-43-0,,,,,,
team,201009260kan,kan,Rush-Yds-TDs,39-207-1,,,,,,
team,201009260kan,sfo,Cmp-Att-Yd-TD-INT,23-42-232-1-1,,,,,,
team,201009260kan,kan,Cmp-Att-Yd-TD-INT,16-27-250-3-1,,,,,,
team,201009260kan,sfo,Sacked-Yards,5-24,,,,,,
team,201009260kan,kan,Sacked-Yards,0-0,,,,,,
team,201009260kan,sfo,Net Pass Yards,208,,,,,,
team,201009260kan,kan,Net Pass Yards,250,,,,,,
team,201009260kan,sfo,Total Yards,251,,,,,,
team,201009260kan,kan,Total Yards,457,,,,,,
team,201009260kan,sfo,Fumbles-Lost,1-0,,,,,,
team,201009260kan,kan,Fumbles-Lost,0-0,,,,,,
team,201009260kan,sfo,Turnovers,1,,,,,,
team,201009260kan,kan,Turnovers,1,,,,,,
team,201009260kan,sfo,Penalties-Yards,6-55,,,,,,
team,201009260kan,kan,Penalties-Yards,7-40,,,,,,
team,201009260kan,sfo,Third Down Conv.,4-17,,,,,,
team,201009260kan,kan,Third Down Conv.,7-14,,,,,,
team,201009260kan,sfo,Fourth Down Conv.,2-3,,,,,,
team,201009260kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201009260kan,sfo,Time of Possession,26:10,,,,,,
team,201009260kan,kan,Time of Possession,33:50,,,,,,
player,201009260kan,sfo,SmitAl03,pass_cmp,23,,,,,
player,201009260kan,sfo,SmitAl03,pass_att,42,,,,,
player,201009260kan,sfo,SmitAl03,pass_yds,232,,,,,
player,201009260kan,sfo,SmitAl03,pass_td,1,,,,,
player,201009260kan,sfo,SmitAl03,pass_int,1,,,,,
player,201009260kan,sfo,SmitAl03,pass_sacked,5,,,,,
player,201009260kan,sfo,SmitAl03,pass_sacked_yds,24,,,,,
player,201009260kan,sfo,SmitAl03,pass_long,41,,,,,
player,201009260kan,sfo,SmitAl03,pass_rating,68.8,,,,,
player,201009260kan,sfo,SmitAl03,rush_att,0,,,,,
player,201009260kan,sfo,SmitAl03,rush_yds,0,,,,,
player,201009260kan,sfo,SmitAl03,rush_td,0,,,,,
player,201009260kan,sfo,SmitAl03,rush_long,0,,,,,
player,201009260kan,sfo,SmitAl03,targets,0,,,,,
player,201009260kan,sfo,SmitAl03,rec,0,,,,,
player,201009260kan,sfo,SmitAl03,rec_yds,0,,,,,
player,201009260kan,sfo,SmitAl03,rec_td,0,,,,,
player,201009260kan,sfo,SmitAl03,rec_long,0,,,,,
player,201009260kan,sfo,SmitAl03,fumbles,1,,,,,
player,201009260kan,sfo,SmitAl03,fumbles_lost,0,,,,,
player,201009260kan,sfo,GoreFr00,pass_cmp,0,,,,,
player,201009260kan,sfo,GoreFr00,pass_att,0,,,,,
player,201009260kan,sfo,GoreFr00,pass_yds,0,,,,,
player,201009260kan,sfo,GoreFr00,pass_td,0,,,,,
player,201009260kan,sfo,GoreFr00,pass_int,0,,,,,
player,201009260kan,sfo,GoreFr00,pass_sacked,,,,,,
player,201009260kan,sfo,GoreFr00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,GoreFr00,pass_long,0,,,,,
player,201009260kan,sfo,GoreFr00,pass_rating,,,,,,
player,201009260kan,sfo,GoreFr00,rush_att,15,,,,,
player,201009260kan,sfo,GoreFr00,rush_yds,43,,,,,
player,201009260kan,sfo,GoreFr00,rush_td,0,,,,,
player,201009260kan,sfo,GoreFr00,rush_long,6,,,,,
player,201009260kan,sfo,GoreFr00,targets,13,,,,,
player,201009260kan,sfo,GoreFr00,rec,9,,,,,
player,201009260kan,sfo,GoreFr00,rec_yds,102,,,,,
player,201009260kan,sfo,GoreFr00,rec_td,0,,,,,
player,201009260kan,sfo,GoreFr00,rec_long,41,,,,,
player,201009260kan,sfo,GoreFr00,fumbles,0,,,,,
player,201009260kan,sfo,GoreFr00,fumbles_lost,,,,,,
player,201009260kan,sfo,ZiegDo00,pass_cmp,0,,,,,
player,201009260kan,sfo,ZiegDo00,pass_att,0,,,,,
player,201009260kan,sfo,ZiegDo00,pass_yds,0,,,,,
player,201009260kan,sfo,ZiegDo00,pass_td,0,,,,,
player,201009260kan,sfo,ZiegDo00,pass_int,0,,,,,
player,201009260kan,sfo,ZiegDo00,pass_sacked,,,,,,
player,201009260kan,sfo,ZiegDo00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,ZiegDo00,pass_long,0,,,,,
player,201009260kan,sfo,ZiegDo00,pass_rating,,,,,,
player,201009260kan,sfo,ZiegDo00,rush_att,0,,,,,
player,201009260kan,sfo,ZiegDo00,rush_yds,0,,,,,
player,201009260kan,sfo,ZiegDo00,rush_td,0,,,,,
player,201009260kan,sfo,ZiegDo00,rush_long,0,,,,,
player,201009260kan,sfo,ZiegDo00,targets,5,,,,,
player,201009260kan,sfo,ZiegDo00,rec,3,,,,,
player,201009260kan,sfo,ZiegDo00,rec_yds,38,,,,,
player,201009260kan,sfo,ZiegDo00,rec_td,0,,,,,
player,201009260kan,sfo,ZiegDo00,rec_long,19,,,,,
player,201009260kan,sfo,ZiegDo00,fumbles,0,,,,,
player,201009260kan,sfo,ZiegDo00,fumbles_lost,,,,,,
player,201009260kan,sfo,CrabMi00,pass_cmp,0,,,,,
player,201009260kan,sfo,CrabMi00,pass_att,0,,,,,
player,201009260kan,sfo,CrabMi00,pass_yds,0,,,,,
player,201009260kan,sfo,CrabMi00,pass_td,0,,,,,
player,201009260kan,sfo,CrabMi00,pass_int,0,,,,,
player,201009260kan,sfo,CrabMi00,pass_sacked,,,,,,
player,201009260kan,sfo,CrabMi00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,CrabMi00,pass_long,0,,,,,
player,201009260kan,sfo,CrabMi00,pass_rating,,,,,,
player,201009260kan,sfo,CrabMi00,rush_att,0,,,,,
player,201009260kan,sfo,CrabMi00,rush_yds,0,,,,,
player,201009260kan,sfo,CrabMi00,rush_td,0,,,,,
player,201009260kan,sfo,CrabMi00,rush_long,0,,,,,
player,201009260kan,sfo,CrabMi00,targets,8,,,,,
player,201009260kan,sfo,CrabMi00,rec,3,,,,,
player,201009260kan,sfo,CrabMi00,rec_yds,37,,,,,
player,201009260kan,sfo,CrabMi00,rec_td,0,,,,,
player,201009260kan,sfo,CrabMi00,rec_long,22,,,,,
player,201009260kan,sfo,CrabMi00,fumbles,0,,,,,
player,201009260kan,sfo,CrabMi00,fumbles_lost,,,,,,
player,201009260kan,sfo,DaviVe00,pass_cmp,0,,,,,
player,201009260kan,sfo,DaviVe00,pass_att,0,,,,,
player,201009260kan,sfo,DaviVe00,pass_yds,0,,,,,
player,201009260kan,sfo,DaviVe00,pass_td,0,,,,,
player,201009260kan,sfo,DaviVe00,pass_int,0,,,,,
player,201009260kan,sfo,DaviVe00,pass_sacked,,,,,,
player,201009260kan,sfo,DaviVe00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,DaviVe00,pass_long,0,,,,,
player,201009260kan,sfo,DaviVe00,pass_rating,,,,,,
player,201009260kan,sfo,DaviVe00,rush_att,0,,,,,
player,201009260kan,sfo,DaviVe00,rush_yds,0,,,,,
player,201009260kan,sfo,DaviVe00,rush_td,0,,,,,
player,201009260kan,sfo,DaviVe00,rush_long,0,,,,,
player,201009260kan,sfo,DaviVe00,targets,6,,,,,
player,201009260kan,sfo,DaviVe00,rec,3,,,,,
player,201009260kan,sfo,DaviVe00,rec_yds,22,,,,,
player,201009260kan,sfo,DaviVe00,rec_td,0,,,,,
player,201009260kan,sfo,DaviVe00,rec_long,10,,,,,
player,201009260kan,sfo,DaviVe00,fumbles,0,,,,,
player,201009260kan,sfo,DaviVe00,fumbles_lost,,,,,,
player,201009260kan,sfo,MorgJo00,pass_cmp,0,,,,,
player,201009260kan,sfo,MorgJo00,pass_att,0,,,,,
player,201009260kan,sfo,MorgJo00,pass_yds,0,,,,,
player,201009260kan,sfo,MorgJo00,pass_td,0,,,,,
player,201009260kan,sfo,MorgJo00,pass_int,0,,,,,
player,201009260kan,sfo,MorgJo00,pass_sacked,,,,,,
player,201009260kan,sfo,MorgJo00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,MorgJo00,pass_long,0,,,,,
player,201009260kan,sfo,MorgJo00,pass_rating,,,,,,
player,201009260kan,sfo,MorgJo00,rush_att,0,,,,,
player,201009260kan,sfo,MorgJo00,rush_yds,0,,,,,
player,201009260kan,sfo,MorgJo00,rush_td,0,,,,,
player,201009260kan,sfo,MorgJo00,rush_long,0,,,,,
player,201009260kan,sfo,MorgJo00,targets,4,,,,,
player,201009260kan,sfo,MorgJo00,rec,1,,,,,
player,201009260kan,sfo,MorgJo00,rec_yds,12,,,,,
player,201009260kan,sfo,MorgJo00,rec_td,1,,,,,
player,201009260kan,sfo,MorgJo00,rec_long,12,,,,,
player,201009260kan,sfo,MorgJo00,fumbles,0,,,,,
player,201009260kan,sfo,MorgJo00,fumbles_lost,,,,,,
player,201009260kan,sfo,ByhaNa00,pass_cmp,0,,,,,
player,201009260kan,sfo,ByhaNa00,pass_att,0,,,,,
player,201009260kan,sfo,ByhaNa00,pass_yds,0,,,,,
player,201009260kan,sfo,ByhaNa00,pass_td,0,,,,,
player,201009260kan,sfo,ByhaNa00,pass_int,0,,,,,
player,201009260kan,sfo,ByhaNa00,pass_sacked,,,,,,
player,201009260kan,sfo,ByhaNa00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,ByhaNa00,pass_long,0,,,,,
player,201009260kan,sfo,ByhaNa00,pass_rating,,,,,,
player,201009260kan,sfo,ByhaNa00,rush_att,0,,,,,
player,201009260kan,sfo,ByhaNa00,rush_yds,0,,,,,
player,201009260kan,sfo,ByhaNa00,rush_td,0,,,,,
player,201009260kan,sfo,ByhaNa00,rush_long,0,,,,,
player,201009260kan,sfo,ByhaNa00,targets,1,,,,,
player,201009260kan,sfo,ByhaNa00,rec,1,,,,,
player,201009260kan,sfo,ByhaNa00,rec_yds,9,,,,,
player,201009260kan,sfo,ByhaNa00,rec_td,0,,,,,
player,201009260kan,sfo,ByhaNa00,rec_long,9,,,,,
player,201009260kan,sfo,ByhaNa00,fumbles,0,,,,,
player,201009260kan,sfo,ByhaNa00,fumbles_lost,,,,,,
player,201009260kan,sfo,WestBr00,pass_cmp,0,,,,,
player,201009260kan,sfo,WestBr00,pass_att,0,,,,,
player,201009260kan,sfo,WestBr00,pass_yds,0,,,,,
player,201009260kan,sfo,WestBr00,pass_td,0,,,,,
player,201009260kan,sfo,WestBr00,pass_int,0,,,,,
player,201009260kan,sfo,WestBr00,pass_sacked,,,,,,
player,201009260kan,sfo,WestBr00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,WestBr00,pass_long,0,,,,,
player,201009260kan,sfo,WestBr00,pass_rating,,,,,,
player,201009260kan,sfo,WestBr00,rush_att,0,,,,,
player,201009260kan,sfo,WestBr00,rush_yds,0,,,,,
player,201009260kan,sfo,WestBr00,rush_td,0,,,,,
player,201009260kan,sfo,WestBr00,rush_long,0,,,,,
player,201009260kan,sfo,WestBr00,targets,3,,,,,
player,201009260kan,sfo,WestBr00,rec,2,,,,,
player,201009260kan,sfo,WestBr00,rec_yds,6,,,,,
player,201009260kan,sfo,WestBr00,rec_td,0,,,,,
player,201009260kan,sfo,WestBr00,rec_long,5,,,,,
player,201009260kan,sfo,WestBr00,fumbles,0,,,,,
player,201009260kan,sfo,WestBr00,fumbles_lost,,,,,,
player,201009260kan,sfo,WalkHu00,pass_cmp,0,,,,,
player,201009260kan,sfo,WalkHu00,pass_att,0,,,,,
player,201009260kan,sfo,WalkHu00,pass_yds,0,,,,,
player,201009260kan,sfo,WalkHu00,pass_td,0,,,,,
player,201009260kan,sfo,WalkHu00,pass_int,0,,,,,
player,201009260kan,sfo,WalkHu00,pass_sacked,,,,,,
player,201009260kan,sfo,WalkHu00,pass_sacked_yds,,,,,,
player,201009260kan,sfo,WalkHu00,pass_long,0,,,,,
player,201009260kan,sfo,WalkHu00,pass_rating,,,,,,
player,201009260kan,sfo,WalkHu00,rush_att,0,,,,,
player,201009260kan,sfo,WalkHu00,rush_yds,0,,,,,
player,201009260kan,sfo,WalkHu00,rush_td,0,,,,,
player,201009260kan,sfo,WalkHu00,rush_long,0,,,,,
player,201009260kan,sfo,WalkHu00,targets,2,,,,,
player,201009260kan,sfo,WalkHu00,rec,1,,,,,
player,201009260kan,sfo,WalkHu00,rec_yds,6,,,,,
