game,2010,11,20101121,201011210cin,buf,"Buffalo Bills",49,cin,"Cincinnati Bengals",31
team,201011210cin,buf,First Downs,23,,,,,,
team,201011210cin,cin,First Downs,26,,,,,,
team,201011210cin,buf,Rush-Yds-TDs,25-141-2,,,,,,
team,201011210cin,cin,Rush-Yds-TDs,30-133-1,,,,,,
team,201011210cin,buf,Cmp-Att-Yd-TD-INT,21-34-316-4-2,,,,,,
team,201011210cin,cin,Cmp-Att-Yd-TD-INT,22-37-248-2-2,,,,,,
team,201011210cin,buf,Sacked-Yards,1-8,,,,,,
team,201011210cin,cin,Sacked-Yards,2-20,,,,,,
team,201011210cin,buf,Net Pass Yards,308,,,,,,
team,201011210cin,cin,Net Pass Yards,228,,,,,,
team,201011210cin,buf,Total Yards,449,,,,,,
team,201011210cin,cin,Total Yards,361,,,,,,
team,201011210cin,buf,Fumbles-Lost,0-0,,,,,,
team,201011210cin,cin,Fumbles-Lost,1-1,,,,,,
team,201011210cin,buf,Turnovers,2,,,,,,
team,201011210cin,cin,Turnovers,3,,,,,,
team,201011210cin,buf,Penalties-Yards,10-58,,,,,,
team,201011210cin,cin,Penalties-Yards,7-57,,,,,,
team,201011210cin,buf,Third Down Conv.,5-10,,,,,,
team,201011210cin,cin,Third Down Conv.,9-16,,,,,,
team,201011210cin,buf,Fourth Down Conv.,1-1,,,,,,
team,201011210cin,cin,Fourth Down Conv.,2-2,,,,,,
team,201011210cin,buf,Time of Possession,27:51,,,,,,
team,201011210cin,cin,Time of Possession,32:09,,,,,,
player,201011210cin,buf,FitzRy00,pass_cmp,21,,,,,
player,201011210cin,buf,FitzRy00,pass_att,34,,,,,
player,201011210cin,buf,FitzRy00,pass_yds,316,,,,,
player,201011210cin,buf,FitzRy00,pass_td,4,,,,,
player,201011210cin,buf,FitzRy00,pass_int,2,,,,,
player,201011210cin,buf,FitzRy00,pass_sacked,1,,,,,
player,201011210cin,buf,FitzRy00,pass_sacked_yds,8,,,,,
player,201011210cin,buf,FitzRy00,pass_long,54,,,,,
player,201011210cin,buf,FitzRy00,pass_rating,107.0,,,,,
player,201011210cin,buf,FitzRy00,rush_att,1,,,,,
player,201011210cin,buf,FitzRy00,rush_yds,11,,,,,
player,201011210cin,buf,FitzRy00,rush_td,0,,,,,
player,201011210cin,buf,FitzRy00,rush_long,11,,,,,
player,201011210cin,buf,FitzRy00,targets,0,,,,,
player,201011210cin,buf,FitzRy00,rec,0,,,,,
player,201011210cin,buf,FitzRy00,rec_yds,0,,,,,
player,201011210cin,buf,FitzRy00,rec_td,0,,,,,
player,201011210cin,buf,FitzRy00,rec_long,0,,,,,
player,201011210cin,buf,FitzRy00,fumbles,0,,,,,
player,201011210cin,buf,FitzRy00,fumbles_lost,,,,,,
player,201011210cin,buf,JackFr02,pass_cmp,0,,,,,
player,201011210cin,buf,JackFr02,pass_att,0,,,,,
player,201011210cin,buf,JackFr02,pass_yds,0,,,,,
player,201011210cin,buf,JackFr02,pass_td,0,,,,,
player,201011210cin,buf,JackFr02,pass_int,0,,,,,
player,201011210cin,buf,JackFr02,pass_sacked,,,,,,
player,201011210cin,buf,JackFr02,pass_sacked_yds,,,,,,
player,201011210cin,buf,JackFr02,pass_long,0,,,,,
player,201011210cin,buf,JackFr02,pass_rating,,,,,,
player,201011210cin,buf,JackFr02,rush_att,21,,,,,
player,201011210cin,buf,JackFr02,rush_yds,116,,,,,
player,201011210cin,buf,JackFr02,rush_td,2,,,,,
player,201011210cin,buf,JackFr02,rush_long,30,,,,,
player,201011210cin,buf,JackFr02,targets,5,,,,,
player,201011210cin,buf,JackFr02,rec,3,,,,,
player,201011210cin,buf,JackFr02,rec_yds,13,,,,,
player,201011210cin,buf,JackFr02,rec_td,0,,,,,
player,201011210cin,buf,JackFr02,rec_long,7,,,,,
player,201011210cin,buf,JackFr02,fumbles,0,,,,,
player,201011210cin,buf,JackFr02,fumbles_lost,,,,,,
player,201011210cin,buf,GantQu00,pass_cmp,0,,,,,
player,201011210cin,buf,GantQu00,pass_att,0,,,,,
player,201011210cin,buf,GantQu00,pass_yds,0,,,,,
player,201011210cin,buf,GantQu00,pass_td,0,,,,,
player,201011210cin,buf,GantQu00,pass_int,0,,,,,
player,201011210cin,buf,GantQu00,pass_sacked,,,,,,
player,201011210cin,buf,GantQu00,pass_sacked_yds,,,,,,
player,201011210cin,buf,GantQu00,pass_long,0,,,,,
player,201011210cin,buf,GantQu00,pass_rating,,,,,,
player,201011210cin,buf,GantQu00,rush_att,1,,,,,
player,201011210cin,buf,GantQu00,rush_yds,11,,,,,
player,201011210cin,buf,GantQu00,rush_td,0,,,,,
player,201011210cin,buf,GantQu00,rush_long,11,,,,,
player,201011210cin,buf,GantQu00,targets,0,,,,,
player,201011210cin,buf,GantQu00,rec,0,,,,,
player,201011210cin,buf,GantQu00,rec_yds,0,,,,,
player,201011210cin,buf,GantQu00,rec_td,0,,,,,
player,201011210cin,buf,GantQu00,rec_long,0,,,,,
player,201011210cin,buf,GantQu00,fumbles,0,,,,,
player,201011210cin,buf,GantQu00,fumbles_lost,,,,,,
player,201011210cin,buf,CaulJe00,pass_cmp,0,,,,,
player,201011210cin,buf,CaulJe00,pass_att,0,,,,,
player,201011210cin,buf,CaulJe00,pass_yds,0,,,,,
player,201011210cin,buf,CaulJe00,pass_td,0,,,,,
player,201011210cin,buf,CaulJe00,pass_int,0,,,,,
player,201011210cin,buf,CaulJe00,pass_sacked,,,,,,
player,201011210cin,buf,CaulJe00,pass_sacked_yds,,,,,,
player,201011210cin,buf,CaulJe00,pass_long,0,,,,,
player,201011210cin,buf,CaulJe00,pass_rating,,,,,,
player,201011210cin,buf,CaulJe00,rush_att,1,,,,,
player,201011210cin,buf,CaulJe00,rush_yds,2,,,,,
player,201011210cin,buf,CaulJe00,rush_td,0,,,,,
player,201011210cin,buf,CaulJe00,rush_long,2,,,,,
player,201011210cin,buf,CaulJe00,targets,0,,,,,
player,201011210cin,buf,CaulJe00,rec,0,,,,,
player,201011210cin,buf,CaulJe00,rec_yds,0,,,,,
player,201011210cin,buf,CaulJe00,rec_td,0,,,,,
player,201011210cin,buf,CaulJe00,rec_long,0,,,,,
player,201011210cin,buf,CaulJe00,fumbles,0,,,,,
player,201011210cin,buf,CaulJe00,fumbles_lost,,,,,,
player,201011210cin,buf,JoneDo00,pass_cmp,0,,,,,
player,201011210cin,buf,JoneDo00,pass_att,0,,,,,
player,201011210cin,buf,JoneDo00,pass_yds,0,,,,,
player,201011210cin,buf,JoneDo00,pass_td,0,,,,,
player,201011210cin,buf,JoneDo00,pass_int,0,,,,,
player,201011210cin,buf,JoneDo00,pass_sacked,,,,,,
player,201011210cin,buf,JoneDo00,pass_sacked_yds,,,,,,
player,201011210cin,buf,JoneDo00,pass_long,0,,,,,
player,201011210cin,buf,JoneDo00,pass_rating,,,,,,
player,201011210cin,buf,JoneDo00,rush_att,1,,,,,
player,201011210cin,buf,JoneDo00,rush_yds,1,,,,,
player,201011210cin,buf,JoneDo00,rush_td,0,,,,,
player,201011210cin,buf,JoneDo00,rush_long,1,,,,,
player,201011210cin,buf,JoneDo00,targets,5,,,,,
player,201011210cin,buf,JoneDo00,rec,5,,,,,
player,201011210cin,buf,JoneDo00,rec_yds,70,,,,,
player,201011210cin,buf,JoneDo00,rec_td,1,,,,,
player,201011210cin,buf,JoneDo00,rec_long,28,,,,,
player,201011210cin,buf,JoneDo00,fumbles,0,,,,,
player,201011210cin,buf,JoneDo00,fumbles_lost,,,,,,
player,201011210cin,buf,JohnSt00,pass_cmp,0,,,,,
player,201011210cin,buf,JohnSt00,pass_att,0,,,,,
player,201011210cin,buf,JohnSt00,pass_yds,0,,,,,
player,201011210cin,buf,JohnSt00,pass_td,0,,,,,
player,201011210cin,buf,JohnSt00,pass_int,0,,,,,
player,201011210cin,buf,JohnSt00,pass_sacked,,,,,,
player,201011210cin,buf,JohnSt00,pass_sacked_yds,,,,,,
player,201011210cin,buf,JohnSt00,pass_long,0,,,,,
player,201011210cin,buf,JohnSt00,pass_rating,,,,,,
player,201011210cin,buf,JohnSt00,rush_att,0,,,,,
player,201011210cin,buf,JohnSt00,rush_yds,0,,,,,
player,201011210cin,buf,JohnSt00,rush_td,0,,,,,
