game,2010,10,20101114,201011140cle,nyj,"New York Jets",26,cle,"Cleveland Browns",20
team,201011140cle,nyj,First Downs,28,,,,,,
team,201011140cle,cle,First Downs,19,,,,,,
team,201011140cle,nyj,Rush-Yds-TDs,45-172-1,,,,,,
team,201011140cle,cle,Rush-Yds-TDs,25-107-1,,,,,,
team,201011140cle,nyj,Cmp-Att-Yd-TD-INT,27-44-299-2-1,,,,,,
team,201011140cle,cle,Cmp-Att-Yd-TD-INT,18-31-205-1-0,,,,,,
team,201011140cle,nyj,Sacked-Yards,2-15,,,,,,
team,201011140cle,cle,Sacked-Yards,3-9,,,,,,
team,201011140cle,nyj,Net Pass Yards,284,,,,,,
team,201011140cle,cle,Net Pass Yards,196,,,,,,
team,201011140cle,nyj,Total Yards,456,,,,,,
team,201011140cle,cle,Total Yards,303,,,,,,
team,201011140cle,nyj,Fumbles-Lost,0-0,,,,,,
team,201011140cle,cle,Fumbles-Lost,2-2,,,,,,
team,201011140cle,nyj,Turnovers,1,,,,,,
team,201011140cle,cle,Turnovers,2,,,,,,
team,201011140cle,nyj,Penalties-Yards,9-70,,,,,,
team,201011140cle,cle,Penalties-Yards,4-52,,,,,,
team,201011140cle,nyj,Third Down Conv.,11-21,,,,,,
team,201011140cle,cle,Third Down Conv.,4-12,,,,,,
team,201011140cle,nyj,Fourth Down Conv.,1-1,,,,,,
team,201011140cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201011140cle,nyj,Time of Possession,47:08,,,,,,
team,201011140cle,cle,Time of Possession,27:36,,,,,,
player,201011140cle,nyj,SancMa00,pass_cmp,27,,,,,
player,201011140cle,nyj,SancMa00,pass_att,44,,,,,
player,201011140cle,nyj,SancMa00,pass_yds,299,,,,,
player,201011140cle,nyj,SancMa00,pass_td,2,,,,,
player,201011140cle,nyj,SancMa00,pass_int,1,,,,,
player,201011140cle,nyj,SancMa00,pass_sacked,2,,,,,
player,201011140cle,nyj,SancMa00,pass_sacked_yds,15,,,,,
player,201011140cle,nyj,SancMa00,pass_long,37,,,,,
player,201011140cle,nyj,SancMa00,pass_rating,87.2,,,,,
player,201011140cle,nyj,SancMa00,rush_att,2,,,,,
player,201011140cle,nyj,SancMa00,rush_yds,4,,,,,
player,201011140cle,nyj,SancMa00,rush_td,1,,,,,
player,201011140cle,nyj,SancMa00,rush_long,3,,,,,
player,201011140cle,nyj,SancMa00,targets,0,,,,,
player,201011140cle,nyj,SancMa00,rec,0,,,,,
player,201011140cle,nyj,SancMa00,rec_yds,0,,,,,
player,201011140cle,nyj,SancMa00,rec_td,0,,,,,
player,201011140cle,nyj,SancMa00,rec_long,0,,,,,
player,201011140cle,nyj,SancMa00,fumbles,0,,,,,
player,201011140cle,nyj,SancMa00,fumbles_lost,,,,,,
player,201011140cle,nyj,GreeSh00,pass_cmp,0,,,,,
player,201011140cle,nyj,GreeSh00,pass_att,0,,,,,
player,201011140cle,nyj,GreeSh00,pass_yds,0,,,,,
player,201011140cle,nyj,GreeSh00,pass_td,0,,,,,
player,201011140cle,nyj,GreeSh00,pass_int,0,,,,,
player,201011140cle,nyj,GreeSh00,pass_sacked,,,,,,
player,201011140cle,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201011140cle,nyj,GreeSh00,pass_long,0,,,,,
player,201011140cle,nyj,GreeSh00,pass_rating,,,,,,
player,201011140cle,nyj,GreeSh00,rush_att,20,,,,,
player,201011140cle,nyj,GreeSh00,rush_yds,72,,,,,
player,201011140cle,nyj,GreeSh00,rush_td,0,,,,,
player,201011140cle,nyj,GreeSh00,rush_long,10,,,,,
player,201011140cle,nyj,GreeSh00,targets,3,,,,,
player,201011140cle,nyj,GreeSh00,rec,3,,,,,
player,201011140cle,nyj,GreeSh00,rec_yds,22,,,,,
player,201011140cle,nyj,GreeSh00,rec_td,0,,,,,
player,201011140cle,nyj,GreeSh00,rec_long,12,,,,,
player,201011140cle,nyj,GreeSh00,fumbles,0,,,,,
player,201011140cle,nyj,GreeSh00,fumbles_lost,,,,,,
player,201011140cle,nyj,TomlLa00,pass_cmp,0,,,,,
player,201011140cle,nyj,TomlLa00,pass_att,0,,,,,
player,201011140cle,nyj,TomlLa00,pass_yds,0,,,,,
player,201011140cle,nyj,TomlLa00,pass_td,0,,,,,
player,201011140cle,nyj,TomlLa00,pass_int,0,,,,,
