game,2010,2,20100919,201009190car,tam,"Tampa Bay Buccaneers",20,car,"Carolina Panthers",7
team,201009190car,tam,First Downs,14,,,,,,
team,201009190car,car,First Downs,16,,,,,,
team,201009190car,tam,Rush-Yds-TDs,34-95-0,,,,,,
team,201009190car,car,Rush-Yds-TDs,33-119-0,,,,,,
team,201009190car,tam,Cmp-Att-Yd-TD-INT,12-25-178-2-0,,,,,,
team,201009190car,car,Cmp-Att-Yd-TD-INT,13-29-184-1-2,,,,,,
team,201009190car,tam,Sacked-Yards,0-0,,,,,,
team,201009190car,car,Sacked-Yards,4-25,,,,,,
team,201009190car,tam,Net Pass Yards,178,,,,,,
team,201009190car,car,Net Pass Yards,159,,,,,,
team,201009190car,tam,Total Yards,273,,,,,,
team,201009190car,car,Total Yards,278,,,,,,
team,201009190car,tam,Fumbles-Lost,0-0,,,,,,
team,201009190car,car,Fumbles-Lost,2-1,,,,,,
team,201009190car,tam,Turnovers,0,,,,,,
team,201009190car,car,Turnovers,3,,,,,,
team,201009190car,tam,Penalties-Yards,4-30,,,,,,
team,201009190car,car,Penalties-Yards,4-48,,,,,,
team,201009190car,tam,Third Down Conv.,6-14,,,,,,
team,201009190car,car,Third Down Conv.,5-16,,,,,,
team,201009190car,tam,Fourth Down Conv.,0-0,,,,,,
team,201009190car,car,Fourth Down Conv.,3-4,,,,,,
team,201009190car,tam,Time of Possession,30:49,,,,,,
team,201009190car,car,Time of Possession,29:11,,,,,,
player,201009190car,tam,FreeJo00,pass_cmp,12,,,,,
player,201009190car,tam,FreeJo00,pass_att,24,,,,,
player,201009190car,tam,FreeJo00,pass_yds,178,,,,,
player,201009190car,tam,FreeJo00,pass_td,2,,,,,
player,201009190car,tam,FreeJo00,pass_int,0,,,,,
player,201009190car,tam,FreeJo00,pass_sacked,0,,,,,
player,201009190car,tam,FreeJo00,pass_sacked_yds,0,,,,,
player,201009190car,tam,FreeJo00,pass_long,40,,,,,
player,201009190car,tam,FreeJo00,pass_rating,102.4,,,,,
player,201009190car,tam,FreeJo00,rush_att,4,,,,,
player,201009190car,tam,FreeJo00,rush_yds,43,,,,,
player,201009190car,tam,FreeJo00,rush_td,0,,,,,
player,201009190car,tam,FreeJo00,rush_long,17,,,,,
player,201009190car,tam,FreeJo00,targets,0,,,,,
player,201009190car,tam,FreeJo00,rec,0,,,,,
player,201009190car,tam,FreeJo00,rec_yds,0,,,,,
player,201009190car,tam,FreeJo00,rec_td,0,,,,,
player,201009190car,tam,FreeJo00,rec_long,0,,,,,
player,201009190car,tam,FreeJo00,fumbles,0,,,,,
player,201009190car,tam,FreeJo00,fumbles_lost,,,,,,
player,201009190car,tam,SpurMi00,pass_cmp,0,,,,,
player,201009190car,tam,SpurMi00,pass_att,1,,,,,
player,201009190car,tam,SpurMi00,pass_yds,0,,,,,
player,201009190car,tam,SpurMi00,pass_td,0,,,,,
player,201009190car,tam,SpurMi00,pass_int,0,,,,,
player,201009190car,tam,SpurMi00,pass_sacked,0,,,,,
player,201009190car,tam,SpurMi00,pass_sacked_yds,0,,,,,
player,201009190car,tam,SpurMi00,pass_long,0,,,,,
player,201009190car,tam,SpurMi00,pass_rating,39.6,,,,,
player,201009190car,tam,SpurMi00,rush_att,0,,,,,
player,201009190car,tam,SpurMi00,rush_yds,0,,,,,
player,201009190car,tam,SpurMi00,rush_td,0,,,,,
player,201009190car,tam,SpurMi00,rush_long,0,,,,,
player,201009190car,tam,SpurMi00,targets,0,,,,,
player,201009190car,tam,SpurMi00,rec,0,,,,,
player,201009190car,tam,SpurMi00,rec_yds,0,,,,,
player,201009190car,tam,SpurMi00,rec_td,0,,,,,
player,201009190car,tam,SpurMi00,rec_long,0,,,,,
player,201009190car,tam,SpurMi00,fumbles,0,,,,,
player,201009190car,tam,SpurMi00,fumbles_lost,,,,,,
player,201009190car,tam,WillCa02,pass_cmp,0,,,,,
player,201009190car,tam,WillCa02,pass_att,0,,,,,
player,201009190car,tam,WillCa02,pass_yds,0,,,,,
player,201009190car,tam,WillCa02,pass_td,0,,,,,
player,201009190car,tam,WillCa02,pass_int,0,,,,,
player,201009190car,tam,WillCa02,pass_sacked,,,,,,
player,201009190car,tam,WillCa02,pass_sacked_yds,,,,,,
player,201009190car,tam,WillCa02,pass_long,0,,,,,
player,201009190car,tam,WillCa02,pass_rating,,,,,,
player,201009190car,tam,WillCa02,rush_att,27,,,,,
player,201009190car,tam,WillCa02,rush_yds,51,,,,,
player,201009190car,tam,WillCa02,rush_td,0,,,,,
player,201009190car,tam,WillCa02,rush_long,8,,,,,
player,201009190car,tam,WillCa02,targets,5,,,,,
player,201009190car,tam,WillCa02,rec,1,,,,,
player,201009190car,tam,WillCa02,rec_yds,8,,,,,
player,201009190car,tam,WillCa02,rec_td,0,,,,,
player,201009190car,tam,WillCa02,rec_long,8,,,,,
player,201009190car,tam,WillCa02,fumbles,0,,,,,
player,201009190car,tam,WillCa02,fumbles_lost,,,,,,
player,201009190car,tam,GrahEa00,pass_cmp,0,,,,,
player,201009190car,tam,GrahEa00,pass_att,0,,,,,
player,201009190car,tam,GrahEa00,pass_yds,0,,,,,
player,201009190car,tam,GrahEa00,pass_td,0,,,,,
player,201009190car,tam,GrahEa00,pass_int,0,,,,,
player,201009190car,tam,GrahEa00,pass_sacked,0,,,,,
player,201009190car,tam,GrahEa00,pass_sacked_yds,,,,,,
player,201009190car,tam,GrahEa00,pass_long,0,,,,,
player,201009190car,tam,GrahEa00,pass_rating,,,,,,
player,201009190car,tam,GrahEa00,rush_att,3,,,,,
player,201009190car,tam,GrahEa00,rush_yds,1,,,,,
player,201009190car,tam,GrahEa00,rush_td,0,,,,,
player,201009190car,tam,GrahEa00,rush_long,2,,,,,
player,201009190car,tam,GrahEa00,targets,6,,,,,
player,201009190car,tam,GrahEa00,rec,5,,,,,
player,201009190car,tam,GrahEa00,rec_yds,33,,,,,
player,201009190car,tam,GrahEa00,rec_td,1,,,,,
player,201009190car,tam,GrahEa00,rec_long,14,,,,,
player,201009190car,tam,GrahEa00,fumbles,0,,,,,
player,201009190car,tam,GrahEa00,fumbles_lost,,,,,,
player,201009190car,tam,WinsKe01,pass_cmp,0,,,,,
player,201009190car,tam,WinsKe01,pass_att,0,,,,,
player,201009190car,tam,WinsKe01,pass_yds,0,,,,,
player,201009190car,tam,WinsKe01,pass_td,0,,,,,
player,201009190car,tam,WinsKe01,pass_int,0,,,,,
player,201009190car,tam,WinsKe01,pass_sacked,,,,,,
player,201009190car,tam,WinsKe01,pass_sacked_yds,,,,,,
player,201009190car,tam,WinsKe01,pass_long,0,,,,,
player,201009190car,tam,WinsKe01,pass_rating,,,,,,
player,201009190car,tam,WinsKe01,rush_att,0,,,,,
player,201009190car,tam,WinsKe01,rush_yds,0,,,,,
player,201009190car,tam,WinsKe01,rush_td,0,,,,,
player,201009190car,tam,WinsKe01,rush_long,0,,,,,
player,201009190car,tam,WinsKe01,targets,4,,,,,
player,201009190car,tam,WinsKe01,rec,4,,,,,
player,201009190car,tam,WinsKe01,rec_yds,83,,,,,
player,201009190car,tam,WinsKe01,rec_td,0,,,,,
player,201009190car,tam,WinsKe01,rec_long,40,,,,,
player,201009190car,tam,WinsKe01,fumbles,0,,,,,
player,201009190car,tam,WinsKe01,fumbles_lost,,,,,,
player,201009190car,tam,WillMi04,pass_cmp,0,,,,,
player,201009190car,tam,WillMi04,pass_att,0,,,,,
player,201009190car,tam,WillMi04,pass_yds,0,,,,,
player,201009190car,tam,WillMi04,pass_td,0,,,,,
player,201009190car,tam,WillMi04,pass_int,0,,,,,
player,201009190car,tam,WillMi04,pass_sacked,,,,,,
player,201009190car,tam,WillMi04,pass_sacked_yds,,,,,,
player,201009190car,tam,WillMi04,pass_long,0,,,,,
player,201009190car,tam,WillMi04,pass_rating,,,,,,
player,201009190car,tam,WillMi04,rush_att,0,,,,,
player,201009190car,tam,WillMi04,rush_yds,0,,,,,
player,201009190car,tam,WillMi04,rush_td,0,,,,,
player,201009190car,tam,WillMi04,rush_long,0,,,,,
player,201009190car,tam,WillMi04,targets,7,,,,,
player,201009190car,tam,WillMi04,rec,2,,,,,
player,201009190car,tam,WillMi04,rec_yds,54,,,,,
player,201009190car,tam,WillMi04,rec_td,1,,,,,
player,201009190car,tam,WillMi04,rec_long,35,,,,,
player,201009190car,tam,WillMi04,fumbles,0,,,,,
player,201009190car,tam,WillMi04,fumbles_lost,,,,,,
player,201009190car,tam,StroSa00,pass_cmp,,,,,,
player,201009190car,tam,StroSa00,pass_att,,,,,,
player,201009190car,tam,StroSa00,pass_yds,,,,,,
player,201009190car,tam,StroSa00,pass_td,,,,,,
player,201009190car,tam,StroSa00,pass_int,,,,,,
player,201009190car,tam,StroSa00,pass_sacked,,,,,,
player,201009190car,tam,StroSa00,pass_sacked_yds,,,,,,
player,201009190car,tam,StroSa00,pass_long,,,,,,
player,201009190car,tam,StroSa00,pass_rating,,,,,,
player,201009190car,tam,StroSa00,rush_att,,,,,,
player,201009190car,tam,StroSa00,rush_yds,,,,,,
player,201009190car,tam,StroSa00,rush_td,,,,,,
player,201009190car,tam,StroSa00,rush_long,,,,,,
player,201009190car,tam,StroSa00,targets,1,,,,,
player,201009190car,tam,StroSa00,rec,0,,,,,
player,201009190car,tam,StroSa00,rec_yds,0,,,,,
player,201009190car,tam,StroSa00,rec_td,0,,,,,
player,201009190car,tam,StroSa00,rec_long,,,,,,
player,201009190car,tam,StroSa00,fumbles,,,,,,
player,201009190car,tam,StroSa00,fumbles_lost,,,,,,
player,201009190car,tam,StevJe00,pass_cmp,,,,,,
player,201009190car,tam,StevJe00,pass_att,,,,,,
player,201009190car,tam,StevJe00,pass_yds,,,,,,
player,201009190car,tam,StevJe00,pass_td,,,,,,
player,201009190car,tam,StevJe00,pass_int,,,,,,
player,201009190car,tam,StevJe00,pass_sacked,,,,,,
player,201009190car,tam,StevJe00,pass_sacked_yds,,,,,,
player,201009190car,tam,StevJe00,pass_long,,,,,,
player,201009190car,tam,StevJe00,pass_rating,,,,,,
player,201009190car,tam,StevJe00,rush_att,,,,,,
player,201009190car,tam,StevJe00,rush_yds,,,,,,
player,201009190car,tam,StevJe00,rush_td,,,,,,
player,201009190car,tam,StevJe00,rush_long,,,,,,
player,201009190car,tam,StevJe00,targets,1,,,,,
player,201009190car,tam,StevJe00,rec,0,,,,,
player,201009190car,tam,StevJe00,rec_yds,0,,,,,
player,201009190car,tam,StevJe00,rec_td,0,,,,,
player,201009190car,tam,StevJe00,rec_long,,,,,,
player,201009190car,tam,StevJe00,fumbles,,,,,,
player,201009190car,tam,StevJe00,fumbles_lost,,,,,,
player,201009190car,car,MoorMa01,pass_cmp,6,,,,,
player,201009190car,car,MoorMa01,pass_att,16,,,,,
player,201009190car,car,MoorMa01,pass_yds,125,,,,,
player,201009190car,car,MoorMa01,pass_td,1,,,,,
player,201009190car,car,MoorMa01,pass_int,1,,,,,
player,201009190car,car,MoorMa01,pass_sacked,4,,,,,
player,201009190car,car,MoorMa01,pass_sacked_yds,25,,,,,
player,201009190car,car,MoorMa01,pass_long,37,,,,,
player,201009190car,car,MoorMa01,pass_rating,60.7,,,,,
player,201009190car,car,MoorMa01,rush_att,1,,,,,
player,201009190car,car,MoorMa01,rush_yds,2,,,,,
