game,2010,2,20100919,201009190dal,chi,"Chicago Bears",27,dal,"Dallas Cowboys",20
team,201009190dal,chi,First Downs,14,,,,,,
team,201009190dal,dal,First Downs,23,,,,,,
team,201009190dal,chi,Rush-Yds-TDs,19-38-0,,,,,,
team,201009190dal,dal,Rush-Yds-TDs,20-36-0,,,,,,
team,201009190dal,chi,Cmp-Att-Yd-TD-INT,21-29-277-3-0,,,,,,
team,201009190dal,dal,Cmp-Att-Yd-TD-INT,34-51-374-1-2,,,,,,
team,201009190dal,chi,Sacked-Yards,1-7,,,,,,
team,201009190dal,dal,Sacked-Yards,0-0,,,,,,
team,201009190dal,chi,Net Pass Yards,270,,,,,,
team,201009190dal,dal,Net Pass Yards,374,,,,,,
team,201009190dal,chi,Total Yards,308,,,,,,
team,201009190dal,dal,Total Yards,410,,,,,,
team,201009190dal,chi,Fumbles-Lost,0-0,,,,,,
team,201009190dal,dal,Fumbles-Lost,1-1,,,,,,
team,201009190dal,chi,Turnovers,0,,,,,,
team,201009190dal,dal,Turnovers,3,,,,,,
team,201009190dal,chi,Penalties-Yards,2-10,,,,,,
team,201009190dal,dal,Penalties-Yards,6-50,,,,,,
team,201009190dal,chi,Third Down Conv.,1-11,,,,,,
team,201009190dal,dal,Third Down Conv.,6-13,,,,,,
team,201009190dal,chi,Fourth Down Conv.,1-1,,,,,,
team,201009190dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201009190dal,chi,Time of Possession,26:20,,,,,,
team,201009190dal,dal,Time of Possession,33:40,,,,,,
player,201009190dal,chi,CutlJa00,pass_cmp,21,,,,,
player,201009190dal,chi,CutlJa00,pass_att,29,,,,,
player,201009190dal,chi,CutlJa00,pass_yds,277,,,,,
player,201009190dal,chi,CutlJa00,pass_td,3,,,,,
player,201009190dal,chi,CutlJa00,pass_int,0,,,,,
player,201009190dal,chi,CutlJa00,pass_sacked,1,,,,,
player,201009190dal,chi,CutlJa00,pass_sacked_yds,7,,,,,
player,201009190dal,chi,CutlJa00,pass_long,59,,,,,
player,201009190dal,chi,CutlJa00,pass_rating,136.7,,,,,
player,201009190dal,chi,CutlJa00,rush_att,5,,,,,
player,201009190dal,chi,CutlJa00,rush_yds,3,,,,,
player,201009190dal,chi,CutlJa00,rush_td,0,,,,,
player,201009190dal,chi,CutlJa00,rush_long,4,,,,,
player,201009190dal,chi,CutlJa00,targets,0,,,,,
player,201009190dal,chi,CutlJa00,rec,0,,,,,
player,201009190dal,chi,CutlJa00,rec_yds,0,,,,,
player,201009190dal,chi,CutlJa00,rec_td,0,,,,,
player,201009190dal,chi,CutlJa00,rec_long,0,,,,,
player,201009190dal,chi,CutlJa00,fumbles,0,,,,,
player,201009190dal,chi,CutlJa00,fumbles_lost,,,,,,
player,201009190dal,chi,FortMa00,pass_cmp,0,,,,,
player,201009190dal,chi,FortMa00,pass_att,0,,,,,
player,201009190dal,chi,FortMa00,pass_yds,0,,,,,
player,201009190dal,chi,FortMa00,pass_td,0,,,,,
player,201009190dal,chi,FortMa00,pass_int,0,,,,,
player,201009190dal,chi,FortMa00,pass_sacked,,,,,,
player,201009190dal,chi,FortMa00,pass_sacked_yds,,,,,,
player,201009190dal,chi,FortMa00,pass_long,0,,,,,
player,201009190dal,chi,FortMa00,pass_rating,,,,,,
player,201009190dal,chi,FortMa00,rush_att,10,,,,,
player,201009190dal,chi,FortMa00,rush_yds,29,,,,,
player,201009190dal,chi,FortMa00,rush_td,0,,,,,
player,201009190dal,chi,FortMa00,rush_long,13,,,,,
player,201009190dal,chi,FortMa00,targets,6,,,,,
player,201009190dal,chi,FortMa00,rec,5,,,,,
player,201009190dal,chi,FortMa00,rec_yds,37,,,,,
player,201009190dal,chi,FortMa00,rec_td,1,,,,,
player,201009190dal,chi,FortMa00,rec_long,17,,,,,
player,201009190dal,chi,FortMa00,fumbles,0,,,,,
player,201009190dal,chi,FortMa00,fumbles_lost,,,,,,
player,201009190dal,chi,TaylCh01,pass_cmp,0,,,,,
player,201009190dal,chi,TaylCh01,pass_att,0,,,,,
player,201009190dal,chi,TaylCh01,pass_yds,0,,,,,
player,201009190dal,chi,TaylCh01,pass_td,0,,,,,
player,201009190dal,chi,TaylCh01,pass_int,0,,,,,
player,201009190dal,chi,TaylCh01,pass_sacked,,,,,,
player,201009190dal,chi,TaylCh01,pass_sacked_yds,,,,,,
player,201009190dal,chi,TaylCh01,pass_long,0,,,,,
player,201009190dal,chi,TaylCh01,pass_rating,,,,,,
player,201009190dal,chi,TaylCh01,rush_att,4,,,,,
player,201009190dal,chi,TaylCh01,rush_yds,6,,,,,
player,201009190dal,chi,TaylCh01,rush_td,0,,,,,
player,201009190dal,chi,TaylCh01,rush_long,4,,,,,
player,201009190dal,chi,TaylCh01,targets,2,,,,,
player,201009190dal,chi,TaylCh01,rec,2,,,,,
player,201009190dal,chi,TaylCh01,rec_yds,9,,,,,
player,201009190dal,chi,TaylCh01,rec_td,0,,,,,
player,201009190dal,chi,TaylCh01,rec_long,9,,,,,
player,201009190dal,chi,TaylCh01,fumbles,0,,,,,
player,201009190dal,chi,TaylCh01,fumbles_lost,,,,,,
