game,2010,3,20100926,201009260min,det,"Detroit Lions",10,min,"Minnesota Vikings",24
team,201009260min,det,First Downs,17,,,,,,
team,201009260min,min,First Downs,21,,,,,,
team,201009260min,det,Rush-Yds-TDs,19-63-0,,,,,,
team,201009260min,min,Rush-Yds-TDs,30-183-2,,,,,,
team,201009260min,det,Cmp-Att-Yd-TD-INT,29-43-237-1-2,,,,,,
team,201009260min,min,Cmp-Att-Yd-TD-INT,23-34-201-1-2,,,,,,
team,201009260min,det,Sacked-Yards,1-5,,,,,,
team,201009260min,min,Sacked-Yards,2-16,,,,,,
team,201009260min,det,Net Pass Yards,232,,,,,,
team,201009260min,min,Net Pass Yards,185,,,,,,
team,201009260min,det,Total Yards,295,,,,,,
team,201009260min,min,Total Yards,368,,,,,,
team,201009260min,det,Fumbles-Lost,1-1,,,,,,
team,201009260min,min,Fumbles-Lost,1-1,,,,,,
team,201009260min,det,Turnovers,3,,,,,,
team,201009260min,min,Turnovers,3,,,,,,
team,201009260min,det,Penalties-Yards,8-67,,,,,,
team,201009260min,min,Penalties-Yards,12-100,,,,,,
team,201009260min,det,Third Down Conv.,3-12,,,,,,
team,201009260min,min,Third Down Conv.,3-11,,,,,,
team,201009260min,det,Fourth Down Conv.,1-1,,,,,,
team,201009260min,min,Fourth Down Conv.,0-0,,,,,,
team,201009260min,det,Time of Possession,28:08,,,,,,
team,201009260min,min,Time of Possession,31:52,,,,,,
player,201009260min,det,HillSh00,pass_cmp,29,,,,,
player,201009260min,det,HillSh00,pass_att,43,,,,,
player,201009260min,det,HillSh00,pass_yds,237,,,,,
player,201009260min,det,HillSh00,pass_td,1,,,,,
player,201009260min,det,HillSh00,pass_int,2,,,,,
player,201009260min,det,HillSh00,pass_sacked,1,,,,,
player,201009260min,det,HillSh00,pass_sacked_yds,5,,,,,
player,201009260min,det,HillSh00,pass_long,24,,,,,
player,201009260min,det,HillSh00,pass_rating,69.6,,,,,
player,201009260min,det,HillSh00,rush_att,2,,,,,
player,201009260min,det,HillSh00,rush_yds,4,,,,,
player,201009260min,det,HillSh00,rush_td,0,,,,,
player,201009260min,det,HillSh00,rush_long,2,,,,,
player,201009260min,det,HillSh00,targets,0,,,,,
player,201009260min,det,HillSh00,rec,0,,,,,
player,201009260min,det,HillSh00,rec_yds,0,,,,,
player,201009260min,det,HillSh00,rec_td,0,,,,,
player,201009260min,det,HillSh00,rec_long,0,,,,,
player,201009260min,det,HillSh00,fumbles,0,,,,,
player,201009260min,det,HillSh00,fumbles_lost,,,,,,
player,201009260min,det,BestJa00,pass_cmp,0,,,,,
player,201009260min,det,BestJa00,pass_att,0,,,,,
player,201009260min,det,BestJa00,pass_yds,0,,,,,
player,201009260min,det,BestJa00,pass_td,0,,,,,
player,201009260min,det,BestJa00,pass_int,0,,,,,
player,201009260min,det,BestJa00,pass_sacked,0,,,,,
player,201009260min,det,BestJa00,pass_sacked_yds,,,,,,
player,201009260min,det,BestJa00,pass_long,0,,,,,
player,201009260min,det,BestJa00,pass_rating,,,,,,
player,201009260min,det,BestJa00,rush_att,7,,,,,
player,201009260min,det,BestJa00,rush_yds,26,,,,,
player,201009260min,det,BestJa00,rush_td,0,,,,,
player,201009260min,det,BestJa00,rush_long,16,,,,,
player,201009260min,det,BestJa00,targets,4,,,,,
player,201009260min,det,BestJa00,rec,2,,,,,
player,201009260min,det,BestJa00,rec_yds,13,,,,,
player,201009260min,det,BestJa00,rec_td,0,,,,,
player,201009260min,det,BestJa00,rec_long,8,,,,,
player,201009260min,det,BestJa00,fumbles,0,,,,,
player,201009260min,det,BestJa00,fumbles_lost,,,,,,
player,201009260min,det,LogaSt00,pass_cmp,0,,,,,
player,201009260min,det,LogaSt00,pass_att,0,,,,,
player,201009260min,det,LogaSt00,pass_yds,0,,,,,
player,201009260min,det,LogaSt00,pass_td,0,,,,,
player,201009260min,det,LogaSt00,pass_int,0,,,,,
player,201009260min,det,LogaSt00,pass_sacked,0,,,,,
player,201009260min,det,LogaSt00,pass_sacked_yds,,,,,,
player,201009260min,det,LogaSt00,pass_long,0,,,,,
player,201009260min,det,LogaSt00,pass_rating,,,,,,
player,201009260min,det,LogaSt00,rush_att,1,,,,,
player,201009260min,det,LogaSt00,rush_yds,21,,,,,
player,201009260min,det,LogaSt00,rush_td,0,,,,,
player,201009260min,det,LogaSt00,rush_long,21,,,,,
player,201009260min,det,LogaSt00,targets,0,,,,,
player,201009260min,det,LogaSt00,rec,0,,,,,
player,201009260min,det,LogaSt00,rec_yds,0,,,,,
player,201009260min,det,LogaSt00,rec_td,0,,,,,
player,201009260min,det,LogaSt00,rec_long,0,,,,,
player,201009260min,det,LogaSt00,fumbles,1,,,,,
player,201009260min,det,LogaSt00,fumbles_lost,1,,,,,
player,201009260min,det,MorrMa00,pass_cmp,0,,,,,
player,201009260min,det,MorrMa00,pass_att,0,,,,,
player,201009260min,det,MorrMa00,pass_yds,0,,,,,
player,201009260min,det,MorrMa00,pass_td,0,,,,,
player,201009260min,det,MorrMa00,pass_int,0,,,,,
player,201009260min,det,MorrMa00,pass_sacked,,,,,,
player,201009260min,det,MorrMa00,pass_sacked_yds,,,,,,
player,201009260min,det,MorrMa00,pass_long,0,,,,,
player,201009260min,det,MorrMa00,pass_rating,,,,,,
player,201009260min,det,MorrMa00,rush_att,6,,,,,
player,201009260min,det,MorrMa00,rush_yds,5,,,,,
player,201009260min,det,MorrMa00,rush_td,0,,,,,
player,201009260min,det,MorrMa00,rush_long,3,,,,,
player,201009260min,det,MorrMa00,targets,7,,,,,
player,201009260min,det,MorrMa00,rec,5,,,,,
player,201009260min,det,MorrMa00,rec_yds,36,,,,,
player,201009260min,det,MorrMa00,rec_td,0,,,,,
player,201009260min,det,MorrMa00,rec_long,16,,,,,
player,201009260min,det,MorrMa00,fumbles,0,,,,,
player,201009260min,det,MorrMa00,fumbles_lost,,,,,,
player,201009260min,det,FeltJe00,pass_cmp,0,,,,,
player,201009260min,det,FeltJe00,pass_att,0,,,,,
player,201009260min,det,FeltJe00,pass_yds,0,,,,,
player,201009260min,det,FeltJe00,pass_td,0,,,,,
player,201009260min,det,FeltJe00,pass_int,0,,,,,
player,201009260min,det,FeltJe00,pass_sacked,,,,,,
