game,2010,16,20101226,201012260buf,nwe,"New England Patriots",34,buf,"Buffalo Bills",3
team,201012260buf,nwe,First Downs,20,,,,,,
team,201012260buf,buf,First Downs,16,,,,,,
team,201012260buf,nwe,Rush-Yds-TDs,41-217-1,,,,,,
team,201012260buf,buf,Rush-Yds-TDs,20-125-0,,,,,,
team,201012260buf,nwe,Cmp-Att-Yd-TD-INT,15-27-140-3-0,,,,,,
team,201012260buf,buf,Cmp-Att-Yd-TD-INT,18-37-251-0-3,,,,,,
team,201012260buf,nwe,Sacked-Yards,1-9,,,,,,
team,201012260buf,buf,Sacked-Yards,3-7,,,,,,
team,201012260buf,nwe,Net Pass Yards,131,,,,,,
team,201012260buf,buf,Net Pass Yards,244,,,,,,
team,201012260buf,nwe,Total Yards,348,,,,,,
team,201012260buf,buf,Total Yards,369,,,,,,
team,201012260buf,nwe,Fumbles-Lost,0-0,,,,,,
team,201012260buf,buf,Fumbles-Lost,4-4,,,,,,
team,201012260buf,nwe,Turnovers,0,,,,,,
team,201012260buf,buf,Turnovers,7,,,,,,
team,201012260buf,nwe,Penalties-Yards,6-40,,,,,,
team,201012260buf,buf,Penalties-Yards,6-40,,,,,,
team,201012260buf,nwe,Third Down Conv.,8-17,,,,,,
team,201012260buf,buf,Third Down Conv.,3-10,,,,,,
team,201012260buf,nwe,Fourth Down Conv.,0-1,,,,,,
team,201012260buf,buf,Fourth Down Conv.,1-3,,,,,,
team,201012260buf,nwe,Time of Possession,32:30,,,,,,
team,201012260buf,buf,Time of Possession,27:30,,,,,,
player,201012260buf,nwe,BradTo00,pass_cmp,15,,,,,
player,201012260buf,nwe,BradTo00,pass_att,27,,,,,
player,201012260buf,nwe,BradTo00,pass_yds,140,,,,,
player,201012260buf,nwe,BradTo00,pass_td,3,,,,,
player,201012260buf,nwe,BradTo00,pass_int,0,,,,,
player,201012260buf,nwe,BradTo00,pass_sacked,1,,,,,
player,201012260buf,nwe,BradTo00,pass_sacked_yds,9,,,,,
player,201012260buf,nwe,BradTo00,pass_long,23,,,,,
player,201012260buf,nwe,BradTo00,pass_rating,107.0,,,,,
player,201012260buf,nwe,BradTo00,rush_att,3,,,,,
player,201012260buf,nwe,BradTo00,rush_yds,13,,,,,
player,201012260buf,nwe,BradTo00,rush_td,0,,,,,
player,201012260buf,nwe,BradTo00,rush_long,7,,,,,
player,201012260buf,nwe,BradTo00,targets,0,,,,,
player,201012260buf,nwe,BradTo00,rec,0,,,,,
player,201012260buf,nwe,BradTo00,rec_yds,0,,,,,
player,201012260buf,nwe,BradTo00,rec_td,0,,,,,
player,201012260buf,nwe,BradTo00,rec_long,0,,,,,
player,201012260buf,nwe,BradTo00,fumbles,0,,,,,
player,201012260buf,nwe,BradTo00,fumbles_lost,,,,,,
player,201012260buf,nwe,GreeBe00,pass_cmp,0,,,,,
player,201012260buf,nwe,GreeBe00,pass_att,0,,,,,
player,201012260buf,nwe,GreeBe00,pass_yds,0,,,,,
player,201012260buf,nwe,GreeBe00,pass_td,0,,,,,
player,201012260buf,nwe,GreeBe00,pass_int,0,,,,,
player,201012260buf,nwe,GreeBe00,pass_sacked,,,,,,
player,201012260buf,nwe,GreeBe00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,GreeBe00,pass_long,0,,,,,
player,201012260buf,nwe,GreeBe00,pass_rating,,,,,,
player,201012260buf,nwe,GreeBe00,rush_att,19,,,,,
player,201012260buf,nwe,GreeBe00,rush_yds,104,,,,,
player,201012260buf,nwe,GreeBe00,rush_td,0,,,,,
player,201012260buf,nwe,GreeBe00,rush_long,15,,,,,
player,201012260buf,nwe,GreeBe00,targets,1,,,,,
player,201012260buf,nwe,GreeBe00,rec,1,,,,,
player,201012260buf,nwe,GreeBe00,rec_yds,3,,,,,
player,201012260buf,nwe,GreeBe00,rec_td,0,,,,,
player,201012260buf,nwe,GreeBe00,rec_long,3,,,,,
player,201012260buf,nwe,GreeBe00,fumbles,0,,,,,
player,201012260buf,nwe,GreeBe00,fumbles_lost,,,,,,
player,201012260buf,nwe,WoodDa02,pass_cmp,0,,,,,
player,201012260buf,nwe,WoodDa02,pass_att,0,,,,,
player,201012260buf,nwe,WoodDa02,pass_yds,0,,,,,
player,201012260buf,nwe,WoodDa02,pass_td,0,,,,,
player,201012260buf,nwe,WoodDa02,pass_int,0,,,,,
player,201012260buf,nwe,WoodDa02,pass_sacked,,,,,,
player,201012260buf,nwe,WoodDa02,pass_sacked_yds,,,,,,
player,201012260buf,nwe,WoodDa02,pass_long,0,,,,,
player,201012260buf,nwe,WoodDa02,pass_rating,,,,,,
player,201012260buf,nwe,WoodDa02,rush_att,13,,,,,
player,201012260buf,nwe,WoodDa02,rush_yds,93,,,,,
player,201012260buf,nwe,WoodDa02,rush_td,1,,,,,
player,201012260buf,nwe,WoodDa02,rush_long,29,,,,,
player,201012260buf,nwe,WoodDa02,targets,4,,,,,
player,201012260buf,nwe,WoodDa02,rec,3,,,,,
player,201012260buf,nwe,WoodDa02,rec_yds,32,,,,,
player,201012260buf,nwe,WoodDa02,rec_td,0,,,,,
player,201012260buf,nwe,WoodDa02,rec_long,15,,,,,
player,201012260buf,nwe,WoodDa02,fumbles,0,,,,,
player,201012260buf,nwe,WoodDa02,fumbles_lost,,,,,,
player,201012260buf,nwe,TateBr00,pass_cmp,0,,,,,
player,201012260buf,nwe,TateBr00,pass_att,0,,,,,
player,201012260buf,nwe,TateBr00,pass_yds,0,,,,,
player,201012260buf,nwe,TateBr00,pass_td,0,,,,,
player,201012260buf,nwe,TateBr00,pass_int,0,,,,,
player,201012260buf,nwe,TateBr00,pass_sacked,,,,,,
player,201012260buf,nwe,TateBr00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,TateBr00,pass_long,0,,,,,
player,201012260buf,nwe,TateBr00,pass_rating,,,,,,
player,201012260buf,nwe,TateBr00,rush_att,1,,,,,
player,201012260buf,nwe,TateBr00,rush_yds,12,,,,,
player,201012260buf,nwe,TateBr00,rush_td,0,,,,,
player,201012260buf,nwe,TateBr00,rush_long,12,,,,,
player,201012260buf,nwe,TateBr00,targets,1,,,,,
player,201012260buf,nwe,TateBr00,rec,0,,,,,
player,201012260buf,nwe,TateBr00,rec_yds,0,,,,,
player,201012260buf,nwe,TateBr00,rec_td,0,,,,,
player,201012260buf,nwe,TateBr00,rec_long,0,,,,,
player,201012260buf,nwe,TateBr00,fumbles,0,,,,,
player,201012260buf,nwe,TateBr00,fumbles_lost,,,,,,
player,201012260buf,nwe,GronRo00,pass_cmp,0,,,,,
player,201012260buf,nwe,GronRo00,pass_att,0,,,,,
player,201012260buf,nwe,GronRo00,pass_yds,0,,,,,
player,201012260buf,nwe,GronRo00,pass_td,0,,,,,
player,201012260buf,nwe,GronRo00,pass_int,0,,,,,
player,201012260buf,nwe,GronRo00,pass_sacked,,,,,,
player,201012260buf,nwe,GronRo00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,GronRo00,pass_long,0,,,,,
player,201012260buf,nwe,GronRo00,pass_rating,,,,,,
player,201012260buf,nwe,GronRo00,rush_att,0,,,,,
player,201012260buf,nwe,GronRo00,rush_yds,0,,,,,
player,201012260buf,nwe,GronRo00,rush_td,0,,,,,
player,201012260buf,nwe,GronRo00,rush_long,0,,,,,
player,201012260buf,nwe,GronRo00,targets,7,,,,,
player,201012260buf,nwe,GronRo00,rec,4,,,,,
player,201012260buf,nwe,GronRo00,rec_yds,54,,,,,
player,201012260buf,nwe,GronRo00,rec_td,2,,,,,
player,201012260buf,nwe,GronRo00,rec_long,23,,,,,
player,201012260buf,nwe,GronRo00,fumbles,0,,,,,
player,201012260buf,nwe,GronRo00,fumbles_lost,,,,,,
player,201012260buf,nwe,BranDe00,pass_cmp,0,,,,,
player,201012260buf,nwe,BranDe00,pass_att,0,,,,,
player,201012260buf,nwe,BranDe00,pass_yds,0,,,,,
player,201012260buf,nwe,BranDe00,pass_td,0,,,,,
player,201012260buf,nwe,BranDe00,pass_int,0,,,,,
player,201012260buf,nwe,BranDe00,pass_sacked,,,,,,
player,201012260buf,nwe,BranDe00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,BranDe00,pass_long,0,,,,,
player,201012260buf,nwe,BranDe00,pass_rating,,,,,,
player,201012260buf,nwe,BranDe00,rush_att,0,,,,,
player,201012260buf,nwe,BranDe00,rush_yds,0,,,,,
player,201012260buf,nwe,BranDe00,rush_td,0,,,,,
player,201012260buf,nwe,BranDe00,rush_long,0,,,,,
player,201012260buf,nwe,BranDe00,targets,5,,,,,
player,201012260buf,nwe,BranDe00,rec,2,,,,,
player,201012260buf,nwe,BranDe00,rec_yds,25,,,,,
player,201012260buf,nwe,BranDe00,rec_td,0,,,,,
player,201012260buf,nwe,BranDe00,rec_long,15,,,,,
player,201012260buf,nwe,BranDe00,fumbles,0,,,,,
player,201012260buf,nwe,BranDe00,fumbles_lost,,,,,,
player,201012260buf,nwe,WelkWe00,pass_cmp,0,,,,,
player,201012260buf,nwe,WelkWe00,pass_att,0,,,,,
player,201012260buf,nwe,WelkWe00,pass_yds,0,,,,,
player,201012260buf,nwe,WelkWe00,pass_td,0,,,,,
player,201012260buf,nwe,WelkWe00,pass_int,0,,,,,
player,201012260buf,nwe,WelkWe00,pass_sacked,,,,,,
player,201012260buf,nwe,WelkWe00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,WelkWe00,pass_long,0,,,,,
player,201012260buf,nwe,WelkWe00,pass_rating,,,,,,
player,201012260buf,nwe,WelkWe00,rush_att,0,,,,,
player,201012260buf,nwe,WelkWe00,rush_yds,0,,,,,
player,201012260buf,nwe,WelkWe00,rush_td,0,,,,,
player,201012260buf,nwe,WelkWe00,rush_long,0,,,,,
player,201012260buf,nwe,WelkWe00,targets,6,,,,,
player,201012260buf,nwe,WelkWe00,rec,3,,,,,
player,201012260buf,nwe,WelkWe00,rec_yds,19,,,,,
player,201012260buf,nwe,WelkWe00,rec_td,0,,,,,
player,201012260buf,nwe,WelkWe00,rec_long,9,,,,,
player,201012260buf,nwe,WelkWe00,fumbles,0,,,,,
player,201012260buf,nwe,WelkWe00,fumbles_lost,,,,,,
player,201012260buf,nwe,CrumAl00,pass_cmp,0,,,,,
player,201012260buf,nwe,CrumAl00,pass_att,0,,,,,
player,201012260buf,nwe,CrumAl00,pass_yds,0,,,,,
player,201012260buf,nwe,CrumAl00,pass_td,0,,,,,
player,201012260buf,nwe,CrumAl00,pass_int,0,,,,,
player,201012260buf,nwe,CrumAl00,pass_sacked,,,,,,
player,201012260buf,nwe,CrumAl00,pass_sacked_yds,,,,,,
player,201012260buf,nwe,CrumAl00,pass_long,0,,,,,
player,201012260buf,nwe,CrumAl00,pass_rating,,,,,,
