game,2010,3,20100926,201009260car,cin,"Cincinnati Bengals",20,car,"Carolina Panthers",7
team,201009260car,cin,First Downs,21,,,,,,
team,201009260car,car,First Downs,17,,,,,,
team,201009260car,cin,Rush-Yds-TDs,37-120-1,,,,,,
team,201009260car,car,Rush-Yds-TDs,24-87-1,,,,,,
team,201009260car,cin,Cmp-Att-Yd-TD-INT,19-37-195-1-2,,,,,,
team,201009260car,car,Cmp-Att-Yd-TD-INT,16-33-188-0-1,,,,,,
team,201009260car,cin,Sacked-Yards,1-10,,,,,,
team,201009260car,car,Sacked-Yards,1-8,,,,,,
team,201009260car,cin,Net Pass Yards,185,,,,,,
team,201009260car,car,Net Pass Yards,180,,,,,,
team,201009260car,cin,Total Yards,305,,,,,,
team,201009260car,car,Total Yards,267,,,,,,
team,201009260car,cin,Fumbles-Lost,1-0,,,,,,
team,201009260car,car,Fumbles-Lost,4-3,,,,,,
team,201009260car,cin,Turnovers,2,,,,,,
team,201009260car,car,Turnovers,4,,,,,,
team,201009260car,cin,Penalties-Yards,8-74,,,,,,
team,201009260car,car,Penalties-Yards,6-45,,,,,,
team,201009260car,cin,Third Down Conv.,5-17,,,,,,
team,201009260car,car,Third Down Conv.,2-11,,,,,,
team,201009260car,cin,Fourth Down Conv.,2-2,,,,,,
team,201009260car,car,Fourth Down Conv.,0-2,,,,,,
team,201009260car,cin,Time of Possession,36:22,,,,,,
team,201009260car,car,Time of Possession,23:38,,,,,,
player,201009260car,cin,PalmCa00,pass_cmp,19,,,,,
player,201009260car,cin,PalmCa00,pass_att,37,,,,,
player,201009260car,cin,PalmCa00,pass_yds,195,,,,,
player,201009260car,cin,PalmCa00,pass_td,1,,,,,
player,201009260car,cin,PalmCa00,pass_int,2,,,,,
player,201009260car,cin,PalmCa00,pass_sacked,1,,,,,
player,201009260car,cin,PalmCa00,pass_sacked_yds,10,,,,,
player,201009260car,cin,PalmCa00,pass_long,27,,,,,
player,201009260car,cin,PalmCa00,pass_rating,53.3,,,,,
player,201009260car,cin,PalmCa00,rush_att,5,,,,,
player,201009260car,cin,PalmCa00,rush_yds,8,,,,,
player,201009260car,cin,PalmCa00,rush_td,0,,,,,
player,201009260car,cin,PalmCa00,rush_long,9,,,,,
player,201009260car,cin,PalmCa00,targets,0,,,,,
player,201009260car,cin,PalmCa00,rec,0,,,,,
player,201009260car,cin,PalmCa00,rec_yds,0,,,,,
player,201009260car,cin,PalmCa00,rec_td,0,,,,,
player,201009260car,cin,PalmCa00,rec_long,0,,,,,
player,201009260car,cin,PalmCa00,fumbles,0,,,,,
player,201009260car,cin,PalmCa00,fumbles_lost,,,,,,
player,201009260car,cin,BensCe00,pass_cmp,0,,,,,
player,201009260car,cin,BensCe00,pass_att,0,,,,,
player,201009260car,cin,BensCe00,pass_yds,0,,,,,
player,201009260car,cin,BensCe00,pass_td,0,,,,,
player,201009260car,cin,BensCe00,pass_int,0,,,,,
player,201009260car,cin,BensCe00,pass_sacked,,,,,,
player,201009260car,cin,BensCe00,pass_sacked_yds,,,,,,
player,201009260car,cin,BensCe00,pass_long,0,,,,,
player,201009260car,cin,BensCe00,pass_rating,,,,,,
player,201009260car,cin,BensCe00,rush_att,27,,,,,
player,201009260car,cin,BensCe00,rush_yds,81,,,,,
player,201009260car,cin,BensCe00,rush_td,1,,,,,
player,201009260car,cin,BensCe00,rush_long,11,,,,,
player,201009260car,cin,BensCe00,targets,3,,,,,
player,201009260car,cin,BensCe00,rec,2,,,,,
player,201009260car,cin,BensCe00,rec_yds,9,,,,,
player,201009260car,cin,BensCe00,rec_td,1,,,,,
