game,2010,8,20101101,201011010clt,htx,"Houston Texans",17,clt,"Indianapolis Colts",30
player,201011010clt,htx,DaniOw00,pass_cmp,0,,,,,
player,201011010clt,htx,DaniOw00,pass_att,0,,,,,
player,201011010clt,htx,DaniOw00,pass_yds,0,,,,,
player,201011010clt,htx,DaniOw00,pass_td,0,,,,,
player,201011010clt,htx,DaniOw00,pass_int,0,,,,,
player,201011010clt,htx,DaniOw00,pass_sacked,,,,,,
player,201011010clt,htx,DaniOw00,pass_sacked_yds,,,,,,
player,201011010clt,htx,DaniOw00,pass_long,0,,,,,
player,201011010clt,htx,DaniOw00,pass_rating,,,,,,
player,201011010clt,htx,DaniOw00,rush_att,0,,,,,
player,201011010clt,htx,DaniOw00,rush_yds,0,,,,,
player,201011010clt,htx,DaniOw00,rush_td,0,,,,,
player,201011010clt,htx,DaniOw00,rush_long,0,,,,,
player,201011010clt,htx,DaniOw00,targets,3,,,,,
player,201011010clt,htx,DaniOw00,rec,1,,,,,
player,201011010clt,htx,DaniOw00,rec_yds,8,,,,,
player,201011010clt,htx,DaniOw00,rec_td,0,,,,,
player,201011010clt,htx,DaniOw00,rec_long,8,,,,,
player,201011010clt,htx,DaniOw00,fumbles,0,,,,,
player,201011010clt,htx,DaniOw00,fumbles_lost,,,,,,
player,201011010clt,htx,LeacVo00,pass_cmp,0,,,,,
player,201011010clt,htx,LeacVo00,pass_att,0,,,,,
player,201011010clt,htx,LeacVo00,pass_yds,0,,,,,
player,201011010clt,htx,LeacVo00,pass_td,0,,,,,
player,201011010clt,htx,LeacVo00,pass_int,0,,,,,
player,201011010clt,htx,LeacVo00,pass_sacked,,,,,,
player,201011010clt,htx,LeacVo00,pass_sacked_yds,,,,,,
player,201011010clt,htx,LeacVo00,pass_long,0,,,,,
player,201011010clt,htx,LeacVo00,pass_rating,,,,,,
player,201011010clt,htx,LeacVo00,rush_att,0,,,,,
player,201011010clt,htx,LeacVo00,rush_yds,0,,,,,
player,201011010clt,htx,LeacVo00,rush_td,0,,,,,
player,201011010clt,htx,LeacVo00,rush_long,0,,,,,
player,201011010clt,htx,LeacVo00,targets,1,,,,,
player,201011010clt,htx,LeacVo00,rec,1,,,,,
player,201011010clt,htx,LeacVo00,rec_yds,7,,,,,
player,201011010clt,htx,LeacVo00,rec_td,0,,,,,
player,201011010clt,htx,LeacVo00,rec_long,7,,,,,
player,201011010clt,htx,LeacVo00,fumbles,0,,,,,
