game,2010,13,20101205,201012050mia,cle,"Cleveland Browns",13,mia,"Miami Dolphins",10
team,201012050mia,cle,First Downs,12,,,,,,
team,201012050mia,mia,First Downs,17,,,,,,
team,201012050mia,cle,Rush-Yds-TDs,22-52-0,,,,,,
team,201012050mia,mia,Rush-Yds-TDs,32-114-0,,,,,,
team,201012050mia,cle,Cmp-Att-Yd-TD-INT,24-34-217-1-0,,,,,,
team,201012050mia,mia,Cmp-Att-Yd-TD-INT,16-32-174-1-3,,,,,,
team,201012050mia,cle,Sacked-Yards,2-17,,,,,,
team,201012050mia,mia,Sacked-Yards,1-7,,,,,,
team,201012050mia,cle,Net Pass Yards,200,,,,,,
team,201012050mia,mia,Net Pass Yards,167,,,,,,
team,201012050mia,cle,Total Yards,252,,,,,,
team,201012050mia,mia,Total Yards,281,,,,,,
team,201012050mia,cle,Fumbles-Lost,1-0,,,,,,
team,201012050mia,mia,Fumbles-Lost,1-0,,,,,,
team,201012050mia,cle,Turnovers,0,,,,,,
team,201012050mia,mia,Turnovers,3,,,,,,
team,201012050mia,cle,Penalties-Yards,4-45,,,,,,
team,201012050mia,mia,Penalties-Yards,4-37,,,,,,
team,201012050mia,cle,Third Down Conv.,2-14,,,,,,
team,201012050mia,mia,Third Down Conv.,4-14,,,,,,
team,201012050mia,cle,Fourth Down Conv.,0-0,,,,,,
team,201012050mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201012050mia,cle,Time of Possession,29:24,,,,,,
team,201012050mia,mia,Time of Possession,30:36,,,,,,
player,201012050mia,cle,DelhJa00,pass_cmp,24,,,,,
player,201012050mia,cle,DelhJa00,pass_att,34,,,,,
player,201012050mia,cle,DelhJa00,pass_yds,217,,,,,
player,201012050mia,cle,DelhJa00,pass_td,1,,,,,
player,201012050mia,cle,DelhJa00,pass_int,0,,,,,
player,201012050mia,cle,DelhJa00,pass_sacked,2,,,,,
player,201012050mia,cle,DelhJa00,pass_sacked_yds,17,,,,,
player,201012050mia,cle,DelhJa00,pass_long,37,,,,,
player,201012050mia,cle,DelhJa00,pass_rating,97.3,,,,,
player,201012050mia,cle,DelhJa00,rush_att,4,,,,,
player,201012050mia,cle,DelhJa00,rush_yds,-5,,,,,
player,201012050mia,cle,DelhJa00,rush_td,0,,,,,
player,201012050mia,cle,DelhJa00,rush_long,-1,,,,,
player,201012050mia,cle,DelhJa00,targets,0,,,,,
player,201012050mia,cle,DelhJa00,rec,0,,,,,
player,201012050mia,cle,DelhJa00,rec_yds,0,,,,,
player,201012050mia,cle,DelhJa00,rec_td,0,,,,,
player,201012050mia,cle,DelhJa00,rec_long,0,,,,,
player,201012050mia,cle,DelhJa00,fumbles,0,,,,,
player,201012050mia,cle,DelhJa00,fumbles_lost,,,,,,
player,201012050mia,cle,HillPe00,pass_cmp,0,,,,,
player,201012050mia,cle,HillPe00,pass_att,0,,,,,
player,201012050mia,cle,HillPe00,pass_yds,0,,,,,
player,201012050mia,cle,HillPe00,pass_td,0,,,,,
player,201012050mia,cle,HillPe00,pass_int,0,,,,,
player,201012050mia,cle,HillPe00,pass_sacked,0,,,,,
player,201012050mia,cle,HillPe00,pass_sacked_yds,,,,,,
player,201012050mia,cle,HillPe00,pass_long,0,,,,,
player,201012050mia,cle,HillPe00,pass_rating,,,,,,
player,201012050mia,cle,HillPe00,rush_att,18,,,,,
player,201012050mia,cle,HillPe00,rush_yds,57,,,,,
player,201012050mia,cle,HillPe00,rush_td,0,,,,,
player,201012050mia,cle,HillPe00,rush_long,13,,,,,
player,201012050mia,cle,HillPe00,targets,9,,,,,
player,201012050mia,cle,HillPe00,rec,7,,,,,
player,201012050mia,cle,HillPe00,rec_yds,22,,,,,
player,201012050mia,cle,HillPe00,rec_td,0,,,,,
player,201012050mia,cle,HillPe00,rec_long,8,,,,,
player,201012050mia,cle,HillPe00,fumbles,0,,,,,
player,201012050mia,cle,HillPe00,fumbles_lost,,,,,,
player,201012050mia,cle,WatsBe00,pass_cmp,0,,,,,
player,201012050mia,cle,WatsBe00,pass_att,0,,,,,
player,201012050mia,cle,WatsBe00,pass_yds,0,,,,,
player,201012050mia,cle,WatsBe00,pass_td,0,,,,,
player,201012050mia,cle,WatsBe00,pass_int,0,,,,,
player,201012050mia,cle,WatsBe00,pass_sacked,,,,,,
player,201012050mia,cle,WatsBe00,pass_sacked_yds,,,,,,
player,201012050mia,cle,WatsBe00,pass_long,0,,,,,
player,201012050mia,cle,WatsBe00,pass_rating,,,,,,
player,201012050mia,cle,WatsBe00,rush_att,0,,,,,
player,201012050mia,cle,WatsBe00,rush_yds,0,,,,,
player,201012050mia,cle,WatsBe00,rush_td,0,,,,,
player,201012050mia,cle,WatsBe00,rush_long,0,,,,,
player,201012050mia,cle,WatsBe00,targets,11,,,,,
player,201012050mia,cle,WatsBe00,rec,10,,,,,
player,201012050mia,cle,WatsBe00,rec_yds,100,,,,,
player,201012050mia,cle,WatsBe00,rec_td,1,,,,,
player,201012050mia,cle,WatsBe00,rec_long,22,,,,,
player,201012050mia,cle,WatsBe00,fumbles,0,,,,,
player,201012050mia,cle,WatsBe00,fumbles_lost,,,,,,
player,201012050mia,cle,MassMo00,pass_cmp,0,,,,,
player,201012050mia,cle,MassMo00,pass_att,0,,,,,
player,201012050mia,cle,MassMo00,pass_yds,0,,,,,
player,201012050mia,cle,MassMo00,pass_td,0,,,,,
player,201012050mia,cle,MassMo00,pass_int,0,,,,,
player,201012050mia,cle,MassMo00,pass_sacked,0,,,,,
player,201012050mia,cle,MassMo00,pass_sacked_yds,,,,,,
player,201012050mia,cle,MassMo00,pass_long,0,,,,,
player,201012050mia,cle,MassMo00,pass_rating,,,,,,
player,201012050mia,cle,MassMo00,rush_att,0,,,,,
player,201012050mia,cle,MassMo00,rush_yds,0,,,,,
player,201012050mia,cle,MassMo00,rush_td,0,,,,,
player,201012050mia,cle,MassMo00,rush_long,0,,,,,
player,201012050mia,cle,MassMo00,targets,7,,,,,
player,201012050mia,cle,MassMo00,rec,4,,,,,
player,201012050mia,cle,MassMo00,rec_yds,81,,,,,
player,201012050mia,cle,MassMo00,rec_td,0,,,,,
player,201012050mia,cle,MassMo00,rec_long,37,,,,,
player,201012050mia,cle,MassMo00,fumbles,0,,,,,
player,201012050mia,cle,MassMo00,fumbles_lost,,,,,,
player,201012050mia,cle,RobiBr00,pass_cmp,0,,,,,
player,201012050mia,cle,RobiBr00,pass_att,0,,,,,
player,201012050mia,cle,RobiBr00,pass_yds,0,,,,,
player,201012050mia,cle,RobiBr00,pass_td,0,,,,,
player,201012050mia,cle,RobiBr00,pass_int,0,,,,,
player,201012050mia,cle,RobiBr00,pass_sacked,,,,,,
player,201012050mia,cle,RobiBr00,pass_sacked_yds,,,,,,
player,201012050mia,cle,RobiBr00,pass_long,0,,,,,
player,201012050mia,cle,RobiBr00,pass_rating,,,,,,
player,201012050mia,cle,RobiBr00,rush_att,0,,,,,
player,201012050mia,cle,RobiBr00,rush_yds,0,,,,,
player,201012050mia,cle,RobiBr00,rush_td,0,,,,,
player,201012050mia,cle,RobiBr00,rush_long,0,,,,,
player,201012050mia,cle,RobiBr00,targets,2,,,,,
player,201012050mia,cle,RobiBr00,rec,2,,,,,
player,201012050mia,cle,RobiBr00,rec_yds,10,,,,,
player,201012050mia,cle,RobiBr00,rec_td,0,,,,,
player,201012050mia,cle,RobiBr00,rec_long,5,,,,,
player,201012050mia,cle,RobiBr00,fumbles,0,,,,,
player,201012050mia,cle,RobiBr00,fumbles_lost,,,,,,
player,201012050mia,cle,StucCh20,pass_cmp,0,,,,,
player,201012050mia,cle,StucCh20,pass_att,0,,,,,
player,201012050mia,cle,StucCh20,pass_yds,0,,,,,
player,201012050mia,cle,StucCh20,pass_td,0,,,,,
player,201012050mia,cle,StucCh20,pass_int,0,,,,,
player,201012050mia,cle,StucCh20,pass_sacked,,,,,,
player,201012050mia,cle,StucCh20,pass_sacked_yds,,,,,,
player,201012050mia,cle,StucCh20,pass_long,0,,,,,
player,201012050mia,cle,StucCh20,pass_rating,,,,,,
player,201012050mia,cle,StucCh20,rush_att,0,,,,,
player,201012050mia,cle,StucCh20,rush_yds,0,,,,,
player,201012050mia,cle,StucCh20,rush_td,0,,,,,
player,201012050mia,cle,StucCh20,rush_long,0,,,,,
player,201012050mia,cle,StucCh20,targets,3,,,,,
player,201012050mia,cle,StucCh20,rec,1,,,,,
player,201012050mia,cle,StucCh20,rec_yds,4,,,,,
player,201012050mia,cle,StucCh20,rec_td,0,,,,,
player,201012050mia,cle,StucCh20,rec_long,4,,,,,
player,201012050mia,cle,StucCh20,fumbles,0,,,,,
player,201012050mia,cle,StucCh20,fumbles_lost,,,,,,
player,201012050mia,mia,HennCh01,pass_cmp,16,,,,,
player,201012050mia,mia,HennCh01,pass_att,32,,,,,
player,201012050mia,mia,HennCh01,pass_yds,174,,,,,
player,201012050mia,mia,HennCh01,pass_td,1,,,,,
player,201012050mia,mia,HennCh01,pass_int,3,,,,,
player,201012050mia,mia,HennCh01,pass_sacked,1,,,,,
player,201012050mia,mia,HennCh01,pass_sacked_yds,7,,,,,
player,201012050mia,mia,HennCh01,pass_long,24,,,,,
player,201012050mia,mia,HennCh01,pass_rating,37.8,,,,,
player,201012050mia,mia,HennCh01,rush_att,5,,,,,
player,201012050mia,mia,HennCh01,rush_yds,17,,,,,
player,201012050mia,mia,HennCh01,rush_td,0,,,,,
player,201012050mia,mia,HennCh01,rush_long,10,,,,,
player,201012050mia,mia,HennCh01,targets,0,,,,,
player,201012050mia,mia,HennCh01,rec,0,,,,,
player,201012050mia,mia,HennCh01,rec_yds,0,,,,,
player,201012050mia,mia,HennCh01,rec_td,0,,,,,
player,201012050mia,mia,HennCh01,rec_long,0,,,,,
player,201012050mia,mia,HennCh01,fumbles,0,,,,,
player,201012050mia,mia,HennCh01,fumbles_lost,,,,,,
player,201012050mia,mia,BrowRo05,pass_cmp,0,,,,,
player,201012050mia,mia,BrowRo05,pass_att,0,,,,,
player,201012050mia,mia,BrowRo05,pass_yds,0,,,,,
player,201012050mia,mia,BrowRo05,pass_td,0,,,,,
player,201012050mia,mia,BrowRo05,pass_int,0,,,,,
player,201012050mia,mia,BrowRo05,pass_sacked,0,,,,,
player,201012050mia,mia,BrowRo05,pass_sacked_yds,,,,,,
player,201012050mia,mia,BrowRo05,pass_long,0,,,,,
player,201012050mia,mia,BrowRo05,pass_rating,,,,,,
player,201012050mia,mia,BrowRo05,rush_att,16,,,,,
player,201012050mia,mia,BrowRo05,rush_yds,50,,,,,
player,201012050mia,mia,BrowRo05,rush_td,0,,,,,
player,201012050mia,mia,BrowRo05,rush_long,9,,,,,
player,201012050mia,mia,BrowRo05,targets,2,,,,,
player,201012050mia,mia,BrowRo05,rec,2,,,,,
player,201012050mia,mia,BrowRo05,rec_yds,27,,,,,
player,201012050mia,mia,BrowRo05,rec_td,0,,,,,
player,201012050mia,mia,BrowRo05,rec_long,24,,,,,
player,201012050mia,mia,BrowRo05,fumbles,0,,,,,
player,201012050mia,mia,BrowRo05,fumbles_lost,,,,,,
player,201012050mia,mia,WillRi00,pass_cmp,0,,,,,
player,201012050mia,mia,WillRi00,pass_att,0,,,,,
player,201012050mia,mia,WillRi00,pass_yds,0,,,,,
player,201012050mia,mia,WillRi00,pass_td,0,,,,,
player,201012050mia,mia,WillRi00,pass_int,0,,,,,
player,201012050mia,mia,WillRi00,pass_sacked,,,,,,
player,201012050mia,mia,WillRi00,pass_sacked_yds,,,,,,
player,201012050mia,mia,WillRi00,pass_long,0,,,,,
player,201012050mia,mia,WillRi00,pass_rating,,,,,,
player,201012050mia,mia,WillRi00,rush_att,10,,,,,
player,201012050mia,mia,WillRi00,rush_yds,48,,,,,
player,201012050mia,mia,WillRi00,rush_td,0,,,,,
player,201012050mia,mia,WillRi00,rush_long,8,,,,,
player,201012050mia,mia,WillRi00,targets,4,,,,,
player,201012050mia,mia,WillRi00,rec,2,,,,,
player,201012050mia,mia,WillRi00,rec_yds,19,,,,,
player,201012050mia,mia,WillRi00,rec_td,0,,,,,
player,201012050mia,mia,WillRi00,rec_long,17,,,,,
player,201012050mia,mia,WillRi00,fumbles,0,,,,,
player,201012050mia,mia,WillRi00,fumbles_lost,,,,,,
player,201012050mia,mia,BessDa00,pass_cmp,0,,,,,
player,201012050mia,mia,BessDa00,pass_att,0,,,,,
player,201012050mia,mia,BessDa00,pass_yds,0,,,,,
player,201012050mia,mia,BessDa00,pass_td,0,,,,,
player,201012050mia,mia,BessDa00,pass_int,0,,,,,
player,201012050mia,mia,BessDa00,pass_sacked,,,,,,
player,201012050mia,mia,BessDa00,pass_sacked_yds,,,,,,
player,201012050mia,mia,BessDa00,pass_long,0,,,,,
player,201012050mia,mia,BessDa00,pass_rating,,,,,,
player,201012050mia,mia,BessDa00,rush_att,0,,,,,
player,201012050mia,mia,BessDa00,rush_yds,0,,,,,
player,201012050mia,mia,BessDa00,rush_td,0,,,,,
player,201012050mia,mia,BessDa00,rush_long,0,,,,,
player,201012050mia,mia,BessDa00,targets,9,,,,,
player,201012050mia,mia,BessDa00,rec,6,,,,,
player,201012050mia,mia,BessDa00,rec_yds,67,,,,,
player,201012050mia,mia,BessDa00,rec_td,0,,,,,
player,201012050mia,mia,BessDa00,rec_long,23,,,,,
player,201012050mia,mia,BessDa00,fumbles,0,,,,,
player,201012050mia,mia,BessDa00,fumbles_lost,,,,,,
player,201012050mia,mia,FasaAn00,pass_cmp,0,,,,,
player,201012050mia,mia,FasaAn00,pass_att,0,,,,,
player,201012050mia,mia,FasaAn00,pass_yds,0,,,,,
player,201012050mia,mia,FasaAn00,pass_td,0,,,,,
player,201012050mia,mia,FasaAn00,pass_int,0,,,,,
player,201012050mia,mia,FasaAn00,pass_sacked,,,,,,
player,201012050mia,mia,FasaAn00,pass_sacked_yds,,,,,,
player,201012050mia,mia,FasaAn00,pass_long,0,,,,,
player,201012050mia,mia,FasaAn00,pass_rating,,,,,,
player,201012050mia,mia,FasaAn00,rush_att,0,,,,,
player,201012050mia,mia,FasaAn00,rush_yds,0,,,,,
player,201012050mia,mia,FasaAn00,rush_td,0,,,,,
player,201012050mia,mia,FasaAn00,rush_long,0,,,,,
player,201012050mia,mia,FasaAn00,targets,6,,,,,
player,201012050mia,mia,FasaAn00,rec,4,,,,,
player,201012050mia,mia,FasaAn00,rec_yds,41,,,,,
player,201012050mia,mia,FasaAn00,rec_td,1,,,,,
player,201012050mia,mia,FasaAn00,rec_long,14,,,,,
player,201012050mia,mia,FasaAn00,fumbles,0,,,,,
player,201012050mia,mia,FasaAn00,fumbles_lost,,,,,,
player,201012050mia,mia,CobbPa00,pass_cmp,0,,,,,
player,201012050mia,mia,CobbPa00,pass_att,0,,,,,
player,201012050mia,mia,CobbPa00,pass_yds,0,,,,,
player,201012050mia,mia,CobbPa00,pass_td,0,,,,,
player,201012050mia,mia,CobbPa00,pass_int,0,,,,,
player,201012050mia,mia,CobbPa00,pass_sacked,,,,,,
player,201012050mia,mia,CobbPa00,pass_sacked_yds,,,,,,
player,201012050mia,mia,CobbPa00,pass_long,0,,,,,
player,201012050mia,mia,CobbPa00,pass_rating,,,,,,
player,201012050mia,mia,CobbPa00,rush_att,0,,,,,
player,201012050mia,mia,CobbPa00,rush_yds,0,,,,,
player,201012050mia,mia,CobbPa00,rush_td,0,,,,,
player,201012050mia,mia,CobbPa00,rush_long,0,,,,,
player,201012050mia,mia,CobbPa00,targets,1,,,,,
player,201012050mia,mia,CobbPa00,rec,1,,,,,
player,201012050mia,mia,CobbPa00,rec_yds,11,,,,,
player,201012050mia,mia,CobbPa00,rec_td,0,,,,,
player,201012050mia,mia,CobbPa00,rec_long,11,,,,,
player,201012050mia,mia,CobbPa00,fumbles,0,,,,,
player,201012050mia,mia,CobbPa00,fumbles_lost,,,,,,
player,201012050mia,mia,WallRo01,pass_cmp,0,,,,,
player,201012050mia,mia,WallRo01,pass_att,0,,,,,
player,201012050mia,mia,WallRo01,pass_yds,0,,,,,
player,201012050mia,mia,WallRo01,pass_td,0,,,,,
player,201012050mia,mia,WallRo01,pass_int,0,,,,,
player,201012050mia,mia,WallRo01,pass_sacked,,,,,,
player,201012050mia,mia,WallRo01,pass_sacked_yds,,,,,,
player,201012050mia,mia,WallRo01,pass_long,0,,,,,
player,201012050mia,mia,WallRo01,pass_rating,,,,,,
player,201012050mia,mia,WallRo01,rush_att,0,,,,,
