game,2010,3,20100926,201009260ram,was,"Washington Redskins",16,ram,"St. Louis Rams",30
team,201009260ram,was,First Downs,15,,,,,,
team,201009260ram,ram,First Downs,24,,,,,,
team,201009260ram,was,Rush-Yds-TDs,17-116-0,,,,,,
team,201009260ram,ram,Rush-Yds-TDs,37-133-2,,,,,,
team,201009260ram,was,Cmp-Att-Yd-TD-INT,19-32-236-1-1,,,,,,
team,201009260ram,ram,Cmp-Att-Yd-TD-INT,23-37-235-1-1,,,,,,
team,201009260ram,was,Sacked-Yards,1-3,,,,,,
team,201009260ram,ram,Sacked-Yards,1-3,,,,,,
team,201009260ram,was,Net Pass Yards,233,,,,,,
team,201009260ram,ram,Net Pass Yards,232,,,,,,
team,201009260ram,was,Total Yards,349,,,,,,
team,201009260ram,ram,Total Yards,365,,,,,,
team,201009260ram,was,Fumbles-Lost,2-1,,,,,,
team,201009260ram,ram,Fumbles-Lost,1-1,,,,,,
team,201009260ram,was,Turnovers,2,,,,,,
team,201009260ram,ram,Turnovers,2,,,,,,
team,201009260ram,was,Penalties-Yards,9-65,,,,,,
team,201009260ram,ram,Penalties-Yards,9-99,,,,,,
team,201009260ram,was,Third Down Conv.,1-10,,,,,,
team,201009260ram,ram,Third Down Conv.,7-16,,,,,,
team,201009260ram,was,Fourth Down Conv.,0-0,,,,,,
team,201009260ram,ram,Fourth Down Conv.,2-2,,,,,,
team,201009260ram,was,Time of Possession,25:10,,,,,,
team,201009260ram,ram,Time of Possession,34:50,,,,,,
player,201009260ram,was,McNaDo00,pass_cmp,19,,,,,
player,201009260ram,was,McNaDo00,pass_att,32,,,,,
player,201009260ram,was,McNaDo00,pass_yds,236,,,,,
player,201009260ram,was,McNaDo00,pass_td,1,,,,,
player,201009260ram,was,McNaDo00,pass_int,1,,,,,
player,201009260ram,was,McNaDo00,pass_sacked,1,,,,,
player,201009260ram,was,McNaDo00,pass_sacked_yds,3,,,,,
player,201009260ram,was,McNaDo00,pass_long,56,,,,,
player,201009260ram,was,McNaDo00,pass_rating,79.7,,,,,
player,201009260ram,was,McNaDo00,rush_att,2,,,,,
player,201009260ram,was,McNaDo00,rush_yds,25,,,,,
player,201009260ram,was,McNaDo00,rush_td,0,,,,,
player,201009260ram,was,McNaDo00,rush_long,26,,,,,
player,201009260ram,was,McNaDo00,targets,0,,,,,
player,201009260ram,was,McNaDo00,rec,0,,,,,
player,201009260ram,was,McNaDo00,rec_yds,0,,,,,
player,201009260ram,was,McNaDo00,rec_td,0,,,,,
player,201009260ram,was,McNaDo00,rec_long,0,,,,,
player,201009260ram,was,McNaDo00,fumbles,0,,,,,
player,201009260ram,was,McNaDo00,fumbles_lost,,,,,,
player,201009260ram,was,ToraRy00,pass_cmp,0,,,,,
player,201009260ram,was,ToraRy00,pass_att,0,,,,,
player,201009260ram,was,ToraRy00,pass_yds,0,,,,,
player,201009260ram,was,ToraRy00,pass_td,0,,,,,
player,201009260ram,was,ToraRy00,pass_int,0,,,,,
player,201009260ram,was,ToraRy00,pass_sacked,,,,,,
player,201009260ram,was,ToraRy00,pass_sacked_yds,,,,,,
player,201009260ram,was,ToraRy00,pass_long,0,,,,,
player,201009260ram,was,ToraRy00,pass_rating,,,,,,
player,201009260ram,was,ToraRy00,rush_att,7,,,,,
player,201009260ram,was,ToraRy00,rush_yds,46,,,,,
player,201009260ram,was,ToraRy00,rush_td,0,,,,,
player,201009260ram,was,ToraRy00,rush_long,36,,,,,
player,201009260ram,was,ToraRy00,targets,1,,,,,
player,201009260ram,was,ToraRy00,rec,0,,,,,
player,201009260ram,was,ToraRy00,rec_yds,0,,,,,
player,201009260ram,was,ToraRy00,rec_td,0,,,,,
