game,2010,1,20100912,201009120buf,mia,"Miami Dolphins",15,buf,"Buffalo Bills",10
team,201009120buf,mia,First Downs,19,,,,,,
team,201009120buf,buf,First Downs,9,,,,,,
team,201009120buf,mia,Rush-Yds-TDs,36-132-1,,,,,,
team,201009120buf,buf,Rush-Yds-TDs,17-50-0,,,,,,
team,201009120buf,mia,Cmp-Att-Yd-TD-INT,21-34-182-0-0,,,,,,
team,201009120buf,buf,Cmp-Att-Yd-TD-INT,18-34-139-1-0,,,,,,
team,201009120buf,mia,Sacked-Yards,3-18,,,,,,
team,201009120buf,buf,Sacked-Yards,3-23,,,,,,
team,201009120buf,mia,Net Pass Yards,164,,,,,,
team,201009120buf,buf,Net Pass Yards,116,,,,,,
team,201009120buf,mia,Total Yards,296,,,,,,
team,201009120buf,buf,Total Yards,166,,,,,,
team,201009120buf,mia,Fumbles-Lost,0-0,,,,,,
team,201009120buf,buf,Fumbles-Lost,1-0,,,,,,
team,201009120buf,mia,Turnovers,0,,,,,,
team,201009120buf,buf,Turnovers,0,,,,,,
team,201009120buf,mia,Penalties-Yards,3-15,,,,,,
team,201009120buf,buf,Penalties-Yards,5-35,,,,,,
team,201009120buf,mia,Third Down Conv.,8-18,,,,,,
team,201009120buf,buf,Third Down Conv.,3-14,,,,,,
team,201009120buf,mia,Fourth Down Conv.,0-0,,,,,,
team,201009120buf,buf,Fourth Down Conv.,1-3,,,,,,
team,201009120buf,mia,Time of Possession,36:53,,,,,,
team,201009120buf,buf,Time of Possession,23:07,,,,,,
player,201009120buf,mia,HennCh01,pass_cmp,21,,,,,
player,201009120buf,mia,HennCh01,pass_att,34,,,,,
player,201009120buf,mia,HennCh01,pass_yds,182,,,,,
player,201009120buf,mia,HennCh01,pass_td,0,,,,,
player,201009120buf,mia,HennCh01,pass_int,0,,,,,
player,201009120buf,mia,HennCh01,pass_sacked,3,,,,,
player,201009120buf,mia,HennCh01,pass_sacked_yds,18,,,,,
player,201009120buf,mia,HennCh01,pass_long,21,,,,,
player,201009120buf,mia,HennCh01,pass_rating,75.9,,,,,
player,201009120buf,mia,HennCh01,rush_att,2,,,,,
player,201009120buf,mia,HennCh01,rush_yds,-1,,,,,
player,201009120buf,mia,HennCh01,rush_td,0,,,,,
player,201009120buf,mia,HennCh01,rush_long,3,,,,,
player,201009120buf,mia,HennCh01,targets,0,,,,,
