game,2010,9,20101107,201011070det,nyj,"New York Jets",23,det,"Detroit Lions",20
team,201011070det,nyj,First Downs,23,,,,,,
team,201011070det,det,First Downs,21,,,,,,
team,201011070det,nyj,Rush-Yds-TDs,30-110-1,,,,,,
team,201011070det,det,Rush-Yds-TDs,28-78-1,,,,,,
team,201011070det,nyj,Cmp-Att-Yd-TD-INT,22-39-336-1-1,,,,,,
team,201011070det,det,Cmp-Att-Yd-TD-INT,20-37-240-2-0,,,,,,
team,201011070det,nyj,Sacked-Yards,1-9,,,,,,
team,201011070det,det,Sacked-Yards,2-12,,,,,,
team,201011070det,nyj,Net Pass Yards,327,,,,,,
team,201011070det,det,Net Pass Yards,228,,,,,,
team,201011070det,nyj,Total Yards,437,,,,,,
team,201011070det,det,Total Yards,306,,,,,,
team,201011070det,nyj,Fumbles-Lost,5-1,,,,,,
team,201011070det,det,Fumbles-Lost,1-0,,,,,,
team,201011070det,nyj,Turnovers,2,,,,,,
team,201011070det,det,Turnovers,0,,,,,,
team,201011070det,nyj,Penalties-Yards,11-99,,,,,,
team,201011070det,det,Penalties-Yards,11-102,,,,,,
team,201011070det,nyj,Third Down Conv.,5-13,,,,,,
team,201011070det,det,Third Down Conv.,5-15,,,,,,
team,201011070det,nyj,Fourth Down Conv.,0-0,,,,,,
team,201011070det,det,Fourth Down Conv.,0-0,,,,,,
team,201011070det,nyj,Time of Possession,29:32,,,,,,
team,201011070det,det,Time of Possession,32:46,,,,,,
player,201011070det,nyj,SancMa00,pass_cmp,22,,,,,
player,201011070det,nyj,SancMa00,pass_att,39,,,,,
player,201011070det,nyj,SancMa00,pass_yds,336,,,,,
player,201011070det,nyj,SancMa00,pass_td,1,,,,,
player,201011070det,nyj,SancMa00,pass_int,1,,,,,
player,201011070det,nyj,SancMa00,pass_sacked,1,,,,,
player,201011070det,nyj,SancMa00,pass_sacked_yds,9,,,,,
player,201011070det,nyj,SancMa00,pass_long,74,,,,,
player,201011070det,nyj,SancMa00,pass_rating,82.9,,,,,
player,201011070det,nyj,SancMa00,rush_att,3,,,,,
player,201011070det,nyj,SancMa00,rush_yds,1,,,,,
player,201011070det,nyj,SancMa00,rush_td,1,,,,,
player,201011070det,nyj,SancMa00,rush_long,1,,,,,
player,201011070det,nyj,SancMa00,targets,0,,,,,
player,201011070det,nyj,SancMa00,rec,0,,,,,
player,201011070det,nyj,SancMa00,rec_yds,0,,,,,
player,201011070det,nyj,SancMa00,rec_td,0,,,,,
player,201011070det,nyj,SancMa00,rec_long,0,,,,,
player,201011070det,nyj,SancMa00,fumbles,3,,,,,
player,201011070det,nyj,SancMa00,fumbles_lost,0,,,,,
player,201011070det,nyj,TomlLa00,pass_cmp,0,,,,,
player,201011070det,nyj,TomlLa00,pass_att,0,,,,,
player,201011070det,nyj,TomlLa00,pass_yds,0,,,,,
player,201011070det,nyj,TomlLa00,pass_td,0,,,,,
player,201011070det,nyj,TomlLa00,pass_int,0,,,,,
player,201011070det,nyj,TomlLa00,pass_sacked,,,,,,
player,201011070det,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201011070det,nyj,TomlLa00,pass_long,0,,,,,
player,201011070det,nyj,TomlLa00,pass_rating,,,,,,
player,201011070det,nyj,TomlLa00,rush_att,15,,,,,
player,201011070det,nyj,TomlLa00,rush_yds,55,,,,,
player,201011070det,nyj,TomlLa00,rush_td,0,,,,,
player,201011070det,nyj,TomlLa00,rush_long,10,,,,,
player,201011070det,nyj,TomlLa00,targets,9,,,,,
player,201011070det,nyj,TomlLa00,rec,6,,,,,
player,201011070det,nyj,TomlLa00,rec_yds,47,,,,,
player,201011070det,nyj,TomlLa00,rec_td,0,,,,,
player,201011070det,nyj,TomlLa00,rec_long,14,,,,,
player,201011070det,nyj,TomlLa00,fumbles,0,,,,,
player,201011070det,nyj,TomlLa00,fumbles_lost,,,,,,
player,201011070det,nyj,GreeSh00,pass_cmp,0,,,,,
player,201011070det,nyj,GreeSh00,pass_att,0,,,,,
player,201011070det,nyj,GreeSh00,pass_yds,0,,,,,
player,201011070det,nyj,GreeSh00,pass_td,0,,,,,
player,201011070det,nyj,GreeSh00,pass_int,0,,,,,
player,201011070det,nyj,GreeSh00,pass_sacked,,,,,,
player,201011070det,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201011070det,nyj,GreeSh00,pass_long,0,,,,,
player,201011070det,nyj,GreeSh00,pass_rating,,,,,,
