game,2010,16,20101226,201012260kan,oti,"Tennessee Titans",14,kan,"Kansas City Chiefs",34
player,201012260kan,oti,BritKe00,pass_long,0,,,,,
player,201012260kan,oti,BritKe00,pass_rating,,,,,,
player,201012260kan,oti,BritKe00,rush_att,0,,,,,
player,201012260kan,oti,BritKe00,rush_yds,0,,,,,
player,201012260kan,oti,BritKe00,rush_td,0,,,,,
player,201012260kan,oti,BritKe00,rush_long,0,,,,,
player,201012260kan,oti,BritKe00,targets,9,,,,,
player,201012260kan,oti,BritKe00,rec,4,,,,,
player,201012260kan,oti,BritKe00,rec_yds,89,,,,,
player,201012260kan,oti,BritKe00,rec_td,1,,,,,
player,201012260kan,oti,BritKe00,rec_long,53,,,,,
player,201012260kan,oti,BritKe00,fumbles,0,,,,,
player,201012260kan,oti,BritKe00,fumbles_lost,,,,,,
player,201012260kan,oti,WashNa00,pass_cmp,0,,,,,
player,201012260kan,oti,WashNa00,pass_att,0,,,,,
player,201012260kan,oti,WashNa00,pass_yds,0,,,,,
player,201012260kan,oti,WashNa00,pass_td,0,,,,,
player,201012260kan,oti,WashNa00,pass_int,0,,,,,
player,201012260kan,oti,WashNa00,pass_sacked,,,,,,
player,201012260kan,oti,WashNa00,pass_sacked_yds,,,,,,
player,201012260kan,oti,WashNa00,pass_long,0,,,,,
player,201012260kan,oti,WashNa00,pass_rating,,,,,,
player,201012260kan,oti,WashNa00,rush_att,0,,,,,
player,201012260kan,oti,WashNa00,rush_yds,0,,,,,
player,201012260kan,oti,WashNa00,rush_td,0,,,,,
player,201012260kan,oti,WashNa00,rush_long,0,,,,,
player,201012260kan,oti,WashNa00,targets,6,,,,,
player,201012260kan,oti,WashNa00,rec,3,,,,,
player,201012260kan,oti,WashNa00,rec_yds,37,,,,,
player,201012260kan,oti,WashNa00,rec_td,0,,,,,
player,201012260kan,oti,WashNa00,rec_long,13,,,,,
player,201012260kan,oti,WashNa00,fumbles,0,,,,,
player,201012260kan,oti,WashNa00,fumbles_lost,,,,,,
player,201012260kan,oti,WillDa04,pass_cmp,0,,,,,
player,201012260kan,oti,WillDa04,pass_att,0,,,,,
player,201012260kan,oti,WillDa04,pass_yds,0,,,,,
player,201012260kan,oti,WillDa04,pass_td,0,,,,,
player,201012260kan,oti,WillDa04,pass_int,0,,,,,
player,201012260kan,oti,WillDa04,pass_sacked,,,,,,
player,201012260kan,oti,WillDa04,pass_sacked_yds,,,,,,
player,201012260kan,oti,WillDa04,pass_long,0,,,,,
player,201012260kan,oti,WillDa04,pass_rating,,,,,,
player,201012260kan,oti,WillDa04,rush_att,0,,,,,
player,201012260kan,oti,WillDa04,rush_yds,0,,,,,
player,201012260kan,oti,WillDa04,rush_td,0,,,,,
player,201012260kan,oti,WillDa04,rush_long,0,,,,,
player,201012260kan,oti,WillDa04,targets,1,,,,,
player,201012260kan,oti,WillDa04,rec,1,,,,,
player,201012260kan,oti,WillDa04,rec_yds,10,,,,,
player,201012260kan,oti,WillDa04,rec_td,0,,,,,
player,201012260kan,oti,WillDa04,rec_long,10,,,,,
player,201012260kan,oti,WillDa04,fumbles,0,,,,,
player,201012260kan,oti,WillDa04,fumbles_lost,,,,,,
player,201012260kan,oti,HallAh00,pass_cmp,0,,,,,
player,201012260kan,oti,HallAh00,pass_att,0,,,,,
player,201012260kan,oti,HallAh00,pass_yds,0,,,,,
player,201012260kan,oti,HallAh00,pass_td,0,,,,,
player,201012260kan,oti,HallAh00,pass_int,0,,,,,
player,201012260kan,oti,HallAh00,pass_sacked,,,,,,
player,201012260kan,oti,HallAh00,pass_sacked_yds,,,,,,
player,201012260kan,oti,HallAh00,pass_long,0,,,,,
player,201012260kan,oti,HallAh00,pass_rating,,,,,,
player,201012260kan,oti,HallAh00,rush_att,0,,,,,
player,201012260kan,oti,HallAh00,rush_yds,0,,,,,
player,201012260kan,oti,HallAh00,rush_td,0,,,,,
player,201012260kan,oti,HallAh00,rush_long,0,,,,,
player,201012260kan,oti,HallAh00,targets,1,,,,,
player,201012260kan,oti,HallAh00,rec,1,,,,,
player,201012260kan,oti,HallAh00,rec_yds,3,,,,,
player,201012260kan,oti,HallAh00,rec_td,0,,,,,
player,201012260kan,oti,HallAh00,rec_long,3,,,,,
player,201012260kan,oti,HallAh00,fumbles,0,,,,,
player,201012260kan,oti,HallAh00,fumbles_lost,,,,,,
player,201012260kan,oti,StevCr00,pass_cmp,0,,,,,
player,201012260kan,oti,StevCr00,pass_att,0,,,,,
player,201012260kan,oti,StevCr00,pass_yds,0,,,,,
player,201012260kan,oti,StevCr00,pass_td,0,,,,,
player,201012260kan,oti,StevCr00,pass_int,0,,,,,
player,201012260kan,oti,StevCr00,pass_sacked,,,,,,
player,201012260kan,oti,StevCr00,pass_sacked_yds,,,,,,
player,201012260kan,oti,StevCr00,pass_long,0,,,,,
player,201012260kan,oti,StevCr00,pass_rating,,,,,,
player,201012260kan,oti,StevCr00,rush_att,0,,,,,
player,201012260kan,oti,StevCr00,rush_yds,0,,,,,
player,201012260kan,oti,StevCr00,rush_td,0,,,,,
player,201012260kan,oti,StevCr00,rush_long,0,,,,,
player,201012260kan,oti,StevCr00,targets,1,,,,,
player,201012260kan,oti,StevCr00,rec,0,,,,,
player,201012260kan,oti,StevCr00,rec_yds,0,,,,,
player,201012260kan,oti,StevCr00,rec_td,0,,,,,
player,201012260kan,oti,StevCr00,rec_long,0,,,,,
player,201012260kan,oti,StevCr00,fumbles,0,,,,,
player,201012260kan,oti,StevCr00,fumbles_lost,,,,,,
player,201012260kan,oti,MariMa00,pass_cmp,0,,,,,
player,201012260kan,oti,MariMa00,pass_att,0,,,,,
player,201012260kan,oti,MariMa00,pass_yds,0,,,,,
player,201012260kan,oti,MariMa00,pass_td,0,,,,,
player,201012260kan,oti,MariMa00,pass_int,0,,,,,
player,201012260kan,oti,MariMa00,pass_sacked,,,,,,
player,201012260kan,oti,MariMa00,pass_sacked_yds,,,,,,
player,201012260kan,oti,MariMa00,pass_long,0,,,,,
player,201012260kan,oti,MariMa00,pass_rating,,,,,,
player,201012260kan,oti,MariMa00,rush_att,0,,,,,
player,201012260kan,oti,MariMa00,rush_yds,0,,,,,
player,201012260kan,oti,MariMa00,rush_td,0,,,,,
player,201012260kan,oti,MariMa00,rush_long,0,,,,,
player,201012260kan,oti,MariMa00,targets,1,,,,,
player,201012260kan,oti,MariMa00,rec,0,,,,,
player,201012260kan,oti,MariMa00,rec_yds,0,,,,,
player,201012260kan,oti,MariMa00,rec_td,0,,,,,
player,201012260kan,oti,MariMa00,rec_long,0,,,,,
player,201012260kan,oti,MariMa00,fumbles,0,,,,,
player,201012260kan,oti,MariMa00,fumbles_lost,,,,,,
player,201012260kan,oti,GageJu00,pass_cmp,,,,,,
player,201012260kan,oti,GageJu00,pass_att,,,,,,
player,201012260kan,oti,GageJu00,pass_yds,,,,,,
player,201012260kan,oti,GageJu00,pass_td,,,,,,
player,201012260kan,oti,GageJu00,pass_int,,,,,,
player,201012260kan,oti,GageJu00,pass_sacked,,,,,,
player,201012260kan,oti,GageJu00,pass_sacked_yds,,,,,,
player,201012260kan,oti,GageJu00,pass_long,,,,,,
player,201012260kan,oti,GageJu00,pass_rating,,,,,,
player,201012260kan,oti,GageJu00,rush_att,,,,,,
player,201012260kan,oti,GageJu00,rush_yds,,,,,,
player,201012260kan,oti,GageJu00,rush_td,,,,,,
player,201012260kan,oti,GageJu00,rush_long,,,,,,
player,201012260kan,oti,GageJu00,targets,6,,,,,
player,201012260kan,oti,GageJu00,rec,0,,,,,
player,201012260kan,oti,GageJu00,rec_yds,0,,,,,
player,201012260kan,oti,GageJu00,rec_td,0,,,,,
player,201012260kan,oti,GageJu00,rec_long,,,,,,
player,201012260kan,oti,GageJu00,fumbles,,,,,,
player,201012260kan,oti,GageJu00,fumbles_lost,,,,,,
player,201012260kan,oti,RingJa00,pass_cmp,,,,,,
player,201012260kan,oti,RingJa00,pass_att,,,,,,
player,201012260kan,oti,RingJa00,pass_yds,,,,,,
player,201012260kan,oti,RingJa00,pass_td,,,,,,
player,201012260kan,oti,RingJa00,pass_int,,,,,,
player,201012260kan,oti,RingJa00,pass_sacked,,,,,,
player,201012260kan,oti,RingJa00,pass_sacked_yds,,,,,,
player,201012260kan,oti,RingJa00,pass_long,,,,,,
player,201012260kan,oti,RingJa00,pass_rating,,,,,,
player,201012260kan,oti,RingJa00,rush_att,,,,,,
player,201012260kan,oti,RingJa00,rush_yds,,,,,,
player,201012260kan,oti,RingJa00,rush_td,,,,,,
player,201012260kan,oti,RingJa00,rush_long,,,,,,
player,201012260kan,oti,RingJa00,targets,1,,,,,
player,201012260kan,oti,RingJa00,rec,0,,,,,
player,201012260kan,oti,RingJa00,rec_yds,0,,,,,
player,201012260kan,oti,RingJa00,rec_td,0,,,,,
player,201012260kan,oti,RingJa00,rec_long,,,,,,
player,201012260kan,oti,RingJa00,fumbles,,,,,,
player,201012260kan,oti,RingJa00,fumbles_lost,,,,,,
player,201012260kan,kan,CassMa00,pass_cmp,24,,,,,
player,201012260kan,kan,CassMa00,pass_att,34,,,,,
player,201012260kan,kan,CassMa00,pass_yds,314,,,,,
player,201012260kan,kan,CassMa00,pass_td,3,,,,,
player,201012260kan,kan,CassMa00,pass_int,0,,,,,
player,201012260kan,kan,CassMa00,pass_sacked,1,,,,,
player,201012260kan,kan,CassMa00,pass_sacked_yds,6,,,,,
player,201012260kan,kan,CassMa00,pass_long,75,,,,,
player,201012260kan,kan,CassMa00,pass_rating,128.8,,,,,
player,201012260kan,kan,CassMa00,rush_att,3,,,,,
player,201012260kan,kan,CassMa00,rush_yds,20,,,,,
player,201012260kan,kan,CassMa00,rush_td,0,,,,,
player,201012260kan,kan,CassMa00,rush_long,16,,,,,
player,201012260kan,kan,CassMa00,targets,0,,,,,
player,201012260kan,kan,CassMa00,rec,0,,,,,
player,201012260kan,kan,CassMa00,rec_yds,0,,,,,
player,201012260kan,kan,CassMa00,rec_td,0,,,,,
player,201012260kan,kan,CassMa00,rec_long,0,,,,,
player,201012260kan,kan,CassMa00,fumbles,1,,,,,
player,201012260kan,kan,CassMa00,fumbles_lost,0,,,,,
player,201012260kan,kan,CroyBr00,pass_cmp,1,,,,,
player,201012260kan,kan,CroyBr00,pass_att,2,,,,,
player,201012260kan,kan,CroyBr00,pass_yds,-2,,,,,
player,201012260kan,kan,CroyBr00,pass_td,0,,,,,
player,201012260kan,kan,CroyBr00,pass_int,1,,,,,
player,201012260kan,kan,CroyBr00,pass_sacked,0,,,,,
player,201012260kan,kan,CroyBr00,pass_sacked_yds,0,,,,,
player,201012260kan,kan,CroyBr00,pass_long,-2,,,,,
player,201012260kan,kan,CroyBr00,pass_rating,16.7,,,,,
player,201012260kan,kan,CroyBr00,rush_att,0,,,,,
player,201012260kan,kan,CroyBr00,rush_yds,0,,,,,
player,201012260kan,kan,CroyBr00,rush_td,0,,,,,
player,201012260kan,kan,CroyBr00,rush_long,0,,,,,
player,201012260kan,kan,CroyBr00,targets,0,,,,,
player,201012260kan,kan,CroyBr00,rec,0,,,,,
player,201012260kan,kan,CroyBr00,rec_yds,0,,,,,
player,201012260kan,kan,CroyBr00,rec_td,0,,,,,
player,201012260kan,kan,CroyBr00,rec_long,0,,,,,
player,201012260kan,kan,CroyBr00,fumbles,0,,,,,
player,201012260kan,kan,CroyBr00,fumbles_lost,,,,,,
player,201012260kan,kan,CharJa00,pass_cmp,0,,,,,
player,201012260kan,kan,CharJa00,pass_att,0,,,,,
player,201012260kan,kan,CharJa00,pass_yds,0,,,,,
player,201012260kan,kan,CharJa00,pass_td,0,,,,,
player,201012260kan,kan,CharJa00,pass_int,0,,,,,
player,201012260kan,kan,CharJa00,pass_sacked,,,,,,
player,201012260kan,kan,CharJa00,pass_sacked_yds,,,,,,
player,201012260kan,kan,CharJa00,pass_long,0,,,,,
player,201012260kan,kan,CharJa00,pass_rating,,,,,,
player,201012260kan,kan,CharJa00,rush_att,13,,,,,
player,201012260kan,kan,CharJa00,rush_yds,77,,,,,
player,201012260kan,kan,CharJa00,rush_td,0,,,,,
player,201012260kan,kan,CharJa00,rush_long,17,,,,,
player,201012260kan,kan,CharJa00,targets,5,,,,,
player,201012260kan,kan,CharJa00,rec,4,,,,,
player,201012260kan,kan,CharJa00,rec_yds,40,,,,,
player,201012260kan,kan,CharJa00,rec_td,2,,,,,
player,201012260kan,kan,CharJa00,rec_long,14,,,,,
player,201012260kan,kan,CharJa00,fumbles,0,,,,,
player,201012260kan,kan,CharJa00,fumbles_lost,,,,,,
player,201012260kan,kan,JoneTh00,pass_cmp,0,,,,,
player,201012260kan,kan,JoneTh00,pass_att,0,,,,,
player,201012260kan,kan,JoneTh00,pass_yds,0,,,,,
player,201012260kan,kan,JoneTh00,pass_td,0,,,,,
player,201012260kan,kan,JoneTh00,pass_int,0,,,,,
player,201012260kan,kan,JoneTh00,pass_sacked,,,,,,
player,201012260kan,kan,JoneTh00,pass_sacked_yds,,,,,,
player,201012260kan,kan,JoneTh00,pass_long,0,,,,,
player,201012260kan,kan,JoneTh00,pass_rating,,,,,,
player,201012260kan,kan,JoneTh00,rush_att,23,,,,,
player,201012260kan,kan,JoneTh00,rush_yds,51,,,,,
player,201012260kan,kan,JoneTh00,rush_td,0,,,,,
player,201012260kan,kan,JoneTh00,rush_long,14,,,,,
player,201012260kan,kan,JoneTh00,targets,1,,,,,
player,201012260kan,kan,JoneTh00,rec,0,,,,,
player,201012260kan,kan,JoneTh00,rec_yds,0,,,,,
player,201012260kan,kan,JoneTh00,rec_td,0,,,,,
player,201012260kan,kan,JoneTh00,rec_long,0,,,,,
player,201012260kan,kan,JoneTh00,fumbles,2,,,,,
player,201012260kan,kan,JoneTh00,fumbles_lost,1,,,,,
player,201012260kan,kan,McClDe00,pass_cmp,0,,,,,
player,201012260kan,kan,McClDe00,pass_att,0,,,,,
player,201012260kan,kan,McClDe00,pass_yds,0,,,,,
player,201012260kan,kan,McClDe00,pass_td,0,,,,,
player,201012260kan,kan,McClDe00,pass_int,0,,,,,
player,201012260kan,kan,McClDe00,pass_sacked,,,,,,
player,201012260kan,kan,McClDe00,pass_sacked_yds,,,,,,
player,201012260kan,kan,McClDe00,pass_long,0,,,,,
player,201012260kan,kan,McClDe00,pass_rating,,,,,,
player,201012260kan,kan,McClDe00,rush_att,1,,,,,
player,201012260kan,kan,McClDe00,rush_yds,4,,,,,
player,201012260kan,kan,McClDe00,rush_td,0,,,,,
player,201012260kan,kan,McClDe00,rush_long,4,,,,,
player,201012260kan,kan,McClDe00,targets,2,,,,,
player,201012260kan,kan,McClDe00,rec,2,,,,,
player,201012260kan,kan,McClDe00,rec_yds,15,,,,,
player,201012260kan,kan,McClDe00,rec_td,0,,,,,
player,201012260kan,kan,McClDe00,rec_long,14,,,,,
player,201012260kan,kan,McClDe00,fumbles,0,,,,,
player,201012260kan,kan,McClDe00,fumbles_lost,,,,,,
player,201012260kan,kan,BoweDw00,pass_cmp,0,,,,,
player,201012260kan,kan,BoweDw00,pass_att,0,,,,,
player,201012260kan,kan,BoweDw00,pass_yds,0,,,,,
player,201012260kan,kan,BoweDw00,pass_td,0,,,,,
player,201012260kan,kan,BoweDw00,pass_int,0,,,,,
player,201012260kan,kan,BoweDw00,pass_sacked,,,,,,
player,201012260kan,kan,BoweDw00,pass_sacked_yds,,,,,,
player,201012260kan,kan,BoweDw00,pass_long,0,,,,,
player,201012260kan,kan,BoweDw00,pass_rating,,,,,,
player,201012260kan,kan,BoweDw00,rush_att,0,,,,,
player,201012260kan,kan,BoweDw00,rush_yds,0,,,,,
player,201012260kan,kan,BoweDw00,rush_td,0,,,,,
player,201012260kan,kan,BoweDw00,rush_long,0,,,,,
player,201012260kan,kan,BoweDw00,targets,9,,,,,
player,201012260kan,kan,BoweDw00,rec,6,,,,,
player,201012260kan,kan,BoweDw00,rec_yds,153,,,,,
player,201012260kan,kan,BoweDw00,rec_td,1,,,,,
player,201012260kan,kan,BoweDw00,rec_long,75,,,,,
player,201012260kan,kan,BoweDw00,fumbles,0,,,,,
player,201012260kan,kan,BoweDw00,fumbles_lost,,,,,,
player,201012260kan,kan,MoeaTo00,pass_cmp,0,,,,,
player,201012260kan,kan,MoeaTo00,pass_att,0,,,,,
player,201012260kan,kan,MoeaTo00,pass_yds,0,,,,,
player,201012260kan,kan,MoeaTo00,pass_td,0,,,,,
player,201012260kan,kan,MoeaTo00,pass_int,0,,,,,
player,201012260kan,kan,MoeaTo00,pass_sacked,,,,,,
