game,2010,17,20110102,201101020sfo,crd,"Arizona Cardinals",7,sfo,"San Francisco 49ers",38
team,201101020sfo,crd,First Downs,19,,,,,,
team,201101020sfo,sfo,First Downs,16,,,,,,
team,201101020sfo,crd,Rush-Yds-TDs,22-78-0,,,,,,
team,201101020sfo,sfo,Rush-Yds-TDs,25-100-2,,,,,,
team,201101020sfo,crd,Cmp-Att-Yd-TD-INT,30-53-242-1-2,,,,,,
team,201101020sfo,sfo,Cmp-Att-Yd-TD-INT,15-29-276-2-0,,,,,,
team,201101020sfo,crd,Sacked-Yards,6-41,,,,,,
team,201101020sfo,sfo,Sacked-Yards,2-14,,,,,,
team,201101020sfo,crd,Net Pass Yards,201,,,,,,
team,201101020sfo,sfo,Net Pass Yards,262,,,,,,
team,201101020sfo,crd,Total Yards,279,,,,,,
team,201101020sfo,sfo,Total Yards,362,,,,,,
team,201101020sfo,crd,Fumbles-Lost,2-0,,,,,,
team,201101020sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201101020sfo,crd,Turnovers,2,,,,,,
team,201101020sfo,sfo,Turnovers,0,,,,,,
team,201101020sfo,crd,Penalties-Yards,8-43,,,,,,
team,201101020sfo,sfo,Penalties-Yards,5-25,,,,,,
team,201101020sfo,crd,Third Down Conv.,9-20,,,,,,
team,201101020sfo,sfo,Third Down Conv.,2-11,,,,,,
team,201101020sfo,crd,Fourth Down Conv.,0-3,,,,,,
team,201101020sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201101020sfo,crd,Time of Possession,32:48,,,,,,
team,201101020sfo,sfo,Time of Possession,27:12,,,,,,
player,201101020sfo,crd,BartRi00,pass_cmp,16,,,,,
player,201101020sfo,crd,BartRi00,pass_att,28,,,,,
player,201101020sfo,crd,BartRi00,pass_yds,150,,,,,
player,201101020sfo,crd,BartRi00,pass_td,0,,,,,
player,201101020sfo,crd,BartRi00,pass_int,1,,,,,
player,201101020sfo,crd,BartRi00,pass_sacked,2,,,,,
player,201101020sfo,crd,BartRi00,pass_sacked_yds,12,,,,,
player,201101020sfo,crd,BartRi00,pass_long,31,,,,,
player,201101020sfo,crd,BartRi00,pass_rating,57.1,,,,,
player,201101020sfo,crd,BartRi00,rush_att,0,,,,,
player,201101020sfo,crd,BartRi00,rush_yds,0,,,,,
player,201101020sfo,crd,BartRi00,rush_td,0,,,,,
player,201101020sfo,crd,BartRi00,rush_long,0,,,,,
player,201101020sfo,crd,BartRi00,targets,0,,,,,
player,201101020sfo,crd,BartRi00,rec,0,,,,,
player,201101020sfo,crd,BartRi00,rec_yds,0,,,,,
player,201101020sfo,crd,BartRi00,rec_td,0,,,,,
player,201101020sfo,crd,BartRi00,rec_long,0,,,,,
player,201101020sfo,crd,BartRi00,fumbles,0,,,,,
player,201101020sfo,crd,BartRi00,fumbles_lost,,,,,,
player,201101020sfo,crd,SkelJo00,pass_cmp,14,,,,,
player,201101020sfo,crd,SkelJo00,pass_att,25,,,,,
player,201101020sfo,crd,SkelJo00,pass_yds,92,,,,,
player,201101020sfo,crd,SkelJo00,pass_td,1,,,,,
player,201101020sfo,crd,SkelJo00,pass_int,1,,,,,
player,201101020sfo,crd,SkelJo00,pass_sacked,4,,,,,
player,201101020sfo,crd,SkelJo00,pass_sacked_yds,29,,,,,
player,201101020sfo,crd,SkelJo00,pass_long,18,,,,,
player,201101020sfo,crd,SkelJo00,pass_rating,60.7,,,,,
player,201101020sfo,crd,SkelJo00,rush_att,2,,,,,
player,201101020sfo,crd,SkelJo00,rush_yds,9,,,,,
player,201101020sfo,crd,SkelJo00,rush_td,0,,,,,
player,201101020sfo,crd,SkelJo00,rush_long,6,,,,,
player,201101020sfo,crd,SkelJo00,targets,0,,,,,
player,201101020sfo,crd,SkelJo00,rec,0,,,,,
player,201101020sfo,crd,SkelJo00,rec_yds,0,,,,,
player,201101020sfo,crd,SkelJo00,rec_td,0,,,,,
player,201101020sfo,crd,SkelJo00,rec_long,0,,,,,
player,201101020sfo,crd,SkelJo00,fumbles,1,,,,,
player,201101020sfo,crd,SkelJo00,fumbles_lost,0,,,,,
player,201101020sfo,crd,HighTi00,pass_cmp,0,,,,,
player,201101020sfo,crd,HighTi00,pass_att,0,,,,,
player,201101020sfo,crd,HighTi00,pass_yds,0,,,,,
player,201101020sfo,crd,HighTi00,pass_td,0,,,,,
player,201101020sfo,crd,HighTi00,pass_int,0,,,,,
player,201101020sfo,crd,HighTi00,pass_sacked,0,,,,,
player,201101020sfo,crd,HighTi00,pass_sacked_yds,0,,,,,
player,201101020sfo,crd,HighTi00,pass_long,0,,,,,
player,201101020sfo,crd,HighTi00,pass_rating,,,,,,
player,201101020sfo,crd,HighTi00,rush_att,12,,,,,
player,201101020sfo,crd,HighTi00,rush_yds,30,,,,,
player,201101020sfo,crd,HighTi00,rush_td,0,,,,,
player,201101020sfo,crd,HighTi00,rush_long,10,,,,,
player,201101020sfo,crd,HighTi00,targets,5,,,,,
player,201101020sfo,crd,HighTi00,rec,2,,,,,
player,201101020sfo,crd,HighTi00,rec_yds,2,,,,,
player,201101020sfo,crd,HighTi00,rec_td,0,,,,,
player,201101020sfo,crd,HighTi00,rec_long,6,,,,,
player,201101020sfo,crd,HighTi00,fumbles,0,,,,,
player,201101020sfo,crd,HighTi00,fumbles_lost,,,,,,
player,201101020sfo,crd,WrigJa01,pass_cmp,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_att,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_yds,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_td,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_int,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_sacked,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_sacked_yds,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_long,0,,,,,
player,201101020sfo,crd,WrigJa01,pass_rating,,,,,,
player,201101020sfo,crd,WrigJa01,rush_att,3,,,,,
player,201101020sfo,crd,WrigJa01,rush_yds,23,,,,,
player,201101020sfo,crd,WrigJa01,rush_td,0,,,,,
player,201101020sfo,crd,WrigJa01,rush_long,10,,,,,
player,201101020sfo,crd,WrigJa01,targets,6,,,,,
player,201101020sfo,crd,WrigJa01,rec,3,,,,,
player,201101020sfo,crd,WrigJa01,rec_yds,8,,,,,
player,201101020sfo,crd,WrigJa01,rec_td,0,,,,,
player,201101020sfo,crd,WrigJa01,rec_long,5,,,,,
player,201101020sfo,crd,WrigJa01,fumbles,0,,,,,
player,201101020sfo,crd,WrigJa01,fumbles_lost,,,,,,
player,201101020sfo,crd,WellCh00,pass_cmp,0,,,,,
player,201101020sfo,crd,WellCh00,pass_att,0,,,,,
player,201101020sfo,crd,WellCh00,pass_yds,0,,,,,
player,201101020sfo,crd,WellCh00,pass_td,0,,,,,
player,201101020sfo,crd,WellCh00,pass_int,0,,,,,
player,201101020sfo,crd,WellCh00,pass_sacked,0,,,,,
player,201101020sfo,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201101020sfo,crd,WellCh00,pass_long,0,,,,,
player,201101020sfo,crd,WellCh00,pass_rating,,,,,,
player,201101020sfo,crd,WellCh00,rush_att,5,,,,,
player,201101020sfo,crd,WellCh00,rush_yds,16,,,,,
player,201101020sfo,crd,WellCh00,rush_td,0,,,,,
player,201101020sfo,crd,WellCh00,rush_long,7,,,,,
player,201101020sfo,crd,WellCh00,targets,1,,,,,
player,201101020sfo,crd,WellCh00,rec,1,,,,,
player,201101020sfo,crd,WellCh00,rec_yds,6,,,,,
player,201101020sfo,crd,WellCh00,rec_td,0,,,,,
player,201101020sfo,crd,WellCh00,rec_long,6,,,,,
