game,2010,9,20101107,201011070sea,nyg,"New York Giants",41,sea,"Seattle Seahawks",7
team,201011070sea,nyg,First Downs,30,,,,,,
team,201011070sea,sea,First Downs,8,,,,,,
team,201011070sea,nyg,Rush-Yds-TDs,47-197-2,,,,,,
team,201011070sea,sea,Rush-Yds-TDs,14-49-0,,,,,,
team,201011070sea,nyg,Cmp-Att-Yd-TD-INT,21-32-290-3-0,,,,,,
team,201011070sea,sea,Cmp-Att-Yd-TD-INT,12-23-113-1-2,,,,,,
team,201011070sea,nyg,Sacked-Yards,0-0,,,,,,
team,201011070sea,sea,Sacked-Yards,0-0,,,,,,
team,201011070sea,nyg,Net Pass Yards,290,,,,,,
team,201011070sea,sea,Net Pass Yards,113,,,,,,
team,201011070sea,nyg,Total Yards,487,,,,,,
team,201011070sea,sea,Total Yards,162,,,,,,
team,201011070sea,nyg,Fumbles-Lost,1-1,,,,,,
team,201011070sea,sea,Fumbles-Lost,2-1,,,,,,
team,201011070sea,nyg,Turnovers,1,,,,,,
team,201011070sea,sea,Turnovers,3,,,,,,
team,201011070sea,nyg,Penalties-Yards,5-40,,,,,,
team,201011070sea,sea,Penalties-Yards,9-70,,,,,,
team,201011070sea,nyg,Third Down Conv.,6-13,,,,,,
team,201011070sea,sea,Third Down Conv.,1-8,,,,,,
team,201011070sea,nyg,Fourth Down Conv.,1-2,,,,,,
team,201011070sea,sea,Fourth Down Conv.,1-2,,,,,,
team,201011070sea,nyg,Time of Possession,42:34,,,,,,
team,201011070sea,sea,Time of Possession,17:26,,,,,,
player,201011070sea,nyg,MannEl00,pass_cmp,21,,,,,
player,201011070sea,nyg,MannEl00,pass_att,32,,,,,
player,201011070sea,nyg,MannEl00,pass_yds,290,,,,,
player,201011070sea,nyg,MannEl00,pass_td,3,,,,,
player,201011070sea,nyg,MannEl00,pass_int,0,,,,,
player,201011070sea,nyg,MannEl00,pass_sacked,0,,,,,
player,201011070sea,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201011070sea,nyg,MannEl00,pass_long,46,,,,,
player,201011070sea,nyg,MannEl00,pass_rating,125.8,,,,,
player,201011070sea,nyg,MannEl00,rush_att,1,,,,,
player,201011070sea,nyg,MannEl00,rush_yds,-1,,,,,
player,201011070sea,nyg,MannEl00,rush_td,0,,,,,
player,201011070sea,nyg,MannEl00,rush_long,-1,,,,,
player,201011070sea,nyg,MannEl00,targets,0,,,,,
player,201011070sea,nyg,MannEl00,rec,0,,,,,
player,201011070sea,nyg,MannEl00,rec_yds,0,,,,,
player,201011070sea,nyg,MannEl00,rec_td,0,,,,,
player,201011070sea,nyg,MannEl00,rec_long,0,,,,,
player,201011070sea,nyg,MannEl00,fumbles,0,,,,,
player,201011070sea,nyg,MannEl00,fumbles_lost,,,,,,
player,201011070sea,nyg,JacoBr00,pass_cmp,0,,,,,
player,201011070sea,nyg,JacoBr00,pass_att,0,,,,,
player,201011070sea,nyg,JacoBr00,pass_yds,0,,,,,
player,201011070sea,nyg,JacoBr00,pass_td,0,,,,,
player,201011070sea,nyg,JacoBr00,pass_int,0,,,,,
player,201011070sea,nyg,JacoBr00,pass_sacked,,,,,,
player,201011070sea,nyg,JacoBr00,pass_sacked_yds,,,,,,
player,201011070sea,nyg,JacoBr00,pass_long,0,,,,,
player,201011070sea,nyg,JacoBr00,pass_rating,,,,,,
player,201011070sea,nyg,JacoBr00,rush_att,11,,,,,
player,201011070sea,nyg,JacoBr00,rush_yds,78,,,,,
player,201011070sea,nyg,JacoBr00,rush_td,0,,,,,
player,201011070sea,nyg,JacoBr00,rush_long,38,,,,,
player,201011070sea,nyg,JacoBr00,targets,0,,,,,
player,201011070sea,nyg,JacoBr00,rec,0,,,,,
player,201011070sea,nyg,JacoBr00,rec_yds,0,,,,,
player,201011070sea,nyg,JacoBr00,rec_td,0,,,,,
player,201011070sea,nyg,JacoBr00,rec_long,0,,,,,
player,201011070sea,nyg,JacoBr00,fumbles,0,,,,,
player,201011070sea,nyg,JacoBr00,fumbles_lost,,,,,,
player,201011070sea,nyg,WareDa00,pass_cmp,0,,,,,
player,201011070sea,nyg,WareDa00,pass_att,0,,,,,
player,201011070sea,nyg,WareDa00,pass_yds,0,,,,,
player,201011070sea,nyg,WareDa00,pass_td,0,,,,,
player,201011070sea,nyg,WareDa00,pass_int,0,,,,,
player,201011070sea,nyg,WareDa00,pass_sacked,,,,,,
player,201011070sea,nyg,WareDa00,pass_sacked_yds,,,,,,
player,201011070sea,nyg,WareDa00,pass_long,0,,,,,
player,201011070sea,nyg,WareDa00,pass_rating,,,,,,
player,201011070sea,nyg,WareDa00,rush_att,13,,,,,
player,201011070sea,nyg,WareDa00,rush_yds,66,,,,,
player,201011070sea,nyg,WareDa00,rush_td,0,,,,,
player,201011070sea,nyg,WareDa00,rush_long,9,,,,,
player,201011070sea,nyg,WareDa00,targets,0,,,,,
player,201011070sea,nyg,WareDa00,rec,0,,,,,
player,201011070sea,nyg,WareDa00,rec_yds,0,,,,,
player,201011070sea,nyg,WareDa00,rec_td,0,,,,,
player,201011070sea,nyg,WareDa00,rec_long,0,,,,,
player,201011070sea,nyg,WareDa00,fumbles,0,,,,,
player,201011070sea,nyg,WareDa00,fumbles_lost,,,,,,
player,201011070sea,nyg,BradAh00,pass_cmp,0,,,,,
player,201011070sea,nyg,BradAh00,pass_att,0,,,,,
player,201011070sea,nyg,BradAh00,pass_yds,0,,,,,
player,201011070sea,nyg,BradAh00,pass_td,0,,,,,
player,201011070sea,nyg,BradAh00,pass_int,0,,,,,
player,201011070sea,nyg,BradAh00,pass_sacked,,,,,,
player,201011070sea,nyg,BradAh00,pass_sacked_yds,,,,,,
player,201011070sea,nyg,BradAh00,pass_long,0,,,,,
player,201011070sea,nyg,BradAh00,pass_rating,,,,,,
player,201011070sea,nyg,BradAh00,rush_att,19,,,,,
player,201011070sea,nyg,BradAh00,rush_yds,57,,,,,
player,201011070sea,nyg,BradAh00,rush_td,2,,,,,
player,201011070sea,nyg,BradAh00,rush_long,7,,,,,
player,201011070sea,nyg,BradAh00,targets,4,,,,,
player,201011070sea,nyg,BradAh00,rec,4,,,,,
player,201011070sea,nyg,BradAh00,rec_yds,35,,,,,
player,201011070sea,nyg,BradAh00,rec_td,0,,,,,
player,201011070sea,nyg,BradAh00,rec_long,13,,,,,
player,201011070sea,nyg,BradAh00,fumbles,0,,,,,
player,201011070sea,nyg,BradAh00,fumbles_lost,,,,,,
player,201011070sea,nyg,NickHa01,pass_cmp,0,,,,,
player,201011070sea,nyg,NickHa01,pass_att,0,,,,,
player,201011070sea,nyg,NickHa01,pass_yds,0,,,,,
player,201011070sea,nyg,NickHa01,pass_td,0,,,,,
player,201011070sea,nyg,NickHa01,pass_int,0,,,,,
player,201011070sea,nyg,NickHa01,pass_sacked,,,,,,
player,201011070sea,nyg,NickHa01,pass_sacked_yds,,,,,,
player,201011070sea,nyg,NickHa01,pass_long,0,,,,,
player,201011070sea,nyg,NickHa01,pass_rating,,,,,,
player,201011070sea,nyg,NickHa01,rush_att,0,,,,,
player,201011070sea,nyg,NickHa01,rush_yds,0,,,,,
player,201011070sea,nyg,NickHa01,rush_td,0,,,,,
player,201011070sea,nyg,NickHa01,rush_long,0,,,,,
player,201011070sea,nyg,NickHa01,targets,13,,,,,
player,201011070sea,nyg,NickHa01,rec,6,,,,,
player,201011070sea,nyg,NickHa01,rec_yds,128,,,,,
player,201011070sea,nyg,NickHa01,rec_td,1,,,,,
player,201011070sea,nyg,NickHa01,rec_long,46,,,,,
player,201011070sea,nyg,NickHa01,fumbles,0,,,,,
player,201011070sea,nyg,NickHa01,fumbles_lost,,,,,,
player,201011070sea,nyg,MannMa01,pass_cmp,0,,,,,
player,201011070sea,nyg,MannMa01,pass_att,0,,,,,
player,201011070sea,nyg,MannMa01,pass_yds,0,,,,,
player,201011070sea,nyg,MannMa01,pass_td,0,,,,,
player,201011070sea,nyg,MannMa01,pass_int,0,,,,,
player,201011070sea,nyg,MannMa01,pass_sacked,,,,,,
player,201011070sea,nyg,MannMa01,pass_sacked_yds,,,,,,
player,201011070sea,nyg,MannMa01,pass_long,0,,,,,
player,201011070sea,nyg,MannMa01,pass_rating,,,,,,
player,201011070sea,nyg,MannMa01,rush_att,0,,,,,
player,201011070sea,nyg,MannMa01,rush_yds,0,,,,,
player,201011070sea,nyg,MannMa01,rush_td,0,,,,,
player,201011070sea,nyg,MannMa01,rush_long,0,,,,,
player,201011070sea,nyg,MannMa01,targets,4,,,,,
player,201011070sea,nyg,MannMa01,rec,4,,,,,
player,201011070sea,nyg,MannMa01,rec_yds,56,,,,,
player,201011070sea,nyg,MannMa01,rec_td,0,,,,,
player,201011070sea,nyg,MannMa01,rec_long,32,,,,,
player,201011070sea,nyg,MannMa01,fumbles,0,,,,,
player,201011070sea,nyg,MannMa01,fumbles_lost,,,,,,
player,201011070sea,nyg,SmitSt02,pass_cmp,0,,,,,
player,201011070sea,nyg,SmitSt02,pass_att,0,,,,,
player,201011070sea,nyg,SmitSt02,pass_yds,0,,,,,
player,201011070sea,nyg,SmitSt02,pass_td,0,,,,,
player,201011070sea,nyg,SmitSt02,pass_int,0,,,,,
player,201011070sea,nyg,SmitSt02,pass_sacked,,,,,,
player,201011070sea,nyg,SmitSt02,pass_sacked_yds,,,,,,
player,201011070sea,nyg,SmitSt02,pass_long,0,,,,,
player,201011070sea,nyg,SmitSt02,pass_rating,,,,,,
player,201011070sea,nyg,SmitSt02,rush_att,0,,,,,
player,201011070sea,nyg,SmitSt02,rush_yds,0,,,,,
player,201011070sea,nyg,SmitSt02,rush_td,0,,,,,
player,201011070sea,nyg,SmitSt02,rush_long,0,,,,,
player,201011070sea,nyg,SmitSt02,targets,7,,,,,
player,201011070sea,nyg,SmitSt02,rec,4,,,,,
player,201011070sea,nyg,SmitSt02,rec_yds,46,,,,,
player,201011070sea,nyg,SmitSt02,rec_td,1,,,,,
player,201011070sea,nyg,SmitSt02,rec_long,17,,,,,
player,201011070sea,nyg,SmitSt02,fumbles,0,,,,,
player,201011070sea,nyg,SmitSt02,fumbles_lost,,,,,,
player,201011070sea,nyg,BossKe00,pass_cmp,0,,,,,
player,201011070sea,nyg,BossKe00,pass_att,0,,,,,
player,201011070sea,nyg,BossKe00,pass_yds,0,,,,,
player,201011070sea,nyg,BossKe00,pass_td,0,,,,,
player,201011070sea,nyg,BossKe00,pass_int,0,,,,,
player,201011070sea,nyg,BossKe00,pass_sacked,,,,,,
player,201011070sea,nyg,BossKe00,pass_sacked_yds,,,,,,
player,201011070sea,nyg,BossKe00,pass_long,0,,,,,
player,201011070sea,nyg,BossKe00,pass_rating,,,,,,
player,201011070sea,nyg,BossKe00,rush_att,0,,,,,
player,201011070sea,nyg,BossKe00,rush_yds,0,,,,,
player,201011070sea,nyg,BossKe00,rush_td,0,,,,,
player,201011070sea,nyg,BossKe00,rush_long,0,,,,,
player,201011070sea,nyg,BossKe00,targets,2,,,,,
player,201011070sea,nyg,BossKe00,rec,2,,,,,
player,201011070sea,nyg,BossKe00,rec_yds,15,,,,,
player,201011070sea,nyg,BossKe00,rec_td,1,,,,,
player,201011070sea,nyg,BossKe00,rec_long,10,,,,,
player,201011070sea,nyg,BossKe00,fumbles,1,,,,,
player,201011070sea,nyg,BossKe00,fumbles_lost,1,,,,,
player,201011070sea,nyg,PascBe00,pass_cmp,0,,,,,
player,201011070sea,nyg,PascBe00,pass_att,0,,,,,
player,201011070sea,nyg,PascBe00,pass_yds,0,,,,,
player,201011070sea,nyg,PascBe00,pass_td,0,,,,,
player,201011070sea,nyg,PascBe00,pass_int,0,,,,,
player,201011070sea,nyg,PascBe00,pass_sacked,,,,,,
player,201011070sea,nyg,PascBe00,pass_sacked_yds,,,,,,
player,201011070sea,nyg,PascBe00,pass_long,0,,,,,
player,201011070sea,nyg,PascBe00,pass_rating,,,,,,
player,201011070sea,nyg,PascBe00,rush_att,0,,,,,
player,201011070sea,nyg,PascBe00,rush_yds,0,,,,,
player,201011070sea,nyg,PascBe00,rush_td,0,,,,,
player,201011070sea,nyg,PascBe00,rush_long,0,,,,,
player,201011070sea,nyg,PascBe00,targets,1,,,,,
player,201011070sea,nyg,PascBe00,rec,1,,,,,
player,201011070sea,nyg,PascBe00,rec_yds,10,,,,,
player,201011070sea,nyg,PascBe00,rec_td,0,,,,,
player,201011070sea,nyg,PascBe00,rec_long,10,,,,,
player,201011070sea,nyg,PascBe00,fumbles,0,,,,,
player,201011070sea,nyg,PascBe00,fumbles_lost,,,,,,
player,201011070sea,nyg,BeckTr00,pass_cmp,0,,,,,
player,201011070sea,nyg,BeckTr00,pass_att,0,,,,,
player,201011070sea,nyg,BeckTr00,pass_yds,0,,,,,
player,201011070sea,nyg,BeckTr00,pass_td,0,,,,,
player,201011070sea,nyg,BeckTr00,pass_int,0,,,,,
player,201011070sea,nyg,BeckTr00,pass_sacked,,,,,,
player,201011070sea,nyg,BeckTr00,pass_sacked_yds,,,,,,
player,201011070sea,nyg,BeckTr00,pass_long,0,,,,,
player,201011070sea,nyg,BeckTr00,pass_rating,,,,,,
player,201011070sea,nyg,BeckTr00,rush_att,0,,,,,
player,201011070sea,nyg,BeckTr00,rush_yds,0,,,,,
player,201011070sea,nyg,BeckTr00,rush_td,0,,,,,
player,201011070sea,nyg,BeckTr00,rush_long,0,,,,,
player,201011070sea,nyg,BeckTr00,targets,1,,,,,
player,201011070sea,nyg,BeckTr00,rec,0,,,,,
player,201011070sea,nyg,BeckTr00,rec_yds,0,,,,,
player,201011070sea,nyg,BeckTr00,rec_td,0,,,,,
player,201011070sea,nyg,BeckTr00,rec_long,0,,,,,
player,201011070sea,nyg,BeckTr00,fumbles,0,,,,,
player,201011070sea,nyg,BeckTr00,fumbles_lost,,,,,,
player,201011070sea,nyg,RoseSa00,pass_cmp,0,,,,,
player,201011070sea,nyg,RoseSa00,pass_att,0,,,,,
player,201011070sea,nyg,RoseSa00,pass_yds,0,,,,,
player,201011070sea,nyg,RoseSa00,pass_td,0,,,,,
player,201011070sea,nyg,RoseSa00,pass_int,0,,,,,
player,201011070sea,nyg,RoseSa00,pass_sacked,,,,,,
player,201011070sea,nyg,RoseSa00,pass_sacked_yds,,,,,,
player,201011070sea,nyg,RoseSa00,pass_long,0,,,,,
player,201011070sea,nyg,RoseSa00,pass_rating,,,,,,
player,201011070sea,nyg,RoseSa00,rush_att,3,,,,,
player,201011070sea,nyg,RoseSa00,rush_yds,-3,,,,,
player,201011070sea,nyg,RoseSa00,rush_td,0,,,,,
player,201011070sea,nyg,RoseSa00,rush_long,0,,,,,
player,201011070sea,nyg,RoseSa00,targets,0,,,,,
player,201011070sea,nyg,RoseSa00,rec,0,,,,,
player,201011070sea,nyg,RoseSa00,rec_yds,0,,,,,
player,201011070sea,nyg,RoseSa00,rec_td,0,,,,,
player,201011070sea,nyg,RoseSa00,rec_long,0,,,,,
player,201011070sea,nyg,RoseSa00,fumbles,0,,,,,
player,201011070sea,nyg,RoseSa00,fumbles_lost,,,,,,
player,201011070sea,sea,WhitCh02,pass_cmp,12,,,,,
player,201011070sea,sea,WhitCh02,pass_att,23,,,,,
player,201011070sea,sea,WhitCh02,pass_yds,113,,,,,
player,201011070sea,sea,WhitCh02,pass_td,1,,,,,
player,201011070sea,sea,WhitCh02,pass_int,2,,,,,
player,201011070sea,sea,WhitCh02,pass_sacked,0,,,,,
player,201011070sea,sea,WhitCh02,pass_sacked_yds,0,,,,,
player,201011070sea,sea,WhitCh02,pass_long,36,,,,,
player,201011070sea,sea,WhitCh02,pass_rating,44.3,,,,,
player,201011070sea,sea,WhitCh02,rush_att,2,,,,,
player,201011070sea,sea,WhitCh02,rush_yds,2,,,,,
player,201011070sea,sea,WhitCh02,rush_td,0,,,,,
player,201011070sea,sea,WhitCh02,rush_long,2,,,,,
player,201011070sea,sea,WhitCh02,targets,0,,,,,
player,201011070sea,sea,WhitCh02,rec,0,,,,,
player,201011070sea,sea,WhitCh02,rec_yds,0,,,,,
player,201011070sea,sea,WhitCh02,rec_td,0,,,,,
player,201011070sea,sea,WhitCh02,rec_long,0,,,,,
player,201011070sea,sea,WhitCh02,fumbles,1,,,,,
player,201011070sea,sea,WhitCh02,fumbles_lost,0,,,,,
player,201011070sea,sea,LyncMa00,pass_cmp,0,,,,,
player,201011070sea,sea,LyncMa00,pass_att,0,,,,,
player,201011070sea,sea,LyncMa00,pass_yds,0,,,,,
player,201011070sea,sea,LyncMa00,pass_td,0,,,,,
player,201011070sea,sea,LyncMa00,pass_int,0,,,,,
player,201011070sea,sea,LyncMa00,pass_sacked,,,,,,
player,201011070sea,sea,LyncMa00,pass_sacked_yds,,,,,,
player,201011070sea,sea,LyncMa00,pass_long,0,,,,,
player,201011070sea,sea,LyncMa00,pass_rating,,,,,,
player,201011070sea,sea,LyncMa00,rush_att,11,,,,,
player,201011070sea,sea,LyncMa00,rush_yds,48,,,,,
player,201011070sea,sea,LyncMa00,rush_td,0,,,,,
player,201011070sea,sea,LyncMa00,rush_long,26,,,,,
player,201011070sea,sea,LyncMa00,targets,0,,,,,
player,201011070sea,sea,LyncMa00,rec,0,,,,,
player,201011070sea,sea,LyncMa00,rec_yds,0,,,,,
player,201011070sea,sea,LyncMa00,rec_td,0,,,,,
player,201011070sea,sea,LyncMa00,rec_long,0,,,,,
player,201011070sea,sea,LyncMa00,fumbles,0,,,,,
player,201011070sea,sea,LyncMa00,fumbles_lost,,,,,,
player,201011070sea,sea,ObomBe00,pass_cmp,0,,,,,
player,201011070sea,sea,ObomBe00,pass_att,0,,,,,
player,201011070sea,sea,ObomBe00,pass_yds,0,,,,,
player,201011070sea,sea,ObomBe00,pass_td,0,,,,,
player,201011070sea,sea,ObomBe00,pass_int,0,,,,,
player,201011070sea,sea,ObomBe00,pass_sacked,,,,,,
player,201011070sea,sea,ObomBe00,pass_sacked_yds,,,,,,
player,201011070sea,sea,ObomBe00,pass_long,0,,,,,
player,201011070sea,sea,ObomBe00,pass_rating,,,,,,
player,201011070sea,sea,ObomBe00,rush_att,0,,,,,
player,201011070sea,sea,ObomBe00,rush_yds,0,,,,,
player,201011070sea,sea,ObomBe00,rush_td,0,,,,,
player,201011070sea,sea,ObomBe00,rush_long,0,,,,,
player,201011070sea,sea,ObomBe00,targets,1,,,,,
player,201011070sea,sea,ObomBe00,rec,1,,,,,
player,201011070sea,sea,ObomBe00,rec_yds,36,,,,,
player,201011070sea,sea,ObomBe00,rec_td,1,,,,,
player,201011070sea,sea,ObomBe00,rec_long,36,,,,,
player,201011070sea,sea,ObomBe00,fumbles,0,,,,,
player,201011070sea,sea,ObomBe00,fumbles_lost,,,,,,
player,201011070sea,sea,StokBr00,pass_cmp,0,,,,,
player,201011070sea,sea,StokBr00,pass_att,0,,,,,
player,201011070sea,sea,StokBr00,pass_yds,0,,,,,
player,201011070sea,sea,StokBr00,pass_td,0,,,,,
player,201011070sea,sea,StokBr00,pass_int,0,,,,,
player,201011070sea,sea,StokBr00,pass_sacked,,,,,,
player,201011070sea,sea,StokBr00,pass_sacked_yds,,,,,,
player,201011070sea,sea,StokBr00,pass_long,0,,,,,
player,201011070sea,sea,StokBr00,pass_rating,,,,,,
player,201011070sea,sea,StokBr00,rush_att,0,,,,,
player,201011070sea,sea,StokBr00,rush_yds,0,,,,,
player,201011070sea,sea,StokBr00,rush_td,0,,,,,
player,201011070sea,sea,StokBr00,rush_long,0,,,,,
player,201011070sea,sea,StokBr00,targets,3,,,,,
player,201011070sea,sea,StokBr00,rec,2,,,,,
player,201011070sea,sea,StokBr00,rec_yds,26,,,,,
player,201011070sea,sea,StokBr00,rec_td,0,,,,,
player,201011070sea,sea,StokBr00,rec_long,22,,,,,
player,201011070sea,sea,StokBr00,fumbles,0,,,,,
player,201011070sea,sea,StokBr00,fumbles_lost,,,,,,
player,201011070sea,sea,WillMi03,pass_cmp,0,,,,,
player,201011070sea,sea,WillMi03,pass_att,0,,,,,
player,201011070sea,sea,WillMi03,pass_yds,0,,,,,
player,201011070sea,sea,WillMi03,pass_td,0,,,,,
player,201011070sea,sea,WillMi03,pass_int,0,,,,,
player,201011070sea,sea,WillMi03,pass_sacked,,,,,,
player,201011070sea,sea,WillMi03,pass_sacked_yds,,,,,,
player,201011070sea,sea,WillMi03,pass_long,0,,,,,
player,201011070sea,sea,WillMi03,pass_rating,,,,,,
player,201011070sea,sea,WillMi03,rush_att,0,,,,,
player,201011070sea,sea,WillMi03,rush_yds,0,,,,,
player,201011070sea,sea,WillMi03,rush_td,0,,,,,
player,201011070sea,sea,WillMi03,rush_long,0,,,,,
player,201011070sea,sea,WillMi03,targets,8,,,,,
player,201011070sea,sea,WillMi03,rec,2,,,,,
player,201011070sea,sea,WillMi03,rec_yds,25,,,,,
player,201011070sea,sea,WillMi03,rec_td,0,,,,,
player,201011070sea,sea,WillMi03,rec_long,17,,,,,
player,201011070sea,sea,WillMi03,fumbles,0,,,,,
player,201011070sea,sea,WillMi03,fumbles_lost,,,,,,
player,201011070sea,sea,CarlJo00,pass_cmp,0,,,,,
player,201011070sea,sea,CarlJo00,pass_att,0,,,,,
player,201011070sea,sea,CarlJo00,pass_yds,0,,,,,
player,201011070sea,sea,CarlJo00,pass_td,0,,,,,
player,201011070sea,sea,CarlJo00,pass_int,0,,,,,
player,201011070sea,sea,CarlJo00,pass_sacked,,,,,,
player,201011070sea,sea,CarlJo00,pass_sacked_yds,,,,,,
player,201011070sea,sea,CarlJo00,pass_long,0,,,,,
player,201011070sea,sea,CarlJo00,pass_rating,,,,,,
player,201011070sea,sea,CarlJo00,rush_att,0,,,,,
player,201011070sea,sea,CarlJo00,rush_yds,0,,,,,
player,201011070sea,sea,CarlJo00,rush_td,0,,,,,
player,201011070sea,sea,CarlJo00,rush_long,0,,,,,
player,201011070sea,sea,CarlJo00,targets,2,,,,,
player,201011070sea,sea,CarlJo00,rec,2,,,,,
player,201011070sea,sea,CarlJo00,rec_yds,9,,,,,
player,201011070sea,sea,CarlJo00,rec_td,0,,,,,
player,201011070sea,sea,CarlJo00,rec_long,5,,,,,
player,201011070sea,sea,CarlJo00,fumbles,0,,,,,
player,201011070sea,sea,CarlJo00,fumbles_lost,,,,,,
player,201011070sea,sea,BakeCh00,pass_cmp,0,,,,,
player,201011070sea,sea,BakeCh00,pass_att,0,,,,,
player,201011070sea,sea,BakeCh00,pass_yds,0,,,,,
player,201011070sea,sea,BakeCh00,pass_td,0,,,,,
player,201011070sea,sea,BakeCh00,pass_int,0,,,,,
player,201011070sea,sea,BakeCh00,pass_sacked,,,,,,
player,201011070sea,sea,BakeCh00,pass_sacked_yds,,,,,,
player,201011070sea,sea,BakeCh00,pass_long,0,,,,,
player,201011070sea,sea,BakeCh00,pass_rating,,,,,,
player,201011070sea,sea,BakeCh00,rush_att,0,,,,,
player,201011070sea,sea,BakeCh00,rush_yds,0,,,,,
player,201011070sea,sea,BakeCh00,rush_td,0,,,,,
player,201011070sea,sea,BakeCh00,rush_long,0,,,,,
player,201011070sea,sea,BakeCh00,targets,2,,,,,
player,201011070sea,sea,BakeCh00,rec,1,,,,,
player,201011070sea,sea,BakeCh00,rec_yds,7,,,,,
player,201011070sea,sea,BakeCh00,rec_td,0,,,,,
player,201011070sea,sea,BakeCh00,rec_long,7,,,,,
player,201011070sea,sea,BakeCh00,fumbles,0,,,,,
player,201011070sea,sea,BakeCh00,fumbles_lost,,,,,,
player,201011070sea,sea,ButlDe00,pass_cmp,0,,,,,
player,201011070sea,sea,ButlDe00,pass_att,0,,,,,
player,201011070sea,sea,ButlDe00,pass_yds,0,,,,,
player,201011070sea,sea,ButlDe00,pass_td,0,,,,,
player,201011070sea,sea,ButlDe00,pass_int,0,,,,,
player,201011070sea,sea,ButlDe00,pass_sacked,,,,,,
player,201011070sea,sea,ButlDe00,pass_sacked_yds,,,,,,
player,201011070sea,sea,ButlDe00,pass_long,0,,,,,
player,201011070sea,sea,ButlDe00,pass_rating,,,,,,
player,201011070sea,sea,ButlDe00,rush_att,0,,,,,
player,201011070sea,sea,ButlDe00,rush_yds,0,,,,,
player,201011070sea,sea,ButlDe00,rush_td,0,,,,,
player,201011070sea,sea,ButlDe00,rush_long,0,,,,,
player,201011070sea,sea,ButlDe00,targets,6,,,,,
player,201011070sea,sea,ButlDe00,rec,3,,,,,
player,201011070sea,sea,ButlDe00,rec_yds,5,,,,,
player,201011070sea,sea,ButlDe00,rec_td,0,,,,,
player,201011070sea,sea,ButlDe00,rec_long,7,,,,,
player,201011070sea,sea,ButlDe00,fumbles,0,,,,,
player,201011070sea,sea,ButlDe00,fumbles_lost,,,,,,
player,201011070sea,sea,ForsJu00,pass_cmp,0,,,,,
player,201011070sea,sea,ForsJu00,pass_att,0,,,,,
player,201011070sea,sea,ForsJu00,pass_yds,0,,,,,
