game,2010,2,20100919,201009190gnb,buf,"Buffalo Bills",7,gnb,"Green Bay Packers",34
team,201009190gnb,buf,First Downs,14,,,,,,
team,201009190gnb,gnb,First Downs,18,,,,,,
team,201009190gnb,buf,Rush-Yds-TDs,32-124-1,,,,,,
team,201009190gnb,gnb,Rush-Yds-TDs,27-91-2,,,,,,
team,201009190gnb,buf,Cmp-Att-Yd-TD-INT,11-18-102-0-2,,,,,,
team,201009190gnb,gnb,Cmp-Att-Yd-TD-INT,19-29-255-2-0,,,,,,
team,201009190gnb,buf,Sacked-Yards,4-40,,,,,,
team,201009190gnb,gnb,Sacked-Yards,0-0,,,,,,
team,201009190gnb,buf,Net Pass Yards,62,,,,,,
team,201009190gnb,gnb,Net Pass Yards,255,,,,,,
team,201009190gnb,buf,Total Yards,186,,,,,,
team,201009190gnb,gnb,Total Yards,346,,,,,,
team,201009190gnb,buf,Fumbles-Lost,0-0,,,,,,
team,201009190gnb,gnb,Fumbles-Lost,2-0,,,,,,
team,201009190gnb,buf,Turnovers,2,,,,,,
team,201009190gnb,gnb,Turnovers,0,,,,,,
team,201009190gnb,buf,Penalties-Yards,4-35,,,,,,
team,201009190gnb,gnb,Penalties-Yards,6-49,,,,,,
team,201009190gnb,buf,Third Down Conv.,4-12,,,,,,
team,201009190gnb,gnb,Third Down Conv.,7-12,,,,,,
team,201009190gnb,buf,Fourth Down Conv.,0-2,,,,,,
team,201009190gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201009190gnb,buf,Time of Possession,29:04,,,,,,
team,201009190gnb,gnb,Time of Possession,30:56,,,,,,
player,201009190gnb,buf,EdwaTr01,pass_cmp,11,,,,,
player,201009190gnb,buf,EdwaTr01,pass_att,18,,,,,
player,201009190gnb,buf,EdwaTr01,pass_yds,102,,,,,
player,201009190gnb,buf,EdwaTr01,pass_td,0,,,,,
player,201009190gnb,buf,EdwaTr01,pass_int,2,,,,,
player,201009190gnb,buf,EdwaTr01,pass_sacked,4,,,,,
player,201009190gnb,buf,EdwaTr01,pass_sacked_yds,40,,,,,
player,201009190gnb,buf,EdwaTr01,pass_long,21,,,,,
player,201009190gnb,buf,EdwaTr01,pass_rating,37.0,,,,,
player,201009190gnb,buf,EdwaTr01,rush_att,3,,,,,
player,201009190gnb,buf,EdwaTr01,rush_yds,12,,,,,
player,201009190gnb,buf,EdwaTr01,rush_td,0,,,,,
player,201009190gnb,buf,EdwaTr01,rush_long,7,,,,,
player,201009190gnb,buf,EdwaTr01,targets,0,,,,,
player,201009190gnb,buf,EdwaTr01,rec,0,,,,,
player,201009190gnb,buf,EdwaTr01,rec_yds,0,,,,,
player,201009190gnb,buf,EdwaTr01,rec_td,0,,,,,
player,201009190gnb,buf,EdwaTr01,rec_long,0,,,,,
player,201009190gnb,buf,EdwaTr01,fumbles,0,,,,,
player,201009190gnb,buf,EdwaTr01,fumbles_lost,,,,,,
player,201009190gnb,buf,LyncMa00,pass_cmp,0,,,,,
player,201009190gnb,buf,LyncMa00,pass_att,0,,,,,
player,201009190gnb,buf,LyncMa00,pass_yds,0,,,,,
player,201009190gnb,buf,LyncMa00,pass_td,0,,,,,
player,201009190gnb,buf,LyncMa00,pass_int,0,,,,,
player,201009190gnb,buf,LyncMa00,pass_sacked,,,,,,
player,201009190gnb,buf,LyncMa00,pass_sacked_yds,,,,,,
player,201009190gnb,buf,LyncMa00,pass_long,0,,,,,
