game,2010,13,20101205,201012050kan,den,"Denver Broncos",6,kan,"Kansas City Chiefs",10
team,201012050kan,den,First Downs,13,,,,,,
team,201012050kan,kan,First Downs,21,,,,,,
team,201012050kan,den,Rush-Yds-TDs,23-161-0,,,,,,
team,201012050kan,kan,Rush-Yds-TDs,39-185-0,,,,,,
team,201012050kan,den,Cmp-Att-Yd-TD-INT,9-28-117-0-0,,,,,,
team,201012050kan,kan,Cmp-Att-Yd-TD-INT,17-31-196-1-0,,,,,,
team,201012050kan,den,Sacked-Yards,4-31,,,,,,
team,201012050kan,kan,Sacked-Yards,2-22,,,,,,
team,201012050kan,den,Net Pass Yards,86,,,,,,
team,201012050kan,kan,Net Pass Yards,174,,,,,,
team,201012050kan,den,Total Yards,247,,,,,,
team,201012050kan,kan,Total Yards,359,,,,,,
team,201012050kan,den,Fumbles-Lost,1-1,,,,,,
team,201012050kan,kan,Fumbles-Lost,2-1,,,,,,
team,201012050kan,den,Turnovers,1,,,,,,
team,201012050kan,kan,Turnovers,1,,,,,,
team,201012050kan,den,Penalties-Yards,4-35,,,,,,
team,201012050kan,kan,Penalties-Yards,8-60,,,,,,
team,201012050kan,den,Third Down Conv.,3-12,,,,,,
team,201012050kan,kan,Third Down Conv.,6-14,,,,,,
team,201012050kan,den,Fourth Down Conv.,0-0,,,,,,
team,201012050kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201012050kan,den,Time of Possession,22:46,,,,,,
team,201012050kan,kan,Time of Possession,37:14,,,,,,
player,201012050kan,den,OrtoKy00,pass_cmp,9,,,,,
player,201012050kan,den,OrtoKy00,pass_att,28,,,,,
player,201012050kan,den,OrtoKy00,pass_yds,117,,,,,
player,201012050kan,den,OrtoKy00,pass_td,0,,,,,
player,201012050kan,den,OrtoKy00,pass_int,0,,,,,
player,201012050kan,den,OrtoKy00,pass_sacked,4,,,,,
player,201012050kan,den,OrtoKy00,pass_sacked_yds,31,,,,,
player,201012050kan,den,OrtoKy00,pass_long,28,,,,,
player,201012050kan,den,OrtoKy00,pass_rating,46.3,,,,,
player,201012050kan,den,OrtoKy00,rush_att,0,,,,,
player,201012050kan,den,OrtoKy00,rush_yds,0,,,,,
player,201012050kan,den,OrtoKy00,rush_td,0,,,,,
player,201012050kan,den,OrtoKy00,rush_long,0,,,,,
player,201012050kan,den,OrtoKy00,targets,0,,,,,
player,201012050kan,den,OrtoKy00,rec,0,,,,,
player,201012050kan,den,OrtoKy00,rec_yds,0,,,,,
player,201012050kan,den,OrtoKy00,rec_td,0,,,,,
player,201012050kan,den,OrtoKy00,rec_long,0,,,,,
player,201012050kan,den,OrtoKy00,fumbles,1,,,,,
player,201012050kan,den,OrtoKy00,fumbles_lost,1,,,,,
player,201012050kan,den,MoreKn00,pass_cmp,0,,,,,
player,201012050kan,den,MoreKn00,pass_att,0,,,,,
player,201012050kan,den,MoreKn00,pass_yds,0,,,,,
player,201012050kan,den,MoreKn00,pass_td,0,,,,,
player,201012050kan,den,MoreKn00,pass_int,0,,,,,
player,201012050kan,den,MoreKn00,pass_sacked,,,,,,
player,201012050kan,den,MoreKn00,pass_sacked_yds,,,,,,
player,201012050kan,den,MoreKn00,pass_long,0,,,,,
player,201012050kan,den,MoreKn00,pass_rating,,,,,,
player,201012050kan,den,MoreKn00,rush_att,23,,,,,
player,201012050kan,den,MoreKn00,rush_yds,161,,,,,
player,201012050kan,den,MoreKn00,rush_td,0,,,,,
player,201012050kan,den,MoreKn00,rush_long,24,,,,,
player,201012050kan,den,MoreKn00,targets,3,,,,,
player,201012050kan,den,MoreKn00,rec,1,,,,,
player,201012050kan,den,MoreKn00,rec_yds,14,,,,,
player,201012050kan,den,MoreKn00,rec_td,0,,,,,
player,201012050kan,den,MoreKn00,rec_long,14,,,,,
player,201012050kan,den,MoreKn00,fumbles,0,,,,,
player,201012050kan,den,MoreKn00,fumbles_lost,,,,,,
player,201012050kan,den,LloyBr00,pass_cmp,0,,,,,
player,201012050kan,den,LloyBr00,pass_att,0,,,,,
player,201012050kan,den,LloyBr00,pass_yds,0,,,,,
player,201012050kan,den,LloyBr00,pass_td,0,,,,,
player,201012050kan,den,LloyBr00,pass_int,0,,,,,
player,201012050kan,den,LloyBr00,pass_sacked,,,,,,
player,201012050kan,den,LloyBr00,pass_sacked_yds,,,,,,
player,201012050kan,den,LloyBr00,pass_long,0,,,,,
player,201012050kan,den,LloyBr00,pass_rating,,,,,,
player,201012050kan,den,LloyBr00,rush_att,0,,,,,
player,201012050kan,den,LloyBr00,rush_yds,0,,,,,
player,201012050kan,den,LloyBr00,rush_td,0,,,,,
player,201012050kan,den,LloyBr00,rush_long,0,,,,,
player,201012050kan,den,LloyBr00,targets,11,,,,,
player,201012050kan,den,LloyBr00,rec,2,,,,,
player,201012050kan,den,LloyBr00,rec_yds,31,,,,,
