game,2010,13,20101205,201012050cin,nor,"New Orleans Saints",34,cin,"Cincinnati Bengals",30
team,201012050cin,nor,First Downs,19,,,,,,
team,201012050cin,cin,First Downs,21,,,,,,
team,201012050cin,nor,Rush-Yds-TDs,22-146-2,,,,,,
team,201012050cin,cin,Rush-Yds-TDs,26-96-2,,,,,,
team,201012050cin,nor,Cmp-Att-Yd-TD-INT,24-29-313-2-1,,,,,,
team,201012050cin,cin,Cmp-Att-Yd-TD-INT,23-33-249-1-0,,,,,,
team,201012050cin,nor,Sacked-Yards,2-23,,,,,,
team,201012050cin,cin,Sacked-Yards,3-34,,,,,,
team,201012050cin,nor,Net Pass Yards,290,,,,,,
team,201012050cin,cin,Net Pass Yards,215,,,,,,
team,201012050cin,nor,Total Yards,436,,,,,,
team,201012050cin,cin,Total Yards,311,,,,,,
team,201012050cin,nor,Fumbles-Lost,1-0,,,,,,
team,201012050cin,cin,Fumbles-Lost,1-0,,,,,,
team,201012050cin,nor,Turnovers,1,,,,,,
team,201012050cin,cin,Turnovers,0,,,,,,
team,201012050cin,nor,Penalties-Yards,11-100,,,,,,
team,201012050cin,cin,Penalties-Yards,7-43,,,,,,
team,201012050cin,nor,Third Down Conv.,1-8,,,,,,
team,201012050cin,cin,Third Down Conv.,5-14,,,,,,
team,201012050cin,nor,Fourth Down Conv.,0-0,,,,,,
team,201012050cin,cin,Fourth Down Conv.,2-3,,,,,,
team,201012050cin,nor,Time of Possession,27:27,,,,,,
team,201012050cin,cin,Time of Possession,32:33,,,,,,
player,201012050cin,nor,BreeDr00,pass_cmp,24,,,,,
player,201012050cin,nor,BreeDr00,pass_att,29,,,,,
player,201012050cin,nor,BreeDr00,pass_yds,313,,,,,
player,201012050cin,nor,BreeDr00,pass_td,2,,,,,
player,201012050cin,nor,BreeDr00,pass_int,1,,,,,
player,201012050cin,nor,BreeDr00,pass_sacked,2,,,,,
player,201012050cin,nor,BreeDr00,pass_sacked_yds,23,,,,,
player,201012050cin,nor,BreeDr00,pass_long,52,,,,,
player,201012050cin,nor,BreeDr00,pass_rating,120.3,,,,,
player,201012050cin,nor,BreeDr00,rush_att,0,,,,,
player,201012050cin,nor,BreeDr00,rush_yds,0,,,,,
player,201012050cin,nor,BreeDr00,rush_td,0,,,,,
player,201012050cin,nor,BreeDr00,rush_long,0,,,,,
player,201012050cin,nor,BreeDr00,targets,0,,,,,
player,201012050cin,nor,BreeDr00,rec,0,,,,,
player,201012050cin,nor,BreeDr00,rec_yds,0,,,,,
player,201012050cin,nor,BreeDr00,rec_td,0,,,,,
player,201012050cin,nor,BreeDr00,rec_long,0,,,,,
player,201012050cin,nor,BreeDr00,fumbles,0,,,,,
player,201012050cin,nor,BreeDr00,fumbles_lost,,,,,,
player,201012050cin,nor,IvorCh00,pass_cmp,0,,,,,
player,201012050cin,nor,IvorCh00,pass_att,0,,,,,
player,201012050cin,nor,IvorCh00,pass_yds,0,,,,,
player,201012050cin,nor,IvorCh00,pass_td,0,,,,,
player,201012050cin,nor,IvorCh00,pass_int,0,,,,,
player,201012050cin,nor,IvorCh00,pass_sacked,,,,,,
player,201012050cin,nor,IvorCh00,pass_sacked_yds,,,,,,
player,201012050cin,nor,IvorCh00,pass_long,0,,,,,
player,201012050cin,nor,IvorCh00,pass_rating,,,,,,
player,201012050cin,nor,IvorCh00,rush_att,15,,,,,
player,201012050cin,nor,IvorCh00,rush_yds,117,,,,,
player,201012050cin,nor,IvorCh00,rush_td,2,,,,,
player,201012050cin,nor,IvorCh00,rush_long,55,,,,,
player,201012050cin,nor,IvorCh00,targets,0,,,,,
player,201012050cin,nor,IvorCh00,rec,0,,,,,
player,201012050cin,nor,IvorCh00,rec_yds,0,,,,,
player,201012050cin,nor,IvorCh00,rec_td,0,,,,,
player,201012050cin,nor,IvorCh00,rec_long,0,,,,,
player,201012050cin,nor,IvorCh00,fumbles,1,,,,,
player,201012050cin,nor,IvorCh00,fumbles_lost,0,,,,,
player,201012050cin,nor,BushRe00,pass_cmp,0,,,,,
player,201012050cin,nor,BushRe00,pass_att,0,,,,,
player,201012050cin,nor,BushRe00,pass_yds,0,,,,,
player,201012050cin,nor,BushRe00,pass_td,0,,,,,
player,201012050cin,nor,BushRe00,pass_int,0,,,,,
player,201012050cin,nor,BushRe00,pass_sacked,,,,,,
player,201012050cin,nor,BushRe00,pass_sacked_yds,,,,,,
player,201012050cin,nor,BushRe00,pass_long,0,,,,,
player,201012050cin,nor,BushRe00,pass_rating,,,,,,
player,201012050cin,nor,BushRe00,rush_att,5,,,,,
player,201012050cin,nor,BushRe00,rush_yds,26,,,,,
player,201012050cin,nor,BushRe00,rush_td,0,,,,,
player,201012050cin,nor,BushRe00,rush_long,10,,,,,
player,201012050cin,nor,BushRe00,targets,3,,,,,
player,201012050cin,nor,BushRe00,rec,3,,,,,
player,201012050cin,nor,BushRe00,rec_yds,0,,,,,
player,201012050cin,nor,BushRe00,rec_td,0,,,,,
player,201012050cin,nor,BushRe00,rec_long,9,,,,,
player,201012050cin,nor,BushRe00,fumbles,0,,,,,
player,201012050cin,nor,BushRe00,fumbles_lost,,,,,,
player,201012050cin,nor,JoneJu01,pass_cmp,0,,,,,
player,201012050cin,nor,JoneJu01,pass_att,0,,,,,
player,201012050cin,nor,JoneJu01,pass_yds,0,,,,,
player,201012050cin,nor,JoneJu01,pass_td,0,,,,,
player,201012050cin,nor,JoneJu01,pass_int,0,,,,,
player,201012050cin,nor,JoneJu01,pass_sacked,,,,,,
player,201012050cin,nor,JoneJu01,pass_sacked_yds,,,,,,
player,201012050cin,nor,JoneJu01,pass_long,0,,,,,
player,201012050cin,nor,JoneJu01,pass_rating,,,,,,
player,201012050cin,nor,JoneJu01,rush_att,2,,,,,
player,201012050cin,nor,JoneJu01,rush_yds,3,,,,,
player,201012050cin,nor,JoneJu01,rush_td,0,,,,,
player,201012050cin,nor,JoneJu01,rush_long,4,,,,,
player,201012050cin,nor,JoneJu01,targets,4,,,,,
player,201012050cin,nor,JoneJu01,rec,3,,,,,
player,201012050cin,nor,JoneJu01,rec_yds,6,,,,,
player,201012050cin,nor,JoneJu01,rec_td,0,,,,,
player,201012050cin,nor,JoneJu01,rec_long,6,,,,,
player,201012050cin,nor,JoneJu01,fumbles,0,,,,,
player,201012050cin,nor,JoneJu01,fumbles_lost,,,,,,
