game,2010,16,20101226,201012260cle,rav,"Baltimore Ravens",20,cle,"Cleveland Browns",10
team,201012260cle,rav,First Downs,15,,,,,,
team,201012260cle,cle,First Downs,17,,,,,,
team,201012260cle,rav,Rush-Yds-TDs,38-161-0,,,,,,
team,201012260cle,cle,Rush-Yds-TDs,26-102-0,,,,,,
team,201012260cle,rav,Cmp-Att-Yd-TD-INT,12-19-102-2-1,,,,,,
team,201012260cle,cle,Cmp-Att-Yd-TD-INT,16-30-178-1-3,,,,,,
team,201012260cle,rav,Sacked-Yards,1-5,,,,,,
team,201012260cle,cle,Sacked-Yards,0-0,,,,,,
team,201012260cle,rav,Net Pass Yards,97,,,,,,
team,201012260cle,cle,Net Pass Yards,178,,,,,,
team,201012260cle,rav,Total Yards,258,,,,,,
team,201012260cle,cle,Total Yards,280,,,,,,
team,201012260cle,rav,Fumbles-Lost,2-0,,,,,,
team,201012260cle,cle,Fumbles-Lost,1-1,,,,,,
team,201012260cle,rav,Turnovers,1,,,,,,
team,201012260cle,cle,Turnovers,4,,,,,,
team,201012260cle,rav,Penalties-Yards,1-5,,,,,,
team,201012260cle,cle,Penalties-Yards,2-20,,,,,,
team,201012260cle,rav,Third Down Conv.,7-13,,,,,,
team,201012260cle,cle,Third Down Conv.,7-11,,,,,,
team,201012260cle,rav,Fourth Down Conv.,0-1,,,,,,
team,201012260cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201012260cle,rav,Time of Possession,31:46,,,,,,
team,201012260cle,cle,Time of Possession,28:14,,,,,,
player,201012260cle,rav,FlacJo00,pass_cmp,12,,,,,
player,201012260cle,rav,FlacJo00,pass_att,19,,,,,
player,201012260cle,rav,FlacJo00,pass_yds,102,,,,,
player,201012260cle,rav,FlacJo00,pass_td,2,,,,,
player,201012260cle,rav,FlacJo00,pass_int,1,,,,,
player,201012260cle,rav,FlacJo00,pass_sacked,1,,,,,
player,201012260cle,rav,FlacJo00,pass_sacked_yds,5,,,,,
player,201012260cle,rav,FlacJo00,pass_long,22,,,,,
player,201012260cle,rav,FlacJo00,pass_rating,90.2,,,,,
player,201012260cle,rav,FlacJo00,rush_att,3,,,,,
