game,2010,12,20101125,201011250dal,nor,"New Orleans Saints",30,dal,"Dallas Cowboys",27
team,201011250dal,nor,First Downs,21,,,,,,
team,201011250dal,dal,First Downs,24,,,,,,
team,201011250dal,nor,Rush-Yds-TDs,21-81-2,,,,,,
team,201011250dal,dal,Rush-Yds-TDs,32-144-3,,,,,,
team,201011250dal,nor,Cmp-Att-Yd-TD-INT,23-39-352-1-1,,,,,,
team,201011250dal,dal,Cmp-Att-Yd-TD-INT,30-42-313-0-1,,,,,,
team,201011250dal,nor,Sacked-Yards,2-19,,,,,,
team,201011250dal,dal,Sacked-Yards,1-0,,,,,,
team,201011250dal,nor,Net Pass Yards,333,,,,,,
team,201011250dal,dal,Net Pass Yards,313,,,,,,
team,201011250dal,nor,Total Yards,414,,,,,,
team,201011250dal,dal,Total Yards,457,,,,,,
team,201011250dal,nor,Fumbles-Lost,2-1,,,,,,
team,201011250dal,dal,Fumbles-Lost,7-2,,,,,,
team,201011250dal,nor,Turnovers,2,,,,,,
team,201011250dal,dal,Turnovers,3,,,,,,
team,201011250dal,nor,Penalties-Yards,4-30,,,,,,
team,201011250dal,dal,Penalties-Yards,4-19,,,,,,
team,201011250dal,nor,Third Down Conv.,6-14,,,,,,
team,201011250dal,dal,Third Down Conv.,7-15,,,,,,
team,201011250dal,nor,Fourth Down Conv.,0-1,,,,,,
team,201011250dal,dal,Fourth Down Conv.,1-3,,,,,,
team,201011250dal,nor,Time of Possession,25:19,,,,,,
team,201011250dal,dal,Time of Possession,34:41,,,,,,
player,201011250dal,nor,BreeDr00,pass_cmp,23,,,,,
player,201011250dal,nor,BreeDr00,pass_att,39,,,,,
player,201011250dal,nor,BreeDr00,pass_yds,352,,,,,
player,201011250dal,nor,BreeDr00,pass_td,1,,,,,
player,201011250dal,nor,BreeDr00,pass_int,1,,,,,
player,201011250dal,nor,BreeDr00,pass_sacked,2,,,,,
player,201011250dal,nor,BreeDr00,pass_sacked_yds,19,,,,,
player,201011250dal,nor,BreeDr00,pass_long,57,,,,,
player,201011250dal,nor,BreeDr00,pass_rating,86.7,,,,,
player,201011250dal,nor,BreeDr00,rush_att,3,,,,,
player,201011250dal,nor,BreeDr00,rush_yds,-3,,,,,
player,201011250dal,nor,BreeDr00,rush_td,0,,,,,
player,201011250dal,nor,BreeDr00,rush_long,-1,,,,,
player,201011250dal,nor,BreeDr00,targets,0,,,,,
player,201011250dal,nor,BreeDr00,rec,0,,,,,
player,201011250dal,nor,BreeDr00,rec_yds,0,,,,,
player,201011250dal,nor,BreeDr00,rec_td,0,,,,,
player,201011250dal,nor,BreeDr00,rec_long,0,,,,,
player,201011250dal,nor,BreeDr00,fumbles,0,,,,,
player,201011250dal,nor,BreeDr00,fumbles_lost,,,,,,
player,201011250dal,nor,JoneJu01,pass_cmp,0,,,,,
player,201011250dal,nor,JoneJu01,pass_att,0,,,,,
player,201011250dal,nor,JoneJu01,pass_yds,0,,,,,
player,201011250dal,nor,JoneJu01,pass_td,0,,,,,
player,201011250dal,nor,JoneJu01,pass_int,0,,,,,
player,201011250dal,nor,JoneJu01,pass_sacked,,,,,,
player,201011250dal,nor,JoneJu01,pass_sacked_yds,,,,,,
player,201011250dal,nor,JoneJu01,pass_long,0,,,,,
player,201011250dal,nor,JoneJu01,pass_rating,,,,,,
player,201011250dal,nor,JoneJu01,rush_att,10,,,,,
player,201011250dal,nor,JoneJu01,rush_yds,45,,,,,
player,201011250dal,nor,JoneJu01,rush_td,0,,,,,
player,201011250dal,nor,JoneJu01,rush_long,9,,,,,
player,201011250dal,nor,JoneJu01,targets,3,,,,,
player,201011250dal,nor,JoneJu01,rec,3,,,,,
player,201011250dal,nor,JoneJu01,rec_yds,21,,,,,
player,201011250dal,nor,JoneJu01,rec_td,0,,,,,
player,201011250dal,nor,JoneJu01,rec_long,12,,,,,
player,201011250dal,nor,JoneJu01,fumbles,0,,,,,
player,201011250dal,nor,JoneJu01,fumbles_lost,,,,,,
player,201011250dal,nor,IvorCh00,pass_cmp,0,,,,,
player,201011250dal,nor,IvorCh00,pass_att,0,,,,,
player,201011250dal,nor,IvorCh00,pass_yds,0,,,,,
player,201011250dal,nor,IvorCh00,pass_td,0,,,,,
player,201011250dal,nor,IvorCh00,pass_int,0,,,,,
player,201011250dal,nor,IvorCh00,pass_sacked,,,,,,
player,201011250dal,nor,IvorCh00,pass_sacked_yds,,,,,,
player,201011250dal,nor,IvorCh00,pass_long,0,,,,,
player,201011250dal,nor,IvorCh00,pass_rating,,,,,,
player,201011250dal,nor,IvorCh00,rush_att,7,,,,,
player,201011250dal,nor,IvorCh00,rush_yds,38,,,,,
player,201011250dal,nor,IvorCh00,rush_td,2,,,,,
player,201011250dal,nor,IvorCh00,rush_long,17,,,,,
player,201011250dal,nor,IvorCh00,targets,0,,,,,
player,201011250dal,nor,IvorCh00,rec,0,,,,,
player,201011250dal,nor,IvorCh00,rec_yds,0,,,,,
player,201011250dal,nor,IvorCh00,rec_td,0,,,,,
player,201011250dal,nor,IvorCh00,rec_long,0,,,,,
player,201011250dal,nor,IvorCh00,fumbles,0,,,,,
player,201011250dal,nor,IvorCh00,fumbles_lost,,,,,,
player,201011250dal,nor,BushRe00,pass_cmp,0,,,,,
player,201011250dal,nor,BushRe00,pass_att,0,,,,,
player,201011250dal,nor,BushRe00,pass_yds,0,,,,,
player,201011250dal,nor,BushRe00,pass_td,0,,,,,
player,201011250dal,nor,BushRe00,pass_int,0,,,,,
player,201011250dal,nor,BushRe00,pass_sacked,,,,,,
player,201011250dal,nor,BushRe00,pass_sacked_yds,,,,,,
player,201011250dal,nor,BushRe00,pass_long,0,,,,,
player,201011250dal,nor,BushRe00,pass_rating,,,,,,
player,201011250dal,nor,BushRe00,rush_att,1,,,,,
player,201011250dal,nor,BushRe00,rush_yds,1,,,,,
player,201011250dal,nor,BushRe00,rush_td,0,,,,,
player,201011250dal,nor,BushRe00,rush_long,1,,,,,
player,201011250dal,nor,BushRe00,targets,3,,,,,
player,201011250dal,nor,BushRe00,rec,1,,,,,
player,201011250dal,nor,BushRe00,rec_yds,12,,,,,
player,201011250dal,nor,BushRe00,rec_td,0,,,,,
