game,2010,1,20100912,201009120jax,den,"Denver Broncos",17,jax,"Jacksonville Jaguars",24
team,201009120jax,den,First Downs,21,,,,,,
team,201009120jax,jax,First Downs,18,,,,,,
team,201009120jax,den,Rush-Yds-TDs,25-89-1,,,,,,
team,201009120jax,jax,Rush-Yds-TDs,34-134-0,,,,,,
team,201009120jax,den,Cmp-Att-Yd-TD-INT,21-33-295-1-1,,,,,,
team,201009120jax,jax,Cmp-Att-Yd-TD-INT,16-21-170-3-0,,,,,,
team,201009120jax,den,Sacked-Yards,3-21,,,,,,
team,201009120jax,jax,Sacked-Yards,1-5,,,,,,
team,201009120jax,den,Net Pass Yards,274,,,,,,
team,201009120jax,jax,Net Pass Yards,165,,,,,,
team,201009120jax,den,Total Yards,363,,,,,,
team,201009120jax,jax,Total Yards,299,,,,,,
team,201009120jax,den,Fumbles-Lost,1-1,,,,,,
team,201009120jax,jax,Fumbles-Lost,0-0,,,,,,
team,201009120jax,den,Turnovers,2,,,,,,
team,201009120jax,jax,Turnovers,0,,,,,,
team,201009120jax,den,Penalties-Yards,7-70,,,,,,
team,201009120jax,jax,Penalties-Yards,5-47,,,,,,
team,201009120jax,den,Third Down Conv.,3-10,,,,,,
team,201009120jax,jax,Third Down Conv.,3-10,,,,,,
team,201009120jax,den,Fourth Down Conv.,1-2,,,,,,
team,201009120jax,jax,Fourth Down Conv.,1-2,,,,,,
team,201009120jax,den,Time of Possession,30:30,,,,,,
team,201009120jax,jax,Time of Possession,29:30,,,,,,
player,201009120jax,den,OrtoKy00,pass_cmp,21,,,,,
player,201009120jax,den,OrtoKy00,pass_att,33,,,,,
player,201009120jax,den,OrtoKy00,pass_yds,295,,,,,
player,201009120jax,den,OrtoKy00,pass_td,1,,,,,
player,201009120jax,den,OrtoKy00,pass_int,1,,,,,
player,201009120jax,den,OrtoKy00,pass_sacked,3,,,,,
player,201009120jax,den,OrtoKy00,pass_sacked_yds,21,,,,,
player,201009120jax,den,OrtoKy00,pass_long,41,,,,,
player,201009120jax,den,OrtoKy00,pass_rating,89.8,,,,,
player,201009120jax,den,OrtoKy00,rush_att,2,,,,,
player,201009120jax,den,OrtoKy00,rush_yds,12,,,,,
player,201009120jax,den,OrtoKy00,rush_td,0,,,,,
player,201009120jax,den,OrtoKy00,rush_long,7,,,,,
player,201009120jax,den,OrtoKy00,targets,0,,,,,
player,201009120jax,den,OrtoKy00,rec,0,,,,,
player,201009120jax,den,OrtoKy00,rec_yds,0,,,,,
player,201009120jax,den,OrtoKy00,rec_td,0,,,,,
player,201009120jax,den,OrtoKy00,rec_long,0,,,,,
player,201009120jax,den,OrtoKy00,fumbles,0,,,,,
player,201009120jax,den,OrtoKy00,fumbles_lost,,,,,,
player,201009120jax,den,MoreKn00,pass_cmp,0,,,,,
player,201009120jax,den,MoreKn00,pass_att,0,,,,,
player,201009120jax,den,MoreKn00,pass_yds,0,,,,,
player,201009120jax,den,MoreKn00,pass_td,0,,,,,
player,201009120jax,den,MoreKn00,pass_int,0,,,,,
player,201009120jax,den,MoreKn00,pass_sacked,,,,,,
player,201009120jax,den,MoreKn00,pass_sacked_yds,,,,,,
player,201009120jax,den,MoreKn00,pass_long,0,,,,,
player,201009120jax,den,MoreKn00,pass_rating,,,,,,
player,201009120jax,den,MoreKn00,rush_att,15,,,,,
player,201009120jax,den,MoreKn00,rush_yds,60,,,,,
player,201009120jax,den,MoreKn00,rush_td,1,,,,,
player,201009120jax,den,MoreKn00,rush_long,17,,,,,
player,201009120jax,den,MoreKn00,targets,2,,,,,
player,201009120jax,den,MoreKn00,rec,1,,,,,
player,201009120jax,den,MoreKn00,rec_yds,4,,,,,
player,201009120jax,den,MoreKn00,rec_td,0,,,,,
player,201009120jax,den,MoreKn00,rec_long,4,,,,,
player,201009120jax,den,MoreKn00,fumbles,0,,,,,
player,201009120jax,den,MoreKn00,fumbles_lost,,,,,,
player,201009120jax,den,BuckCo00,pass_cmp,0,,,,,
player,201009120jax,den,BuckCo00,pass_att,0,,,,,
player,201009120jax,den,BuckCo00,pass_yds,0,,,,,
player,201009120jax,den,BuckCo00,pass_td,0,,,,,
player,201009120jax,den,BuckCo00,pass_int,0,,,,,
player,201009120jax,den,BuckCo00,pass_sacked,,,,,,
player,201009120jax,den,BuckCo00,pass_sacked_yds,,,,,,
player,201009120jax,den,BuckCo00,pass_long,0,,,,,
player,201009120jax,den,BuckCo00,pass_rating,,,,,,
player,201009120jax,den,BuckCo00,rush_att,6,,,,,
player,201009120jax,den,BuckCo00,rush_yds,15,,,,,
player,201009120jax,den,BuckCo00,rush_td,0,,,,,
player,201009120jax,den,BuckCo00,rush_long,7,,,,,
player,201009120jax,den,BuckCo00,targets,1,,,,,
player,201009120jax,den,BuckCo00,rec,0,,,,,
player,201009120jax,den,BuckCo00,rec_yds,0,,,,,
player,201009120jax,den,BuckCo00,rec_td,0,,,,,
player,201009120jax,den,BuckCo00,rec_long,0,,,,,
player,201009120jax,den,BuckCo00,fumbles,1,,,,,
player,201009120jax,den,BuckCo00,fumbles_lost,1,,,,,
player,201009120jax,den,TeboTi00,pass_cmp,0,,,,,
player,201009120jax,den,TeboTi00,pass_att,0,,,,,
player,201009120jax,den,TeboTi00,pass_yds,0,,,,,
player,201009120jax,den,TeboTi00,pass_td,0,,,,,
player,201009120jax,den,TeboTi00,pass_int,0,,,,,
player,201009120jax,den,TeboTi00,pass_sacked,0,,,,,
player,201009120jax,den,TeboTi00,pass_sacked_yds,,,,,,
player,201009120jax,den,TeboTi00,pass_long,0,,,,,
player,201009120jax,den,TeboTi00,pass_rating,,,,,,
player,201009120jax,den,TeboTi00,rush_att,2,,,,,
player,201009120jax,den,TeboTi00,rush_yds,2,,,,,
player,201009120jax,den,TeboTi00,rush_td,0,,,,,
player,201009120jax,den,TeboTi00,rush_long,1,,,,,
player,201009120jax,den,TeboTi00,targets,0,,,,,
player,201009120jax,den,TeboTi00,rec,0,,,,,
player,201009120jax,den,TeboTi00,rec_yds,0,,,,,
player,201009120jax,den,TeboTi00,rec_td,0,,,,,
player,201009120jax,den,TeboTi00,rec_long,0,,,,,
player,201009120jax,den,TeboTi00,fumbles,0,,,,,
player,201009120jax,den,TeboTi00,fumbles_lost,,,,,,
player,201009120jax,den,LloyBr00,pass_cmp,0,,,,,
player,201009120jax,den,LloyBr00,pass_att,0,,,,,
player,201009120jax,den,LloyBr00,pass_yds,0,,,,,
player,201009120jax,den,LloyBr00,pass_td,0,,,,,
player,201009120jax,den,LloyBr00,pass_int,0,,,,,
player,201009120jax,den,LloyBr00,pass_sacked,,,,,,
player,201009120jax,den,LloyBr00,pass_sacked_yds,,,,,,
player,201009120jax,den,LloyBr00,pass_long,0,,,,,
player,201009120jax,den,LloyBr00,pass_rating,,,,,,
player,201009120jax,den,LloyBr00,rush_att,0,,,,,
player,201009120jax,den,LloyBr00,rush_yds,0,,,,,
player,201009120jax,den,LloyBr00,rush_td,0,,,,,
player,201009120jax,den,LloyBr00,rush_long,0,,,,,
player,201009120jax,den,LloyBr00,targets,8,,,,,
player,201009120jax,den,LloyBr00,rec,5,,,,,
player,201009120jax,den,LloyBr00,rec_yds,117,,,,,
player,201009120jax,den,LloyBr00,rec_td,0,,,,,
player,201009120jax,den,LloyBr00,rec_long,41,,,,,
player,201009120jax,den,LloyBr00,fumbles,0,,,,,
player,201009120jax,den,LloyBr00,fumbles_lost,,,,,,
player,201009120jax,den,RoyaEd00,pass_cmp,0,,,,,
player,201009120jax,den,RoyaEd00,pass_att,0,,,,,
player,201009120jax,den,RoyaEd00,pass_yds,0,,,,,
player,201009120jax,den,RoyaEd00,pass_td,0,,,,,
player,201009120jax,den,RoyaEd00,pass_int,0,,,,,
player,201009120jax,den,RoyaEd00,pass_sacked,,,,,,
player,201009120jax,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201009120jax,den,RoyaEd00,pass_long,0,,,,,
player,201009120jax,den,RoyaEd00,pass_rating,,,,,,
player,201009120jax,den,RoyaEd00,rush_att,0,,,,,
player,201009120jax,den,RoyaEd00,rush_yds,0,,,,,
player,201009120jax,den,RoyaEd00,rush_td,0,,,,,
player,201009120jax,den,RoyaEd00,rush_long,0,,,,,
player,201009120jax,den,RoyaEd00,targets,10,,,,,
player,201009120jax,den,RoyaEd00,rec,8,,,,,
player,201009120jax,den,RoyaEd00,rec_yds,98,,,,,
player,201009120jax,den,RoyaEd00,rec_td,0,,,,,
player,201009120jax,den,RoyaEd00,rec_long,25,,,,,
player,201009120jax,den,RoyaEd00,fumbles,0,,,,,
player,201009120jax,den,RoyaEd00,fumbles_lost,,,,,,
player,201009120jax,den,GrahDa00,pass_cmp,0,,,,,
player,201009120jax,den,GrahDa00,pass_att,0,,,,,
player,201009120jax,den,GrahDa00,pass_yds,0,,,,,
player,201009120jax,den,GrahDa00,pass_td,0,,,,,
player,201009120jax,den,GrahDa00,pass_int,0,,,,,
player,201009120jax,den,GrahDa00,pass_sacked,,,,,,
player,201009120jax,den,GrahDa00,pass_sacked_yds,,,,,,
player,201009120jax,den,GrahDa00,pass_long,0,,,,,
player,201009120jax,den,GrahDa00,pass_rating,,,,,,
player,201009120jax,den,GrahDa00,rush_att,0,,,,,
player,201009120jax,den,GrahDa00,rush_yds,0,,,,,
player,201009120jax,den,GrahDa00,rush_td,0,,,,,
player,201009120jax,den,GrahDa00,rush_long,0,,,,,
player,201009120jax,den,GrahDa00,targets,3,,,,,
player,201009120jax,den,GrahDa00,rec,2,,,,,
player,201009120jax,den,GrahDa00,rec_yds,36,,,,,
player,201009120jax,den,GrahDa00,rec_td,0,,,,,
player,201009120jax,den,GrahDa00,rec_long,28,,,,,
player,201009120jax,den,GrahDa00,fumbles,0,,,,,
player,201009120jax,den,GrahDa00,fumbles_lost,,,,,,
player,201009120jax,den,GaffJa00,pass_cmp,0,,,,,
player,201009120jax,den,GaffJa00,pass_att,0,,,,,
player,201009120jax,den,GaffJa00,pass_yds,0,,,,,
player,201009120jax,den,GaffJa00,pass_td,0,,,,,
player,201009120jax,den,GaffJa00,pass_int,0,,,,,
player,201009120jax,den,GaffJa00,pass_sacked,,,,,,
player,201009120jax,den,GaffJa00,pass_sacked_yds,,,,,,
player,201009120jax,den,GaffJa00,pass_long,0,,,,,
player,201009120jax,den,GaffJa00,pass_rating,,,,,,
player,201009120jax,den,GaffJa00,rush_att,0,,,,,
player,201009120jax,den,GaffJa00,rush_yds,0,,,,,
player,201009120jax,den,GaffJa00,rush_td,0,,,,,
player,201009120jax,den,GaffJa00,rush_long,0,,,,,
player,201009120jax,den,GaffJa00,targets,7,,,,,
player,201009120jax,den,GaffJa00,rec,3,,,,,
player,201009120jax,den,GaffJa00,rec_yds,34,,,,,
player,201009120jax,den,GaffJa00,rec_td,1,,,,,
player,201009120jax,den,GaffJa00,rec_long,15,,,,,
player,201009120jax,den,GaffJa00,fumbles,0,,,,,
player,201009120jax,den,GaffJa00,fumbles_lost,,,,,,
player,201009120jax,den,LarsSp99,pass_cmp,0,,,,,
player,201009120jax,den,LarsSp99,pass_att,0,,,,,
player,201009120jax,den,LarsSp99,pass_yds,0,,,,,
player,201009120jax,den,LarsSp99,pass_td,0,,,,,
player,201009120jax,den,LarsSp99,pass_int,0,,,,,
player,201009120jax,den,LarsSp99,pass_sacked,,,,,,
player,201009120jax,den,LarsSp99,pass_sacked_yds,,,,,,
player,201009120jax,den,LarsSp99,pass_long,0,,,,,
player,201009120jax,den,LarsSp99,pass_rating,,,,,,
player,201009120jax,den,LarsSp99,rush_att,0,,,,,
player,201009120jax,den,LarsSp99,rush_yds,0,,,,,
player,201009120jax,den,LarsSp99,rush_td,0,,,,,
player,201009120jax,den,LarsSp99,rush_long,0,,,,,
player,201009120jax,den,LarsSp99,targets,1,,,,,
player,201009120jax,den,LarsSp99,rec,1,,,,,
player,201009120jax,den,LarsSp99,rec_yds,4,,,,,
player,201009120jax,den,LarsSp99,rec_td,0,,,,,
player,201009120jax,den,LarsSp99,rec_long,4,,,,,
player,201009120jax,den,LarsSp99,fumbles,0,,,,,
player,201009120jax,den,LarsSp99,fumbles_lost,,,,,,
player,201009120jax,den,GronDa00,pass_cmp,0,,,,,
player,201009120jax,den,GronDa00,pass_att,0,,,,,
player,201009120jax,den,GronDa00,pass_yds,0,,,,,
player,201009120jax,den,GronDa00,pass_td,0,,,,,
player,201009120jax,den,GronDa00,pass_int,0,,,,,
player,201009120jax,den,GronDa00,pass_sacked,,,,,,
player,201009120jax,den,GronDa00,pass_sacked_yds,,,,,,
player,201009120jax,den,GronDa00,pass_long,0,,,,,
player,201009120jax,den,GronDa00,pass_rating,,,,,,
player,201009120jax,den,GronDa00,rush_att,0,,,,,
player,201009120jax,den,GronDa00,rush_yds,0,,,,,
player,201009120jax,den,GronDa00,rush_td,0,,,,,
player,201009120jax,den,GronDa00,rush_long,0,,,,,
player,201009120jax,den,GronDa00,targets,1,,,,,
player,201009120jax,den,GronDa00,rec,1,,,,,
player,201009120jax,den,GronDa00,rec_yds,2,,,,,
player,201009120jax,den,GronDa00,rec_td,0,,,,,
player,201009120jax,den,GronDa00,rec_long,2,,,,,
player,201009120jax,den,GronDa00,fumbles,0,,,,,
player,201009120jax,den,GronDa00,fumbles_lost,,,,,,
player,201009120jax,jax,GarrDa00,pass_cmp,16,,,,,
player,201009120jax,jax,GarrDa00,pass_att,21,,,,,
player,201009120jax,jax,GarrDa00,pass_yds,170,,,,,
player,201009120jax,jax,GarrDa00,pass_td,3,,,,,
player,201009120jax,jax,GarrDa00,pass_int,0,,,,,
player,201009120jax,jax,GarrDa00,pass_sacked,1,,,,,
player,201009120jax,jax,GarrDa00,pass_sacked_yds,5,,,,,
player,201009120jax,jax,GarrDa00,pass_long,26,,,,,
player,201009120jax,jax,GarrDa00,pass_rating,138.9,,,,,
player,201009120jax,jax,GarrDa00,rush_att,7,,,,,
player,201009120jax,jax,GarrDa00,rush_yds,10,,,,,
player,201009120jax,jax,GarrDa00,rush_td,0,,,,,
player,201009120jax,jax,GarrDa00,rush_long,5,,,,,
player,201009120jax,jax,GarrDa00,targets,0,,,,,
player,201009120jax,jax,GarrDa00,rec,0,,,,,
player,201009120jax,jax,GarrDa00,rec_yds,0,,,,,
player,201009120jax,jax,GarrDa00,rec_td,0,,,,,
player,201009120jax,jax,GarrDa00,rec_long,0,,,,,
player,201009120jax,jax,GarrDa00,fumbles,0,,,,,
player,201009120jax,jax,GarrDa00,fumbles_lost,,,,,,
player,201009120jax,jax,DrewMa00,pass_cmp,0,,,,,
player,201009120jax,jax,DrewMa00,pass_att,0,,,,,
player,201009120jax,jax,DrewMa00,pass_yds,0,,,,,
player,201009120jax,jax,DrewMa00,pass_td,0,,,,,
player,201009120jax,jax,DrewMa00,pass_int,0,,,,,
player,201009120jax,jax,DrewMa00,pass_sacked,0,,,,,
player,201009120jax,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201009120jax,jax,DrewMa00,pass_long,0,,,,,
player,201009120jax,jax,DrewMa00,pass_rating,,,,,,
player,201009120jax,jax,DrewMa00,rush_att,23,,,,,
player,201009120jax,jax,DrewMa00,rush_yds,98,,,,,
player,201009120jax,jax,DrewMa00,rush_td,0,,,,,
player,201009120jax,jax,DrewMa00,rush_long,18,,,,,
player,201009120jax,jax,DrewMa00,targets,3,,,,,
player,201009120jax,jax,DrewMa00,rec,3,,,,,
player,201009120jax,jax,DrewMa00,rec_yds,15,,,,,
player,201009120jax,jax,DrewMa00,rec_td,0,,,,,
player,201009120jax,jax,DrewMa00,rec_long,8,,,,,
player,201009120jax,jax,DrewMa00,fumbles,0,,,,,
player,201009120jax,jax,DrewMa00,fumbles_lost,,,,,,
player,201009120jax,jax,JennRa00,pass_cmp,0,,,,,
player,201009120jax,jax,JennRa00,pass_att,0,,,,,
player,201009120jax,jax,JennRa00,pass_yds,0,,,,,
player,201009120jax,jax,JennRa00,pass_td,0,,,,,
player,201009120jax,jax,JennRa00,pass_int,0,,,,,
player,201009120jax,jax,JennRa00,pass_sacked,,,,,,
player,201009120jax,jax,JennRa00,pass_sacked_yds,,,,,,
player,201009120jax,jax,JennRa00,pass_long,0,,,,,
player,201009120jax,jax,JennRa00,pass_rating,,,,,,
player,201009120jax,jax,JennRa00,rush_att,4,,,,,
player,201009120jax,jax,JennRa00,rush_yds,26,,,,,
player,201009120jax,jax,JennRa00,rush_td,0,,,,,
player,201009120jax,jax,JennRa00,rush_long,15,,,,,
player,201009120jax,jax,JennRa00,targets,2,,,,,
player,201009120jax,jax,JennRa00,rec,1,,,,,
