game,2010,6,20101017,201010170ram,sdg,"San Diego Chargers",17,ram,"St. Louis Rams",20
player,201010170ram,sdg,HestJa00,fumbles_lost,,,,,,
player,201010170ram,sdg,TolbMi00,pass_cmp,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_att,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_yds,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_td,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_int,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_sacked,,,,,,
player,201010170ram,sdg,TolbMi00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,TolbMi00,pass_long,0,,,,,
player,201010170ram,sdg,TolbMi00,pass_rating,,,,,,
player,201010170ram,sdg,TolbMi00,rush_att,3,,,,,
player,201010170ram,sdg,TolbMi00,rush_yds,3,,,,,
player,201010170ram,sdg,TolbMi00,rush_td,1,,,,,
player,201010170ram,sdg,TolbMi00,rush_long,1,,,,,
player,201010170ram,sdg,TolbMi00,targets,0,,,,,
player,201010170ram,sdg,TolbMi00,rec,0,,,,,
player,201010170ram,sdg,TolbMi00,rec_yds,0,,,,,
player,201010170ram,sdg,TolbMi00,rec_td,0,,,,,
player,201010170ram,sdg,TolbMi00,rec_long,0,,,,,
player,201010170ram,sdg,TolbMi00,fumbles,0,,,,,
player,201010170ram,sdg,TolbMi00,fumbles_lost,,,,,,
player,201010170ram,sdg,CrayPa00,pass_cmp,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_att,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_yds,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_td,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_int,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_sacked,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,CrayPa00,pass_long,0,,,,,
player,201010170ram,sdg,CrayPa00,pass_rating,,,,,,
player,201010170ram,sdg,CrayPa00,rush_att,0,,,,,
player,201010170ram,sdg,CrayPa00,rush_yds,0,,,,,
player,201010170ram,sdg,CrayPa00,rush_td,0,,,,,
player,201010170ram,sdg,CrayPa00,rush_long,0,,,,,
player,201010170ram,sdg,CrayPa00,targets,7,,,,,
player,201010170ram,sdg,CrayPa00,rec,6,,,,,
player,201010170ram,sdg,CrayPa00,rec_yds,117,,,,,
player,201010170ram,sdg,CrayPa00,rec_td,0,,,,,
player,201010170ram,sdg,CrayPa00,rec_long,29,,,,,
player,201010170ram,sdg,CrayPa00,fumbles,0,,,,,
player,201010170ram,sdg,CrayPa00,fumbles_lost,,,,,,
player,201010170ram,sdg,DaviCr00,pass_cmp,0,,,,,
player,201010170ram,sdg,DaviCr00,pass_att,0,,,,,
player,201010170ram,sdg,DaviCr00,pass_yds,0,,,,,
player,201010170ram,sdg,DaviCr00,pass_td,0,,,,,
player,201010170ram,sdg,DaviCr00,pass_int,0,,,,,
player,201010170ram,sdg,DaviCr00,pass_sacked,,,,,,
player,201010170ram,sdg,DaviCr00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,DaviCr00,pass_long,0,,,,,
player,201010170ram,sdg,DaviCr00,pass_rating,,,,,,
player,201010170ram,sdg,DaviCr00,rush_att,0,,,,,
player,201010170ram,sdg,DaviCr00,rush_yds,0,,,,,
player,201010170ram,sdg,DaviCr00,rush_td,0,,,,,
player,201010170ram,sdg,DaviCr00,rush_long,0,,,,,
player,201010170ram,sdg,DaviCr00,targets,8,,,,,
player,201010170ram,sdg,DaviCr00,rec,3,,,,,
player,201010170ram,sdg,DaviCr00,rec_yds,39,,,,,
player,201010170ram,sdg,DaviCr00,rec_td,1,,,,,
player,201010170ram,sdg,DaviCr00,rec_long,17,,,,,
player,201010170ram,sdg,DaviCr00,fumbles,0,,,,,
player,201010170ram,sdg,DaviCr00,fumbles_lost,,,,,,
player,201010170ram,sdg,FloyMa00,pass_cmp,0,,,,,
player,201010170ram,sdg,FloyMa00,pass_att,0,,,,,
player,201010170ram,sdg,FloyMa00,pass_yds,0,,,,,
player,201010170ram,sdg,FloyMa00,pass_td,0,,,,,
player,201010170ram,sdg,FloyMa00,pass_int,0,,,,,
player,201010170ram,sdg,FloyMa00,pass_sacked,,,,,,
player,201010170ram,sdg,FloyMa00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,FloyMa00,pass_long,0,,,,,
player,201010170ram,sdg,FloyMa00,pass_rating,,,,,,
player,201010170ram,sdg,FloyMa00,rush_att,0,,,,,
player,201010170ram,sdg,FloyMa00,rush_yds,0,,,,,
player,201010170ram,sdg,FloyMa00,rush_td,0,,,,,
player,201010170ram,sdg,FloyMa00,rush_long,0,,,,,
player,201010170ram,sdg,FloyMa00,targets,5,,,,,
player,201010170ram,sdg,FloyMa00,rec,2,,,,,
player,201010170ram,sdg,FloyMa00,rec_yds,15,,,,,
player,201010170ram,sdg,FloyMa00,rec_td,0,,,,,
player,201010170ram,sdg,FloyMa00,rec_long,12,,,,,
player,201010170ram,sdg,FloyMa00,fumbles,0,,,,,
player,201010170ram,sdg,FloyMa00,fumbles_lost,,,,,,
player,201010170ram,sdg,GateAn00,pass_cmp,0,,,,,
player,201010170ram,sdg,GateAn00,pass_att,0,,,,,
player,201010170ram,sdg,GateAn00,pass_yds,0,,,,,
player,201010170ram,sdg,GateAn00,pass_td,0,,,,,
player,201010170ram,sdg,GateAn00,pass_int,0,,,,,
player,201010170ram,sdg,GateAn00,pass_sacked,,,,,,
player,201010170ram,sdg,GateAn00,pass_sacked_yds,,,,,,
player,201010170ram,sdg,GateAn00,pass_long,0,,,,,
player,201010170ram,sdg,GateAn00,pass_rating,,,,,,
