game,2010,17,20110102,201101020den,sdg,"San Diego Chargers",33,den,"Denver Broncos",28
player,201101020den,sdg,FloyMa00,pass_yds,0,,,,,
player,201101020den,sdg,FloyMa00,pass_td,0,,,,,
player,201101020den,sdg,FloyMa00,pass_int,0,,,,,
player,201101020den,sdg,FloyMa00,pass_sacked,,,,,,
player,201101020den,sdg,FloyMa00,pass_sacked_yds,,,,,,
player,201101020den,sdg,FloyMa00,pass_long,0,,,,,
player,201101020den,sdg,FloyMa00,pass_rating,,,,,,
player,201101020den,sdg,FloyMa00,rush_att,0,,,,,
player,201101020den,sdg,FloyMa00,rush_yds,0,,,,,
player,201101020den,sdg,FloyMa00,rush_td,0,,,,,
player,201101020den,sdg,FloyMa00,rush_long,0,,,,,
player,201101020den,sdg,FloyMa00,targets,9,,,,,
player,201101020den,sdg,FloyMa00,rec,2,,,,,
player,201101020den,sdg,FloyMa00,rec_yds,57,,,,,
player,201101020den,sdg,FloyMa00,rec_td,0,,,,,
player,201101020den,sdg,FloyMa00,rec_long,41,,,,,
player,201101020den,sdg,FloyMa00,fumbles,0,,,,,
player,201101020den,sdg,FloyMa00,fumbles_lost,,,,,,
player,201101020den,sdg,JackVi00,pass_cmp,0,,,,,
player,201101020den,sdg,JackVi00,pass_att,0,,,,,
player,201101020den,sdg,JackVi00,pass_yds,0,,,,,
player,201101020den,sdg,JackVi00,pass_td,0,,,,,
player,201101020den,sdg,JackVi00,pass_int,0,,,,,
player,201101020den,sdg,JackVi00,pass_sacked,,,,,,
player,201101020den,sdg,JackVi00,pass_sacked_yds,,,,,,
player,201101020den,sdg,JackVi00,pass_long,0,,,,,
player,201101020den,sdg,JackVi00,pass_rating,,,,,,
player,201101020den,sdg,JackVi00,rush_att,0,,,,,
player,201101020den,sdg,JackVi00,rush_yds,0,,,,,
player,201101020den,sdg,JackVi00,rush_td,0,,,,,
player,201101020den,sdg,JackVi00,rush_long,0,,,,,
player,201101020den,sdg,JackVi00,targets,5,,,,,
player,201101020den,sdg,JackVi00,rec,3,,,,,
player,201101020den,sdg,JackVi00,rec_yds,53,,,,,
player,201101020den,sdg,JackVi00,rec_td,0,,,,,
player,201101020den,sdg,JackVi00,rec_long,26,,,,,
player,201101020den,sdg,JackVi00,fumbles,0,,,,,
player,201101020den,sdg,JackVi00,fumbles_lost,,,,,,
player,201101020den,sdg,McMiRa01,pass_cmp,0,,,,,
player,201101020den,sdg,McMiRa01,pass_att,0,,,,,
player,201101020den,sdg,McMiRa01,pass_yds,0,,,,,
player,201101020den,sdg,McMiRa01,pass_td,0,,,,,
player,201101020den,sdg,McMiRa01,pass_int,0,,,,,
player,201101020den,sdg,McMiRa01,pass_sacked,,,,,,
player,201101020den,sdg,McMiRa01,pass_sacked_yds,,,,,,
player,201101020den,sdg,McMiRa01,pass_long,0,,,,,
player,201101020den,sdg,McMiRa01,pass_rating,,,,,,
player,201101020den,sdg,McMiRa01,rush_att,0,,,,,
player,201101020den,sdg,McMiRa01,rush_yds,0,,,,,
player,201101020den,sdg,McMiRa01,rush_td,0,,,,,
player,201101020den,sdg,McMiRa01,rush_long,0,,,,,
player,201101020den,sdg,McMiRa01,targets,2,,,,,
player,201101020den,sdg,McMiRa01,rec,2,,,,,
player,201101020den,sdg,McMiRa01,rec_yds,22,,,,,
player,201101020den,sdg,McMiRa01,rec_td,0,,,,,
player,201101020den,sdg,McMiRa01,rec_long,17,,,,,
player,201101020den,sdg,McMiRa01,fumbles,0,,,,,
player,201101020den,sdg,McMiRa01,fumbles_lost,,,,,,
player,201101020den,sdg,WashKe00,pass_cmp,0,,,,,
player,201101020den,sdg,WashKe00,pass_att,0,,,,,
player,201101020den,sdg,WashKe00,pass_yds,0,,,,,
player,201101020den,sdg,WashKe00,pass_td,0,,,,,
player,201101020den,sdg,WashKe00,pass_int,0,,,,,
player,201101020den,sdg,WashKe00,pass_sacked,,,,,,
player,201101020den,sdg,WashKe00,pass_sacked_yds,,,,,,
player,201101020den,sdg,WashKe00,pass_long,0,,,,,
player,201101020den,sdg,WashKe00,pass_rating,,,,,,
player,201101020den,sdg,WashKe00,rush_att,0,,,,,
player,201101020den,sdg,WashKe00,rush_yds,0,,,,,
player,201101020den,sdg,WashKe00,rush_td,0,,,,,
player,201101020den,sdg,WashKe00,rush_long,0,,,,,
player,201101020den,sdg,WashKe00,targets,2,,,,,
player,201101020den,sdg,WashKe00,rec,2,,,,,
player,201101020den,sdg,WashKe00,rec_yds,20,,,,,
player,201101020den,sdg,WashKe00,rec_td,0,,,,,
player,201101020den,sdg,WashKe00,rec_long,16,,,,,
player,201101020den,sdg,WashKe00,fumbles,0,,,,,
player,201101020den,sdg,WashKe00,fumbles_lost,,,,,,
player,201101020den,sdg,SperKo00,pass_cmp,0,,,,,
player,201101020den,sdg,SperKo00,pass_att,0,,,,,
player,201101020den,sdg,SperKo00,pass_yds,0,,,,,
player,201101020den,sdg,SperKo00,pass_td,0,,,,,
player,201101020den,sdg,SperKo00,pass_int,0,,,,,
player,201101020den,sdg,SperKo00,pass_sacked,,,,,,
player,201101020den,sdg,SperKo00,pass_sacked_yds,,,,,,
player,201101020den,sdg,SperKo00,pass_long,0,,,,,
player,201101020den,sdg,SperKo00,pass_rating,,,,,,
player,201101020den,sdg,SperKo00,rush_att,0,,,,,
player,201101020den,sdg,SperKo00,rush_yds,0,,,,,
player,201101020den,sdg,SperKo00,rush_td,0,,,,,
player,201101020den,sdg,SperKo00,rush_long,0,,,,,
player,201101020den,sdg,SperKo00,targets,1,,,,,
player,201101020den,sdg,SperKo00,rec,1,,,,,
player,201101020den,sdg,SperKo00,rec_yds,17,,,,,
player,201101020den,sdg,SperKo00,rec_td,0,,,,,
player,201101020den,sdg,SperKo00,rec_long,17,,,,,
