game,2010,1,20100912,201009120tam,cle,"Cleveland Browns",14,tam,"Tampa Bay Buccaneers",17
team,201009120tam,cle,First Downs,15,,,,,,
team,201009120tam,tam,First Downs,13,,,,,,
team,201009120tam,cle,Rush-Yds-TDs,23-104-1,,,,,,
team,201009120tam,tam,Rush-Yds-TDs,30-119-0,,,,,,
team,201009120tam,cle,Cmp-Att-Yd-TD-INT,21-38-236-1-2,,,,,,
team,201009120tam,tam,Cmp-Att-Yd-TD-INT,17-28-182-2-1,,,,,,
team,201009120tam,cle,Sacked-Yards,0-0,,,,,,
team,201009120tam,tam,Sacked-Yards,3-13,,,,,,
team,201009120tam,cle,Net Pass Yards,236,,,,,,
team,201009120tam,tam,Net Pass Yards,169,,,,,,
team,201009120tam,cle,Total Yards,340,,,,,,
team,201009120tam,tam,Total Yards,288,,,,,,
team,201009120tam,cle,Fumbles-Lost,3-1,,,,,,
team,201009120tam,tam,Fumbles-Lost,1-1,,,,,,
team,201009120tam,cle,Turnovers,3,,,,,,
team,201009120tam,tam,Turnovers,2,,,,,,
team,201009120tam,cle,Penalties-Yards,5-47,,,,,,
team,201009120tam,tam,Penalties-Yards,6-55,,,,,,
team,201009120tam,cle,Third Down Conv.,5-13,,,,,,
team,201009120tam,tam,Third Down Conv.,7-17,,,,,,
team,201009120tam,cle,Fourth Down Conv.,0-1,,,,,,
team,201009120tam,tam,Fourth Down Conv.,0-1,,,,,,
team,201009120tam,cle,Time of Possession,27:39,,,,,,
team,201009120tam,tam,Time of Possession,32:21,,,,,,
player,201009120tam,cle,DelhJa00,pass_cmp,20,,,,,
player,201009120tam,cle,DelhJa00,pass_att,37,,,,,
player,201009120tam,cle,DelhJa00,pass_yds,227,,,,,
player,201009120tam,cle,DelhJa00,pass_td,1,,,,,
player,201009120tam,cle,DelhJa00,pass_int,2,,,,,
player,201009120tam,cle,DelhJa00,pass_sacked,0,,,,,
player,201009120tam,cle,DelhJa00,pass_sacked_yds,0,,,,,
player,201009120tam,cle,DelhJa00,pass_long,49,,,,,
player,201009120tam,cle,DelhJa00,pass_rating,59.2,,,,,
player,201009120tam,cle,DelhJa00,rush_att,1,,,,,
player,201009120tam,cle,DelhJa00,rush_yds,1,,,,,
player,201009120tam,cle,DelhJa00,rush_td,0,,,,,
player,201009120tam,cle,DelhJa00,rush_long,1,,,,,
player,201009120tam,cle,DelhJa00,targets,0,,,,,
player,201009120tam,cle,DelhJa00,rec,0,,,,,
player,201009120tam,cle,DelhJa00,rec_yds,0,,,,,
player,201009120tam,cle,DelhJa00,rec_td,0,,,,,
player,201009120tam,cle,DelhJa00,rec_long,0,,,,,
player,201009120tam,cle,DelhJa00,fumbles,0,,,,,
player,201009120tam,cle,DelhJa00,fumbles_lost,,,,,,
player,201009120tam,cle,CribJo01,pass_cmp,1,,,,,
player,201009120tam,cle,CribJo01,pass_att,1,,,,,
player,201009120tam,cle,CribJo01,pass_yds,9,,,,,
player,201009120tam,cle,CribJo01,pass_td,0,,,,,
player,201009120tam,cle,CribJo01,pass_int,0,,,,,
player,201009120tam,cle,CribJo01,pass_sacked,0,,,,,
player,201009120tam,cle,CribJo01,pass_sacked_yds,0,,,,,
player,201009120tam,cle,CribJo01,pass_long,9,,,,,
player,201009120tam,cle,CribJo01,pass_rating,104.2,,,,,
player,201009120tam,cle,CribJo01,rush_att,3,,,,,
player,201009120tam,cle,CribJo01,rush_yds,11,,,,,
player,201009120tam,cle,CribJo01,rush_td,0,,,,,
player,201009120tam,cle,CribJo01,rush_long,6,,,,,
player,201009120tam,cle,CribJo01,targets,2,,,,,
player,201009120tam,cle,CribJo01,rec,2,,,,,
player,201009120tam,cle,CribJo01,rec_yds,11,,,,,
player,201009120tam,cle,CribJo01,rec_td,0,,,,,
player,201009120tam,cle,CribJo01,rec_long,6,,,,,
player,201009120tam,cle,CribJo01,fumbles,1,,,,,
player,201009120tam,cle,CribJo01,fumbles_lost,1,,,,,
player,201009120tam,cle,HarrJe00,pass_cmp,0,,,,,
player,201009120tam,cle,HarrJe00,pass_att,0,,,,,
player,201009120tam,cle,HarrJe00,pass_yds,0,,,,,
player,201009120tam,cle,HarrJe00,pass_td,0,,,,,
player,201009120tam,cle,HarrJe00,pass_int,0,,,,,
player,201009120tam,cle,HarrJe00,pass_sacked,,,,,,
player,201009120tam,cle,HarrJe00,pass_sacked_yds,,,,,,
player,201009120tam,cle,HarrJe00,pass_long,0,,,,,
player,201009120tam,cle,HarrJe00,pass_rating,,,,,,
player,201009120tam,cle,HarrJe00,rush_att,9,,,,,
player,201009120tam,cle,HarrJe00,rush_yds,52,,,,,
player,201009120tam,cle,HarrJe00,rush_td,0,,,,,
player,201009120tam,cle,HarrJe00,rush_long,39,,,,,
player,201009120tam,cle,HarrJe00,targets,1,,,,,
player,201009120tam,cle,HarrJe00,rec,1,,,,,
player,201009120tam,cle,HarrJe00,rec_yds,7,,,,,
player,201009120tam,cle,HarrJe00,rec_td,0,,,,,
player,201009120tam,cle,HarrJe00,rec_long,7,,,,,
player,201009120tam,cle,HarrJe00,fumbles,0,,,,,
player,201009120tam,cle,HarrJe00,fumbles_lost,,,,,,
player,201009120tam,cle,HillPe00,pass_cmp,0,,,,,
player,201009120tam,cle,HillPe00,pass_att,0,,,,,
player,201009120tam,cle,HillPe00,pass_yds,0,,,,,
player,201009120tam,cle,HillPe00,pass_td,0,,,,,
player,201009120tam,cle,HillPe00,pass_int,0,,,,,
player,201009120tam,cle,HillPe00,pass_sacked,0,,,,,
player,201009120tam,cle,HillPe00,pass_sacked_yds,,,,,,
player,201009120tam,cle,HillPe00,pass_long,0,,,,,
player,201009120tam,cle,HillPe00,pass_rating,,,,,,
player,201009120tam,cle,HillPe00,rush_att,9,,,,,
player,201009120tam,cle,HillPe00,rush_yds,41,,,,,
player,201009120tam,cle,HillPe00,rush_td,1,,,,,
player,201009120tam,cle,HillPe00,rush_long,12,,,,,
player,201009120tam,cle,HillPe00,targets,5,,,,,
player,201009120tam,cle,HillPe00,rec,4,,,,,
player,201009120tam,cle,HillPe00,rec_yds,24,,,,,
player,201009120tam,cle,HillPe00,rec_td,0,,,,,
player,201009120tam,cle,HillPe00,rec_long,16,,,,,
player,201009120tam,cle,HillPe00,fumbles,2,,,,,
player,201009120tam,cle,HillPe00,fumbles_lost,1,,,,,
player,201009120tam,cle,MoorEv00,pass_cmp,0,,,,,
player,201009120tam,cle,MoorEv00,pass_att,0,,,,,
player,201009120tam,cle,MoorEv00,pass_yds,0,,,,,
player,201009120tam,cle,MoorEv00,pass_td,0,,,,,
