game,2010,15,20101219,201012190clt,jax,"Jacksonville Jaguars",24,clt,"Indianapolis Colts",34
team,201012190clt,jax,First Downs,20,,,,,,
team,201012190clt,clt,First Downs,19,,,,,,
team,201012190clt,jax,Rush-Yds-TDs,22-67-0,,,,,,
team,201012190clt,clt,Rush-Yds-TDs,24-155-1,,,,,,
team,201012190clt,jax,Cmp-Att-Yd-TD-INT,24-38-294-2-1,,,,,,
team,201012190clt,clt,Cmp-Att-Yd-TD-INT,29-39-229-2-0,,,,,,
team,201012190clt,jax,Sacked-Yards,1-5,,,,,,
team,201012190clt,clt,Sacked-Yards,1-8,,,,,,
team,201012190clt,jax,Net Pass Yards,289,,,,,,
team,201012190clt,clt,Net Pass Yards,221,,,,,,
team,201012190clt,jax,Total Yards,356,,,,,,
team,201012190clt,clt,Total Yards,376,,,,,,
team,201012190clt,jax,Fumbles-Lost,3-1,,,,,,
team,201012190clt,clt,Fumbles-Lost,0-0,,,,,,
team,201012190clt,jax,Turnovers,2,,,,,,
team,201012190clt,clt,Turnovers,0,,,,,,
team,201012190clt,jax,Penalties-Yards,6-55,,,,,,
team,201012190clt,clt,Penalties-Yards,6-68,,,,,,
team,201012190clt,jax,Third Down Conv.,5-13,,,,,,
team,201012190clt,clt,Third Down Conv.,5-13,,,,,,
team,201012190clt,jax,Fourth Down Conv.,2-3,,,,,,
team,201012190clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201012190clt,jax,Time of Possession,30:22,,,,,,
team,201012190clt,clt,Time of Possession,29:38,,,,,,
player,201012190clt,jax,GarrDa00,pass_cmp,24,,,,,
player,201012190clt,jax,GarrDa00,pass_att,38,,,,,
player,201012190clt,jax,GarrDa00,pass_yds,294,,,,,
player,201012190clt,jax,GarrDa00,pass_td,2,,,,,
player,201012190clt,jax,GarrDa00,pass_int,1,,,,,
player,201012190clt,jax,GarrDa00,pass_sacked,1,,,,,
player,201012190clt,jax,GarrDa00,pass_sacked_yds,5,,,,,
player,201012190clt,jax,GarrDa00,pass_long,39,,,,,
player,201012190clt,jax,GarrDa00,pass_rating,93.5,,,,,
player,201012190clt,jax,GarrDa00,rush_att,4,,,,,
player,201012190clt,jax,GarrDa00,rush_yds,8,,,,,
player,201012190clt,jax,GarrDa00,rush_td,0,,,,,
player,201012190clt,jax,GarrDa00,rush_long,5,,,,,
player,201012190clt,jax,GarrDa00,targets,0,,,,,
player,201012190clt,jax,GarrDa00,rec,0,,,,,
player,201012190clt,jax,GarrDa00,rec_yds,0,,,,,
player,201012190clt,jax,GarrDa00,rec_td,0,,,,,
player,201012190clt,jax,GarrDa00,rec_long,0,,,,,
player,201012190clt,jax,GarrDa00,fumbles,2,,,,,
player,201012190clt,jax,GarrDa00,fumbles_lost,0,,,,,
player,201012190clt,jax,DrewMa00,pass_cmp,0,,,,,
player,201012190clt,jax,DrewMa00,pass_att,0,,,,,
player,201012190clt,jax,DrewMa00,pass_yds,0,,,,,
player,201012190clt,jax,DrewMa00,pass_td,0,,,,,
player,201012190clt,jax,DrewMa00,pass_int,0,,,,,
player,201012190clt,jax,DrewMa00,pass_sacked,0,,,,,
player,201012190clt,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201012190clt,jax,DrewMa00,pass_long,0,,,,,
player,201012190clt,jax,DrewMa00,pass_rating,,,,,,
player,201012190clt,jax,DrewMa00,rush_att,15,,,,,
player,201012190clt,jax,DrewMa00,rush_yds,46,,,,,
player,201012190clt,jax,DrewMa00,rush_td,0,,,,,
player,201012190clt,jax,DrewMa00,rush_long,12,,,,,
player,201012190clt,jax,DrewMa00,targets,3,,,,,
player,201012190clt,jax,DrewMa00,rec,2,,,,,
player,201012190clt,jax,DrewMa00,rec_yds,22,,,,,
player,201012190clt,jax,DrewMa00,rec_td,0,,,,,
player,201012190clt,jax,DrewMa00,rec_long,14,,,,,
player,201012190clt,jax,DrewMa00,fumbles,0,,,,,
player,201012190clt,jax,DrewMa00,fumbles_lost,,,,,,
player,201012190clt,jax,JennRa00,pass_cmp,0,,,,,
player,201012190clt,jax,JennRa00,pass_att,0,,,,,
player,201012190clt,jax,JennRa00,pass_yds,0,,,,,
player,201012190clt,jax,JennRa00,pass_td,0,,,,,
player,201012190clt,jax,JennRa00,pass_int,0,,,,,
player,201012190clt,jax,JennRa00,pass_sacked,,,,,,
player,201012190clt,jax,JennRa00,pass_sacked_yds,,,,,,
player,201012190clt,jax,JennRa00,pass_long,0,,,,,
player,201012190clt,jax,JennRa00,pass_rating,,,,,,
player,201012190clt,jax,JennRa00,rush_att,3,,,,,
player,201012190clt,jax,JennRa00,rush_yds,13,,,,,
player,201012190clt,jax,JennRa00,rush_td,0,,,,,
player,201012190clt,jax,JennRa00,rush_long,6,,,,,
player,201012190clt,jax,JennRa00,targets,9,,,,,
player,201012190clt,jax,JennRa00,rec,7,,,,,
player,201012190clt,jax,JennRa00,rec_yds,64,,,,,
player,201012190clt,jax,JennRa00,rec_td,0,,,,,
player,201012190clt,jax,JennRa00,rec_long,25,,,,,
player,201012190clt,jax,JennRa00,fumbles,0,,,,,
player,201012190clt,jax,JennRa00,fumbles_lost,,,,,,
player,201012190clt,jax,ThomMi01,pass_cmp,0,,,,,
player,201012190clt,jax,ThomMi01,pass_att,0,,,,,
player,201012190clt,jax,ThomMi01,pass_yds,0,,,,,
player,201012190clt,jax,ThomMi01,pass_td,0,,,,,
player,201012190clt,jax,ThomMi01,pass_int,0,,,,,
player,201012190clt,jax,ThomMi01,pass_sacked,,,,,,
player,201012190clt,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201012190clt,jax,ThomMi01,pass_long,0,,,,,
player,201012190clt,jax,ThomMi01,pass_rating,,,,,,
player,201012190clt,jax,ThomMi01,rush_att,0,,,,,
player,201012190clt,jax,ThomMi01,rush_yds,0,,,,,
