game,2010,6,20101017,201010170nwe,rav,"Baltimore Ravens",20,nwe,"New England Patriots",23
team,201010170nwe,rav,First Downs,21,,,,,,
team,201010170nwe,nwe,First Downs,23,,,,,,
team,201010170nwe,rav,Rush-Yds-TDs,34-99-0,,,,,,
team,201010170nwe,nwe,Rush-Yds-TDs,26-127-1,,,,,,
team,201010170nwe,rav,Cmp-Att-Yd-TD-INT,27-35-285-2-0,,,,,,
team,201010170nwe,nwe,Cmp-Att-Yd-TD-INT,27-44-292-1-2,,,,,,
team,201010170nwe,rav,Sacked-Yards,3-7,,,,,,
team,201010170nwe,nwe,Sacked-Yards,3-25,,,,,,
team,201010170nwe,rav,Net Pass Yards,278,,,,,,
team,201010170nwe,nwe,Net Pass Yards,267,,,,,,
team,201010170nwe,rav,Total Yards,377,,,,,,
team,201010170nwe,nwe,Total Yards,394,,,,,,
team,201010170nwe,rav,Fumbles-Lost,1-0,,,,,,
team,201010170nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201010170nwe,rav,Turnovers,0,,,,,,
team,201010170nwe,nwe,Turnovers,2,,,,,,
team,201010170nwe,rav,Penalties-Yards,8-67,,,,,,
team,201010170nwe,nwe,Penalties-Yards,9-78,,,,,,
team,201010170nwe,rav,Third Down Conv.,5-16,,,,,,
team,201010170nwe,nwe,Third Down Conv.,4-14,,,,,,
team,201010170nwe,rav,Fourth Down Conv.,0-0,,,,,,
team,201010170nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201010170nwe,rav,Time of Possession,40:14,,,,,,
team,201010170nwe,nwe,Time of Possession,32:50,,,,,,
player,201010170nwe,rav,FlacJo00,pass_cmp,27,,,,,
player,201010170nwe,rav,FlacJo00,pass_att,35,,,,,
player,201010170nwe,rav,FlacJo00,pass_yds,285,,,,,
player,201010170nwe,rav,FlacJo00,pass_td,2,,,,,
player,201010170nwe,rav,FlacJo00,pass_int,0,,,,,
player,201010170nwe,rav,FlacJo00,pass_sacked,3,,,,,
player,201010170nwe,rav,FlacJo00,pass_sacked_yds,7,,,,,
player,201010170nwe,rav,FlacJo00,pass_long,25,,,,,
player,201010170nwe,rav,FlacJo00,pass_rating,119.3,,,,,
player,201010170nwe,rav,FlacJo00,rush_att,2,,,,,
player,201010170nwe,rav,FlacJo00,rush_yds,5,,,,,
player,201010170nwe,rav,FlacJo00,rush_td,0,,,,,
player,201010170nwe,rav,FlacJo00,rush_long,5,,,,,
player,201010170nwe,rav,FlacJo00,targets,0,,,,,
player,201010170nwe,rav,FlacJo00,rec,0,,,,,
player,201010170nwe,rav,FlacJo00,rec_yds,0,,,,,
player,201010170nwe,rav,FlacJo00,rec_td,0,,,,,
player,201010170nwe,rav,FlacJo00,rec_long,0,,,,,
player,201010170nwe,rav,FlacJo00,fumbles,1,,,,,
player,201010170nwe,rav,FlacJo00,fumbles_lost,0,,,,,
player,201010170nwe,rav,RiceRa00,pass_cmp,0,,,,,
player,201010170nwe,rav,RiceRa00,pass_att,0,,,,,
player,201010170nwe,rav,RiceRa00,pass_yds,0,,,,,
player,201010170nwe,rav,RiceRa00,pass_td,0,,,,,
player,201010170nwe,rav,RiceRa00,pass_int,0,,,,,
player,201010170nwe,rav,RiceRa00,pass_sacked,,,,,,
player,201010170nwe,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201010170nwe,rav,RiceRa00,pass_long,0,,,,,
player,201010170nwe,rav,RiceRa00,pass_rating,,,,,,
player,201010170nwe,rav,RiceRa00,rush_att,28,,,,,
player,201010170nwe,rav,RiceRa00,rush_yds,88,,,,,
player,201010170nwe,rav,RiceRa00,rush_td,0,,,,,
player,201010170nwe,rav,RiceRa00,rush_long,8,,,,,
player,201010170nwe,rav,RiceRa00,targets,10,,,,,
player,201010170nwe,rav,RiceRa00,rec,8,,,,,
player,201010170nwe,rav,RiceRa00,rec_yds,38,,,,,
player,201010170nwe,rav,RiceRa00,rec_td,0,,,,,
player,201010170nwe,rav,RiceRa00,rec_long,11,,,,,
player,201010170nwe,rav,RiceRa00,fumbles,0,,,,,
player,201010170nwe,rav,RiceRa00,fumbles_lost,,,,,,
player,201010170nwe,rav,McClLe00,pass_cmp,0,,,,,
player,201010170nwe,rav,McClLe00,pass_att,0,,,,,
player,201010170nwe,rav,McClLe00,pass_yds,0,,,,,
player,201010170nwe,rav,McClLe00,pass_td,0,,,,,
player,201010170nwe,rav,McClLe00,pass_int,0,,,,,
player,201010170nwe,rav,McClLe00,pass_sacked,,,,,,
player,201010170nwe,rav,McClLe00,pass_sacked_yds,,,,,,
player,201010170nwe,rav,McClLe00,pass_long,0,,,,,
player,201010170nwe,rav,McClLe00,pass_rating,,,,,,
player,201010170nwe,rav,McClLe00,rush_att,3,,,,,
