game,2010,2,20100920,201009200sfo,nor,"New Orleans Saints",25,sfo,"San Francisco 49ers",22
team,201009200sfo,nor,First Downs,17,,,,,,
team,201009200sfo,sfo,First Downs,24,,,,,,
team,201009200sfo,nor,Rush-Yds-TDs,24-50-0,,,,,,
team,201009200sfo,sfo,Rush-Yds-TDs,26-142-2,,,,,,
team,201009200sfo,nor,Cmp-Att-Yd-TD-INT,28-38-254-2-0,,,,,,
team,201009200sfo,sfo,Cmp-Att-Yd-TD-INT,23-32-275-1-2,,,,,,
team,201009200sfo,nor,Sacked-Yards,2-17,,,,,,
team,201009200sfo,sfo,Sacked-Yards,0-0,,,,,,
team,201009200sfo,nor,Net Pass Yards,237,,,,,,
team,201009200sfo,sfo,Net Pass Yards,275,,,,,,
team,201009200sfo,nor,Total Yards,287,,,,,,
team,201009200sfo,sfo,Total Yards,417,,,,,,
team,201009200sfo,nor,Fumbles-Lost,1-0,,,,,,
team,201009200sfo,sfo,Fumbles-Lost,4-2,,,,,,
team,201009200sfo,nor,Turnovers,0,,,,,,
team,201009200sfo,sfo,Turnovers,4,,,,,,
team,201009200sfo,nor,Penalties-Yards,5-54,,,,,,
team,201009200sfo,sfo,Penalties-Yards,5-40,,,,,,
team,201009200sfo,nor,Third Down Conv.,6-14,,,,,,
team,201009200sfo,sfo,Third Down Conv.,5-9,,,,,,
team,201009200sfo,nor,Fourth Down Conv.,0-0,,,,,,
team,201009200sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201009200sfo,nor,Time of Possession,32:40,,,,,,
team,201009200sfo,sfo,Time of Possession,27:20,,,,,,
player,201009200sfo,nor,BreeDr00,pass_cmp,28,,,,,
player,201009200sfo,nor,BreeDr00,pass_att,38,,,,,
player,201009200sfo,nor,BreeDr00,pass_yds,254,,,,,
player,201009200sfo,nor,BreeDr00,pass_td,2,,,,,
player,201009200sfo,nor,BreeDr00,pass_int,0,,,,,
player,201009200sfo,nor,BreeDr00,pass_sacked,2,,,,,
player,201009200sfo,nor,BreeDr00,pass_sacked_yds,17,,,,,
player,201009200sfo,nor,BreeDr00,pass_long,30,,,,,
player,201009200sfo,nor,BreeDr00,pass_rating,108.9,,,,,
player,201009200sfo,nor,BreeDr00,rush_att,0,,,,,
player,201009200sfo,nor,BreeDr00,rush_yds,0,,,,,
player,201009200sfo,nor,BreeDr00,rush_td,0,,,,,
player,201009200sfo,nor,BreeDr00,rush_long,0,,,,,
player,201009200sfo,nor,BreeDr00,targets,1,,,,,
player,201009200sfo,nor,BreeDr00,rec,1,,,,,
player,201009200sfo,nor,BreeDr00,rec_yds,7,,,,,
player,201009200sfo,nor,BreeDr00,rec_td,0,,,,,
player,201009200sfo,nor,BreeDr00,rec_long,7,,,,,
player,201009200sfo,nor,BreeDr00,fumbles,0,,,,,
player,201009200sfo,nor,BreeDr00,fumbles_lost,,,,,,
player,201009200sfo,nor,ThomPi00,pass_cmp,0,,,,,
player,201009200sfo,nor,ThomPi00,pass_att,0,,,,,
player,201009200sfo,nor,ThomPi00,pass_yds,0,,,,,
player,201009200sfo,nor,ThomPi00,pass_td,0,,,,,
player,201009200sfo,nor,ThomPi00,pass_int,0,,,,,
player,201009200sfo,nor,ThomPi00,pass_sacked,,,,,,
player,201009200sfo,nor,ThomPi00,pass_sacked_yds,,,,,,
player,201009200sfo,nor,ThomPi00,pass_long,0,,,,,
player,201009200sfo,nor,ThomPi00,pass_rating,,,,,,
player,201009200sfo,nor,ThomPi00,rush_att,18,,,,,
player,201009200sfo,nor,ThomPi00,rush_yds,46,,,,,
player,201009200sfo,nor,ThomPi00,rush_td,0,,,,,
player,201009200sfo,nor,ThomPi00,rush_long,7,,,,,
player,201009200sfo,nor,ThomPi00,targets,8,,,,,
player,201009200sfo,nor,ThomPi00,rec,8,,,,,
player,201009200sfo,nor,ThomPi00,rec_yds,57,,,,,
player,201009200sfo,nor,ThomPi00,rec_td,0,,,,,
player,201009200sfo,nor,ThomPi00,rec_long,14,,,,,
player,201009200sfo,nor,ThomPi00,fumbles,0,,,,,
player,201009200sfo,nor,ThomPi00,fumbles_lost,,,,,,
player,201009200sfo,nor,BushRe00,pass_cmp,0,,,,,
player,201009200sfo,nor,BushRe00,pass_att,0,,,,,
player,201009200sfo,nor,BushRe00,pass_yds,0,,,,,
player,201009200sfo,nor,BushRe00,pass_td,0,,,,,
player,201009200sfo,nor,BushRe00,pass_int,0,,,,,
player,201009200sfo,nor,BushRe00,pass_sacked,,,,,,
player,201009200sfo,nor,BushRe00,pass_sacked_yds,,,,,,
player,201009200sfo,nor,BushRe00,pass_long,0,,,,,
player,201009200sfo,nor,BushRe00,pass_rating,,,,,,
player,201009200sfo,nor,BushRe00,rush_att,5,,,,,
player,201009200sfo,nor,BushRe00,rush_yds,4,,,,,
player,201009200sfo,nor,BushRe00,rush_td,0,,,,,
player,201009200sfo,nor,BushRe00,rush_long,4,,,,,
player,201009200sfo,nor,BushRe00,targets,5,,,,,
player,201009200sfo,nor,BushRe00,rec,4,,,,,
player,201009200sfo,nor,BushRe00,rec_yds,30,,,,,
player,201009200sfo,nor,BushRe00,rec_td,1,,,,,
player,201009200sfo,nor,BushRe00,rec_long,11,,,,,
player,201009200sfo,nor,BushRe00,fumbles,1,,,,,
player,201009200sfo,nor,BushRe00,fumbles_lost,0,,,,,
player,201009200sfo,nor,ColsMa00,pass_cmp,0,,,,,
player,201009200sfo,nor,ColsMa00,pass_att,0,,,,,
player,201009200sfo,nor,ColsMa00,pass_yds,0,,,,,
player,201009200sfo,nor,ColsMa00,pass_td,0,,,,,
player,201009200sfo,nor,ColsMa00,pass_int,0,,,,,
player,201009200sfo,nor,ColsMa00,pass_sacked,,,,,,
player,201009200sfo,nor,ColsMa00,pass_sacked_yds,,,,,,
player,201009200sfo,nor,ColsMa00,pass_long,0,,,,,
player,201009200sfo,nor,ColsMa00,pass_rating,,,,,,
player,201009200sfo,nor,ColsMa00,rush_att,0,,,,,
player,201009200sfo,nor,ColsMa00,rush_yds,0,,,,,
player,201009200sfo,nor,ColsMa00,rush_td,0,,,,,
player,201009200sfo,nor,ColsMa00,rush_long,0,,,,,
player,201009200sfo,nor,ColsMa00,targets,8,,,,,
player,201009200sfo,nor,ColsMa00,rec,5,,,,,
player,201009200sfo,nor,ColsMa00,rec_yds,67,,,,,
player,201009200sfo,nor,ColsMa00,rec_td,0,,,,,
player,201009200sfo,nor,ColsMa00,rec_long,30,,,,,
player,201009200sfo,nor,ColsMa00,fumbles,0,,,,,
player,201009200sfo,nor,ColsMa00,fumbles_lost,,,,,,
player,201009200sfo,nor,ShocJe00,pass_cmp,0,,,,,
player,201009200sfo,nor,ShocJe00,pass_att,0,,,,,
