game,2010,5,20101010,201010100rav,den,"Denver Broncos",17,rav,"Baltimore Ravens",31
player,201010100rav,den,GaffJa00,pass_yds,0,,,,,
player,201010100rav,den,GaffJa00,pass_td,0,,,,,
player,201010100rav,den,GaffJa00,pass_int,0,,,,,
player,201010100rav,den,GaffJa00,pass_sacked,,,,,,
player,201010100rav,den,GaffJa00,pass_sacked_yds,,,,,,
player,201010100rav,den,GaffJa00,pass_long,0,,,,,
player,201010100rav,den,GaffJa00,pass_rating,,,,,,
player,201010100rav,den,GaffJa00,rush_att,0,,,,,
player,201010100rav,den,GaffJa00,rush_yds,0,,,,,
player,201010100rav,den,GaffJa00,rush_td,0,,,,,
player,201010100rav,den,GaffJa00,rush_long,0,,,,,
player,201010100rav,den,GaffJa00,targets,11,,,,,
player,201010100rav,den,GaffJa00,rec,9,,,,,
player,201010100rav,den,GaffJa00,rec_yds,87,,,,,
player,201010100rav,den,GaffJa00,rec_td,0,,,,,
player,201010100rav,den,GaffJa00,rec_long,23,,,,,
player,201010100rav,den,GaffJa00,fumbles,0,,,,,
player,201010100rav,den,GaffJa00,fumbles_lost,,,,,,
player,201010100rav,den,RoyaEd00,pass_cmp,0,,,,,
player,201010100rav,den,RoyaEd00,pass_att,0,,,,,
player,201010100rav,den,RoyaEd00,pass_yds,0,,,,,
player,201010100rav,den,RoyaEd00,pass_td,0,,,,,
player,201010100rav,den,RoyaEd00,pass_int,0,,,,,
player,201010100rav,den,RoyaEd00,pass_sacked,,,,,,
player,201010100rav,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201010100rav,den,RoyaEd00,pass_long,0,,,,,
player,201010100rav,den,RoyaEd00,pass_rating,,,,,,
player,201010100rav,den,RoyaEd00,rush_att,0,,,,,
player,201010100rav,den,RoyaEd00,rush_yds,0,,,,,
player,201010100rav,den,RoyaEd00,rush_td,0,,,,,
player,201010100rav,den,RoyaEd00,rush_long,0,,,,,
player,201010100rav,den,RoyaEd00,targets,5,,,,,
player,201010100rav,den,RoyaEd00,rec,4,,,,,
player,201010100rav,den,RoyaEd00,rec_yds,31,,,,,
player,201010100rav,den,RoyaEd00,rec_td,0,,,,,
player,201010100rav,den,RoyaEd00,rec_long,13,,,,,
player,201010100rav,den,RoyaEd00,fumbles,0,,,,,
player,201010100rav,den,RoyaEd00,fumbles_lost,,,,,,
player,201010100rav,den,GrahDa00,pass_cmp,0,,,,,
player,201010100rav,den,GrahDa00,pass_att,0,,,,,
player,201010100rav,den,GrahDa00,pass_yds,0,,,,,
player,201010100rav,den,GrahDa00,pass_td,0,,,,,
player,201010100rav,den,GrahDa00,pass_int,0,,,,,
player,201010100rav,den,GrahDa00,pass_sacked,,,,,,
player,201010100rav,den,GrahDa00,pass_sacked_yds,,,,,,
player,201010100rav,den,GrahDa00,pass_long,0,,,,,
player,201010100rav,den,GrahDa00,pass_rating,,,,,,
player,201010100rav,den,GrahDa00,rush_att,0,,,,,
player,201010100rav,den,GrahDa00,rush_yds,0,,,,,
player,201010100rav,den,GrahDa00,rush_td,0,,,,,
player,201010100rav,den,GrahDa00,rush_long,0,,,,,
player,201010100rav,den,GrahDa00,targets,1,,,,,
player,201010100rav,den,GrahDa00,rec,1,,,,,
player,201010100rav,den,GrahDa00,rec_yds,28,,,,,
player,201010100rav,den,GrahDa00,rec_td,0,,,,,
player,201010100rav,den,GrahDa00,rec_long,28,,,,,
player,201010100rav,den,GrahDa00,fumbles,0,,,,,
player,201010100rav,den,GrahDa00,fumbles_lost,,,,,,
player,201010100rav,den,ThomDe03,pass_cmp,0,,,,,
player,201010100rav,den,ThomDe03,pass_att,0,,,,,
player,201010100rav,den,ThomDe03,pass_yds,0,,,,,
player,201010100rav,den,ThomDe03,pass_td,0,,,,,
player,201010100rav,den,ThomDe03,pass_int,0,,,,,
player,201010100rav,den,ThomDe03,pass_sacked,,,,,,
player,201010100rav,den,ThomDe03,pass_sacked_yds,,,,,,
player,201010100rav,den,ThomDe03,pass_long,0,,,,,
player,201010100rav,den,ThomDe03,pass_rating,,,,,,
player,201010100rav,den,ThomDe03,rush_att,0,,,,,
