game,2010,14,20101212,201012120was,tam,"Tampa Bay Buccaneers",17,was,"Washington Redskins",16
team,201012120was,tam,First Downs,15,,,,,,
team,201012120was,was,First Downs,22,,,,,,
team,201012120was,tam,Rush-Yds-TDs,26-103-0,,,,,,
team,201012120was,was,Rush-Yds-TDs,28-188-0,,,,,,
team,201012120was,tam,Cmp-Att-Yd-TD-INT,15-25-266-1-0,,,,,,
team,201012120was,was,Cmp-Att-Yd-TD-INT,22-35-228-2-0,,,,,,
team,201012120was,tam,Sacked-Yards,1-4,,,,,,
team,201012120was,was,Sacked-Yards,2-17,,,,,,
team,201012120was,tam,Net Pass Yards,262,,,,,,
team,201012120was,was,Net Pass Yards,211,,,,,,
team,201012120was,tam,Total Yards,365,,,,,,
team,201012120was,was,Total Yards,399,,,,,,
team,201012120was,tam,Fumbles-Lost,2-2,,,,,,
team,201012120was,was,Fumbles-Lost,1-1,,,,,,
team,201012120was,tam,Turnovers,2,,,,,,
team,201012120was,was,Turnovers,1,,,,,,
team,201012120was,tam,Penalties-Yards,2-14,,,,,,
team,201012120was,was,Penalties-Yards,4-25,,,,,,
team,201012120was,tam,Third Down Conv.,5-12,,,,,,
team,201012120was,was,Third Down Conv.,6-16,,,,,,
team,201012120was,tam,Fourth Down Conv.,0-0,,,,,,
team,201012120was,was,Fourth Down Conv.,2-2,,,,,,
team,201012120was,tam,Time of Possession,28:52,,,,,,
team,201012120was,was,Time of Possession,31:08,,,,,,
player,201012120was,tam,FreeJo00,pass_cmp,15,,,,,
player,201012120was,tam,FreeJo00,pass_att,25,,,,,
player,201012120was,tam,FreeJo00,pass_yds,266,,,,,
player,201012120was,tam,FreeJo00,pass_td,1,,,,,
player,201012120was,tam,FreeJo00,pass_int,0,,,,,
player,201012120was,tam,FreeJo00,pass_sacked,1,,,,,
player,201012120was,tam,FreeJo00,pass_sacked_yds,4,,,,,
player,201012120was,tam,FreeJo00,pass_long,64,,,,,
player,201012120was,tam,FreeJo00,pass_rating,109.7,,,,,
player,201012120was,tam,FreeJo00,rush_att,6,,,,,
player,201012120was,tam,FreeJo00,rush_yds,10,,,,,
player,201012120was,tam,FreeJo00,rush_td,0,,,,,
player,201012120was,tam,FreeJo00,rush_long,7,,,,,
player,201012120was,tam,FreeJo00,targets,0,,,,,
player,201012120was,tam,FreeJo00,rec,0,,,,,
player,201012120was,tam,FreeJo00,rec_yds,0,,,,,
player,201012120was,tam,FreeJo00,rec_td,0,,,,,
player,201012120was,tam,FreeJo00,rec_long,0,,,,,
player,201012120was,tam,FreeJo00,fumbles,1,,,,,
player,201012120was,tam,FreeJo00,fumbles_lost,1,,,,,
player,201012120was,tam,BlouLe00,pass_cmp,0,,,,,
player,201012120was,tam,BlouLe00,pass_att,0,,,,,
player,201012120was,tam,BlouLe00,pass_yds,0,,,,,
player,201012120was,tam,BlouLe00,pass_td,0,,,,,
player,201012120was,tam,BlouLe00,pass_int,0,,,,,
player,201012120was,tam,BlouLe00,pass_sacked,,,,,,
player,201012120was,tam,BlouLe00,pass_sacked_yds,,,,,,
player,201012120was,tam,BlouLe00,pass_long,0,,,,,
player,201012120was,tam,BlouLe00,pass_rating,,,,,,
player,201012120was,tam,BlouLe00,rush_att,15,,,,,
player,201012120was,tam,BlouLe00,rush_yds,68,,,,,
player,201012120was,tam,BlouLe00,rush_td,0,,,,,
player,201012120was,tam,BlouLe00,rush_long,18,,,,,
player,201012120was,tam,BlouLe00,targets,1,,,,,
player,201012120was,tam,BlouLe00,rec,0,,,,,
player,201012120was,tam,BlouLe00,rec_yds,0,,,,,
player,201012120was,tam,BlouLe00,rec_td,0,,,,,
player,201012120was,tam,BlouLe00,rec_long,0,,,,,
player,201012120was,tam,BlouLe00,fumbles,1,,,,,
player,201012120was,tam,BlouLe00,fumbles_lost,1,,,,,
player,201012120was,tam,BennAr00,pass_cmp,0,,,,,
player,201012120was,tam,BennAr00,pass_att,0,,,,,
player,201012120was,tam,BennAr00,pass_yds,0,,,,,
player,201012120was,tam,BennAr00,pass_td,0,,,,,
player,201012120was,tam,BennAr00,pass_int,0,,,,,
player,201012120was,tam,BennAr00,pass_sacked,,,,,,
player,201012120was,tam,BennAr00,pass_sacked_yds,,,,,,
player,201012120was,tam,BennAr00,pass_long,0,,,,,
player,201012120was,tam,BennAr00,pass_rating,,,,,,
player,201012120was,tam,BennAr00,rush_att,1,,,,,
player,201012120was,tam,BennAr00,rush_yds,17,,,,,
player,201012120was,tam,BennAr00,rush_td,0,,,,,
player,201012120was,tam,BennAr00,rush_long,17,,,,,
player,201012120was,tam,BennAr00,targets,4,,,,,
player,201012120was,tam,BennAr00,rec,4,,,,,
player,201012120was,tam,BennAr00,rec_yds,122,,,,,
player,201012120was,tam,BennAr00,rec_td,0,,,,,
player,201012120was,tam,BennAr00,rec_long,64,,,,,
player,201012120was,tam,BennAr00,fumbles,0,,,,,
player,201012120was,tam,BennAr00,fumbles_lost,,,,,,
player,201012120was,tam,WillCa02,pass_cmp,0,,,,,
player,201012120was,tam,WillCa02,pass_att,0,,,,,
player,201012120was,tam,WillCa02,pass_yds,0,,,,,
player,201012120was,tam,WillCa02,pass_td,0,,,,,
player,201012120was,tam,WillCa02,pass_int,0,,,,,
player,201012120was,tam,WillCa02,pass_sacked,,,,,,
player,201012120was,tam,WillCa02,pass_sacked_yds,,,,,,
player,201012120was,tam,WillCa02,pass_long,0,,,,,
player,201012120was,tam,WillCa02,pass_rating,,,,,,
player,201012120was,tam,WillCa02,rush_att,3,,,,,
player,201012120was,tam,WillCa02,rush_yds,6,,,,,
player,201012120was,tam,WillCa02,rush_td,0,,,,,
player,201012120was,tam,WillCa02,rush_long,4,,,,,
player,201012120was,tam,WillCa02,targets,4,,,,,
player,201012120was,tam,WillCa02,rec,4,,,,,
player,201012120was,tam,WillCa02,rec_yds,34,,,,,
player,201012120was,tam,WillCa02,rec_td,0,,,,,
player,201012120was,tam,WillCa02,rec_long,11,,,,,
player,201012120was,tam,WillCa02,fumbles,0,,,,,
player,201012120was,tam,WillCa02,fumbles_lost,,,,,,
player,201012120was,tam,GrahEa00,pass_cmp,0,,,,,
player,201012120was,tam,GrahEa00,pass_att,0,,,,,
player,201012120was,tam,GrahEa00,pass_yds,0,,,,,
player,201012120was,tam,GrahEa00,pass_td,0,,,,,
player,201012120was,tam,GrahEa00,pass_int,0,,,,,
player,201012120was,tam,GrahEa00,pass_sacked,0,,,,,
player,201012120was,tam,GrahEa00,pass_sacked_yds,,,,,,
player,201012120was,tam,GrahEa00,pass_long,0,,,,,
player,201012120was,tam,GrahEa00,pass_rating,,,,,,
player,201012120was,tam,GrahEa00,rush_att,1,,,,,
player,201012120was,tam,GrahEa00,rush_yds,2,,,,,
player,201012120was,tam,GrahEa00,rush_td,0,,,,,
player,201012120was,tam,GrahEa00,rush_long,2,,,,,
player,201012120was,tam,GrahEa00,targets,1,,,,,
player,201012120was,tam,GrahEa00,rec,1,,,,,
player,201012120was,tam,GrahEa00,rec_yds,5,,,,,
player,201012120was,tam,GrahEa00,rec_td,0,,,,,
player,201012120was,tam,GrahEa00,rec_long,5,,,,,
player,201012120was,tam,GrahEa00,fumbles,0,,,,,
player,201012120was,tam,GrahEa00,fumbles_lost,,,,,,
player,201012120was,tam,WinsKe01,pass_cmp,0,,,,,
player,201012120was,tam,WinsKe01,pass_att,0,,,,,
player,201012120was,tam,WinsKe01,pass_yds,0,,,,,
player,201012120was,tam,WinsKe01,pass_td,0,,,,,
player,201012120was,tam,WinsKe01,pass_int,0,,,,,
player,201012120was,tam,WinsKe01,pass_sacked,,,,,,
player,201012120was,tam,WinsKe01,pass_sacked_yds,,,,,,
player,201012120was,tam,WinsKe01,pass_long,0,,,,,
player,201012120was,tam,WinsKe01,pass_rating,,,,,,
player,201012120was,tam,WinsKe01,rush_att,0,,,,,
player,201012120was,tam,WinsKe01,rush_yds,0,,,,,
player,201012120was,tam,WinsKe01,rush_td,0,,,,,
player,201012120was,tam,WinsKe01,rush_long,0,,,,,
player,201012120was,tam,WinsKe01,targets,4,,,,,
player,201012120was,tam,WinsKe01,rec,2,,,,,
player,201012120was,tam,WinsKe01,rec_yds,52,,,,,
player,201012120was,tam,WinsKe01,rec_td,1,,,,,
player,201012120was,tam,WinsKe01,rec_long,41,,,,,
player,201012120was,tam,WinsKe01,fumbles,0,,,,,
player,201012120was,tam,WinsKe01,fumbles_lost,,,,,,
player,201012120was,tam,GilmJo00,pass_cmp,0,,,,,
player,201012120was,tam,GilmJo00,pass_att,0,,,,,
player,201012120was,tam,GilmJo00,pass_yds,0,,,,,
player,201012120was,tam,GilmJo00,pass_td,0,,,,,
player,201012120was,tam,GilmJo00,pass_int,0,,,,,
player,201012120was,tam,GilmJo00,pass_sacked,,,,,,
player,201012120was,tam,GilmJo00,pass_sacked_yds,,,,,,
player,201012120was,tam,GilmJo00,pass_long,0,,,,,
player,201012120was,tam,GilmJo00,pass_rating,,,,,,
player,201012120was,tam,GilmJo00,rush_att,0,,,,,
player,201012120was,tam,GilmJo00,rush_yds,0,,,,,
player,201012120was,tam,GilmJo00,rush_td,0,,,,,
player,201012120was,tam,GilmJo00,rush_long,0,,,,,
player,201012120was,tam,GilmJo00,targets,2,,,,,
player,201012120was,tam,GilmJo00,rec,2,,,,,
player,201012120was,tam,GilmJo00,rec_yds,27,,,,,
player,201012120was,tam,GilmJo00,rec_td,0,,,,,
player,201012120was,tam,GilmJo00,rec_long,15,,,,,
player,201012120was,tam,GilmJo00,fumbles,0,,,,,
player,201012120was,tam,GilmJo00,fumbles_lost,,,,,,
player,201012120was,tam,WillMi04,pass_cmp,0,,,,,
player,201012120was,tam,WillMi04,pass_att,0,,,,,
player,201012120was,tam,WillMi04,pass_yds,0,,,,,
player,201012120was,tam,WillMi04,pass_td,0,,,,,
player,201012120was,tam,WillMi04,pass_int,0,,,,,
player,201012120was,tam,WillMi04,pass_sacked,,,,,,
player,201012120was,tam,WillMi04,pass_sacked_yds,,,,,,
player,201012120was,tam,WillMi04,pass_long,0,,,,,
player,201012120was,tam,WillMi04,pass_rating,,,,,,
player,201012120was,tam,WillMi04,rush_att,0,,,,,
player,201012120was,tam,WillMi04,rush_yds,0,,,,,
player,201012120was,tam,WillMi04,rush_td,0,,,,,
player,201012120was,tam,WillMi04,rush_long,0,,,,,
player,201012120was,tam,WillMi04,targets,5,,,,,
player,201012120was,tam,WillMi04,rec,1,,,,,
player,201012120was,tam,WillMi04,rec_yds,15,,,,,
player,201012120was,tam,WillMi04,rec_td,0,,,,,
player,201012120was,tam,WillMi04,rec_long,15,,,,,
player,201012120was,tam,WillMi04,fumbles,0,,,,,
player,201012120was,tam,WillMi04,fumbles_lost,,,,,,
player,201012120was,tam,StroSa00,pass_cmp,0,,,,,
player,201012120was,tam,StroSa00,pass_att,0,,,,,
player,201012120was,tam,StroSa00,pass_yds,0,,,,,
player,201012120was,tam,StroSa00,pass_td,0,,,,,
player,201012120was,tam,StroSa00,pass_int,0,,,,,
player,201012120was,tam,StroSa00,pass_sacked,,,,,,
player,201012120was,tam,StroSa00,pass_sacked_yds,,,,,,
player,201012120was,tam,StroSa00,pass_long,0,,,,,
player,201012120was,tam,StroSa00,pass_rating,,,,,,
player,201012120was,tam,StroSa00,rush_att,0,,,,,
player,201012120was,tam,StroSa00,rush_yds,0,,,,,
player,201012120was,tam,StroSa00,rush_td,0,,,,,
player,201012120was,tam,StroSa00,rush_long,0,,,,,
player,201012120was,tam,StroSa00,targets,1,,,,,
player,201012120was,tam,StroSa00,rec,1,,,,,
player,201012120was,tam,StroSa00,rec_yds,11,,,,,
player,201012120was,tam,StroSa00,rec_td,0,,,,,
player,201012120was,tam,StroSa00,rec_long,11,,,,,
player,201012120was,tam,StroSa00,fumbles,0,,,,,
player,201012120was,tam,StroSa00,fumbles_lost,,,,,,
