game,2010,17,20110102,201101020kan,rai,"Oakland Raiders",31,kan,"Kansas City Chiefs",10
team,201101020kan,rai,First Downs,21,,,,,,
team,201101020kan,kan,First Downs,17,,,,,,
team,201101020kan,rai,Rush-Yds-TDs,37-209-2,,,,,,
team,201101020kan,kan,Rush-Yds-TDs,29-115-1,,,,,,
team,201101020kan,rai,Cmp-Att-Yd-TD-INT,16-26-160-1-0,,,,,,
team,201101020kan,kan,Cmp-Att-Yd-TD-INT,13-36-142-0-2,,,,,,
team,201101020kan,rai,Sacked-Yards,4-25,,,,,,
team,201101020kan,kan,Sacked-Yards,7-56,,,,,,
team,201101020kan,rai,Net Pass Yards,135,,,,,,
team,201101020kan,kan,Net Pass Yards,86,,,,,,
team,201101020kan,rai,Total Yards,344,,,,,,
team,201101020kan,kan,Total Yards,201,,,,,,
team,201101020kan,rai,Fumbles-Lost,1-1,,,,,,
team,201101020kan,kan,Fumbles-Lost,1-0,,,,,,
team,201101020kan,rai,Turnovers,1,,,,,,
team,201101020kan,kan,Turnovers,2,,,,,,
team,201101020kan,rai,Penalties-Yards,10-77,,,,,,
team,201101020kan,kan,Penalties-Yards,5-39,,,,,,
team,201101020kan,rai,Third Down Conv.,6-13,,,,,,
team,201101020kan,kan,Third Down Conv.,7-18,,,,,,
team,201101020kan,rai,Fourth Down Conv.,0-1,,,,,,
team,201101020kan,kan,Fourth Down Conv.,0-2,,,,,,
team,201101020kan,rai,Time of Possession,33:28,,,,,,
team,201101020kan,kan,Time of Possession,26:32,,,,,,
player,201101020kan,rai,CampJa00,pass_cmp,15,,,,,
player,201101020kan,rai,CampJa00,pass_att,25,,,,,
player,201101020kan,rai,CampJa00,pass_yds,155,,,,,
player,201101020kan,rai,CampJa00,pass_td,1,,,,,
player,201101020kan,rai,CampJa00,pass_int,0,,,,,
player,201101020kan,rai,CampJa00,pass_sacked,3,,,,,
player,201101020kan,rai,CampJa00,pass_sacked_yds,19,,,,,
player,201101020kan,rai,CampJa00,pass_long,35,,,,,
player,201101020kan,rai,CampJa00,pass_rating,91.2,,,,,
player,201101020kan,rai,CampJa00,rush_att,4,,,,,
player,201101020kan,rai,CampJa00,rush_yds,33,,,,,
player,201101020kan,rai,CampJa00,rush_td,0,,,,,
player,201101020kan,rai,CampJa00,rush_long,21,,,,,
player,201101020kan,rai,CampJa00,targets,0,,,,,
player,201101020kan,rai,CampJa00,rec,0,,,,,
player,201101020kan,rai,CampJa00,rec_yds,0,,,,,
player,201101020kan,rai,CampJa00,rec_td,0,,,,,
player,201101020kan,rai,CampJa00,rec_long,0,,,,,
player,201101020kan,rai,CampJa00,fumbles,0,,,,,
player,201101020kan,rai,CampJa00,fumbles_lost,,,,,,
player,201101020kan,rai,BollKy00,pass_cmp,1,,,,,
player,201101020kan,rai,BollKy00,pass_att,1,,,,,
