game,2010,17,20110102,201101020nor,tam,"Tampa Bay Buccaneers",23,nor,"New Orleans Saints",13
team,201101020nor,tam,First Downs,18,,,,,,
team,201101020nor,nor,First Downs,20,,,,,,
team,201101020nor,tam,Rush-Yds-TDs,24-84-0,,,,,,
team,201101020nor,nor,Rush-Yds-TDs,22-106-0,,,,,,
team,201101020nor,tam,Cmp-Att-Yd-TD-INT,21-27-255-2-0,,,,,,
team,201101020nor,nor,Cmp-Att-Yd-TD-INT,24-41-212-1-1,,,,,,
team,201101020nor,tam,Sacked-Yards,3-22,,,,,,
team,201101020nor,nor,Sacked-Yards,3-13,,,,,,
team,201101020nor,tam,Net Pass Yards,233,,,,,,
team,201101020nor,nor,Net Pass Yards,199,,,,,,
team,201101020nor,tam,Total Yards,317,,,,,,
team,201101020nor,nor,Total Yards,305,,,,,,
team,201101020nor,tam,Fumbles-Lost,2-2,,,,,,
team,201101020nor,nor,Fumbles-Lost,3-2,,,,,,
team,201101020nor,tam,Turnovers,2,,,,,,
team,201101020nor,nor,Turnovers,3,,,,,,
team,201101020nor,tam,Penalties-Yards,7-54,,,,,,
team,201101020nor,nor,Penalties-Yards,5-45,,,,,,
team,201101020nor,tam,Third Down Conv.,3-10,,,,,,
team,201101020nor,nor,Third Down Conv.,8-16,,,,,,
team,201101020nor,tam,Fourth Down Conv.,1-1,,,,,,
team,201101020nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201101020nor,tam,Time of Possession,29:03,,,,,,
team,201101020nor,nor,Time of Possession,30:57,,,,,,
player,201101020nor,tam,FreeJo00,pass_cmp,21,,,,,
player,201101020nor,tam,FreeJo00,pass_att,26,,,,,
player,201101020nor,tam,FreeJo00,pass_yds,255,,,,,
player,201101020nor,tam,FreeJo00,pass_td,2,,,,,
player,201101020nor,tam,FreeJo00,pass_int,0,,,,,
player,201101020nor,tam,FreeJo00,pass_sacked,3,,,,,
player,201101020nor,tam,FreeJo00,pass_sacked_yds,22,,,,,
player,201101020nor,tam,FreeJo00,pass_long,54,,,,,
player,201101020nor,tam,FreeJo00,pass_rating,133.2,,,,,
player,201101020nor,tam,FreeJo00,rush_att,4,,,,,
player,201101020nor,tam,FreeJo00,rush_yds,11,,,,,
player,201101020nor,tam,FreeJo00,rush_td,0,,,,,
player,201101020nor,tam,FreeJo00,rush_long,11,,,,,
player,201101020nor,tam,FreeJo00,targets,0,,,,,
player,201101020nor,tam,FreeJo00,rec,0,,,,,
player,201101020nor,tam,FreeJo00,rec_yds,0,,,,,
player,201101020nor,tam,FreeJo00,rec_td,0,,,,,
player,201101020nor,tam,FreeJo00,rec_long,0,,,,,
player,201101020nor,tam,FreeJo00,fumbles,1,,,,,
player,201101020nor,tam,FreeJo00,fumbles_lost,1,,,,,
player,201101020nor,tam,SpurMi00,pass_cmp,0,,,,,
player,201101020nor,tam,SpurMi00,pass_att,1,,,,,
player,201101020nor,tam,SpurMi00,pass_yds,0,,,,,
player,201101020nor,tam,SpurMi00,pass_td,0,,,,,
player,201101020nor,tam,SpurMi00,pass_int,0,,,,,
player,201101020nor,tam,SpurMi00,pass_sacked,0,,,,,
player,201101020nor,tam,SpurMi00,pass_sacked_yds,0,,,,,
player,201101020nor,tam,SpurMi00,pass_long,0,,,,,
player,201101020nor,tam,SpurMi00,pass_rating,39.6,,,,,
player,201101020nor,tam,SpurMi00,rush_att,0,,,,,
player,201101020nor,tam,SpurMi00,rush_yds,0,,,,,
player,201101020nor,tam,SpurMi00,rush_td,0,,,,,
player,201101020nor,tam,SpurMi00,rush_long,0,,,,,
player,201101020nor,tam,SpurMi00,targets,0,,,,,
player,201101020nor,tam,SpurMi00,rec,0,,,,,
player,201101020nor,tam,SpurMi00,rec_yds,0,,,,,
player,201101020nor,tam,SpurMi00,rec_td,0,,,,,
player,201101020nor,tam,SpurMi00,rec_long,0,,,,,
player,201101020nor,tam,SpurMi00,fumbles,0,,,,,
player,201101020nor,tam,SpurMi00,fumbles_lost,,,,,,
player,201101020nor,tam,BlouLe00,pass_cmp,0,,,,,
player,201101020nor,tam,BlouLe00,pass_att,0,,,,,
player,201101020nor,tam,BlouLe00,pass_yds,0,,,,,
