game,2010,4,20101003,201010030pit,rav,"Baltimore Ravens",17,pit,"Pittsburgh Steelers",14
team,201010030pit,rav,First Downs,22,,,,,,
team,201010030pit,pit,First Downs,14,,,,,,
team,201010030pit,rav,Rush-Yds-TDs,27-70-1,,,,,,
team,201010030pit,pit,Rush-Yds-TDs,27-84-2,,,,,,
team,201010030pit,rav,Cmp-Att-Yd-TD-INT,24-37-256-1-1,,,,,,
team,201010030pit,pit,Cmp-Att-Yd-TD-INT,12-21-141-0-1,,,,,,
team,201010030pit,rav,Sacked-Yards,1-6,,,,,,
team,201010030pit,pit,Sacked-Yards,2-15,,,,,,
team,201010030pit,rav,Net Pass Yards,250,,,,,,
team,201010030pit,pit,Net Pass Yards,126,,,,,,
team,201010030pit,rav,Total Yards,320,,,,,,
team,201010030pit,pit,Total Yards,210,,,,,,
team,201010030pit,rav,Fumbles-Lost,2-1,,,,,,
team,201010030pit,pit,Fumbles-Lost,1-0,,,,,,
team,201010030pit,rav,Turnovers,2,,,,,,
team,201010030pit,pit,Turnovers,1,,,,,,
team,201010030pit,rav,Penalties-Yards,7-52,,,,,,
team,201010030pit,pit,Penalties-Yards,11-88,,,,,,
team,201010030pit,rav,Third Down Conv.,4-11,,,,,,
team,201010030pit,pit,Third Down Conv.,4-11,,,,,,
team,201010030pit,rav,Fourth Down Conv.,0-1,,,,,,
team,201010030pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201010030pit,rav,Time of Possession,30:31,,,,,,
team,201010030pit,pit,Time of Possession,29:29,,,,,,
player,201010030pit,rav,FlacJo00,pass_cmp,24,,,,,
player,201010030pit,rav,FlacJo00,pass_att,37,,,,,
player,201010030pit,rav,FlacJo00,pass_yds,256,,,,,
player,201010030pit,rav,FlacJo00,pass_td,1,,,,,
player,201010030pit,rav,FlacJo00,pass_int,1,,,,,
player,201010030pit,rav,FlacJo00,pass_sacked,1,,,,,
player,201010030pit,rav,FlacJo00,pass_sacked_yds,6,,,,,
player,201010030pit,rav,FlacJo00,pass_long,40,,,,,
player,201010030pit,rav,FlacJo00,pass_rating,82.7,,,,,
player,201010030pit,rav,FlacJo00,rush_att,2,,,,,
player,201010030pit,rav,FlacJo00,rush_yds,1,,,,,
player,201010030pit,rav,FlacJo00,rush_td,0,,,,,
player,201010030pit,rav,FlacJo00,rush_long,2,,,,,
player,201010030pit,rav,FlacJo00,targets,0,,,,,
player,201010030pit,rav,FlacJo00,rec,0,,,,,
player,201010030pit,rav,FlacJo00,rec_yds,0,,,,,
player,201010030pit,rav,FlacJo00,rec_td,0,,,,,
player,201010030pit,rav,FlacJo00,rec_long,0,,,,,
player,201010030pit,rav,FlacJo00,fumbles,1,,,,,
player,201010030pit,rav,FlacJo00,fumbles_lost,0,,,,,
player,201010030pit,rav,McGaWi00,pass_cmp,0,,,,,
player,201010030pit,rav,McGaWi00,pass_att,0,,,,,
player,201010030pit,rav,McGaWi00,pass_yds,0,,,,,
player,201010030pit,rav,McGaWi00,pass_td,0,,,,,
player,201010030pit,rav,McGaWi00,pass_int,0,,,,,
player,201010030pit,rav,McGaWi00,pass_sacked,,,,,,
player,201010030pit,rav,McGaWi00,pass_sacked_yds,,,,,,
player,201010030pit,rav,McGaWi00,pass_long,0,,,,,
player,201010030pit,rav,McGaWi00,pass_rating,,,,,,
player,201010030pit,rav,McGaWi00,rush_att,14,,,,,
player,201010030pit,rav,McGaWi00,rush_yds,39,,,,,
player,201010030pit,rav,McGaWi00,rush_td,1,,,,,
player,201010030pit,rav,McGaWi00,rush_long,10,,,,,
player,201010030pit,rav,McGaWi00,targets,3,,,,,
player,201010030pit,rav,McGaWi00,rec,2,,,,,
player,201010030pit,rav,McGaWi00,rec_yds,2,,,,,
player,201010030pit,rav,McGaWi00,rec_td,0,,,,,
player,201010030pit,rav,McGaWi00,rec_long,1,,,,,
player,201010030pit,rav,McGaWi00,fumbles,1,,,,,
player,201010030pit,rav,McGaWi00,fumbles_lost,1,,,,,
player,201010030pit,rav,RiceRa00,pass_cmp,0,,,,,
player,201010030pit,rav,RiceRa00,pass_att,0,,,,,
player,201010030pit,rav,RiceRa00,pass_yds,0,,,,,
player,201010030pit,rav,RiceRa00,pass_td,0,,,,,
player,201010030pit,rav,RiceRa00,pass_int,0,,,,,
player,201010030pit,rav,RiceRa00,pass_sacked,,,,,,
player,201010030pit,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201010030pit,rav,RiceRa00,pass_long,0,,,,,
player,201010030pit,rav,RiceRa00,pass_rating,,,,,,
player,201010030pit,rav,RiceRa00,rush_att,8,,,,,
player,201010030pit,rav,RiceRa00,rush_yds,20,,,,,
player,201010030pit,rav,RiceRa00,rush_td,0,,,,,
player,201010030pit,rav,RiceRa00,rush_long,6,,,,,
player,201010030pit,rav,RiceRa00,targets,2,,,,,
player,201010030pit,rav,RiceRa00,rec,1,,,,,
player,201010030pit,rav,RiceRa00,rec_yds,9,,,,,
player,201010030pit,rav,RiceRa00,rec_td,0,,,,,
player,201010030pit,rav,RiceRa00,rec_long,9,,,,,
player,201010030pit,rav,RiceRa00,fumbles,0,,,,,
player,201010030pit,rav,RiceRa00,fumbles_lost,,,,,,
player,201010030pit,rav,McClLe00,pass_cmp,0,,,,,
