game,2010,9,20101107,201011070cle,nwe,"New England Patriots",14,cle,"Cleveland Browns",34
team,201011070cle,nwe,First Downs,19,,,,,,
team,201011070cle,cle,First Downs,22,,,,,,
team,201011070cle,nwe,Rush-Yds-TDs,20-68-0,,,,,,
team,201011070cle,cle,Rush-Yds-TDs,44-230-4,,,,,,
team,201011070cle,nwe,Cmp-Att-Yd-TD-INT,19-38-224-2-1,,,,,,
team,201011070cle,cle,Cmp-Att-Yd-TD-INT,14-19-174-0-0,,,,,,
team,201011070cle,nwe,Sacked-Yards,1-9,,,,,,
team,201011070cle,cle,Sacked-Yards,0-0,,,,,,
team,201011070cle,nwe,Net Pass Yards,215,,,,,,
team,201011070cle,cle,Net Pass Yards,174,,,,,,
team,201011070cle,nwe,Total Yards,283,,,,,,
team,201011070cle,cle,Total Yards,404,,,,,,
team,201011070cle,nwe,Fumbles-Lost,2-2,,,,,,
team,201011070cle,cle,Fumbles-Lost,1-1,,,,,,
team,201011070cle,nwe,Turnovers,3,,,,,,
team,201011070cle,cle,Turnovers,1,,,,,,
team,201011070cle,nwe,Penalties-Yards,3-20,,,,,,
team,201011070cle,cle,Penalties-Yards,4-28,,,,,,
team,201011070cle,nwe,Third Down Conv.,3-11,,,,,,
team,201011070cle,cle,Third Down Conv.,7-13,,,,,,
team,201011070cle,nwe,Fourth Down Conv.,2-2,,,,,,
team,201011070cle,cle,Fourth Down Conv.,1-1,,,,,,
team,201011070cle,nwe,Time of Possession,21:52,,,,,,
team,201011070cle,cle,Time of Possession,38:08,,,,,,
player,201011070cle,nwe,BradTo00,pass_cmp,19,,,,,
player,201011070cle,nwe,BradTo00,pass_att,36,,,,,
player,201011070cle,nwe,BradTo00,pass_yds,224,,,,,
player,201011070cle,nwe,BradTo00,pass_td,2,,,,,
player,201011070cle,nwe,BradTo00,pass_int,0,,,,,
player,201011070cle,nwe,BradTo00,pass_sacked,1,,,,,
player,201011070cle,nwe,BradTo00,pass_sacked_yds,9,,,,,
player,201011070cle,nwe,BradTo00,pass_long,26,,,,,
player,201011070cle,nwe,BradTo00,pass_rating,90.5,,,,,
player,201011070cle,nwe,BradTo00,rush_att,1,,,,,
player,201011070cle,nwe,BradTo00,rush_yds,1,,,,,
player,201011070cle,nwe,BradTo00,rush_td,1,,,,,
player,201011070cle,nwe,BradTo00,rush_long,1,,,,,
player,201011070cle,nwe,BradTo00,targets,0,,,,,
player,201011070cle,nwe,BradTo00,rec,0,,,,,
player,201011070cle,nwe,BradTo00,rec_yds,0,,,,,
player,201011070cle,nwe,BradTo00,rec_td,0,,,,,
player,201011070cle,nwe,BradTo00,rec_long,0,,,,,
player,201011070cle,nwe,BradTo00,fumbles,0,,,,,
player,201011070cle,nwe,BradTo00,fumbles_lost,,,,,,
player,201011070cle,nwe,HoyeBr00,pass_cmp,0,,,,,
player,201011070cle,nwe,HoyeBr00,pass_att,2,,,,,
player,201011070cle,nwe,HoyeBr00,pass_yds,0,,,,,
player,201011070cle,nwe,HoyeBr00,pass_td,0,,,,,
player,201011070cle,nwe,HoyeBr00,pass_int,1,,,,,
player,201011070cle,nwe,HoyeBr00,pass_sacked,0,,,,,
player,201011070cle,nwe,HoyeBr00,pass_sacked_yds,0,,,,,
player,201011070cle,nwe,HoyeBr00,pass_long,0,,,,,
player,201011070cle,nwe,HoyeBr00,pass_rating,0.0,,,,,
player,201011070cle,nwe,HoyeBr00,rush_att,1,,,,,
player,201011070cle,nwe,HoyeBr00,rush_yds,-1,,,,,
player,201011070cle,nwe,HoyeBr00,rush_td,0,,,,,
player,201011070cle,nwe,HoyeBr00,rush_long,-1,,,,,
player,201011070cle,nwe,HoyeBr00,targets,0,,,,,
player,201011070cle,nwe,HoyeBr00,rec,0,,,,,
player,201011070cle,nwe,HoyeBr00,rec_yds,0,,,,,
player,201011070cle,nwe,HoyeBr00,rec_td,0,,,,,
player,201011070cle,nwe,HoyeBr00,rec_long,0,,,,,
player,201011070cle,nwe,HoyeBr00,fumbles,0,,,,,
player,201011070cle,nwe,HoyeBr00,fumbles_lost,,,,,,
player,201011070cle,nwe,WoodDa02,pass_cmp,0,,,,,
player,201011070cle,nwe,WoodDa02,pass_att,0,,,,,
player,201011070cle,nwe,WoodDa02,pass_yds,0,,,,,
player,201011070cle,nwe,WoodDa02,pass_td,0,,,,,
player,201011070cle,nwe,WoodDa02,pass_int,0,,,,,
player,201011070cle,nwe,WoodDa02,pass_sacked,,,,,,
player,201011070cle,nwe,WoodDa02,pass_sacked_yds,,,,,,
player,201011070cle,nwe,WoodDa02,pass_long,0,,,,,
player,201011070cle,nwe,WoodDa02,pass_rating,,,,,,
player,201011070cle,nwe,WoodDa02,rush_att,9,,,,,
player,201011070cle,nwe,WoodDa02,rush_yds,54,,,,,
player,201011070cle,nwe,WoodDa02,rush_td,0,,,,,
player,201011070cle,nwe,WoodDa02,rush_long,12,,,,,
player,201011070cle,nwe,WoodDa02,targets,5,,,,,
player,201011070cle,nwe,WoodDa02,rec,2,,,,,
player,201011070cle,nwe,WoodDa02,rec_yds,38,,,,,
player,201011070cle,nwe,WoodDa02,rec_td,0,,,,,
player,201011070cle,nwe,WoodDa02,rec_long,26,,,,,
player,201011070cle,nwe,WoodDa02,fumbles,0,,,,,
player,201011070cle,nwe,WoodDa02,fumbles_lost,,,,,,
player,201011070cle,nwe,GreeBe00,pass_cmp,0,,,,,
player,201011070cle,nwe,GreeBe00,pass_att,0,,,,,
player,201011070cle,nwe,GreeBe00,pass_yds,0,,,,,
player,201011070cle,nwe,GreeBe00,pass_td,0,,,,,
player,201011070cle,nwe,GreeBe00,pass_int,0,,,,,
player,201011070cle,nwe,GreeBe00,pass_sacked,,,,,,
player,201011070cle,nwe,GreeBe00,pass_sacked_yds,,,,,,
player,201011070cle,nwe,GreeBe00,pass_long,0,,,,,
player,201011070cle,nwe,GreeBe00,pass_rating,,,,,,
player,201011070cle,nwe,GreeBe00,rush_att,9,,,,,
player,201011070cle,nwe,GreeBe00,rush_yds,14,,,,,
player,201011070cle,nwe,GreeBe00,rush_td,0,,,,,
player,201011070cle,nwe,GreeBe00,rush_long,5,,,,,
player,201011070cle,nwe,GreeBe00,targets,0,,,,,
player,201011070cle,nwe,GreeBe00,rec,0,,,,,
player,201011070cle,nwe,GreeBe00,rec_yds,0,,,,,
player,201011070cle,nwe,GreeBe00,rec_td,0,,,,,
player,201011070cle,nwe,GreeBe00,rec_long,0,,,,,
player,201011070cle,nwe,GreeBe00,fumbles,0,,,,,
player,201011070cle,nwe,GreeBe00,fumbles_lost,,,,,,
player,201011070cle,nwe,HernAa00,pass_cmp,0,,,,,
player,201011070cle,nwe,HernAa00,pass_att,0,,,,,
player,201011070cle,nwe,HernAa00,pass_yds,0,,,,,
player,201011070cle,nwe,HernAa00,pass_td,0,,,,,
player,201011070cle,nwe,HernAa00,pass_int,0,,,,,
player,201011070cle,nwe,HernAa00,pass_sacked,,,,,,
player,201011070cle,nwe,HernAa00,pass_sacked_yds,,,,,,
player,201011070cle,nwe,HernAa00,pass_long,0,,,,,
player,201011070cle,nwe,HernAa00,pass_rating,,,,,,
player,201011070cle,nwe,HernAa00,rush_att,0,,,,,
player,201011070cle,nwe,HernAa00,rush_yds,0,,,,,
player,201011070cle,nwe,HernAa00,rush_td,0,,,,,
player,201011070cle,nwe,HernAa00,rush_long,0,,,,,
player,201011070cle,nwe,HernAa00,targets,9,,,,,
player,201011070cle,nwe,HernAa00,rec,5,,,,,
player,201011070cle,nwe,HernAa00,rec_yds,48,,,,,
player,201011070cle,nwe,HernAa00,rec_td,2,,,,,
player,201011070cle,nwe,HernAa00,rec_long,22,,,,,
player,201011070cle,nwe,HernAa00,fumbles,0,,,,,
player,201011070cle,nwe,HernAa00,fumbles_lost,,,,,,
player,201011070cle,nwe,GronRo00,pass_cmp,0,,,,,
player,201011070cle,nwe,GronRo00,pass_att,0,,,,,
player,201011070cle,nwe,GronRo00,pass_yds,0,,,,,
player,201011070cle,nwe,GronRo00,pass_td,0,,,,,
player,201011070cle,nwe,GronRo00,pass_int,0,,,,,
player,201011070cle,nwe,GronRo00,pass_sacked,,,,,,
player,201011070cle,nwe,GronRo00,pass_sacked_yds,,,,,,
player,201011070cle,nwe,GronRo00,pass_long,0,,,,,
player,201011070cle,nwe,GronRo00,pass_rating,,,,,,
player,201011070cle,nwe,GronRo00,rush_att,0,,,,,
player,201011070cle,nwe,GronRo00,rush_yds,0,,,,,
player,201011070cle,nwe,GronRo00,rush_td,0,,,,,
player,201011070cle,nwe,GronRo00,rush_long,0,,,,,
player,201011070cle,nwe,GronRo00,targets,8,,,,,
player,201011070cle,nwe,GronRo00,rec,4,,,,,
player,201011070cle,nwe,GronRo00,rec_yds,47,,,,,
player,201011070cle,nwe,GronRo00,rec_td,0,,,,,
player,201011070cle,nwe,GronRo00,rec_long,22,,,,,
player,201011070cle,nwe,GronRo00,fumbles,1,,,,,
player,201011070cle,nwe,GronRo00,fumbles_lost,1,,,,,
player,201011070cle,nwe,WelkWe00,pass_cmp,0,,,,,
player,201011070cle,nwe,WelkWe00,pass_att,0,,,,,
player,201011070cle,nwe,WelkWe00,pass_yds,0,,,,,
player,201011070cle,nwe,WelkWe00,pass_td,0,,,,,
player,201011070cle,nwe,WelkWe00,pass_int,0,,,,,
player,201011070cle,nwe,WelkWe00,pass_sacked,,,,,,
player,201011070cle,nwe,WelkWe00,pass_sacked_yds,,,,,,
player,201011070cle,nwe,WelkWe00,pass_long,0,,,,,
player,201011070cle,nwe,WelkWe00,pass_rating,,,,,,
player,201011070cle,nwe,WelkWe00,rush_att,0,,,,,
player,201011070cle,nwe,WelkWe00,rush_yds,0,,,,,
player,201011070cle,nwe,WelkWe00,rush_td,0,,,,,
player,201011070cle,nwe,WelkWe00,rush_long,0,,,,,
player,201011070cle,nwe,WelkWe00,targets,6,,,,,
player,201011070cle,nwe,WelkWe00,rec,4,,,,,
player,201011070cle,nwe,WelkWe00,rec_yds,36,,,,,
player,201011070cle,nwe,WelkWe00,rec_td,0,,,,,
player,201011070cle,nwe,WelkWe00,rec_long,11,,,,,
player,201011070cle,nwe,WelkWe00,fumbles,0,,,,,
player,201011070cle,nwe,WelkWe00,fumbles_lost,,,,,,
player,201011070cle,nwe,MorrSa00,pass_cmp,0,,,,,
player,201011070cle,nwe,MorrSa00,pass_att,0,,,,,
player,201011070cle,nwe,MorrSa00,pass_yds,0,,,,,
player,201011070cle,nwe,MorrSa00,pass_td,0,,,,,
player,201011070cle,nwe,MorrSa00,pass_int,0,,,,,
player,201011070cle,nwe,MorrSa00,pass_sacked,,,,,,
player,201011070cle,nwe,MorrSa00,pass_sacked_yds,,,,,,
player,201011070cle,nwe,MorrSa00,pass_long,0,,,,,
player,201011070cle,nwe,MorrSa00,pass_rating,,,,,,
player,201011070cle,nwe,MorrSa00,rush_att,0,,,,,
player,201011070cle,nwe,MorrSa00,rush_yds,0,,,,,
player,201011070cle,nwe,MorrSa00,rush_td,0,,,,,
player,201011070cle,nwe,MorrSa00,rush_long,0,,,,,
player,201011070cle,nwe,MorrSa00,targets,1,,,,,
player,201011070cle,nwe,MorrSa00,rec,1,,,,,
player,201011070cle,nwe,MorrSa00,rec_yds,22,,,,,
player,201011070cle,nwe,MorrSa00,rec_td,0,,,,,
player,201011070cle,nwe,MorrSa00,rec_long,22,,,,,
player,201011070cle,nwe,MorrSa00,fumbles,1,,,,,
player,201011070cle,nwe,MorrSa00,fumbles_lost,,,,,,
player,201011070cle,nwe,BranDe00,pass_cmp,0,,,,,
player,201011070cle,nwe,BranDe00,pass_att,0,,,,,
player,201011070cle,nwe,BranDe00,pass_yds,0,,,,,
player,201011070cle,nwe,BranDe00,pass_td,0,,,,,
player,201011070cle,nwe,BranDe00,pass_int,0,,,,,
player,201011070cle,nwe,BranDe00,pass_sacked,,,,,,
player,201011070cle,nwe,BranDe00,pass_sacked_yds,,,,,,
player,201011070cle,nwe,BranDe00,pass_long,0,,,,,
player,201011070cle,nwe,BranDe00,pass_rating,,,,,,
player,201011070cle,nwe,BranDe00,rush_att,0,,,,,
player,201011070cle,nwe,BranDe00,rush_yds,0,,,,,
