game,2010,1,20100912,201009120pit,atl,"Atlanta Falcons",9,pit,"Pittsburgh Steelers",15
player,201009120pit,atl,RyanMa00,fumbles_lost,,,,,,
player,201009120pit,atl,TurnMi00,pass_cmp,0,,,,,
player,201009120pit,atl,TurnMi00,pass_att,0,,,,,
player,201009120pit,atl,TurnMi00,pass_yds,0,,,,,
player,201009120pit,atl,TurnMi00,pass_td,0,,,,,
player,201009120pit,atl,TurnMi00,pass_int,0,,,,,
player,201009120pit,atl,TurnMi00,pass_sacked,,,,,,
player,201009120pit,atl,TurnMi00,pass_sacked_yds,,,,,,
player,201009120pit,atl,TurnMi00,pass_long,0,,,,,
player,201009120pit,atl,TurnMi00,pass_rating,,,,,,
player,201009120pit,atl,TurnMi00,rush_att,19,,,,,
player,201009120pit,atl,TurnMi00,rush_yds,42,,,,,
player,201009120pit,atl,TurnMi00,rush_td,0,,,,,
player,201009120pit,atl,TurnMi00,rush_long,7,,,,,
player,201009120pit,atl,TurnMi00,targets,1,,,,,
player,201009120pit,atl,TurnMi00,rec,1,,,,,
player,201009120pit,atl,TurnMi00,rec_yds,7,,,,,
player,201009120pit,atl,TurnMi00,rec_td,0,,,,,
player,201009120pit,atl,TurnMi00,rec_long,7,,,,,
player,201009120pit,atl,TurnMi00,fumbles,0,,,,,
player,201009120pit,atl,TurnMi00,fumbles_lost,,,,,,
player,201009120pit,atl,NorwJe00,pass_cmp,0,,,,,
player,201009120pit,atl,NorwJe00,pass_att,0,,,,,
player,201009120pit,atl,NorwJe00,pass_yds,0,,,,,
player,201009120pit,atl,NorwJe00,pass_td,0,,,,,
player,201009120pit,atl,NorwJe00,pass_int,0,,,,,
player,201009120pit,atl,NorwJe00,pass_sacked,,,,,,
player,201009120pit,atl,NorwJe00,pass_sacked_yds,,,,,,
player,201009120pit,atl,NorwJe00,pass_long,0,,,,,
player,201009120pit,atl,NorwJe00,pass_rating,,,,,,
player,201009120pit,atl,NorwJe00,rush_att,2,,,,,
player,201009120pit,atl,NorwJe00,rush_yds,8,,,,,
player,201009120pit,atl,NorwJe00,rush_td,0,,,,,
player,201009120pit,atl,NorwJe00,rush_long,6,,,,,
player,201009120pit,atl,NorwJe00,targets,3,,,,,
player,201009120pit,atl,NorwJe00,rec,1,,,,,
player,201009120pit,atl,NorwJe00,rec_yds,9,,,,,
player,201009120pit,atl,NorwJe00,rec_td,0,,,,,
player,201009120pit,atl,NorwJe00,rec_long,9,,,,,
player,201009120pit,atl,NorwJe00,fumbles,0,,,,,
player,201009120pit,atl,NorwJe00,fumbles_lost,,,,,,
player,201009120pit,atl,SnelJa00,pass_cmp,0,,,,,
player,201009120pit,atl,SnelJa00,pass_att,0,,,,,
player,201009120pit,atl,SnelJa00,pass_yds,0,,,,,
player,201009120pit,atl,SnelJa00,pass_td,0,,,,,
player,201009120pit,atl,SnelJa00,pass_int,0,,,,,
player,201009120pit,atl,SnelJa00,pass_sacked,,,,,,
player,201009120pit,atl,SnelJa00,pass_sacked_yds,,,,,,
player,201009120pit,atl,SnelJa00,pass_long,0,,,,,
player,201009120pit,atl,SnelJa00,pass_rating,,,,,,
player,201009120pit,atl,SnelJa00,rush_att,2,,,,,
player,201009120pit,atl,SnelJa00,rush_yds,4,,,,,
player,201009120pit,atl,SnelJa00,rush_td,0,,,,,
player,201009120pit,atl,SnelJa00,rush_long,3,,,,,
player,201009120pit,atl,SnelJa00,targets,1,,,,,
player,201009120pit,atl,SnelJa00,rec,1,,,,,
player,201009120pit,atl,SnelJa00,rec_yds,4,,,,,
player,201009120pit,atl,SnelJa00,rec_td,0,,,,,
player,201009120pit,atl,SnelJa00,rec_long,4,,,,,
player,201009120pit,atl,SnelJa00,fumbles,0,,,,,
player,201009120pit,atl,SnelJa00,fumbles_lost,,,,,,
player,201009120pit,atl,WhitRo00,pass_cmp,0,,,,,
player,201009120pit,atl,WhitRo00,pass_att,0,,,,,
player,201009120pit,atl,WhitRo00,pass_yds,0,,,,,
player,201009120pit,atl,WhitRo00,pass_td,0,,,,,
player,201009120pit,atl,WhitRo00,pass_int,0,,,,,
player,201009120pit,atl,WhitRo00,pass_sacked,,,,,,
player,201009120pit,atl,WhitRo00,pass_sacked_yds,,,,,,
player,201009120pit,atl,WhitRo00,pass_long,0,,,,,
player,201009120pit,atl,WhitRo00,pass_rating,,,,,,
player,201009120pit,atl,WhitRo00,rush_att,0,,,,,
player,201009120pit,atl,WhitRo00,rush_yds,0,,,,,
player,201009120pit,atl,WhitRo00,rush_td,0,,,,,
player,201009120pit,atl,WhitRo00,rush_long,0,,,,,
player,201009120pit,atl,WhitRo00,targets,23,,,,,
player,201009120pit,atl,WhitRo00,rec,13,,,,,
player,201009120pit,atl,WhitRo00,rec_yds,111,,,,,
player,201009120pit,atl,WhitRo00,rec_td,0,,,,,
player,201009120pit,atl,WhitRo00,rec_long,18,,,,,
player,201009120pit,atl,WhitRo00,fumbles,0,,,,,
player,201009120pit,atl,WhitRo00,fumbles_lost,,,,,,
player,201009120pit,atl,DougHa00,pass_cmp,0,,,,,
player,201009120pit,atl,DougHa00,pass_att,0,,,,,
player,201009120pit,atl,DougHa00,pass_yds,0,,,,,
player,201009120pit,atl,DougHa00,pass_td,0,,,,,
player,201009120pit,atl,DougHa00,pass_int,0,,,,,
player,201009120pit,atl,DougHa00,pass_sacked,,,,,,
player,201009120pit,atl,DougHa00,pass_sacked_yds,,,,,,
player,201009120pit,atl,DougHa00,pass_long,0,,,,,
player,201009120pit,atl,DougHa00,pass_rating,,,,,,
player,201009120pit,atl,DougHa00,rush_att,0,,,,,
player,201009120pit,atl,DougHa00,rush_yds,0,,,,,
player,201009120pit,atl,DougHa00,rush_td,0,,,,,
player,201009120pit,atl,DougHa00,rush_long,0,,,,,
player,201009120pit,atl,DougHa00,targets,3,,,,,
player,201009120pit,atl,DougHa00,rec,3,,,,,
player,201009120pit,atl,DougHa00,rec_yds,39,,,,,
player,201009120pit,atl,DougHa00,rec_td,0,,,,,
player,201009120pit,atl,DougHa00,rec_long,23,,,,,
player,201009120pit,atl,DougHa00,fumbles,0,,,,,
player,201009120pit,atl,DougHa00,fumbles_lost,,,,,,
player,201009120pit,atl,WeemEr00,pass_cmp,0,,,,,
player,201009120pit,atl,WeemEr00,pass_att,0,,,,,
player,201009120pit,atl,WeemEr00,pass_yds,0,,,,,
player,201009120pit,atl,WeemEr00,pass_td,0,,,,,
player,201009120pit,atl,WeemEr00,pass_int,0,,,,,
player,201009120pit,atl,WeemEr00,pass_sacked,,,,,,
player,201009120pit,atl,WeemEr00,pass_sacked_yds,,,,,,
player,201009120pit,atl,WeemEr00,pass_long,0,,,,,
player,201009120pit,atl,WeemEr00,pass_rating,,,,,,
player,201009120pit,atl,WeemEr00,rush_att,0,,,,,
player,201009120pit,atl,WeemEr00,rush_yds,0,,,,,
player,201009120pit,atl,WeemEr00,rush_td,0,,,,,
player,201009120pit,atl,WeemEr00,rush_long,0,,,,,
player,201009120pit,atl,WeemEr00,targets,4,,,,,
player,201009120pit,atl,WeemEr00,rec,4,,,,,
player,201009120pit,atl,WeemEr00,rec_yds,36,,,,,
player,201009120pit,atl,WeemEr00,rec_td,0,,,,,
player,201009120pit,atl,WeemEr00,rec_long,17,,,,,
player,201009120pit,atl,WeemEr00,fumbles,0,,,,,
player,201009120pit,atl,WeemEr00,fumbles_lost,,,,,,
player,201009120pit,atl,GonzTo00,pass_cmp,0,,,,,
player,201009120pit,atl,GonzTo00,pass_att,0,,,,,
player,201009120pit,atl,GonzTo00,pass_yds,0,,,,,
player,201009120pit,atl,GonzTo00,pass_td,0,,,,,
player,201009120pit,atl,GonzTo00,pass_int,0,,,,,
player,201009120pit,atl,GonzTo00,pass_sacked,,,,,,
player,201009120pit,atl,GonzTo00,pass_sacked_yds,,,,,,
player,201009120pit,atl,GonzTo00,pass_long,0,,,,,
player,201009120pit,atl,GonzTo00,pass_rating,,,,,,
player,201009120pit,atl,GonzTo00,rush_att,0,,,,,
player,201009120pit,atl,GonzTo00,rush_yds,0,,,,,
player,201009120pit,atl,GonzTo00,rush_td,0,,,,,
player,201009120pit,atl,GonzTo00,rush_long,0,,,,,
player,201009120pit,atl,GonzTo00,targets,5,,,,,
player,201009120pit,atl,GonzTo00,rec,2,,,,,
player,201009120pit,atl,GonzTo00,rec_yds,35,,,,,
player,201009120pit,atl,GonzTo00,rec_td,0,,,,,
player,201009120pit,atl,GonzTo00,rec_long,20,,,,,
player,201009120pit,atl,GonzTo00,fumbles,0,,,,,
player,201009120pit,atl,GonzTo00,fumbles_lost,,,,,,
player,201009120pit,atl,PeelJu00,pass_cmp,0,,,,,
player,201009120pit,atl,PeelJu00,pass_att,0,,,,,
player,201009120pit,atl,PeelJu00,pass_yds,0,,,,,
player,201009120pit,atl,PeelJu00,pass_td,0,,,,,
player,201009120pit,atl,PeelJu00,pass_int,0,,,,,
player,201009120pit,atl,PeelJu00,pass_sacked,,,,,,
player,201009120pit,atl,PeelJu00,pass_sacked_yds,,,,,,
player,201009120pit,atl,PeelJu00,pass_long,0,,,,,
player,201009120pit,atl,PeelJu00,pass_rating,,,,,,
player,201009120pit,atl,PeelJu00,rush_att,0,,,,,
player,201009120pit,atl,PeelJu00,rush_yds,0,,,,,
player,201009120pit,atl,PeelJu00,rush_td,0,,,,,
player,201009120pit,atl,PeelJu00,rush_long,0,,,,,
player,201009120pit,atl,PeelJu00,targets,2,,,,,
player,201009120pit,atl,PeelJu00,rec,2,,,,,
player,201009120pit,atl,PeelJu00,rec_yds,11,,,,,
player,201009120pit,atl,PeelJu00,rec_td,0,,,,,
player,201009120pit,atl,PeelJu00,rec_long,9,,,,,
player,201009120pit,atl,PeelJu00,fumbles,0,,,,,
player,201009120pit,atl,PeelJu00,fumbles_lost,,,,,,
player,201009120pit,atl,FinnBr00,pass_cmp,,,,,,
