game,2010,14,20101212,201012120nor,ram,"St. Louis Rams",13,nor,"New Orleans Saints",31
team,201012120nor,ram,First Downs,14,,,,,,
team,201012120nor,nor,First Downs,22,,,,,,
team,201012120nor,ram,Rush-Yds-TDs,24-136-1,,,,,,
team,201012120nor,nor,Rush-Yds-TDs,29-132-0,,,,,,
team,201012120nor,ram,Cmp-Att-Yd-TD-INT,18-32-231-0-2,,,,,,
team,201012120nor,nor,Cmp-Att-Yd-TD-INT,25-40-221-3-2,,,,,,
team,201012120nor,ram,Sacked-Yards,3-40,,,,,,
team,201012120nor,nor,Sacked-Yards,1-8,,,,,,
team,201012120nor,ram,Net Pass Yards,191,,,,,,
team,201012120nor,nor,Net Pass Yards,213,,,,,,
team,201012120nor,ram,Total Yards,327,,,,,,
team,201012120nor,nor,Total Yards,345,,,,,,
team,201012120nor,ram,Fumbles-Lost,2-1,,,,,,
team,201012120nor,nor,Fumbles-Lost,1-1,,,,,,
team,201012120nor,ram,Turnovers,3,,,,,,
team,201012120nor,nor,Turnovers,3,,,,,,
team,201012120nor,ram,Penalties-Yards,4-39,,,,,,
team,201012120nor,nor,Penalties-Yards,5-55,,,,,,
team,201012120nor,ram,Third Down Conv.,1-11,,,,,,
team,201012120nor,nor,Third Down Conv.,11-16,,,,,,
team,201012120nor,ram,Fourth Down Conv.,2-2,,,,,,
team,201012120nor,nor,Fourth Down Conv.,0-1,,,,,,
team,201012120nor,ram,Time of Possession,26:59,,,,,,
team,201012120nor,nor,Time of Possession,33:01,,,,,,
player,201012120nor,ram,BradSa00,pass_cmp,18,,,,,
player,201012120nor,ram,BradSa00,pass_att,32,,,,,
player,201012120nor,ram,BradSa00,pass_yds,231,,,,,
player,201012120nor,ram,BradSa00,pass_td,0,,,,,
player,201012120nor,ram,BradSa00,pass_int,2,,,,,
player,201012120nor,ram,BradSa00,pass_sacked,3,,,,,
player,201012120nor,ram,BradSa00,pass_sacked_yds,40,,,,,
player,201012120nor,ram,BradSa00,pass_long,32,,,,,
player,201012120nor,ram,BradSa00,pass_rating,53.0,,,,,
player,201012120nor,ram,BradSa00,rush_att,2,,,,,
player,201012120nor,ram,BradSa00,rush_yds,5,,,,,
player,201012120nor,ram,BradSa00,rush_td,1,,,,,
player,201012120nor,ram,BradSa00,rush_long,4,,,,,
player,201012120nor,ram,BradSa00,targets,0,,,,,
player,201012120nor,ram,BradSa00,rec,0,,,,,
player,201012120nor,ram,BradSa00,rec_yds,0,,,,,
player,201012120nor,ram,BradSa00,rec_td,0,,,,,
player,201012120nor,ram,BradSa00,rec_long,0,,,,,
player,201012120nor,ram,BradSa00,fumbles,1,,,,,
player,201012120nor,ram,BradSa00,fumbles_lost,0,,,,,
player,201012120nor,ram,JackSt00,pass_cmp,0,,,,,
player,201012120nor,ram,JackSt00,pass_att,0,,,,,
player,201012120nor,ram,JackSt00,pass_yds,0,,,,,
player,201012120nor,ram,JackSt00,pass_td,0,,,,,
player,201012120nor,ram,JackSt00,pass_int,0,,,,,
player,201012120nor,ram,JackSt00,pass_sacked,,,,,,
player,201012120nor,ram,JackSt00,pass_sacked_yds,,,,,,
player,201012120nor,ram,JackSt00,pass_long,0,,,,,
player,201012120nor,ram,JackSt00,pass_rating,,,,,,
player,201012120nor,ram,JackSt00,rush_att,16,,,,,
player,201012120nor,ram,JackSt00,rush_yds,96,,,,,
player,201012120nor,ram,JackSt00,rush_td,0,,,,,
player,201012120nor,ram,JackSt00,rush_long,20,,,,,
player,201012120nor,ram,JackSt00,targets,4,,,,,
player,201012120nor,ram,JackSt00,rec,4,,,,,
player,201012120nor,ram,JackSt00,rec_yds,38,,,,,
player,201012120nor,ram,JackSt00,rec_td,0,,,,,
player,201012120nor,ram,JackSt00,rec_long,19,,,,,
