game,2010,12,20101128,201011280htx,oti,"Tennessee Titans",0,htx,"Houston Texans",20
team,201011280htx,oti,First Downs,9,,,,,,
team,201011280htx,htx,First Downs,24,,,,,,
team,201011280htx,oti,Rush-Yds-TDs,12-24-0,,,,,,
team,201011280htx,htx,Rush-Yds-TDs,39-188-0,,,,,,
team,201011280htx,oti,Cmp-Att-Yd-TD-INT,17-31-138-0-3,,,,,,
team,201011280htx,htx,Cmp-Att-Yd-TD-INT,25-35-178-2-0,,,,,,
team,201011280htx,oti,Sacked-Yards,1-0,,,,,,
team,201011280htx,htx,Sacked-Yards,2-20,,,,,,
team,201011280htx,oti,Net Pass Yards,138,,,,,,
team,201011280htx,htx,Net Pass Yards,158,,,,,,
team,201011280htx,oti,Total Yards,162,,,,,,
team,201011280htx,htx,Total Yards,346,,,,,,
team,201011280htx,oti,Fumbles-Lost,0-0,,,,,,
team,201011280htx,htx,Fumbles-Lost,1-0,,,,,,
team,201011280htx,oti,Turnovers,3,,,,,,
team,201011280htx,htx,Turnovers,0,,,,,,
team,201011280htx,oti,Penalties-Yards,10-79,,,,,,
team,201011280htx,htx,Penalties-Yards,6-68,,,,,,
team,201011280htx,oti,Third Down Conv.,3-11,,,,,,
team,201011280htx,htx,Third Down Conv.,9-18,,,,,,
team,201011280htx,oti,Fourth Down Conv.,0-0,,,,,,
team,201011280htx,htx,Fourth Down Conv.,1-2,,,,,,
team,201011280htx,oti,Time of Possession,20:19,,,,,,
team,201011280htx,htx,Time of Possession,39:41,,,,,,
player,201011280htx,oti,SmitRu01,pass_cmp,17,,,,,
player,201011280htx,oti,SmitRu01,pass_att,31,,,,,
player,201011280htx,oti,SmitRu01,pass_yds,138,,,,,
player,201011280htx,oti,SmitRu01,pass_td,0,,,,,
player,201011280htx,oti,SmitRu01,pass_int,3,,,,,
player,201011280htx,oti,SmitRu01,pass_sacked,1,,,,,
player,201011280htx,oti,SmitRu01,pass_sacked_yds,0,,,,,
player,201011280htx,oti,SmitRu01,pass_long,23,,,,,
player,201011280htx,oti,SmitRu01,pass_rating,26.7,,,,,
player,201011280htx,oti,SmitRu01,rush_att,0,,,,,
player,201011280htx,oti,SmitRu01,rush_yds,0,,,,,
player,201011280htx,oti,SmitRu01,rush_td,0,,,,,
player,201011280htx,oti,SmitRu01,rush_long,0,,,,,
player,201011280htx,oti,SmitRu01,targets,0,,,,,
player,201011280htx,oti,SmitRu01,rec,0,,,,,
player,201011280htx,oti,SmitRu01,rec_yds,0,,,,,
player,201011280htx,oti,SmitRu01,rec_td,0,,,,,
player,201011280htx,oti,SmitRu01,rec_long,0,,,,,
player,201011280htx,oti,SmitRu01,fumbles,0,,,,,
player,201011280htx,oti,SmitRu01,fumbles_lost,,,,,,
player,201011280htx,oti,RingJa00,pass_cmp,0,,,,,
player,201011280htx,oti,RingJa00,pass_att,0,,,,,
player,201011280htx,oti,RingJa00,pass_yds,0,,,,,
player,201011280htx,oti,RingJa00,pass_td,0,,,,,
player,201011280htx,oti,RingJa00,pass_int,0,,,,,
player,201011280htx,oti,RingJa00,pass_sacked,,,,,,
player,201011280htx,oti,RingJa00,pass_sacked_yds,,,,,,
player,201011280htx,oti,RingJa00,pass_long,0,,,,,
player,201011280htx,oti,RingJa00,pass_rating,,,,,,
player,201011280htx,oti,RingJa00,rush_att,4,,,,,
player,201011280htx,oti,RingJa00,rush_yds,27,,,,,
player,201011280htx,oti,RingJa00,rush_td,0,,,,,
player,201011280htx,oti,RingJa00,rush_long,17,,,,,
player,201011280htx,oti,RingJa00,targets,1,,,,,
player,201011280htx,oti,RingJa00,rec,1,,,,,
player,201011280htx,oti,RingJa00,rec_yds,4,,,,,
player,201011280htx,oti,RingJa00,rec_td,0,,,,,
player,201011280htx,oti,RingJa00,rec_long,4,,,,,
player,201011280htx,oti,RingJa00,fumbles,0,,,,,
player,201011280htx,oti,RingJa00,fumbles_lost,,,,,,
player,201011280htx,oti,JohnCh04,pass_cmp,0,,,,,
player,201011280htx,oti,JohnCh04,pass_att,0,,,,,
player,201011280htx,oti,JohnCh04,pass_yds,0,,,,,
player,201011280htx,oti,JohnCh04,pass_td,0,,,,,
player,201011280htx,oti,JohnCh04,pass_int,0,,,,,
player,201011280htx,oti,JohnCh04,pass_sacked,,,,,,
player,201011280htx,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201011280htx,oti,JohnCh04,pass_long,0,,,,,
