game,2010,5,20101010,201010100dal,oti,"Tennessee Titans",34,dal,"Dallas Cowboys",27
team,201010100dal,oti,First Downs,17,,,,,,
team,201010100dal,dal,First Downs,25,,,,,,
team,201010100dal,oti,Rush-Yds-TDs,27-158-2,,,,,,
team,201010100dal,dal,Rush-Yds-TDs,23-141-0,,,,,,
team,201010100dal,oti,Cmp-Att-Yd-TD-INT,12-25-173-2-0,,,,,,
team,201010100dal,dal,Cmp-Att-Yd-TD-INT,31-46-406-3-3,,,,,,
team,201010100dal,oti,Sacked-Yards,3-10,,,,,,
team,201010100dal,dal,Sacked-Yards,6-36,,,,,,
team,201010100dal,oti,Net Pass Yards,163,,,,,,
team,201010100dal,dal,Net Pass Yards,370,,,,,,
team,201010100dal,oti,Total Yards,321,,,,,,
team,201010100dal,dal,Total Yards,511,,,,,,
team,201010100dal,oti,Fumbles-Lost,1-0,,,,,,
team,201010100dal,dal,Fumbles-Lost,0-0,,,,,,
team,201010100dal,oti,Turnovers,0,,,,,,
team,201010100dal,dal,Turnovers,3,,,,,,
team,201010100dal,oti,Penalties-Yards,4-40,,,,,,
team,201010100dal,dal,Penalties-Yards,12-133,,,,,,
team,201010100dal,oti,Third Down Conv.,4-12,,,,,,
team,201010100dal,dal,Third Down Conv.,7-14,,,,,,
team,201010100dal,oti,Fourth Down Conv.,0-0,,,,,,
team,201010100dal,dal,Fourth Down Conv.,1-2,,,,,,
team,201010100dal,oti,Time of Possession,23:16,,,,,,
team,201010100dal,dal,Time of Possession,36:44,,,,,,
player,201010100dal,oti,YounVi00,pass_cmp,12,,,,,
player,201010100dal,oti,YounVi00,pass_att,25,,,,,
player,201010100dal,oti,YounVi00,pass_yds,173,,,,,
player,201010100dal,oti,YounVi00,pass_td,2,,,,,
player,201010100dal,oti,YounVi00,pass_int,0,,,,,
player,201010100dal,oti,YounVi00,pass_sacked,3,,,,,
player,201010100dal,oti,YounVi00,pass_sacked_yds,10,,,,,
player,201010100dal,oti,YounVi00,pass_long,52,,,,,
player,201010100dal,oti,YounVi00,pass_rating,97.6,,,,,
player,201010100dal,oti,YounVi00,rush_att,4,,,,,
player,201010100dal,oti,YounVi00,rush_yds,22,,,,,
player,201010100dal,oti,YounVi00,rush_td,0,,,,,
player,201010100dal,oti,YounVi00,rush_long,17,,,,,
player,201010100dal,oti,YounVi00,targets,0,,,,,
player,201010100dal,oti,YounVi00,rec,0,,,,,
player,201010100dal,oti,YounVi00,rec_yds,0,,,,,
player,201010100dal,oti,YounVi00,rec_td,0,,,,,
player,201010100dal,oti,YounVi00,rec_long,0,,,,,
player,201010100dal,oti,YounVi00,fumbles,0,,,,,
player,201010100dal,oti,YounVi00,fumbles_lost,,,,,,
player,201010100dal,oti,JohnCh04,pass_cmp,0,,,,,
player,201010100dal,oti,JohnCh04,pass_att,0,,,,,
player,201010100dal,oti,JohnCh04,pass_yds,0,,,,,
player,201010100dal,oti,JohnCh04,pass_td,0,,,,,
player,201010100dal,oti,JohnCh04,pass_int,0,,,,,
player,201010100dal,oti,JohnCh04,pass_sacked,,,,,,
player,201010100dal,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201010100dal,oti,JohnCh04,pass_long,0,,,,,
player,201010100dal,oti,JohnCh04,pass_rating,,,,,,
player,201010100dal,oti,JohnCh04,rush_att,19,,,,,
player,201010100dal,oti,JohnCh04,rush_yds,131,,,,,
player,201010100dal,oti,JohnCh04,rush_td,2,,,,,
player,201010100dal,oti,JohnCh04,rush_long,42,,,,,
player,201010100dal,oti,JohnCh04,targets,1,,,,,
player,201010100dal,oti,JohnCh04,rec,1,,,,,
player,201010100dal,oti,JohnCh04,rec_yds,1,,,,,
player,201010100dal,oti,JohnCh04,rec_td,0,,,,,
player,201010100dal,oti,JohnCh04,rec_long,1,,,,,
player,201010100dal,oti,JohnCh04,fumbles,1,,,,,
player,201010100dal,oti,JohnCh04,fumbles_lost,0,,,,,
player,201010100dal,oti,RingJa00,pass_cmp,0,,,,,
player,201010100dal,oti,RingJa00,pass_att,0,,,,,
player,201010100dal,oti,RingJa00,pass_yds,0,,,,,
player,201010100dal,oti,RingJa00,pass_td,0,,,,,
player,201010100dal,oti,RingJa00,pass_int,0,,,,,
player,201010100dal,oti,RingJa00,pass_sacked,,,,,,
player,201010100dal,oti,RingJa00,pass_sacked_yds,,,,,,
player,201010100dal,oti,RingJa00,pass_long,0,,,,,
player,201010100dal,oti,RingJa00,pass_rating,,,,,,
player,201010100dal,oti,RingJa00,rush_att,4,,,,,
player,201010100dal,oti,RingJa00,rush_yds,5,,,,,
player,201010100dal,oti,RingJa00,rush_td,0,,,,,
player,201010100dal,oti,RingJa00,rush_long,4,,,,,
player,201010100dal,oti,RingJa00,targets,1,,,,,
player,201010100dal,oti,RingJa00,rec,1,,,,,
player,201010100dal,oti,RingJa00,rec_yds,9,,,,,
player,201010100dal,oti,RingJa00,rec_td,0,,,,,
player,201010100dal,oti,RingJa00,rec_long,9,,,,,
player,201010100dal,oti,RingJa00,fumbles,0,,,,,
player,201010100dal,oti,RingJa00,fumbles_lost,,,,,,
player,201010100dal,oti,BritKe00,pass_cmp,0,,,,,
player,201010100dal,oti,BritKe00,pass_att,0,,,,,
player,201010100dal,oti,BritKe00,pass_yds,0,,,,,
player,201010100dal,oti,BritKe00,pass_td,0,,,,,
player,201010100dal,oti,BritKe00,pass_int,0,,,,,
player,201010100dal,oti,BritKe00,pass_sacked,,,,,,
player,201010100dal,oti,BritKe00,pass_sacked_yds,,,,,,
player,201010100dal,oti,BritKe00,pass_long,0,,,,,
player,201010100dal,oti,BritKe00,pass_rating,,,,,,
player,201010100dal,oti,BritKe00,rush_att,0,,,,,
player,201010100dal,oti,BritKe00,rush_yds,0,,,,,
player,201010100dal,oti,BritKe00,rush_td,0,,,,,
player,201010100dal,oti,BritKe00,rush_long,0,,,,,
player,201010100dal,oti,BritKe00,targets,6,,,,,
player,201010100dal,oti,BritKe00,rec,4,,,,,
player,201010100dal,oti,BritKe00,rec_yds,86,,,,,
player,201010100dal,oti,BritKe00,rec_td,1,,,,,
player,201010100dal,oti,BritKe00,rec_long,52,,,,,
player,201010100dal,oti,BritKe00,fumbles,0,,,,,
player,201010100dal,oti,BritKe00,fumbles_lost,,,,,,
player,201010100dal,oti,WillDa04,pass_cmp,0,,,,,
player,201010100dal,oti,WillDa04,pass_att,0,,,,,
player,201010100dal,oti,WillDa04,pass_yds,0,,,,,
player,201010100dal,oti,WillDa04,pass_td,0,,,,,
player,201010100dal,oti,WillDa04,pass_int,0,,,,,
player,201010100dal,oti,WillDa04,pass_sacked,,,,,,
player,201010100dal,oti,WillDa04,pass_sacked_yds,,,,,,
player,201010100dal,oti,WillDa04,pass_long,0,,,,,
player,201010100dal,oti,WillDa04,pass_rating,,,,,,
player,201010100dal,oti,WillDa04,rush_att,0,,,,,
player,201010100dal,oti,WillDa04,rush_yds,0,,,,,
player,201010100dal,oti,WillDa04,rush_td,0,,,,,
player,201010100dal,oti,WillDa04,rush_long,0,,,,,
player,201010100dal,oti,WillDa04,targets,3,,,,,
player,201010100dal,oti,WillDa04,rec,2,,,,,
player,201010100dal,oti,WillDa04,rec_yds,30,,,,,
player,201010100dal,oti,WillDa04,rec_td,0,,,,,
player,201010100dal,oti,WillDa04,rec_long,23,,,,,
player,201010100dal,oti,WillDa04,fumbles,0,,,,,
player,201010100dal,oti,WillDa04,fumbles_lost,,,,,,
player,201010100dal,oti,WashNa00,pass_cmp,0,,,,,
player,201010100dal,oti,WashNa00,pass_att,0,,,,,
player,201010100dal,oti,WashNa00,pass_yds,0,,,,,
player,201010100dal,oti,WashNa00,pass_td,0,,,,,
player,201010100dal,oti,WashNa00,pass_int,0,,,,,
player,201010100dal,oti,WashNa00,pass_sacked,,,,,,
player,201010100dal,oti,WashNa00,pass_sacked_yds,,,,,,
player,201010100dal,oti,WashNa00,pass_long,0,,,,,
player,201010100dal,oti,WashNa00,pass_rating,,,,,,
player,201010100dal,oti,WashNa00,rush_att,0,,,,,
player,201010100dal,oti,WashNa00,rush_yds,0,,,,,
player,201010100dal,oti,WashNa00,rush_td,0,,,,,
player,201010100dal,oti,WashNa00,rush_long,0,,,,,
player,201010100dal,oti,WashNa00,targets,7,,,,,
player,201010100dal,oti,WashNa00,rec,1,,,,,
player,201010100dal,oti,WashNa00,rec_yds,24,,,,,
player,201010100dal,oti,WashNa00,rec_td,1,,,,,
player,201010100dal,oti,WashNa00,rec_long,24,,,,,
player,201010100dal,oti,WashNa00,fumbles,0,,,,,
player,201010100dal,oti,WashNa00,fumbles_lost,,,,,,
player,201010100dal,oti,ScaiBo00,pass_cmp,0,,,,,
player,201010100dal,oti,ScaiBo00,pass_att,0,,,,,
player,201010100dal,oti,ScaiBo00,pass_yds,0,,,,,
player,201010100dal,oti,ScaiBo00,pass_td,0,,,,,
player,201010100dal,oti,ScaiBo00,pass_int,0,,,,,
player,201010100dal,oti,ScaiBo00,pass_sacked,,,,,,
player,201010100dal,oti,ScaiBo00,pass_sacked_yds,,,,,,
player,201010100dal,oti,ScaiBo00,pass_long,0,,,,,
player,201010100dal,oti,ScaiBo00,pass_rating,,,,,,
player,201010100dal,oti,ScaiBo00,rush_att,0,,,,,
player,201010100dal,oti,ScaiBo00,rush_yds,0,,,,,
player,201010100dal,oti,ScaiBo00,rush_td,0,,,,,
player,201010100dal,oti,ScaiBo00,rush_long,0,,,,,
player,201010100dal,oti,ScaiBo00,targets,5,,,,,
player,201010100dal,oti,ScaiBo00,rec,2,,,,,
player,201010100dal,oti,ScaiBo00,rec_yds,12,,,,,
player,201010100dal,oti,ScaiBo00,rec_td,0,,,,,
player,201010100dal,oti,ScaiBo00,rec_long,8,,,,,
player,201010100dal,oti,ScaiBo00,fumbles,0,,,,,
player,201010100dal,oti,ScaiBo00,fumbles_lost,,,,,,
player,201010100dal,oti,StevCr00,pass_cmp,0,,,,,
player,201010100dal,oti,StevCr00,pass_att,0,,,,,
player,201010100dal,oti,StevCr00,pass_yds,0,,,,,
player,201010100dal,oti,StevCr00,pass_td,0,,,,,
player,201010100dal,oti,StevCr00,pass_int,0,,,,,
player,201010100dal,oti,StevCr00,pass_sacked,,,,,,
player,201010100dal,oti,StevCr00,pass_sacked_yds,,,,,,
player,201010100dal,oti,StevCr00,pass_long,0,,,,,
player,201010100dal,oti,StevCr00,pass_rating,,,,,,
player,201010100dal,oti,StevCr00,rush_att,0,,,,,
player,201010100dal,oti,StevCr00,rush_yds,0,,,,,
player,201010100dal,oti,StevCr00,rush_td,0,,,,,
player,201010100dal,oti,StevCr00,rush_long,0,,,,,
player,201010100dal,oti,StevCr00,targets,1,,,,,
player,201010100dal,oti,StevCr00,rec,1,,,,,
player,201010100dal,oti,StevCr00,rec_yds,11,,,,,
player,201010100dal,oti,StevCr00,rec_td,0,,,,,
player,201010100dal,oti,StevCr00,rec_long,11,,,,,
player,201010100dal,oti,StevCr00,fumbles,0,,,,,
player,201010100dal,oti,StevCr00,fumbles_lost,,,,,,
player,201010100dal,dal,RomoTo00,pass_cmp,31,,,,,
player,201010100dal,dal,RomoTo00,pass_att,46,,,,,
player,201010100dal,dal,RomoTo00,pass_yds,406,,,,,
player,201010100dal,dal,RomoTo00,pass_td,3,,,,,
player,201010100dal,dal,RomoTo00,pass_int,3,,,,,
player,201010100dal,dal,RomoTo00,pass_sacked,6,,,,,
player,201010100dal,dal,RomoTo00,pass_sacked_yds,36,,,,,
player,201010100dal,dal,RomoTo00,pass_long,69,,,,,
player,201010100dal,dal,RomoTo00,pass_rating,89.6,,,,,
player,201010100dal,dal,RomoTo00,rush_att,1,,,,,
player,201010100dal,dal,RomoTo00,rush_yds,9,,,,,
player,201010100dal,dal,RomoTo00,rush_td,0,,,,,
player,201010100dal,dal,RomoTo00,rush_long,9,,,,,
player,201010100dal,dal,RomoTo00,targets,0,,,,,
player,201010100dal,dal,RomoTo00,rec,0,,,,,
player,201010100dal,dal,RomoTo00,rec_yds,0,,,,,
player,201010100dal,dal,RomoTo00,rec_td,0,,,,,
player,201010100dal,dal,RomoTo00,rec_long,0,,,,,
player,201010100dal,dal,RomoTo00,fumbles,0,,,,,
player,201010100dal,dal,RomoTo00,fumbles_lost,,,,,,
player,201010100dal,dal,JoneFe00,pass_cmp,0,,,,,
player,201010100dal,dal,JoneFe00,pass_att,0,,,,,
player,201010100dal,dal,JoneFe00,pass_yds,0,,,,,
player,201010100dal,dal,JoneFe00,pass_td,0,,,,,
player,201010100dal,dal,JoneFe00,pass_int,0,,,,,
player,201010100dal,dal,JoneFe00,pass_sacked,,,,,,
player,201010100dal,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201010100dal,dal,JoneFe00,pass_long,0,,,,,
player,201010100dal,dal,JoneFe00,pass_rating,,,,,,
player,201010100dal,dal,JoneFe00,rush_att,15,,,,,
player,201010100dal,dal,JoneFe00,rush_yds,109,,,,,
player,201010100dal,dal,JoneFe00,rush_td,0,,,,,
player,201010100dal,dal,JoneFe00,rush_long,34,,,,,
player,201010100dal,dal,JoneFe00,targets,4,,,,,
player,201010100dal,dal,JoneFe00,rec,4,,,,,
player,201010100dal,dal,JoneFe00,rec_yds,17,,,,,
player,201010100dal,dal,JoneFe00,rec_td,0,,,,,
player,201010100dal,dal,JoneFe00,rec_long,11,,,,,
player,201010100dal,dal,JoneFe00,fumbles,0,,,,,
player,201010100dal,dal,JoneFe00,fumbles_lost,,,,,,
player,201010100dal,dal,BarbMa01,pass_cmp,0,,,,,
