game,2010,5,20101010,201010100clt,kan,"Kansas City Chiefs",9,clt,"Indianapolis Colts",19
team,201010100clt,kan,First Downs,16,,,,,,
team,201010100clt,clt,First Downs,23,,,,,,
team,201010100clt,kan,Rush-Yds-TDs,27-113-0,,,,,,
team,201010100clt,clt,Rush-Yds-TDs,31-97-1,,,,,,
team,201010100clt,kan,Cmp-Att-Yd-TD-INT,16-29-156-0-0,,,,,,
team,201010100clt,clt,Cmp-Att-Yd-TD-INT,26-44-244-0-1,,,,,,
team,201010100clt,kan,Sacked-Yards,1-8,,,,,,
team,201010100clt,clt,Sacked-Yards,1-0,,,,,,
team,201010100clt,kan,Net Pass Yards,148,,,,,,
team,201010100clt,clt,Net Pass Yards,244,,,,,,
team,201010100clt,kan,Total Yards,261,,,,,,
team,201010100clt,clt,Total Yards,341,,,,,,
team,201010100clt,kan,Fumbles-Lost,2-1,,,,,,
team,201010100clt,clt,Fumbles-Lost,1-0,,,,,,
team,201010100clt,kan,Turnovers,1,,,,,,
team,201010100clt,clt,Turnovers,1,,,,,,
team,201010100clt,kan,Penalties-Yards,4-38,,,,,,
team,201010100clt,clt,Penalties-Yards,5-45,,,,,,
team,201010100clt,kan,Third Down Conv.,1-10,,,,,,
team,201010100clt,clt,Third Down Conv.,8-17,,,,,,
team,201010100clt,kan,Fourth Down Conv.,1-2,,,,,,
team,201010100clt,clt,Fourth Down Conv.,0-1,,,,,,
team,201010100clt,kan,Time of Possession,25:35,,,,,,
team,201010100clt,clt,Time of Possession,34:25,,,,,,
player,201010100clt,kan,CassMa00,pass_cmp,16,,,,,
player,201010100clt,kan,CassMa00,pass_att,29,,,,,
player,201010100clt,kan,CassMa00,pass_yds,156,,,,,
player,201010100clt,kan,CassMa00,pass_td,0,,,,,
player,201010100clt,kan,CassMa00,pass_int,0,,,,,
player,201010100clt,kan,CassMa00,pass_sacked,1,,,,,
player,201010100clt,kan,CassMa00,pass_sacked_yds,8,,,,,
player,201010100clt,kan,CassMa00,pass_long,27,,,,,
player,201010100clt,kan,CassMa00,pass_rating,70.5,,,,,
player,201010100clt,kan,CassMa00,rush_att,1,,,,,
player,201010100clt,kan,CassMa00,rush_yds,1,,,,,
player,201010100clt,kan,CassMa00,rush_td,0,,,,,
player,201010100clt,kan,CassMa00,rush_long,1,,,,,
