game,2010,5,20101010,201010100cin,tam,"Tampa Bay Buccaneers",24,cin,"Cincinnati Bengals",21
team,201010100cin,tam,First Downs,21,,,,,,
team,201010100cin,cin,First Downs,20,,,,,,
team,201010100cin,tam,Rush-Yds-TDs,22-125-1,,,,,,
team,201010100cin,cin,Rush-Yds-TDs,28-149-0,,,,,,
team,201010100cin,tam,Cmp-Att-Yd-TD-INT,22-35-284-1-1,,,,,,
team,201010100cin,cin,Cmp-Att-Yd-TD-INT,21-36-209-2-3,,,,,,
team,201010100cin,tam,Sacked-Yards,3-18,,,,,,
team,201010100cin,cin,Sacked-Yards,0-0,,,,,,
team,201010100cin,tam,Net Pass Yards,266,,,,,,
team,201010100cin,cin,Net Pass Yards,209,,,,,,
team,201010100cin,tam,Total Yards,391,,,,,,
team,201010100cin,cin,Total Yards,358,,,,,,
team,201010100cin,tam,Fumbles-Lost,4-2,,,,,,
team,201010100cin,cin,Fumbles-Lost,1-1,,,,,,
team,201010100cin,tam,Turnovers,3,,,,,,
team,201010100cin,cin,Turnovers,4,,,,,,
team,201010100cin,tam,Penalties-Yards,3-25,,,,,,
team,201010100cin,cin,Penalties-Yards,9-60,,,,,,
team,201010100cin,tam,Third Down Conv.,5-11,,,,,,
team,201010100cin,cin,Third Down Conv.,4-13,,,,,,
team,201010100cin,tam,Fourth Down Conv.,0-0,,,,,,
team,201010100cin,cin,Fourth Down Conv.,0-0,,,,,,
team,201010100cin,tam,Time of Possession,30:25,,,,,,
team,201010100cin,cin,Time of Possession,29:35,,,,,,
player,201010100cin,tam,FreeJo00,pass_cmp,20,,,,,
player,201010100cin,tam,FreeJo00,pass_att,33,,,,,
player,201010100cin,tam,FreeJo00,pass_yds,280,,,,,
player,201010100cin,tam,FreeJo00,pass_td,1,,,,,
player,201010100cin,tam,FreeJo00,pass_int,1,,,,,
player,201010100cin,tam,FreeJo00,pass_sacked,3,,,,,
player,201010100cin,tam,FreeJo00,pass_sacked_yds,18,,,,,
player,201010100cin,tam,FreeJo00,pass_long,37,,,,,
player,201010100cin,tam,FreeJo00,pass_rating,85.4,,,,,
player,201010100cin,tam,FreeJo00,rush_att,3,,,,,
player,201010100cin,tam,FreeJo00,rush_yds,20,,,,,
player,201010100cin,tam,FreeJo00,rush_td,0,,,,,
player,201010100cin,tam,FreeJo00,rush_long,12,,,,,
player,201010100cin,tam,FreeJo00,targets,0,,,,,
player,201010100cin,tam,FreeJo00,rec,0,,,,,
player,201010100cin,tam,FreeJo00,rec_yds,0,,,,,
player,201010100cin,tam,FreeJo00,rec_td,0,,,,,
player,201010100cin,tam,FreeJo00,rec_long,0,,,,,
player,201010100cin,tam,FreeJo00,fumbles,2,,,,,
player,201010100cin,tam,FreeJo00,fumbles_lost,0,,,,,
player,201010100cin,tam,JohnJo05,pass_cmp,2,,,,,
player,201010100cin,tam,JohnJo05,pass_att,2,,,,,
player,201010100cin,tam,JohnJo05,pass_yds,4,,,,,
player,201010100cin,tam,JohnJo05,pass_td,0,,,,,
player,201010100cin,tam,JohnJo05,pass_int,0,,,,,
player,201010100cin,tam,JohnJo05,pass_sacked,0,,,,,
player,201010100cin,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201010100cin,tam,JohnJo05,pass_long,4,,,,,
player,201010100cin,tam,JohnJo05,pass_rating,79.2,,,,,
player,201010100cin,tam,JohnJo05,rush_att,0,,,,,
player,201010100cin,tam,JohnJo05,rush_yds,0,,,,,
player,201010100cin,tam,JohnJo05,rush_td,0,,,,,
player,201010100cin,tam,JohnJo05,rush_long,0,,,,,
player,201010100cin,tam,JohnJo05,targets,0,,,,,
player,201010100cin,tam,JohnJo05,rec,0,,,,,
player,201010100cin,tam,JohnJo05,rec_yds,0,,,,,
player,201010100cin,tam,JohnJo05,rec_td,0,,,,,
player,201010100cin,tam,JohnJo05,rec_long,0,,,,,
player,201010100cin,tam,JohnJo05,fumbles,0,,,,,
player,201010100cin,tam,JohnJo05,fumbles_lost,,,,,,
player,201010100cin,tam,GrahEa00,pass_cmp,0,,,,,
player,201010100cin,tam,GrahEa00,pass_att,0,,,,,
player,201010100cin,tam,GrahEa00,pass_yds,0,,,,,
player,201010100cin,tam,GrahEa00,pass_td,0,,,,,
player,201010100cin,tam,GrahEa00,pass_int,0,,,,,
player,201010100cin,tam,GrahEa00,pass_sacked,0,,,,,
player,201010100cin,tam,GrahEa00,pass_sacked_yds,,,,,,
player,201010100cin,tam,GrahEa00,pass_long,0,,,,,
player,201010100cin,tam,GrahEa00,pass_rating,,,,,,
player,201010100cin,tam,GrahEa00,rush_att,3,,,,,
player,201010100cin,tam,GrahEa00,rush_yds,65,,,,,
player,201010100cin,tam,GrahEa00,rush_td,1,,,,,
player,201010100cin,tam,GrahEa00,rush_long,61,,,,,
player,201010100cin,tam,GrahEa00,targets,0,,,,,
player,201010100cin,tam,GrahEa00,rec,0,,,,,
player,201010100cin,tam,GrahEa00,rec_yds,0,,,,,
player,201010100cin,tam,GrahEa00,rec_td,0,,,,,
player,201010100cin,tam,GrahEa00,rec_long,0,,,,,
player,201010100cin,tam,GrahEa00,fumbles,0,,,,,
player,201010100cin,tam,GrahEa00,fumbles_lost,,,,,,
player,201010100cin,tam,WillCa02,pass_cmp,0,,,,,
player,201010100cin,tam,WillCa02,pass_att,0,,,,,
player,201010100cin,tam,WillCa02,pass_yds,0,,,,,
player,201010100cin,tam,WillCa02,pass_td,0,,,,,
player,201010100cin,tam,WillCa02,pass_int,0,,,,,
player,201010100cin,tam,WillCa02,pass_sacked,,,,,,
player,201010100cin,tam,WillCa02,pass_sacked_yds,,,,,,
player,201010100cin,tam,WillCa02,pass_long,0,,,,,
player,201010100cin,tam,WillCa02,pass_rating,,,,,,
player,201010100cin,tam,WillCa02,rush_att,11,,,,,
player,201010100cin,tam,WillCa02,rush_yds,33,,,,,
player,201010100cin,tam,WillCa02,rush_td,0,,,,,
player,201010100cin,tam,WillCa02,rush_long,14,,,,,
player,201010100cin,tam,WillCa02,targets,3,,,,,
player,201010100cin,tam,WillCa02,rec,0,,,,,
player,201010100cin,tam,WillCa02,rec_yds,0,,,,,
player,201010100cin,tam,WillCa02,rec_td,0,,,,,
player,201010100cin,tam,WillCa02,rec_long,0,,,,,
player,201010100cin,tam,WillCa02,fumbles,0,,,,,
player,201010100cin,tam,WillCa02,fumbles_lost,,,,,,
player,201010100cin,tam,HuggKa00,pass_cmp,0,,,,,
player,201010100cin,tam,HuggKa00,pass_att,0,,,,,
player,201010100cin,tam,HuggKa00,pass_yds,0,,,,,
player,201010100cin,tam,HuggKa00,pass_td,0,,,,,
player,201010100cin,tam,HuggKa00,pass_int,0,,,,,
player,201010100cin,tam,HuggKa00,pass_sacked,,,,,,
player,201010100cin,tam,HuggKa00,pass_sacked_yds,,,,,,
player,201010100cin,tam,HuggKa00,pass_long,0,,,,,
player,201010100cin,tam,HuggKa00,pass_rating,,,,,,
player,201010100cin,tam,HuggKa00,rush_att,1,,,,,
player,201010100cin,tam,HuggKa00,rush_yds,4,,,,,
player,201010100cin,tam,HuggKa00,rush_td,0,,,,,
player,201010100cin,tam,HuggKa00,rush_long,4,,,,,
player,201010100cin,tam,HuggKa00,targets,0,,,,,
player,201010100cin,tam,HuggKa00,rec,0,,,,,
player,201010100cin,tam,HuggKa00,rec_yds,0,,,,,
player,201010100cin,tam,HuggKa00,rec_td,0,,,,,
player,201010100cin,tam,HuggKa00,rec_long,0,,,,,
player,201010100cin,tam,HuggKa00,fumbles,0,,,,,
player,201010100cin,tam,HuggKa00,fumbles_lost,,,,,,
player,201010100cin,tam,BlouLe00,pass_cmp,0,,,,,
player,201010100cin,tam,BlouLe00,pass_att,0,,,,,
player,201010100cin,tam,BlouLe00,pass_yds,0,,,,,
player,201010100cin,tam,BlouLe00,pass_td,0,,,,,
player,201010100cin,tam,BlouLe00,pass_int,0,,,,,
player,201010100cin,tam,BlouLe00,pass_sacked,,,,,,
player,201010100cin,tam,BlouLe00,pass_sacked_yds,,,,,,
player,201010100cin,tam,BlouLe00,pass_long,0,,,,,
player,201010100cin,tam,BlouLe00,pass_rating,,,,,,
player,201010100cin,tam,BlouLe00,rush_att,4,,,,,
player,201010100cin,tam,BlouLe00,rush_yds,3,,,,,
player,201010100cin,tam,BlouLe00,rush_td,0,,,,,
player,201010100cin,tam,BlouLe00,rush_long,3,,,,,
player,201010100cin,tam,BlouLe00,targets,0,,,,,
player,201010100cin,tam,BlouLe00,rec,0,,,,,
player,201010100cin,tam,BlouLe00,rec_yds,0,,,,,
player,201010100cin,tam,BlouLe00,rec_td,0,,,,,
player,201010100cin,tam,BlouLe00,rec_long,0,,,,,
player,201010100cin,tam,BlouLe00,fumbles,0,,,,,
player,201010100cin,tam,BlouLe00,fumbles_lost,,,,,,
player,201010100cin,tam,WillMi04,pass_cmp,0,,,,,
player,201010100cin,tam,WillMi04,pass_att,0,,,,,
player,201010100cin,tam,WillMi04,pass_yds,0,,,,,
player,201010100cin,tam,WillMi04,pass_td,0,,,,,
player,201010100cin,tam,WillMi04,pass_int,0,,,,,
player,201010100cin,tam,WillMi04,pass_sacked,,,,,,
player,201010100cin,tam,WillMi04,pass_sacked_yds,,,,,,
player,201010100cin,tam,WillMi04,pass_long,0,,,,,
player,201010100cin,tam,WillMi04,pass_rating,,,,,,
player,201010100cin,tam,WillMi04,rush_att,0,,,,,
player,201010100cin,tam,WillMi04,rush_yds,0,,,,,
player,201010100cin,tam,WillMi04,rush_td,0,,,,,
player,201010100cin,tam,WillMi04,rush_long,0,,,,,
player,201010100cin,tam,WillMi04,targets,11,,,,,
player,201010100cin,tam,WillMi04,rec,7,,,,,
player,201010100cin,tam,WillMi04,rec_yds,99,,,,,
player,201010100cin,tam,WillMi04,rec_td,1,,,,,
player,201010100cin,tam,WillMi04,rec_long,37,,,,,
