game,2010,2,20100919,201009190oti,pit,"Pittsburgh Steelers",19,oti,"Tennessee Titans",11
team,201009190oti,pit,First Downs,7,,,,,,
team,201009190oti,oti,First Downs,14,,,,,,
team,201009190oti,pit,Rush-Yds-TDs,33-106-0,,,,,,
team,201009190oti,oti,Rush-Yds-TDs,22-46-0,,,,,,
team,201009190oti,pit,Cmp-Att-Yd-TD-INT,9-17-43-0-0,,,,,,
team,201009190oti,oti,Cmp-Att-Yd-TD-INT,24-35-215-1-3,,,,,,
team,201009190oti,pit,Sacked-Yards,4-22,,,,,,
team,201009190oti,oti,Sacked-Yards,4-23,,,,,,
team,201009190oti,pit,Net Pass Yards,21,,,,,,
team,201009190oti,oti,Net Pass Yards,192,,,,,,
team,201009190oti,pit,Total Yards,127,,,,,,
team,201009190oti,oti,Total Yards,238,,,,,,
team,201009190oti,pit,Fumbles-Lost,4-1,,,,,,
team,201009190oti,oti,Fumbles-Lost,7-4,,,,,,
team,201009190oti,pit,Turnovers,1,,,,,,
team,201009190oti,oti,Turnovers,7,,,,,,
team,201009190oti,pit,Penalties-Yards,5-35,,,,,,
team,201009190oti,oti,Penalties-Yards,11-72,,,,,,
team,201009190oti,pit,Third Down Conv.,2-15,,,,,,
team,201009190oti,oti,Third Down Conv.,4-14,,,,,,
team,201009190oti,pit,Fourth Down Conv.,0-0,,,,,,
team,201009190oti,oti,Fourth Down Conv.,1-1,,,,,,
team,201009190oti,pit,Time of Possession,33:40,,,,,,
team,201009190oti,oti,Time of Possession,26:20,,,,,,
player,201009190oti,pit,BatcCh00,pass_cmp,5,,,,,
player,201009190oti,pit,BatcCh00,pass_att,11,,,,,
player,201009190oti,pit,BatcCh00,pass_yds,25,,,,,
player,201009190oti,pit,BatcCh00,pass_td,0,,,,,
player,201009190oti,pit,BatcCh00,pass_int,0,,,,,
player,201009190oti,pit,BatcCh00,pass_sacked,2,,,,,
player,201009190oti,pit,BatcCh00,pass_sacked_yds,6,,,,,
player,201009190oti,pit,BatcCh00,pass_long,15,,,,,
player,201009190oti,pit,BatcCh00,pass_rating,52.5,,,,,
player,201009190oti,pit,BatcCh00,rush_att,1,,,,,
player,201009190oti,pit,BatcCh00,rush_yds,0,,,,,
player,201009190oti,pit,BatcCh00,rush_td,0,,,,,
player,201009190oti,pit,BatcCh00,rush_long,0,,,,,
player,201009190oti,pit,BatcCh00,targets,0,,,,,
player,201009190oti,pit,BatcCh00,rec,0,,,,,
player,201009190oti,pit,BatcCh00,rec_yds,0,,,,,
player,201009190oti,pit,BatcCh00,rec_td,0,,,,,
player,201009190oti,pit,BatcCh00,rec_long,0,,,,,
player,201009190oti,pit,BatcCh00,fumbles,2,,,,,
player,201009190oti,pit,BatcCh00,fumbles_lost,0,,,,,
player,201009190oti,pit,DixoDe00,pass_cmp,4,,,,,
player,201009190oti,pit,DixoDe00,pass_att,6,,,,,
player,201009190oti,pit,DixoDe00,pass_yds,18,,,,,
player,201009190oti,pit,DixoDe00,pass_td,0,,,,,
player,201009190oti,pit,DixoDe00,pass_int,0,,,,,
player,201009190oti,pit,DixoDe00,pass_sacked,2,,,,,
player,201009190oti,pit,DixoDe00,pass_sacked_yds,16,,,,,
player,201009190oti,pit,DixoDe00,pass_long,10,,,,,
player,201009190oti,pit,DixoDe00,pass_rating,70.1,,,,,
player,201009190oti,pit,DixoDe00,rush_att,3,,,,,
player,201009190oti,pit,DixoDe00,rush_yds,28,,,,,
player,201009190oti,pit,DixoDe00,rush_td,0,,,,,
player,201009190oti,pit,DixoDe00,rush_long,21,,,,,
player,201009190oti,pit,DixoDe00,targets,0,,,,,
player,201009190oti,pit,DixoDe00,rec,0,,,,,
player,201009190oti,pit,DixoDe00,rec_yds,0,,,,,
player,201009190oti,pit,DixoDe00,rec_td,0,,,,,
player,201009190oti,pit,DixoDe00,rec_long,0,,,,,
player,201009190oti,pit,DixoDe00,fumbles,2,,,,,
player,201009190oti,pit,DixoDe00,fumbles_lost,1,,,,,
player,201009190oti,pit,MendRa00,pass_cmp,0,,,,,
player,201009190oti,pit,MendRa00,pass_att,0,,,,,
player,201009190oti,pit,MendRa00,pass_yds,0,,,,,
player,201009190oti,pit,MendRa00,pass_td,0,,,,,
player,201009190oti,pit,MendRa00,pass_int,0,,,,,
player,201009190oti,pit,MendRa00,pass_sacked,,,,,,
player,201009190oti,pit,MendRa00,pass_sacked_yds,,,,,,
player,201009190oti,pit,MendRa00,pass_long,0,,,,,
player,201009190oti,pit,MendRa00,pass_rating,,,,,,
player,201009190oti,pit,MendRa00,rush_att,23,,,,,
player,201009190oti,pit,MendRa00,rush_yds,69,,,,,
player,201009190oti,pit,MendRa00,rush_td,0,,,,,
player,201009190oti,pit,MendRa00,rush_long,20,,,,,
player,201009190oti,pit,MendRa00,targets,1,,,,,
player,201009190oti,pit,MendRa00,rec,1,,,,,
player,201009190oti,pit,MendRa00,rec_yds,3,,,,,
player,201009190oti,pit,MendRa00,rec_td,0,,,,,
player,201009190oti,pit,MendRa00,rec_long,3,,,,,
player,201009190oti,pit,MendRa00,fumbles,0,,,,,
player,201009190oti,pit,MendRa00,fumbles_lost,,,,,,
player,201009190oti,pit,RedmIs20,pass_cmp,0,,,,,
player,201009190oti,pit,RedmIs20,pass_att,0,,,,,
player,201009190oti,pit,RedmIs20,pass_yds,0,,,,,
player,201009190oti,pit,RedmIs20,pass_td,0,,,,,
player,201009190oti,pit,RedmIs20,pass_int,0,,,,,
player,201009190oti,pit,RedmIs20,pass_sacked,,,,,,
player,201009190oti,pit,RedmIs20,pass_sacked_yds,,,,,,
player,201009190oti,pit,RedmIs20,pass_long,0,,,,,
player,201009190oti,pit,RedmIs20,pass_rating,,,,,,
player,201009190oti,pit,RedmIs20,rush_att,4,,,,,
player,201009190oti,pit,RedmIs20,rush_yds,8,,,,,
player,201009190oti,pit,RedmIs20,rush_td,0,,,,,
player,201009190oti,pit,RedmIs20,rush_long,6,,,,,
player,201009190oti,pit,RedmIs20,targets,1,,,,,
player,201009190oti,pit,RedmIs20,rec,1,,,,,
player,201009190oti,pit,RedmIs20,rec_yds,3,,,,,
player,201009190oti,pit,RedmIs20,rec_td,0,,,,,
player,201009190oti,pit,RedmIs20,rec_long,3,,,,,
player,201009190oti,pit,RedmIs20,fumbles,0,,,,,
player,201009190oti,pit,RedmIs20,fumbles_lost,,,,,,
player,201009190oti,pit,MoorMe00,pass_cmp,0,,,,,
player,201009190oti,pit,MoorMe00,pass_att,0,,,,,
player,201009190oti,pit,MoorMe00,pass_yds,0,,,,,
player,201009190oti,pit,MoorMe00,pass_td,0,,,,,
player,201009190oti,pit,MoorMe00,pass_int,0,,,,,
player,201009190oti,pit,MoorMe00,pass_sacked,,,,,,
player,201009190oti,pit,MoorMe00,pass_sacked_yds,,,,,,
player,201009190oti,pit,MoorMe00,pass_long,0,,,,,
player,201009190oti,pit,MoorMe00,pass_rating,,,,,,
player,201009190oti,pit,MoorMe00,rush_att,2,,,,,
player,201009190oti,pit,MoorMe00,rush_yds,1,,,,,
player,201009190oti,pit,MoorMe00,rush_td,0,,,,,
player,201009190oti,pit,MoorMe00,rush_long,2,,,,,
player,201009190oti,pit,MoorMe00,targets,1,,,,,
player,201009190oti,pit,MoorMe00,rec,1,,,,,
player,201009190oti,pit,MoorMe00,rec_yds,0,,,,,
player,201009190oti,pit,MoorMe00,rec_td,0,,,,,
player,201009190oti,pit,MoorMe00,rec_long,0,,,,,
player,201009190oti,pit,MoorMe00,fumbles,0,,,,,
player,201009190oti,pit,MoorMe00,fumbles_lost,,,,,,
player,201009190oti,pit,WallMi00,pass_cmp,0,,,,,
player,201009190oti,pit,WallMi00,pass_att,0,,,,,
player,201009190oti,pit,WallMi00,pass_yds,0,,,,,
player,201009190oti,pit,WallMi00,pass_td,0,,,,,
player,201009190oti,pit,WallMi00,pass_int,0,,,,,
player,201009190oti,pit,WallMi00,pass_sacked,,,,,,
player,201009190oti,pit,WallMi00,pass_sacked_yds,,,,,,
player,201009190oti,pit,WallMi00,pass_long,0,,,,,
player,201009190oti,pit,WallMi00,pass_rating,,,,,,
player,201009190oti,pit,WallMi00,rush_att,0,,,,,
player,201009190oti,pit,WallMi00,rush_yds,0,,,,,
player,201009190oti,pit,WallMi00,rush_td,0,,,,,
player,201009190oti,pit,WallMi00,rush_long,0,,,,,
player,201009190oti,pit,WallMi00,targets,4,,,,,
player,201009190oti,pit,WallMi00,rec,2,,,,,
player,201009190oti,pit,WallMi00,rec_yds,25,,,,,
player,201009190oti,pit,WallMi00,rec_td,0,,,,,
player,201009190oti,pit,WallMi00,rec_long,15,,,,,
player,201009190oti,pit,WallMi00,fumbles,0,,,,,
player,201009190oti,pit,WallMi00,fumbles_lost,,,,,,
player,201009190oti,pit,WardHi00,pass_cmp,0,,,,,
player,201009190oti,pit,WardHi00,pass_att,0,,,,,
player,201009190oti,pit,WardHi00,pass_yds,0,,,,,
player,201009190oti,pit,WardHi00,pass_td,0,,,,,
player,201009190oti,pit,WardHi00,pass_int,0,,,,,
player,201009190oti,pit,WardHi00,pass_sacked,,,,,,
player,201009190oti,pit,WardHi00,pass_sacked_yds,,,,,,
player,201009190oti,pit,WardHi00,pass_long,0,,,,,
player,201009190oti,pit,WardHi00,pass_rating,,,,,,
player,201009190oti,pit,WardHi00,rush_att,0,,,,,
player,201009190oti,pit,WardHi00,rush_yds,0,,,,,
player,201009190oti,pit,WardHi00,rush_td,0,,,,,
player,201009190oti,pit,WardHi00,rush_long,0,,,,,
player,201009190oti,pit,WardHi00,targets,4,,,,,
player,201009190oti,pit,WardHi00,rec,1,,,,,
player,201009190oti,pit,WardHi00,rec_yds,9,,,,,
player,201009190oti,pit,WardHi00,rec_td,0,,,,,
player,201009190oti,pit,WardHi00,rec_long,9,,,,,
player,201009190oti,pit,WardHi00,fumbles,0,,,,,
player,201009190oti,pit,WardHi00,fumbles_lost,,,,,,
player,201009190oti,pit,MillHe00,pass_cmp,0,,,,,
player,201009190oti,pit,MillHe00,pass_att,0,,,,,
player,201009190oti,pit,MillHe00,pass_yds,0,,,,,
player,201009190oti,pit,MillHe00,pass_td,0,,,,,
player,201009190oti,pit,MillHe00,pass_int,0,,,,,
player,201009190oti,pit,MillHe00,pass_sacked,,,,,,
player,201009190oti,pit,MillHe00,pass_sacked_yds,,,,,,
player,201009190oti,pit,MillHe00,pass_long,0,,,,,
player,201009190oti,pit,MillHe00,pass_rating,,,,,,
player,201009190oti,pit,MillHe00,rush_att,0,,,,,
player,201009190oti,pit,MillHe00,rush_yds,0,,,,,
player,201009190oti,pit,MillHe00,rush_td,0,,,,,
player,201009190oti,pit,MillHe00,rush_long,0,,,,,
player,201009190oti,pit,MillHe00,targets,4,,,,,
player,201009190oti,pit,MillHe00,rec,2,,,,,
