game,2010,17,20110102,201101020nyj,buf,"Buffalo Bills",7,nyj,"New York Jets",38
team,201101020nyj,buf,First Downs,6,,,,,,
team,201101020nyj,nyj,First Downs,17,,,,,,
team,201101020nyj,buf,Rush-Yds-TDs,18-37-0,,,,,,
team,201101020nyj,nyj,Rush-Yds-TDs,50-276-2,,,,,,
team,201101020nyj,buf,Cmp-Att-Yd-TD-INT,12-26-130-0-4,,,,,,
team,201101020nyj,nyj,Cmp-Att-Yd-TD-INT,8-15-119-2-1,,,,,,
team,201101020nyj,buf,Sacked-Yards,3-5,,,,,,
team,201101020nyj,nyj,Sacked-Yards,1-7,,,,,,
team,201101020nyj,buf,Net Pass Yards,125,,,,,,
team,201101020nyj,nyj,Net Pass Yards,112,,,,,,
team,201101020nyj,buf,Total Yards,162,,,,,,
team,201101020nyj,nyj,Total Yards,388,,,,,,
team,201101020nyj,buf,Fumbles-Lost,3-2,,,,,,
team,201101020nyj,nyj,Fumbles-Lost,0-0,,,,,,
team,201101020nyj,buf,Turnovers,6,,,,,,
team,201101020nyj,nyj,Turnovers,1,,,,,,
team,201101020nyj,buf,Penalties-Yards,3-15,,,,,,
team,201101020nyj,nyj,Penalties-Yards,3-25,,,,,,
team,201101020nyj,buf,Third Down Conv.,4-12,,,,,,
team,201101020nyj,nyj,Third Down Conv.,8-16,,,,,,
team,201101020nyj,buf,Fourth Down Conv.,0-0,,,,,,
team,201101020nyj,nyj,Fourth Down Conv.,0-0,,,,,,
team,201101020nyj,buf,Time of Possession,24:25,,,,,,
team,201101020nyj,nyj,Time of Possession,35:35,,,,,,
player,201101020nyj,buf,BrohBr00,pass_cmp,10,,,,,
player,201101020nyj,buf,BrohBr00,pass_att,23,,,,,
player,201101020nyj,buf,BrohBr00,pass_yds,106,,,,,
player,201101020nyj,buf,BrohBr00,pass_td,0,,,,,
player,201101020nyj,buf,BrohBr00,pass_int,3,,,,,
player,201101020nyj,buf,BrohBr00,pass_sacked,3,,,,,
player,201101020nyj,buf,BrohBr00,pass_sacked_yds,5,,,,,
player,201101020nyj,buf,BrohBr00,pass_long,33,,,,,
player,201101020nyj,buf,BrohBr00,pass_rating,17.9,,,,,
player,201101020nyj,buf,BrohBr00,rush_att,0,,,,,
player,201101020nyj,buf,BrohBr00,rush_yds,0,,,,,
player,201101020nyj,buf,BrohBr00,rush_td,0,,,,,
player,201101020nyj,buf,BrohBr00,rush_long,0,,,,,
player,201101020nyj,buf,BrohBr00,targets,0,,,,,
player,201101020nyj,buf,BrohBr00,rec,0,,,,,
player,201101020nyj,buf,BrohBr00,rec_yds,0,,,,,
player,201101020nyj,buf,BrohBr00,rec_td,0,,,,,
player,201101020nyj,buf,BrohBr00,rec_long,0,,,,,
player,201101020nyj,buf,BrohBr00,fumbles,1,,,,,
player,201101020nyj,buf,BrohBr00,fumbles_lost,1,,,,,
player,201101020nyj,buf,BrowLe00,pass_cmp,2,,,,,
player,201101020nyj,buf,BrowLe00,pass_att,3,,,,,
player,201101020nyj,buf,BrowLe00,pass_yds,24,,,,,
player,201101020nyj,buf,BrowLe00,pass_td,0,,,,,
player,201101020nyj,buf,BrowLe00,pass_int,1,,,,,
player,201101020nyj,buf,BrowLe00,pass_sacked,0,,,,,
player,201101020nyj,buf,BrowLe00,pass_sacked_yds,0,,,,,
player,201101020nyj,buf,BrowLe00,pass_long,16,,,,,
player,201101020nyj,buf,BrowLe00,pass_rating,51.4,,,,,
player,201101020nyj,buf,BrowLe00,rush_att,0,,,,,
player,201101020nyj,buf,BrowLe00,rush_yds,0,,,,,
player,201101020nyj,buf,BrowLe00,rush_td,0,,,,,
player,201101020nyj,buf,BrowLe00,rush_long,0,,,,,
player,201101020nyj,buf,BrowLe00,targets,0,,,,,
player,201101020nyj,buf,BrowLe00,rec,0,,,,,
player,201101020nyj,buf,BrowLe00,rec_yds,0,,,,,
player,201101020nyj,buf,BrowLe00,rec_td,0,,,,,
player,201101020nyj,buf,BrowLe00,rec_long,0,,,,,
player,201101020nyj,buf,BrowLe00,fumbles,0,,,,,
player,201101020nyj,buf,BrowLe00,fumbles_lost,,,,,,
player,201101020nyj,buf,JackFr02,pass_cmp,0,,,,,
player,201101020nyj,buf,JackFr02,pass_att,0,,,,,
player,201101020nyj,buf,JackFr02,pass_yds,0,,,,,
player,201101020nyj,buf,JackFr02,pass_td,0,,,,,
player,201101020nyj,buf,JackFr02,pass_int,0,,,,,
player,201101020nyj,buf,JackFr02,pass_sacked,,,,,,
player,201101020nyj,buf,JackFr02,pass_sacked_yds,,,,,,
player,201101020nyj,buf,JackFr02,pass_long,0,,,,,
player,201101020nyj,buf,JackFr02,pass_rating,,,,,,
player,201101020nyj,buf,JackFr02,rush_att,13,,,,,
player,201101020nyj,buf,JackFr02,rush_yds,35,,,,,
player,201101020nyj,buf,JackFr02,rush_td,0,,,,,
player,201101020nyj,buf,JackFr02,rush_long,6,,,,,
player,201101020nyj,buf,JackFr02,targets,1,,,,,
player,201101020nyj,buf,JackFr02,rec,1,,,,,
player,201101020nyj,buf,JackFr02,rec_yds,13,,,,,
player,201101020nyj,buf,JackFr02,rec_td,0,,,,,
player,201101020nyj,buf,JackFr02,rec_long,13,,,,,
player,201101020nyj,buf,JackFr02,fumbles,1,,,,,
player,201101020nyj,buf,JackFr02,fumbles_lost,0,,,,,
player,201101020nyj,buf,SpilC.00,pass_cmp,0,,,,,
player,201101020nyj,buf,SpilC.00,pass_att,0,,,,,
player,201101020nyj,buf,SpilC.00,pass_yds,0,,,,,
player,201101020nyj,buf,SpilC.00,pass_td,0,,,,,
player,201101020nyj,buf,SpilC.00,pass_int,0,,,,,
player,201101020nyj,buf,SpilC.00,pass_sacked,,,,,,
player,201101020nyj,buf,SpilC.00,pass_sacked_yds,,,,,,
player,201101020nyj,buf,SpilC.00,pass_long,0,,,,,
player,201101020nyj,buf,SpilC.00,pass_rating,,,,,,
