game,2010,3,20100926,201009260htx,dal,"Dallas Cowboys",27,htx,"Houston Texans",13
team,201009260htx,dal,First Downs,21,,,,,,
team,201009260htx,htx,First Downs,24,,,,,,
team,201009260htx,dal,Rush-Yds-TDs,27-101-1,,,,,,
team,201009260htx,htx,Rush-Yds-TDs,22-124-0,,,,,,
team,201009260htx,dal,Cmp-Att-Yd-TD-INT,23-30-284-2-0,,,,,,
team,201009260htx,htx,Cmp-Att-Yd-TD-INT,23-32-241-1-2,,,,,,
team,201009260htx,dal,Sacked-Yards,0-0,,,,,,
team,201009260htx,htx,Sacked-Yards,4-25,,,,,,
team,201009260htx,dal,Net Pass Yards,284,,,,,,
team,201009260htx,htx,Net Pass Yards,216,,,,,,
team,201009260htx,dal,Total Yards,385,,,,,,
team,201009260htx,htx,Total Yards,340,,,,,,
team,201009260htx,dal,Fumbles-Lost,0-0,,,,,,
team,201009260htx,htx,Fumbles-Lost,1-1,,,,,,
team,201009260htx,dal,Turnovers,0,,,,,,
team,201009260htx,htx,Turnovers,3,,,,,,
team,201009260htx,dal,Penalties-Yards,8-49,,,,,,
team,201009260htx,htx,Penalties-Yards,5-32,,,,,,
team,201009260htx,dal,Third Down Conv.,4-11,,,,,,
team,201009260htx,htx,Third Down Conv.,4-9,,,,,,
team,201009260htx,dal,Fourth Down Conv.,2-3,,,,,,
team,201009260htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201009260htx,dal,Time of Possession,32:20,,,,,,
team,201009260htx,htx,Time of Possession,27:40,,,,,,
player,201009260htx,dal,RomoTo00,pass_cmp,23,,,,,
player,201009260htx,dal,RomoTo00,pass_att,30,,,,,
player,201009260htx,dal,RomoTo00,pass_yds,284,,,,,
player,201009260htx,dal,RomoTo00,pass_td,2,,,,,
player,201009260htx,dal,RomoTo00,pass_int,0,,,,,
player,201009260htx,dal,RomoTo00,pass_sacked,0,,,,,
player,201009260htx,dal,RomoTo00,pass_sacked_yds,0,,,,,
player,201009260htx,dal,RomoTo00,pass_long,63,,,,,
player,201009260htx,dal,RomoTo00,pass_rating,127.6,,,,,
player,201009260htx,dal,RomoTo00,rush_att,1,,,,,
player,201009260htx,dal,RomoTo00,rush_yds,-1,,,,,
player,201009260htx,dal,RomoTo00,rush_td,0,,,,,
player,201009260htx,dal,RomoTo00,rush_long,-1,,,,,
player,201009260htx,dal,RomoTo00,targets,0,,,,,
player,201009260htx,dal,RomoTo00,rec,0,,,,,
player,201009260htx,dal,RomoTo00,rec_yds,0,,,,,
player,201009260htx,dal,RomoTo00,rec_td,0,,,,,
player,201009260htx,dal,RomoTo00,rec_long,0,,,,,
player,201009260htx,dal,RomoTo00,fumbles,0,,,,,
player,201009260htx,dal,RomoTo00,fumbles_lost,,,,,,
player,201009260htx,dal,BarbMa01,pass_cmp,0,,,,,
player,201009260htx,dal,BarbMa01,pass_att,0,,,,,
player,201009260htx,dal,BarbMa01,pass_yds,0,,,,,
player,201009260htx,dal,BarbMa01,pass_td,0,,,,,
player,201009260htx,dal,BarbMa01,pass_int,0,,,,,
player,201009260htx,dal,BarbMa01,pass_sacked,0,,,,,
player,201009260htx,dal,BarbMa01,pass_sacked_yds,,,,,,
player,201009260htx,dal,BarbMa01,pass_long,0,,,,,
player,201009260htx,dal,BarbMa01,pass_rating,,,,,,
player,201009260htx,dal,BarbMa01,rush_att,17,,,,,
player,201009260htx,dal,BarbMa01,rush_yds,55,,,,,
player,201009260htx,dal,BarbMa01,rush_td,1,,,,,
player,201009260htx,dal,BarbMa01,rush_long,12,,,,,
player,201009260htx,dal,BarbMa01,targets,1,,,,,
player,201009260htx,dal,BarbMa01,rec,1,,,,,
player,201009260htx,dal,BarbMa01,rec_yds,5,,,,,
player,201009260htx,dal,BarbMa01,rec_td,0,,,,,
player,201009260htx,dal,BarbMa01,rec_long,5,,,,,
player,201009260htx,dal,BarbMa01,fumbles,0,,,,,
player,201009260htx,dal,BarbMa01,fumbles_lost,,,,,,
player,201009260htx,dal,JoneFe00,pass_cmp,0,,,,,
player,201009260htx,dal,JoneFe00,pass_att,0,,,,,
player,201009260htx,dal,JoneFe00,pass_yds,0,,,,,
player,201009260htx,dal,JoneFe00,pass_td,0,,,,,
player,201009260htx,dal,JoneFe00,pass_int,0,,,,,
player,201009260htx,dal,JoneFe00,pass_sacked,,,,,,
player,201009260htx,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201009260htx,dal,JoneFe00,pass_long,0,,,,,
player,201009260htx,dal,JoneFe00,pass_rating,,,,,,
player,201009260htx,dal,JoneFe00,rush_att,7,,,,,
player,201009260htx,dal,JoneFe00,rush_yds,43,,,,,
player,201009260htx,dal,JoneFe00,rush_td,0,,,,,
player,201009260htx,dal,JoneFe00,rush_long,15,,,,,
player,201009260htx,dal,JoneFe00,targets,0,,,,,
player,201009260htx,dal,JoneFe00,rec,0,,,,,
player,201009260htx,dal,JoneFe00,rec_yds,0,,,,,
player,201009260htx,dal,JoneFe00,rec_td,0,,,,,
player,201009260htx,dal,JoneFe00,rec_long,0,,,,,
player,201009260htx,dal,JoneFe00,fumbles,0,,,,,
player,201009260htx,dal,JoneFe00,fumbles_lost,,,,,,
player,201009260htx,dal,ChoiTa00,pass_cmp,0,,,,,
player,201009260htx,dal,ChoiTa00,pass_att,0,,,,,
