game,2010,4,20101003,201010030ram,sea,"Seattle Seahawks",3,ram,"St. Louis Rams",20
team,201010030ram,sea,First Downs,15,,,,,,
team,201010030ram,ram,First Downs,19,,,,,,
team,201010030ram,sea,Rush-Yds-TDs,24-64-0,,,,,,
team,201010030ram,ram,Rush-Yds-TDs,28-88-0,,,,,,
team,201010030ram,sea,Cmp-Att-Yd-TD-INT,21-37-219-0-1,,,,,,
team,201010030ram,ram,Cmp-Att-Yd-TD-INT,23-41-289-2-1,,,,,,
team,201010030ram,sea,Sacked-Yards,4-26,,,,,,
team,201010030ram,ram,Sacked-Yards,4-28,,,,,,
team,201010030ram,sea,Net Pass Yards,193,,,,,,
team,201010030ram,ram,Net Pass Yards,261,,,,,,
team,201010030ram,sea,Total Yards,257,,,,,,
team,201010030ram,ram,Total Yards,349,,,,,,
team,201010030ram,sea,Fumbles-Lost,1-1,,,,,,
team,201010030ram,ram,Fumbles-Lost,0-0,,,,,,
team,201010030ram,sea,Turnovers,2,,,,,,
team,201010030ram,ram,Turnovers,1,,,,,,
team,201010030ram,sea,Penalties-Yards,6-49,,,,,,
team,201010030ram,ram,Penalties-Yards,5-41,,,,,,
team,201010030ram,sea,Third Down Conv.,4-15,,,,,,
team,201010030ram,ram,Third Down Conv.,7-16,,,,,,
team,201010030ram,sea,Fourth Down Conv.,0-2,,,,,,
team,201010030ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201010030ram,sea,Time of Possession,27:10,,,,,,
team,201010030ram,ram,Time of Possession,32:50,,,,,,
player,201010030ram,sea,HassMa00,pass_cmp,20,,,,,
player,201010030ram,sea,HassMa00,pass_att,36,,,,,
player,201010030ram,sea,HassMa00,pass_yds,191,,,,,
player,201010030ram,sea,HassMa00,pass_td,0,,,,,
player,201010030ram,sea,HassMa00,pass_int,1,,,,,
player,201010030ram,sea,HassMa00,pass_sacked,4,,,,,
player,201010030ram,sea,HassMa00,pass_sacked_yds,26,,,,,
player,201010030ram,sea,HassMa00,pass_long,36,,,,,
player,201010030ram,sea,HassMa00,pass_rating,58.9,,,,,
player,201010030ram,sea,HassMa00,rush_att,1,,,,,
player,201010030ram,sea,HassMa00,rush_yds,3,,,,,
player,201010030ram,sea,HassMa00,rush_td,0,,,,,
player,201010030ram,sea,HassMa00,rush_long,3,,,,,
player,201010030ram,sea,HassMa00,targets,0,,,,,
player,201010030ram,sea,HassMa00,rec,0,,,,,
player,201010030ram,sea,HassMa00,rec_yds,0,,,,,
player,201010030ram,sea,HassMa00,rec_td,0,,,,,
player,201010030ram,sea,HassMa00,rec_long,0,,,,,
player,201010030ram,sea,HassMa00,fumbles,1,,,,,
player,201010030ram,sea,HassMa00,fumbles_lost,1,,,,,
player,201010030ram,sea,RobiMi00,pass_cmp,1,,,,,
player,201010030ram,sea,RobiMi00,pass_att,1,,,,,
player,201010030ram,sea,RobiMi00,pass_yds,28,,,,,
player,201010030ram,sea,RobiMi00,pass_td,0,,,,,
player,201010030ram,sea,RobiMi00,pass_int,0,,,,,
player,201010030ram,sea,RobiMi00,pass_sacked,0,,,,,
player,201010030ram,sea,RobiMi00,pass_sacked_yds,0,,,,,
player,201010030ram,sea,RobiMi00,pass_long,28,,,,,
player,201010030ram,sea,RobiMi00,pass_rating,118.7,,,,,
player,201010030ram,sea,RobiMi00,rush_att,1,,,,,
player,201010030ram,sea,RobiMi00,rush_yds,3,,,,,
player,201010030ram,sea,RobiMi00,rush_td,0,,,,,
player,201010030ram,sea,RobiMi00,rush_long,3,,,,,
player,201010030ram,sea,RobiMi00,targets,3,,,,,
player,201010030ram,sea,RobiMi00,rec,1,,,,,
player,201010030ram,sea,RobiMi00,rec_yds,4,,,,,
player,201010030ram,sea,RobiMi00,rec_td,0,,,,,
player,201010030ram,sea,RobiMi00,rec_long,4,,,,,
player,201010030ram,sea,RobiMi00,fumbles,0,,,,,
player,201010030ram,sea,RobiMi00,fumbles_lost,,,,,,
player,201010030ram,sea,ForsJu00,pass_cmp,0,,,,,
player,201010030ram,sea,ForsJu00,pass_att,0,,,,,
player,201010030ram,sea,ForsJu00,pass_yds,0,,,,,
player,201010030ram,sea,ForsJu00,pass_td,0,,,,,
player,201010030ram,sea,ForsJu00,pass_int,0,,,,,
player,201010030ram,sea,ForsJu00,pass_sacked,,,,,,
player,201010030ram,sea,ForsJu00,pass_sacked_yds,,,,,,
player,201010030ram,sea,ForsJu00,pass_long,0,,,,,
player,201010030ram,sea,ForsJu00,pass_rating,,,,,,
player,201010030ram,sea,ForsJu00,rush_att,19,,,,,
player,201010030ram,sea,ForsJu00,rush_yds,65,,,,,
player,201010030ram,sea,ForsJu00,rush_td,0,,,,,
player,201010030ram,sea,ForsJu00,rush_long,12,,,,,
player,201010030ram,sea,ForsJu00,targets,2,,,,,
player,201010030ram,sea,ForsJu00,rec,2,,,,,
player,201010030ram,sea,ForsJu00,rec_yds,10,,,,,
player,201010030ram,sea,ForsJu00,rec_td,0,,,,,
player,201010030ram,sea,ForsJu00,rec_long,5,,,,,
player,201010030ram,sea,ForsJu00,fumbles,0,,,,,
player,201010030ram,sea,ForsJu00,fumbles_lost,,,,,,
player,201010030ram,sea,TateGo00,pass_cmp,0,,,,,
player,201010030ram,sea,TateGo00,pass_att,0,,,,,
player,201010030ram,sea,TateGo00,pass_yds,0,,,,,
player,201010030ram,sea,TateGo00,pass_td,0,,,,,
player,201010030ram,sea,TateGo00,pass_int,0,,,,,
player,201010030ram,sea,TateGo00,pass_sacked,,,,,,
player,201010030ram,sea,TateGo00,pass_sacked_yds,,,,,,
player,201010030ram,sea,TateGo00,pass_long,0,,,,,
player,201010030ram,sea,TateGo00,pass_rating,,,,,,
player,201010030ram,sea,TateGo00,rush_att,1,,,,,
player,201010030ram,sea,TateGo00,rush_yds,1,,,,,
player,201010030ram,sea,TateGo00,rush_td,0,,,,,
player,201010030ram,sea,TateGo00,rush_long,1,,,,,
player,201010030ram,sea,TateGo00,targets,5,,,,,
player,201010030ram,sea,TateGo00,rec,3,,,,,
player,201010030ram,sea,TateGo00,rec_yds,30,,,,,
player,201010030ram,sea,TateGo00,rec_td,0,,,,,
player,201010030ram,sea,TateGo00,rec_long,13,,,,,
player,201010030ram,sea,TateGo00,fumbles,0,,,,,
player,201010030ram,sea,TateGo00,fumbles_lost,,,,,,
player,201010030ram,sea,WashLe00,pass_cmp,0,,,,,
player,201010030ram,sea,WashLe00,pass_att,0,,,,,
player,201010030ram,sea,WashLe00,pass_yds,0,,,,,
player,201010030ram,sea,WashLe00,pass_td,0,,,,,
player,201010030ram,sea,WashLe00,pass_int,0,,,,,
player,201010030ram,sea,WashLe00,pass_sacked,0,,,,,
player,201010030ram,sea,WashLe00,pass_sacked_yds,,,,,,
player,201010030ram,sea,WashLe00,pass_long,0,,,,,
player,201010030ram,sea,WashLe00,pass_rating,,,,,,
player,201010030ram,sea,WashLe00,rush_att,1,,,,,
player,201010030ram,sea,WashLe00,rush_yds,1,,,,,
player,201010030ram,sea,WashLe00,rush_td,0,,,,,
player,201010030ram,sea,WashLe00,rush_long,1,,,,,
player,201010030ram,sea,WashLe00,targets,2,,,,,
player,201010030ram,sea,WashLe00,rec,2,,,,,
player,201010030ram,sea,WashLe00,rec_yds,28,,,,,
player,201010030ram,sea,WashLe00,rec_td,0,,,,,
player,201010030ram,sea,WashLe00,rec_long,28,,,,,
player,201010030ram,sea,WashLe00,fumbles,0,,,,,
player,201010030ram,sea,WashLe00,fumbles_lost,,,,,,
player,201010030ram,sea,StokBr00,pass_cmp,0,,,,,
player,201010030ram,sea,StokBr00,pass_att,0,,,,,
player,201010030ram,sea,StokBr00,pass_yds,0,,,,,
player,201010030ram,sea,StokBr00,pass_td,0,,,,,
player,201010030ram,sea,StokBr00,pass_int,0,,,,,
player,201010030ram,sea,StokBr00,pass_sacked,,,,,,
player,201010030ram,sea,StokBr00,pass_sacked_yds,,,,,,
player,201010030ram,sea,StokBr00,pass_long,0,,,,,
player,201010030ram,sea,StokBr00,pass_rating,,,,,,
player,201010030ram,sea,StokBr00,rush_att,0,,,,,
player,201010030ram,sea,StokBr00,rush_yds,0,,,,,
player,201010030ram,sea,StokBr00,rush_td,0,,,,,
player,201010030ram,sea,StokBr00,rush_long,0,,,,,
player,201010030ram,sea,StokBr00,targets,8,,,,,
player,201010030ram,sea,StokBr00,rec,4,,,,,
player,201010030ram,sea,StokBr00,rec_yds,62,,,,,
player,201010030ram,sea,StokBr00,rec_td,0,,,,,
player,201010030ram,sea,StokBr00,rec_long,36,,,,,
player,201010030ram,sea,StokBr00,fumbles,0,,,,,
player,201010030ram,sea,StokBr00,fumbles_lost,,,,,,
player,201010030ram,sea,WillMi03,pass_cmp,0,,,,,
player,201010030ram,sea,WillMi03,pass_att,0,,,,,
player,201010030ram,sea,WillMi03,pass_yds,0,,,,,
player,201010030ram,sea,WillMi03,pass_td,0,,,,,
player,201010030ram,sea,WillMi03,pass_int,0,,,,,
player,201010030ram,sea,WillMi03,pass_sacked,,,,,,
player,201010030ram,sea,WillMi03,pass_sacked_yds,,,,,,
player,201010030ram,sea,WillMi03,pass_long,0,,,,,
player,201010030ram,sea,WillMi03,pass_rating,,,,,,
player,201010030ram,sea,WillMi03,rush_att,0,,,,,
player,201010030ram,sea,WillMi03,rush_yds,0,,,,,
player,201010030ram,sea,WillMi03,rush_td,0,,,,,
player,201010030ram,sea,WillMi03,rush_long,0,,,,,
player,201010030ram,sea,WillMi03,targets,5,,,,,
player,201010030ram,sea,WillMi03,rec,4,,,,,
