game,2010,10,20101114,201011140mia,oti,"Tennessee Titans",17,mia,"Miami Dolphins",29
player,201011140mia,oti,ScaiBo00,pass_att,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_yds,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_td,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_int,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_sacked,,,,,,
player,201011140mia,oti,ScaiBo00,pass_sacked_yds,,,,,,
player,201011140mia,oti,ScaiBo00,pass_long,0,,,,,
player,201011140mia,oti,ScaiBo00,pass_rating,,,,,,
player,201011140mia,oti,ScaiBo00,rush_att,0,,,,,
player,201011140mia,oti,ScaiBo00,rush_yds,0,,,,,
player,201011140mia,oti,ScaiBo00,rush_td,0,,,,,
player,201011140mia,oti,ScaiBo00,rush_long,0,,,,,
player,201011140mia,oti,ScaiBo00,targets,9,,,,,
player,201011140mia,oti,ScaiBo00,rec,7,,,,,
player,201011140mia,oti,ScaiBo00,rec_yds,51,,,,,
player,201011140mia,oti,ScaiBo00,rec_td,0,,,,,
player,201011140mia,oti,ScaiBo00,rec_long,12,,,,,
player,201011140mia,oti,ScaiBo00,fumbles,1,,,,,
player,201011140mia,oti,ScaiBo00,fumbles_lost,1,,,,,
player,201011140mia,oti,MossRa00,pass_cmp,0,,,,,
player,201011140mia,oti,MossRa00,pass_att,0,,,,,
player,201011140mia,oti,MossRa00,pass_yds,0,,,,,
player,201011140mia,oti,MossRa00,pass_td,0,,,,,
player,201011140mia,oti,MossRa00,pass_int,0,,,,,
player,201011140mia,oti,MossRa00,pass_sacked,,,,,,
player,201011140mia,oti,MossRa00,pass_sacked_yds,,,,,,
player,201011140mia,oti,MossRa00,pass_long,0,,,,,
player,201011140mia,oti,MossRa00,pass_rating,,,,,,
player,201011140mia,oti,MossRa00,rush_att,0,,,,,
player,201011140mia,oti,MossRa00,rush_yds,0,,,,,
player,201011140mia,oti,MossRa00,rush_td,0,,,,,
player,201011140mia,oti,MossRa00,rush_long,0,,,,,
player,201011140mia,oti,MossRa00,targets,4,,,,,
player,201011140mia,oti,MossRa00,rec,1,,,,,
player,201011140mia,oti,MossRa00,rec_yds,26,,,,,
player,201011140mia,oti,MossRa00,rec_td,0,,,,,
player,201011140mia,oti,MossRa00,rec_long,26,,,,,
player,201011140mia,oti,MossRa00,fumbles,0,,,,,
player,201011140mia,oti,MossRa00,fumbles_lost,,,,,,
player,201011140mia,oti,WashNa00,pass_cmp,0,,,,,
player,201011140mia,oti,WashNa00,pass_att,0,,,,,
player,201011140mia,oti,WashNa00,pass_yds,0,,,,,
player,201011140mia,oti,WashNa00,pass_td,0,,,,,
player,201011140mia,oti,WashNa00,pass_int,0,,,,,
player,201011140mia,oti,WashNa00,pass_sacked,,,,,,
player,201011140mia,oti,WashNa00,pass_sacked_yds,,,,,,
player,201011140mia,oti,WashNa00,pass_long,0,,,,,
player,201011140mia,oti,WashNa00,pass_rating,,,,,,
