game,2010,8,20101031,201010310dal,jax,"Jacksonville Jaguars",35,dal,"Dallas Cowboys",17
player,201010310dal,jax,KariDe00,pass_sacked_yds,,,,,,
player,201010310dal,jax,KariDe00,pass_long,0,,,,,
player,201010310dal,jax,KariDe00,pass_rating,,,,,,
player,201010310dal,jax,KariDe00,rush_att,4,,,,,
player,201010310dal,jax,KariDe00,rush_yds,3,,,,,
player,201010310dal,jax,KariDe00,rush_td,0,,,,,
player,201010310dal,jax,KariDe00,rush_long,2,,,,,
player,201010310dal,jax,KariDe00,targets,0,,,,,
player,201010310dal,jax,KariDe00,rec,0,,,,,
player,201010310dal,jax,KariDe00,rec_yds,0,,,,,
player,201010310dal,jax,KariDe00,rec_td,0,,,,,
player,201010310dal,jax,KariDe00,rec_long,0,,,,,
player,201010310dal,jax,KariDe00,fumbles,0,,,,,
player,201010310dal,jax,KariDe00,fumbles_lost,,,,,,
player,201010310dal,jax,WalkMi01,pass_cmp,0,,,,,
player,201010310dal,jax,WalkMi01,pass_att,0,,,,,
player,201010310dal,jax,WalkMi01,pass_yds,0,,,,,
player,201010310dal,jax,WalkMi01,pass_td,0,,,,,
player,201010310dal,jax,WalkMi01,pass_int,0,,,,,
player,201010310dal,jax,WalkMi01,pass_sacked,,,,,,
player,201010310dal,jax,WalkMi01,pass_sacked_yds,,,,,,
player,201010310dal,jax,WalkMi01,pass_long,0,,,,,
player,201010310dal,jax,WalkMi01,pass_rating,,,,,,
player,201010310dal,jax,WalkMi01,rush_att,0,,,,,
player,201010310dal,jax,WalkMi01,rush_yds,0,,,,,
player,201010310dal,jax,WalkMi01,rush_td,0,,,,,
player,201010310dal,jax,WalkMi01,rush_long,0,,,,,
player,201010310dal,jax,WalkMi01,targets,10,,,,,
player,201010310dal,jax,WalkMi01,rec,8,,,,,
player,201010310dal,jax,WalkMi01,rec_yds,153,,,,,
player,201010310dal,jax,WalkMi01,rec_td,1,,,,,
player,201010310dal,jax,WalkMi01,rec_long,39,,,,,
player,201010310dal,jax,WalkMi01,fumbles,0,,,,,
player,201010310dal,jax,WalkMi01,fumbles_lost,,,,,,
player,201010310dal,jax,LewiMa00,pass_cmp,0,,,,,
player,201010310dal,jax,LewiMa00,pass_att,0,,,,,
player,201010310dal,jax,LewiMa00,pass_yds,0,,,,,
player,201010310dal,jax,LewiMa00,pass_td,0,,,,,
player,201010310dal,jax,LewiMa00,pass_int,0,,,,,
player,201010310dal,jax,LewiMa00,pass_sacked,,,,,,
player,201010310dal,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201010310dal,jax,LewiMa00,pass_long,0,,,,,
player,201010310dal,jax,LewiMa00,pass_rating,,,,,,
player,201010310dal,jax,LewiMa00,rush_att,0,,,,,
player,201010310dal,jax,LewiMa00,rush_yds,0,,,,,
player,201010310dal,jax,LewiMa00,rush_td,0,,,,,
player,201010310dal,jax,LewiMa00,rush_long,0,,,,,
player,201010310dal,jax,LewiMa00,targets,3,,,,,
player,201010310dal,jax,LewiMa00,rec,2,,,,,
player,201010310dal,jax,LewiMa00,rec_yds,51,,,,,
player,201010310dal,jax,LewiMa00,rec_td,2,,,,,
player,201010310dal,jax,LewiMa00,rec_long,42,,,,,
player,201010310dal,jax,LewiMa00,fumbles,0,,,,,
player,201010310dal,jax,LewiMa00,fumbles_lost,,,,,,
player,201010310dal,jax,JoneGr01,pass_cmp,0,,,,,
player,201010310dal,jax,JoneGr01,pass_att,0,,,,,
player,201010310dal,jax,JoneGr01,pass_yds,0,,,,,
player,201010310dal,jax,JoneGr01,pass_td,0,,,,,
player,201010310dal,jax,JoneGr01,pass_int,0,,,,,
player,201010310dal,jax,JoneGr01,pass_sacked,,,,,,
player,201010310dal,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201010310dal,jax,JoneGr01,pass_long,0,,,,,
player,201010310dal,jax,JoneGr01,pass_rating,,,,,,
player,201010310dal,jax,JoneGr01,rush_att,0,,,,,
player,201010310dal,jax,JoneGr01,rush_yds,0,,,,,
player,201010310dal,jax,JoneGr01,rush_td,0,,,,,
player,201010310dal,jax,JoneGr01,rush_long,0,,,,,
player,201010310dal,jax,JoneGr01,targets,1,,,,,
player,201010310dal,jax,JoneGr01,rec,1,,,,,
player,201010310dal,jax,JoneGr01,rec_yds,2,,,,,
player,201010310dal,jax,JoneGr01,rec_td,0,,,,,
player,201010310dal,jax,JoneGr01,rec_long,2,,,,,
player,201010310dal,jax,JoneGr01,fumbles,0,,,,,
player,201010310dal,jax,JoneGr01,fumbles_lost,,,,,,
player,201010310dal,dal,KitnJo00,pass_cmp,34,,,,,
player,201010310dal,dal,KitnJo00,pass_att,49,,,,,
player,201010310dal,dal,KitnJo00,pass_yds,379,,,,,
player,201010310dal,dal,KitnJo00,pass_td,1,,,,,
player,201010310dal,dal,KitnJo00,pass_int,4,,,,,
player,201010310dal,dal,KitnJo00,pass_sacked,2,,,,,
player,201010310dal,dal,KitnJo00,pass_sacked_yds,14,,,,,
player,201010310dal,dal,KitnJo00,pass_long,35,,,,,
player,201010310dal,dal,KitnJo00,pass_rating,64.9,,,,,
player,201010310dal,dal,KitnJo00,rush_att,5,,,,,
player,201010310dal,dal,KitnJo00,rush_yds,12,,,,,
player,201010310dal,dal,KitnJo00,rush_td,0,,,,,
player,201010310dal,dal,KitnJo00,rush_long,8,,,,,
player,201010310dal,dal,KitnJo00,targets,0,,,,,
player,201010310dal,dal,KitnJo00,rec,0,,,,,
player,201010310dal,dal,KitnJo00,rec_yds,0,,,,,
player,201010310dal,dal,KitnJo00,rec_td,0,,,,,
player,201010310dal,dal,KitnJo00,rec_long,0,,,,,
player,201010310dal,dal,KitnJo00,fumbles,0,,,,,
player,201010310dal,dal,KitnJo00,fumbles_lost,0,,,,,
player,201010310dal,dal,JoneFe00,pass_cmp,0,,,,,
player,201010310dal,dal,JoneFe00,pass_att,0,,,,,
player,201010310dal,dal,JoneFe00,pass_yds,0,,,,,
player,201010310dal,dal,JoneFe00,pass_td,0,,,,,
player,201010310dal,dal,JoneFe00,pass_int,0,,,,,
player,201010310dal,dal,JoneFe00,pass_sacked,,,,,,
player,201010310dal,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201010310dal,dal,JoneFe00,pass_long,0,,,,,
player,201010310dal,dal,JoneFe00,pass_rating,,,,,,
player,201010310dal,dal,JoneFe00,rush_att,8,,,,,
player,201010310dal,dal,JoneFe00,rush_yds,22,,,,,
player,201010310dal,dal,JoneFe00,rush_td,0,,,,,
player,201010310dal,dal,JoneFe00,rush_long,9,,,,,
player,201010310dal,dal,JoneFe00,targets,4,,,,,
player,201010310dal,dal,JoneFe00,rec,3,,,,,
player,201010310dal,dal,JoneFe00,rec_yds,14,,,,,
player,201010310dal,dal,JoneFe00,rec_td,0,,,,,
player,201010310dal,dal,JoneFe00,rec_long,8,,,,,
player,201010310dal,dal,JoneFe00,fumbles,0,,,,,
player,201010310dal,dal,JoneFe00,fumbles_lost,,,,,,
player,201010310dal,dal,BarbMa01,pass_cmp,0,,,,,
player,201010310dal,dal,BarbMa01,pass_att,0,,,,,
player,201010310dal,dal,BarbMa01,pass_yds,0,,,,,
player,201010310dal,dal,BarbMa01,pass_td,0,,,,,
player,201010310dal,dal,BarbMa01,pass_int,0,,,,,
player,201010310dal,dal,BarbMa01,pass_sacked,0,,,,,
player,201010310dal,dal,BarbMa01,pass_sacked_yds,,,,,,
player,201010310dal,dal,BarbMa01,pass_long,0,,,,,
player,201010310dal,dal,BarbMa01,pass_rating,,,,,,
player,201010310dal,dal,BarbMa01,rush_att,9,,,,,
player,201010310dal,dal,BarbMa01,rush_yds,16,,,,,
player,201010310dal,dal,BarbMa01,rush_td,1,,,,,
player,201010310dal,dal,BarbMa01,rush_long,7,,,,,
player,201010310dal,dal,BarbMa01,targets,0,,,,,
player,201010310dal,dal,BarbMa01,rec,0,,,,,
player,201010310dal,dal,BarbMa01,rec_yds,0,,,,,
player,201010310dal,dal,BarbMa01,rec_td,0,,,,,
player,201010310dal,dal,BarbMa01,rec_long,0,,,,,
player,201010310dal,dal,BarbMa01,fumbles,0,,,,,
player,201010310dal,dal,BarbMa01,fumbles_lost,,,,,,
player,201010310dal,dal,AustMi00,pass_cmp,0,,,,,
player,201010310dal,dal,AustMi00,pass_att,0,,,,,
player,201010310dal,dal,AustMi00,pass_yds,0,,,,,
player,201010310dal,dal,AustMi00,pass_td,0,,,,,
player,201010310dal,dal,AustMi00,pass_int,0,,,,,
player,201010310dal,dal,AustMi00,pass_sacked,,,,,,
player,201010310dal,dal,AustMi00,pass_sacked_yds,,,,,,
player,201010310dal,dal,AustMi00,pass_long,0,,,,,
player,201010310dal,dal,AustMi00,pass_rating,,,,,,
player,201010310dal,dal,AustMi00,rush_att,0,,,,,
player,201010310dal,dal,AustMi00,rush_yds,0,,,,,
player,201010310dal,dal,AustMi00,rush_td,0,,,,,
player,201010310dal,dal,AustMi00,rush_long,0,,,,,
player,201010310dal,dal,AustMi00,targets,12,,,,,
player,201010310dal,dal,AustMi00,rec,7,,,,,
player,201010310dal,dal,AustMi00,rec_yds,117,,,,,
player,201010310dal,dal,AustMi00,rec_td,0,,,,,
