game,2010,3,20100926,201009260crd,rai,"Oakland Raiders",23,crd,"Arizona Cardinals",24
team,201009260crd,rai,First Downs,20,,,,,,
team,201009260crd,crd,First Downs,18,,,,,,
team,201009260crd,rai,Rush-Yds-TDs,33-133-1,,,,,,
team,201009260crd,crd,Rush-Yds-TDs,26-119-0,,,,,,
team,201009260crd,rai,Cmp-Att-Yd-TD-INT,17-34-255-1-1,,,,,,
team,201009260crd,crd,Cmp-Att-Yd-TD-INT,12-26-122-2-1,,,,,,
team,201009260crd,rai,Sacked-Yards,3-24,,,,,,
team,201009260crd,crd,Sacked-Yards,2-14,,,,,,
team,201009260crd,rai,Net Pass Yards,231,,,,,,
team,201009260crd,crd,Net Pass Yards,108,,,,,,
team,201009260crd,rai,Total Yards,364,,,,,,
team,201009260crd,crd,Total Yards,227,,,,,,
team,201009260crd,rai,Fumbles-Lost,2-0,,,,,,
team,201009260crd,crd,Fumbles-Lost,2-2,,,,,,
team,201009260crd,rai,Turnovers,1,,,,,,
team,201009260crd,crd,Turnovers,3,,,,,,
team,201009260crd,rai,Penalties-Yards,11-123,,,,,,
team,201009260crd,crd,Penalties-Yards,7-104,,,,,,
team,201009260crd,rai,Third Down Conv.,4-15,,,,,,
team,201009260crd,crd,Third Down Conv.,5-13,,,,,,
team,201009260crd,rai,Fourth Down Conv.,1-1,,,,,,
team,201009260crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201009260crd,rai,Time of Possession,32:58,,,,,,
team,201009260crd,crd,Time of Possession,27:02,,,,,,
player,201009260crd,rai,GradBr00,pass_cmp,17,,,,,
player,201009260crd,rai,GradBr00,pass_att,34,,,,,
player,201009260crd,rai,GradBr00,pass_yds,255,,,,,
player,201009260crd,rai,GradBr00,pass_td,1,,,,,
player,201009260crd,rai,GradBr00,pass_int,1,,,,,
player,201009260crd,rai,GradBr00,pass_sacked,3,,,,,
player,201009260crd,rai,GradBr00,pass_sacked_yds,24,,,,,
player,201009260crd,rai,GradBr00,pass_long,70,,,,,
player,201009260crd,rai,GradBr00,pass_rating,72.5,,,,,
player,201009260crd,rai,GradBr00,rush_att,4,,,,,
player,201009260crd,rai,GradBr00,rush_yds,13,,,,,
player,201009260crd,rai,GradBr00,rush_td,0,,,,,
player,201009260crd,rai,GradBr00,rush_long,8,,,,,
player,201009260crd,rai,GradBr00,targets,0,,,,,
player,201009260crd,rai,GradBr00,rec,0,,,,,
player,201009260crd,rai,GradBr00,rec_yds,0,,,,,
player,201009260crd,rai,GradBr00,rec_td,0,,,,,
