game,2010,15,20101219,201012190pit,nyj,"New York Jets",22,pit,"Pittsburgh Steelers",17
team,201012190pit,nyj,First Downs,17,,,,,,
team,201012190pit,pit,First Downs,25,,,,,,
team,201012190pit,nyj,Rush-Yds-TDs,27-106-1,,,,,,
team,201012190pit,pit,Rush-Yds-TDs,25-146-1,,,,,,
team,201012190pit,nyj,Cmp-Att-Yd-TD-INT,19-29-170-0-0,,,,,,
team,201012190pit,pit,Cmp-Att-Yd-TD-INT,23-44-264-1-0,,,,,,
team,201012190pit,nyj,Sacked-Yards,1-0,,,,,,
team,201012190pit,pit,Sacked-Yards,3-32,,,,,,
team,201012190pit,nyj,Net Pass Yards,170,,,,,,
team,201012190pit,pit,Net Pass Yards,232,,,,,,
team,201012190pit,nyj,Total Yards,276,,,,,,
team,201012190pit,pit,Total Yards,378,,,,,,
team,201012190pit,nyj,Fumbles-Lost,0-0,,,,,,
team,201012190pit,pit,Fumbles-Lost,2-0,,,,,,
team,201012190pit,nyj,Turnovers,0,,,,,,
team,201012190pit,pit,Turnovers,0,,,,,,
team,201012190pit,nyj,Penalties-Yards,3-19,,,,,,
team,201012190pit,pit,Penalties-Yards,3-35,,,,,,
team,201012190pit,nyj,Third Down Conv.,6-13,,,,,,
team,201012190pit,pit,Third Down Conv.,11-17,,,,,,
team,201012190pit,nyj,Fourth Down Conv.,1-1,,,,,,
team,201012190pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201012190pit,nyj,Time of Possession,28:42,,,,,,
team,201012190pit,pit,Time of Possession,31:18,,,,,,
player,201012190pit,nyj,SancMa00,pass_cmp,19,,,,,
player,201012190pit,nyj,SancMa00,pass_att,29,,,,,
player,201012190pit,nyj,SancMa00,pass_yds,170,,,,,
player,201012190pit,nyj,SancMa00,pass_td,0,,,,,
player,201012190pit,nyj,SancMa00,pass_int,0,,,,,
player,201012190pit,nyj,SancMa00,pass_sacked,1,,,,,
player,201012190pit,nyj,SancMa00,pass_sacked_yds,0,,,,,
player,201012190pit,nyj,SancMa00,pass_long,38,,,,,
player,201012190pit,nyj,SancMa00,pass_rating,81.1,,,,,
player,201012190pit,nyj,SancMa00,rush_att,3,,,,,
player,201012190pit,nyj,SancMa00,rush_yds,15,,,,,
player,201012190pit,nyj,SancMa00,rush_td,1,,,,,
player,201012190pit,nyj,SancMa00,rush_long,7,,,,,
player,201012190pit,nyj,SancMa00,targets,0,,,,,
player,201012190pit,nyj,SancMa00,rec,0,,,,,
player,201012190pit,nyj,SancMa00,rec_yds,0,,,,,
player,201012190pit,nyj,SancMa00,rec_td,0,,,,,
player,201012190pit,nyj,SancMa00,rec_long,0,,,,,
player,201012190pit,nyj,SancMa00,fumbles,0,,,,,
player,201012190pit,nyj,SancMa00,fumbles_lost,,,,,,
player,201012190pit,nyj,TomlLa00,pass_cmp,0,,,,,
player,201012190pit,nyj,TomlLa00,pass_att,0,,,,,
player,201012190pit,nyj,TomlLa00,pass_yds,0,,,,,
player,201012190pit,nyj,TomlLa00,pass_td,0,,,,,
player,201012190pit,nyj,TomlLa00,pass_int,0,,,,,
player,201012190pit,nyj,TomlLa00,pass_sacked,,,,,,
player,201012190pit,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201012190pit,nyj,TomlLa00,pass_long,0,,,,,
player,201012190pit,nyj,TomlLa00,pass_rating,,,,,,
player,201012190pit,nyj,TomlLa00,rush_att,11,,,,,
player,201012190pit,nyj,TomlLa00,rush_yds,49,,,,,
player,201012190pit,nyj,TomlLa00,rush_td,0,,,,,
player,201012190pit,nyj,TomlLa00,rush_long,11,,,,,
player,201012190pit,nyj,TomlLa00,targets,1,,,,,
player,201012190pit,nyj,TomlLa00,rec,1,,,,,
player,201012190pit,nyj,TomlLa00,rec_yds,6,,,,,
player,201012190pit,nyj,TomlLa00,rec_td,0,,,,,
player,201012190pit,nyj,TomlLa00,rec_long,6,,,,,
player,201012190pit,nyj,TomlLa00,fumbles,0,,,,,
player,201012190pit,nyj,TomlLa00,fumbles_lost,,,,,,
player,201012190pit,nyj,GreeSh00,pass_cmp,0,,,,,
player,201012190pit,nyj,GreeSh00,pass_att,0,,,,,
player,201012190pit,nyj,GreeSh00,pass_yds,0,,,,,
player,201012190pit,nyj,GreeSh00,pass_td,0,,,,,
player,201012190pit,nyj,GreeSh00,pass_int,0,,,,,
player,201012190pit,nyj,GreeSh00,pass_sacked,,,,,,
player,201012190pit,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201012190pit,nyj,GreeSh00,pass_long,0,,,,,
player,201012190pit,nyj,GreeSh00,pass_rating,,,,,,
player,201012190pit,nyj,GreeSh00,rush_att,12,,,,,
player,201012190pit,nyj,GreeSh00,rush_yds,40,,,,,
player,201012190pit,nyj,GreeSh00,rush_td,0,,,,,
player,201012190pit,nyj,GreeSh00,rush_long,6,,,,,
player,201012190pit,nyj,GreeSh00,targets,2,,,,,
player,201012190pit,nyj,GreeSh00,rec,1,,,,,
player,201012190pit,nyj,GreeSh00,rec_yds,5,,,,,
player,201012190pit,nyj,GreeSh00,rec_td,0,,,,,
player,201012190pit,nyj,GreeSh00,rec_long,5,,,,,
