game,2010,3,20100926,201009260mia,nyj,"New York Jets",31,mia,"Miami Dolphins",23
team,201009260mia,nyj,First Downs,20,,,,,,
team,201009260mia,mia,First Downs,24,,,,,,
team,201009260mia,nyj,Rush-Yds-TDs,29-146-1,,,,,,
team,201009260mia,mia,Rush-Yds-TDs,23-84-0,,,,,,
team,201009260mia,nyj,Cmp-Att-Yd-TD-INT,15-28-256-3-0,,,,,,
team,201009260mia,mia,Cmp-Att-Yd-TD-INT,26-45-363-2-1,,,,,,
team,201009260mia,nyj,Sacked-Yards,0-0,,,,,,
team,201009260mia,mia,Sacked-Yards,2-11,,,,,,
team,201009260mia,nyj,Net Pass Yards,256,,,,,,
team,201009260mia,mia,Net Pass Yards,352,,,,,,
team,201009260mia,nyj,Total Yards,402,,,,,,
team,201009260mia,mia,Total Yards,436,,,,,,
team,201009260mia,nyj,Fumbles-Lost,0-0,,,,,,
team,201009260mia,mia,Fumbles-Lost,1-0,,,,,,
team,201009260mia,nyj,Turnovers,0,,,,,,
team,201009260mia,mia,Turnovers,1,,,,,,
team,201009260mia,nyj,Penalties-Yards,9-81,,,,,,
team,201009260mia,mia,Penalties-Yards,6-52,,,,,,
team,201009260mia,nyj,Third Down Conv.,6-11,,,,,,
team,201009260mia,mia,Third Down Conv.,7-15,,,,,,
team,201009260mia,nyj,Fourth Down Conv.,0-0,,,,,,
team,201009260mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201009260mia,nyj,Time of Possession,27:12,,,,,,
team,201009260mia,mia,Time of Possession,32:48,,,,,,
player,201009260mia,nyj,SancMa00,pass_cmp,15,,,,,
player,201009260mia,nyj,SancMa00,pass_att,28,,,,,
player,201009260mia,nyj,SancMa00,pass_yds,256,,,,,
player,201009260mia,nyj,SancMa00,pass_td,3,,,,,
player,201009260mia,nyj,SancMa00,pass_int,0,,,,,
player,201009260mia,nyj,SancMa00,pass_sacked,0,,,,,
player,201009260mia,nyj,SancMa00,pass_sacked_yds,0,,,,,
player,201009260mia,nyj,SancMa00,pass_long,67,,,,,
