game,2010,11,20101121,201011210kan,crd,"Arizona Cardinals",13,kan,"Kansas City Chiefs",31
player,201011210kan,crd,FitzLa00,pass_cmp,0,,,,,
player,201011210kan,crd,FitzLa00,pass_att,0,,,,,
player,201011210kan,crd,FitzLa00,pass_yds,0,,,,,
player,201011210kan,crd,FitzLa00,pass_td,0,,,,,
player,201011210kan,crd,FitzLa00,pass_int,0,,,,,
player,201011210kan,crd,FitzLa00,pass_sacked,0,,,,,
player,201011210kan,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201011210kan,crd,FitzLa00,pass_long,0,,,,,
player,201011210kan,crd,FitzLa00,pass_rating,,,,,,
player,201011210kan,crd,FitzLa00,rush_att,0,,,,,
player,201011210kan,crd,FitzLa00,rush_yds,0,,,,,
player,201011210kan,crd,FitzLa00,rush_td,0,,,,,
player,201011210kan,crd,FitzLa00,rush_long,0,,,,,
player,201011210kan,crd,FitzLa00,targets,11,,,,,
player,201011210kan,crd,FitzLa00,rec,6,,,,,
player,201011210kan,crd,FitzLa00,rec_yds,90,,,,,
player,201011210kan,crd,FitzLa00,rec_td,1,,,,,
player,201011210kan,crd,FitzLa00,rec_long,24,,,,,
player,201011210kan,crd,FitzLa00,fumbles,0,,,,,
player,201011210kan,crd,FitzLa00,fumbles_lost,,,,,,
player,201011210kan,crd,RobeAn00,pass_cmp,0,,,,,
player,201011210kan,crd,RobeAn00,pass_att,0,,,,,
player,201011210kan,crd,RobeAn00,pass_yds,0,,,,,
player,201011210kan,crd,RobeAn00,pass_td,0,,,,,
player,201011210kan,crd,RobeAn00,pass_int,0,,,,,
player,201011210kan,crd,RobeAn00,pass_sacked,0,,,,,
player,201011210kan,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201011210kan,crd,RobeAn00,pass_long,0,,,,,
player,201011210kan,crd,RobeAn00,pass_rating,,,,,,
player,201011210kan,crd,RobeAn00,rush_att,0,,,,,
player,201011210kan,crd,RobeAn00,rush_yds,0,,,,,
player,201011210kan,crd,RobeAn00,rush_td,0,,,,,
player,201011210kan,crd,RobeAn00,rush_long,0,,,,,
player,201011210kan,crd,RobeAn00,targets,11,,,,,
player,201011210kan,crd,RobeAn00,rec,6,,,,,
player,201011210kan,crd,RobeAn00,rec_yds,52,,,,,
player,201011210kan,crd,RobeAn00,rec_td,0,,,,,
player,201011210kan,crd,RobeAn00,rec_long,13,,,,,
player,201011210kan,crd,RobeAn00,fumbles,0,,,,,
player,201011210kan,crd,RobeAn00,fumbles_lost,,,,,,
player,201011210kan,crd,PatrBe00,pass_cmp,0,,,,,
player,201011210kan,crd,PatrBe00,pass_att,0,,,,,
player,201011210kan,crd,PatrBe00,pass_yds,0,,,,,
player,201011210kan,crd,PatrBe00,pass_td,0,,,,,
player,201011210kan,crd,PatrBe00,pass_int,0,,,,,
player,201011210kan,crd,PatrBe00,pass_sacked,0,,,,,
player,201011210kan,crd,PatrBe00,pass_sacked_yds,0,,,,,
player,201011210kan,crd,PatrBe00,pass_long,0,,,,,
player,201011210kan,crd,PatrBe00,pass_rating,,,,,,
player,201011210kan,crd,PatrBe00,rush_att,0,,,,,
player,201011210kan,crd,PatrBe00,rush_yds,0,,,,,
player,201011210kan,crd,PatrBe00,rush_td,0,,,,,
player,201011210kan,crd,PatrBe00,rush_long,0,,,,,
player,201011210kan,crd,PatrBe00,targets,3,,,,,
player,201011210kan,crd,PatrBe00,rec,3,,,,,
player,201011210kan,crd,PatrBe00,rec_yds,24,,,,,
player,201011210kan,crd,PatrBe00,rec_td,0,,,,,
player,201011210kan,crd,PatrBe00,rec_long,11,,,,,
player,201011210kan,crd,PatrBe00,fumbles,0,,,,,
player,201011210kan,crd,PatrBe00,fumbles_lost,,,,,,
player,201011210kan,crd,DoucEa00,pass_cmp,0,,,,,
player,201011210kan,crd,DoucEa00,pass_att,0,,,,,
player,201011210kan,crd,DoucEa00,pass_yds,0,,,,,
player,201011210kan,crd,DoucEa00,pass_td,0,,,,,
player,201011210kan,crd,DoucEa00,pass_int,0,,,,,
player,201011210kan,crd,DoucEa00,pass_sacked,0,,,,,
player,201011210kan,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201011210kan,crd,DoucEa00,pass_long,0,,,,,
player,201011210kan,crd,DoucEa00,pass_rating,,,,,,
player,201011210kan,crd,DoucEa00,rush_att,0,,,,,
player,201011210kan,crd,DoucEa00,rush_yds,0,,,,,
player,201011210kan,crd,DoucEa00,rush_td,0,,,,,
player,201011210kan,crd,DoucEa00,rush_long,0,,,,,
player,201011210kan,crd,DoucEa00,targets,4,,,,,
player,201011210kan,crd,DoucEa00,rec,2,,,,,
player,201011210kan,crd,DoucEa00,rec_yds,13,,,,,
player,201011210kan,crd,DoucEa00,rec_td,0,,,,,
player,201011210kan,crd,DoucEa00,rec_long,7,,,,,
player,201011210kan,crd,DoucEa00,fumbles,0,,,,,
player,201011210kan,crd,DoucEa00,fumbles_lost,,,,,,
player,201011210kan,crd,DrayJi00,pass_cmp,,,,,,
player,201011210kan,crd,DrayJi00,pass_att,,,,,,
player,201011210kan,crd,DrayJi00,pass_yds,,,,,,
player,201011210kan,crd,DrayJi00,pass_td,,,,,,
player,201011210kan,crd,DrayJi00,pass_int,,,,,,
player,201011210kan,crd,DrayJi00,pass_sacked,,,,,,
player,201011210kan,crd,DrayJi00,pass_sacked_yds,,,,,,
player,201011210kan,crd,DrayJi00,pass_long,,,,,,
player,201011210kan,crd,DrayJi00,pass_rating,,,,,,
player,201011210kan,crd,DrayJi00,rush_att,,,,,,
player,201011210kan,crd,DrayJi00,rush_yds,,,,,,
player,201011210kan,crd,DrayJi00,rush_td,,,,,,
player,201011210kan,crd,DrayJi00,rush_long,,,,,,
player,201011210kan,crd,DrayJi00,targets,1,,,,,
player,201011210kan,crd,DrayJi00,rec,0,,,,,
player,201011210kan,crd,DrayJi00,rec_yds,0,,,,,
player,201011210kan,crd,DrayJi00,rec_td,0,,,,,
player,201011210kan,crd,DrayJi00,rec_long,,,,,,
player,201011210kan,crd,DrayJi00,fumbles,,,,,,
player,201011210kan,crd,DrayJi00,fumbles_lost,,,,,,
player,201011210kan,kan,CassMa00,pass_cmp,15,,,,,
player,201011210kan,kan,CassMa00,pass_att,24,,,,,
player,201011210kan,kan,CassMa00,pass_yds,193,,,,,
player,201011210kan,kan,CassMa00,pass_td,2,,,,,
player,201011210kan,kan,CassMa00,pass_int,0,,,,,
player,201011210kan,kan,CassMa00,pass_sacked,0,,,,,
player,201011210kan,kan,CassMa00,pass_sacked_yds,0,,,,,
player,201011210kan,kan,CassMa00,pass_long,38,,,,,
player,201011210kan,kan,CassMa00,pass_rating,115.5,,,,,
player,201011210kan,kan,CassMa00,rush_att,0,,,,,
player,201011210kan,kan,CassMa00,rush_yds,0,,,,,
player,201011210kan,kan,CassMa00,rush_td,0,,,,,
player,201011210kan,kan,CassMa00,rush_long,0,,,,,
player,201011210kan,kan,CassMa00,targets,0,,,,,
player,201011210kan,kan,CassMa00,rec,0,,,,,
player,201011210kan,kan,CassMa00,rec_yds,0,,,,,
player,201011210kan,kan,CassMa00,rec_td,0,,,,,
player,201011210kan,kan,CassMa00,rec_long,0,,,,,
player,201011210kan,kan,CassMa00,fumbles,0,,,,,
player,201011210kan,kan,CassMa00,fumbles_lost,,,,,,
player,201011210kan,kan,CharJa00,pass_cmp,0,,,,,
player,201011210kan,kan,CharJa00,pass_att,0,,,,,
player,201011210kan,kan,CharJa00,pass_yds,0,,,,,
player,201011210kan,kan,CharJa00,pass_td,0,,,,,
player,201011210kan,kan,CharJa00,pass_int,0,,,,,
player,201011210kan,kan,CharJa00,pass_sacked,,,,,,
player,201011210kan,kan,CharJa00,pass_sacked_yds,,,,,,
player,201011210kan,kan,CharJa00,pass_long,0,,,,,
player,201011210kan,kan,CharJa00,pass_rating,,,,,,
player,201011210kan,kan,CharJa00,rush_att,12,,,,,
player,201011210kan,kan,CharJa00,rush_yds,88,,,,,
player,201011210kan,kan,CharJa00,rush_td,0,,,,,
player,201011210kan,kan,CharJa00,rush_long,39,,,,,
player,201011210kan,kan,CharJa00,targets,5,,,,,
player,201011210kan,kan,CharJa00,rec,4,,,,,
player,201011210kan,kan,CharJa00,rec_yds,38,,,,,
player,201011210kan,kan,CharJa00,rec_td,0,,,,,
player,201011210kan,kan,CharJa00,rec_long,25,,,,,
player,201011210kan,kan,CharJa00,fumbles,0,,,,,
player,201011210kan,kan,CharJa00,fumbles_lost,,,,,,
player,201011210kan,kan,JoneTh00,pass_cmp,0,,,,,
player,201011210kan,kan,JoneTh00,pass_att,0,,,,,
player,201011210kan,kan,JoneTh00,pass_yds,0,,,,,
player,201011210kan,kan,JoneTh00,pass_td,0,,,,,
player,201011210kan,kan,JoneTh00,pass_int,0,,,,,
player,201011210kan,kan,JoneTh00,pass_sacked,,,,,,
player,201011210kan,kan,JoneTh00,pass_sacked_yds,,,,,,
player,201011210kan,kan,JoneTh00,pass_long,0,,,,,
player,201011210kan,kan,JoneTh00,pass_rating,,,,,,
player,201011210kan,kan,JoneTh00,rush_att,15,,,,,
player,201011210kan,kan,JoneTh00,rush_yds,71,,,,,
player,201011210kan,kan,JoneTh00,rush_td,2,,,,,
player,201011210kan,kan,JoneTh00,rush_long,28,,,,,
player,201011210kan,kan,JoneTh00,targets,0,,,,,
player,201011210kan,kan,JoneTh00,rec,0,,,,,
player,201011210kan,kan,JoneTh00,rec_yds,0,,,,,
player,201011210kan,kan,JoneTh00,rec_td,0,,,,,
player,201011210kan,kan,JoneTh00,rec_long,0,,,,,
player,201011210kan,kan,JoneTh00,fumbles,0,,,,,
player,201011210kan,kan,JoneTh00,fumbles_lost,,,,,,
player,201011210kan,kan,BoweDw00,pass_cmp,0,,,,,
player,201011210kan,kan,BoweDw00,pass_att,0,,,,,
player,201011210kan,kan,BoweDw00,pass_yds,0,,,,,
