game,2010,4,20101003,201010030atl,sfo,"San Francisco 49ers",14,atl,"Atlanta Falcons",16
team,201010030atl,sfo,First Downs,17,,,,,,
team,201010030atl,atl,First Downs,23,,,,,,
team,201010030atl,sfo,Rush-Yds-TDs,23-81-0,,,,,,
team,201010030atl,atl,Rush-Yds-TDs,29-98-0,,,,,,
team,201010030atl,sfo,Cmp-Att-Yd-TD-INT,21-32-188-1-2,,,,,,
team,201010030atl,atl,Cmp-Att-Yd-TD-INT,26-43-273-1-2,,,,,,
team,201010030atl,sfo,Sacked-Yards,1-7,,,,,,
team,201010030atl,atl,Sacked-Yards,3-14,,,,,,
team,201010030atl,sfo,Net Pass Yards,181,,,,,,
team,201010030atl,atl,Net Pass Yards,259,,,,,,
team,201010030atl,sfo,Total Yards,262,,,,,,
team,201010030atl,atl,Total Yards,357,,,,,,
team,201010030atl,sfo,Fumbles-Lost,3-1,,,,,,
team,201010030atl,atl,Fumbles-Lost,0-0,,,,,,
team,201010030atl,sfo,Turnovers,3,,,,,,
team,201010030atl,atl,Turnovers,2,,,,,,
team,201010030atl,sfo,Penalties-Yards,6-41,,,,,,
team,201010030atl,atl,Penalties-Yards,4-60,,,,,,
team,201010030atl,sfo,Third Down Conv.,6-12,,,,,,
team,201010030atl,atl,Third Down Conv.,5-14,,,,,,
team,201010030atl,sfo,Fourth Down Conv.,1-1,,,,,,
team,201010030atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201010030atl,sfo,Time of Possession,30:41,,,,,,
team,201010030atl,atl,Time of Possession,29:19,,,,,,
player,201010030atl,sfo,SmitAl03,pass_cmp,21,,,,,
player,201010030atl,sfo,SmitAl03,pass_att,32,,,,,
player,201010030atl,sfo,SmitAl03,pass_yds,188,,,,,
player,201010030atl,sfo,SmitAl03,pass_td,1,,,,,
player,201010030atl,sfo,SmitAl03,pass_int,2,,,,,
player,201010030atl,sfo,SmitAl03,pass_sacked,1,,,,,
player,201010030atl,sfo,SmitAl03,pass_sacked_yds,7,,,,,
player,201010030atl,sfo,SmitAl03,pass_long,19,,,,,
player,201010030atl,sfo,SmitAl03,pass_rating,65.6,,,,,
