game,2010,9,20101107,201011070gnb,dal,"Dallas Cowboys",7,gnb,"Green Bay Packers",45
team,201011070gnb,dal,First Downs,12,,,,,,
team,201011070gnb,gnb,First Downs,26,,,,,,
team,201011070gnb,dal,Rush-Yds-TDs,14-39-0,,,,,,
team,201011070gnb,gnb,Rush-Yds-TDs,35-138-1,,,,,,
team,201011070gnb,dal,Cmp-Att-Yd-TD-INT,19-30-183-1-2,,,,,,
team,201011070gnb,gnb,Cmp-Att-Yd-TD-INT,27-35-289-3-0,,,,,,
team,201011070gnb,dal,Sacked-Yards,4-17,,,,,,
team,201011070gnb,gnb,Sacked-Yards,1-12,,,,,,
team,201011070gnb,dal,Net Pass Yards,166,,,,,,
team,201011070gnb,gnb,Net Pass Yards,277,,,,,,
team,201011070gnb,dal,Total Yards,205,,,,,,
team,201011070gnb,gnb,Total Yards,415,,,,,,
team,201011070gnb,dal,Fumbles-Lost,4-2,,,,,,
team,201011070gnb,gnb,Fumbles-Lost,2-0,,,,,,
team,201011070gnb,dal,Turnovers,4,,,,,,
team,201011070gnb,gnb,Turnovers,0,,,,,,
team,201011070gnb,dal,Penalties-Yards,5-40,,,,,,
team,201011070gnb,gnb,Penalties-Yards,2-20,,,,,,
team,201011070gnb,dal,Third Down Conv.,4-10,,,,,,
team,201011070gnb,gnb,Third Down Conv.,10-15,,,,,,
team,201011070gnb,dal,Fourth Down Conv.,0-0,,,,,,
team,201011070gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201011070gnb,dal,Time of Possession,22:04,,,,,,
team,201011070gnb,gnb,Time of Possession,37:56,,,,,,
player,201011070gnb,dal,KitnJo00,pass_cmp,19,,,,,
player,201011070gnb,dal,KitnJo00,pass_att,30,,,,,
player,201011070gnb,dal,KitnJo00,pass_yds,183,,,,,
player,201011070gnb,dal,KitnJo00,pass_td,1,,,,,
player,201011070gnb,dal,KitnJo00,pass_int,2,,,,,
player,201011070gnb,dal,KitnJo00,pass_sacked,4,,,,,
player,201011070gnb,dal,KitnJo00,pass_sacked_yds,17,,,,,
player,201011070gnb,dal,KitnJo00,pass_long,41,,,,,
player,201011070gnb,dal,KitnJo00,pass_rating,63.6,,,,,
player,201011070gnb,dal,KitnJo00,rush_att,0,,,,,
player,201011070gnb,dal,KitnJo00,rush_yds,0,,,,,
player,201011070gnb,dal,KitnJo00,rush_td,0,,,,,
player,201011070gnb,dal,KitnJo00,rush_long,0,,,,,
player,201011070gnb,dal,KitnJo00,targets,0,,,,,
player,201011070gnb,dal,KitnJo00,rec,0,,,,,
player,201011070gnb,dal,KitnJo00,rec_yds,0,,,,,
player,201011070gnb,dal,KitnJo00,rec_td,0,,,,,
player,201011070gnb,dal,KitnJo00,rec_long,0,,,,,
player,201011070gnb,dal,KitnJo00,fumbles,2,,,,,
player,201011070gnb,dal,KitnJo00,fumbles_lost,0,,,,,
player,201011070gnb,dal,JoneFe00,pass_cmp,0,,,,,
player,201011070gnb,dal,JoneFe00,pass_att,0,,,,,
player,201011070gnb,dal,JoneFe00,pass_yds,0,,,,,
player,201011070gnb,dal,JoneFe00,pass_td,0,,,,,
player,201011070gnb,dal,JoneFe00,pass_int,0,,,,,
player,201011070gnb,dal,JoneFe00,pass_sacked,,,,,,
player,201011070gnb,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201011070gnb,dal,JoneFe00,pass_long,0,,,,,
player,201011070gnb,dal,JoneFe00,pass_rating,,,,,,
player,201011070gnb,dal,JoneFe00,rush_att,5,,,,,
player,201011070gnb,dal,JoneFe00,rush_yds,16,,,,,
player,201011070gnb,dal,JoneFe00,rush_td,0,,,,,
player,201011070gnb,dal,JoneFe00,rush_long,8,,,,,
player,201011070gnb,dal,JoneFe00,targets,1,,,,,
player,201011070gnb,dal,JoneFe00,rec,0,,,,,
player,201011070gnb,dal,JoneFe00,rec_yds,0,,,,,
player,201011070gnb,dal,JoneFe00,rec_td,0,,,,,
player,201011070gnb,dal,JoneFe00,rec_long,0,,,,,
player,201011070gnb,dal,JoneFe00,fumbles,0,,,,,
player,201011070gnb,dal,JoneFe00,fumbles_lost,,,,,,
player,201011070gnb,dal,BarbMa01,pass_cmp,0,,,,,
player,201011070gnb,dal,BarbMa01,pass_att,0,,,,,
player,201011070gnb,dal,BarbMa01,pass_yds,0,,,,,
player,201011070gnb,dal,BarbMa01,pass_td,0,,,,,
player,201011070gnb,dal,BarbMa01,pass_int,0,,,,,
