game,2010,10,20101114,201011140jax,htx,"Houston Texans",24,jax,"Jacksonville Jaguars",31
team,201011140jax,htx,First Downs,20,,,,,,
team,201011140jax,jax,First Downs,29,,,,,,
team,201011140jax,htx,Rush-Yds-TDs,21-81-1,,,,,,
team,201011140jax,jax,Rush-Yds-TDs,36-165-2,,,,,,
team,201011140jax,htx,Cmp-Att-Yd-TD-INT,22-32-314-2-0,,,,,,
team,201011140jax,jax,Cmp-Att-Yd-TD-INT,24-31-342-2-0,,,,,,
team,201011140jax,htx,Sacked-Yards,0-0,,,,,,
team,201011140jax,jax,Sacked-Yards,2-16,,,,,,
team,201011140jax,htx,Net Pass Yards,314,,,,,,
team,201011140jax,jax,Net Pass Yards,326,,,,,,
team,201011140jax,htx,Total Yards,395,,,,,,
team,201011140jax,jax,Total Yards,491,,,,,,
team,201011140jax,htx,Fumbles-Lost,2-1,,,,,,
team,201011140jax,jax,Fumbles-Lost,1-0,,,,,,
team,201011140jax,htx,Turnovers,1,,,,,,
team,201011140jax,jax,Turnovers,0,,,,,,
team,201011140jax,htx,Penalties-Yards,8-49,,,,,,
team,201011140jax,jax,Penalties-Yards,8-62,,,,,,
team,201011140jax,htx,Third Down Conv.,4-10,,,,,,
team,201011140jax,jax,Third Down Conv.,4-11,,,,,,
team,201011140jax,htx,Fourth Down Conv.,0-0,,,,,,
team,201011140jax,jax,Fourth Down Conv.,1-1,,,,,,
team,201011140jax,htx,Time of Possession,24:37,,,,,,
team,201011140jax,jax,Time of Possession,35:23,,,,,,
player,201011140jax,htx,SchaMa00,pass_cmp,22,,,,,
player,201011140jax,htx,SchaMa00,pass_att,32,,,,,
player,201011140jax,htx,SchaMa00,pass_yds,314,,,,,
player,201011140jax,htx,SchaMa00,pass_td,2,,,,,
player,201011140jax,htx,SchaMa00,pass_int,0,,,,,
player,201011140jax,htx,SchaMa00,pass_sacked,0,,,,,
player,201011140jax,htx,SchaMa00,pass_sacked_yds,0,,,,,
player,201011140jax,htx,SchaMa00,pass_long,60,,,,,
player,201011140jax,htx,SchaMa00,pass_rating,121.1,,,,,
player,201011140jax,htx,SchaMa00,rush_att,3,,,,,
