game,2010,9,20101107,201011070htx,sdg,"San Diego Chargers",29,htx,"Houston Texans",23
team,201011070htx,sdg,First Downs,18,,,,,,
team,201011070htx,htx,First Downs,25,,,,,,
team,201011070htx,sdg,Rush-Yds-TDs,26-77-0,,,,,,
team,201011070htx,htx,Rush-Yds-TDs,34-140-2,,,,,,
team,201011070htx,sdg,Cmp-Att-Yd-TD-INT,17-23-295-4-1,,,,,,
team,201011070htx,htx,Cmp-Att-Yd-TD-INT,21-32-267-0-1,,,,,,
team,201011070htx,sdg,Sacked-Yards,1-5,,,,,,
team,201011070htx,htx,Sacked-Yards,2-15,,,,,,
team,201011070htx,sdg,Net Pass Yards,290,,,,,,
team,201011070htx,htx,Net Pass Yards,252,,,,,,
team,201011070htx,sdg,Total Yards,367,,,,,,
team,201011070htx,htx,Total Yards,392,,,,,,
team,201011070htx,sdg,Fumbles-Lost,1-1,,,,,,
team,201011070htx,htx,Fumbles-Lost,1-0,,,,,,
team,201011070htx,sdg,Turnovers,2,,,,,,
team,201011070htx,htx,Turnovers,1,,,,,,
team,201011070htx,sdg,Penalties-Yards,6-62,,,,,,
team,201011070htx,htx,Penalties-Yards,4-31,,,,,,
team,201011070htx,sdg,Third Down Conv.,4-9,,,,,,
team,201011070htx,htx,Third Down Conv.,6-13,,,,,,
team,201011070htx,sdg,Fourth Down Conv.,0-0,,,,,,
team,201011070htx,htx,Fourth Down Conv.,0-2,,,,,,
team,201011070htx,sdg,Time of Possession,26:11,,,,,,
team,201011070htx,htx,Time of Possession,33:49,,,,,,
player,201011070htx,sdg,RivePh00,pass_cmp,17,,,,,
player,201011070htx,sdg,RivePh00,pass_att,23,,,,,
player,201011070htx,sdg,RivePh00,pass_yds,295,,,,,
player,201011070htx,sdg,RivePh00,pass_td,4,,,,,
player,201011070htx,sdg,RivePh00,pass_int,1,,,,,
player,201011070htx,sdg,RivePh00,pass_sacked,1,,,,,
player,201011070htx,sdg,RivePh00,pass_sacked_yds,5,,,,,
player,201011070htx,sdg,RivePh00,pass_long,55,,,,,
player,201011070htx,sdg,RivePh00,pass_rating,137.2,,,,,
player,201011070htx,sdg,RivePh00,rush_att,4,,,,,
player,201011070htx,sdg,RivePh00,rush_yds,-7,,,,,
player,201011070htx,sdg,RivePh00,rush_td,0,,,,,
player,201011070htx,sdg,RivePh00,rush_long,-1,,,,,
player,201011070htx,sdg,RivePh00,targets,0,,,,,
player,201011070htx,sdg,RivePh00,rec,0,,,,,
player,201011070htx,sdg,RivePh00,rec_yds,0,,,,,
player,201011070htx,sdg,RivePh00,rec_td,0,,,,,
player,201011070htx,sdg,RivePh00,rec_long,0,,,,,
player,201011070htx,sdg,RivePh00,fumbles,0,,,,,
player,201011070htx,sdg,RivePh00,fumbles_lost,,,,,,
