game,2010,8,20101031,201010310cin,mia,"Miami Dolphins",22,cin,"Cincinnati Bengals",14
player,201010310cin,mia,PoliLo00,pass_att,0,,,,,
player,201010310cin,mia,PoliLo00,pass_yds,0,,,,,
player,201010310cin,mia,PoliLo00,pass_td,0,,,,,
player,201010310cin,mia,PoliLo00,pass_int,0,,,,,
player,201010310cin,mia,PoliLo00,pass_sacked,,,,,,
player,201010310cin,mia,PoliLo00,pass_sacked_yds,,,,,,
player,201010310cin,mia,PoliLo00,pass_long,0,,,,,
player,201010310cin,mia,PoliLo00,pass_rating,,,,,,
player,201010310cin,mia,PoliLo00,rush_att,2,,,,,
player,201010310cin,mia,PoliLo00,rush_yds,6,,,,,
player,201010310cin,mia,PoliLo00,rush_td,0,,,,,
player,201010310cin,mia,PoliLo00,rush_long,4,,,,,
player,201010310cin,mia,PoliLo00,targets,2,,,,,
player,201010310cin,mia,PoliLo00,rec,2,,,,,
player,201010310cin,mia,PoliLo00,rec_yds,2,,,,,
player,201010310cin,mia,PoliLo00,rec_td,0,,,,,
player,201010310cin,mia,PoliLo00,rec_long,3,,,,,
player,201010310cin,mia,PoliLo00,fumbles,0,,,,,
player,201010310cin,mia,PoliLo00,fumbles_lost,,,,,,
player,201010310cin,mia,MarsBr00,pass_cmp,0,,,,,
player,201010310cin,mia,MarsBr00,pass_att,0,,,,,
player,201010310cin,mia,MarsBr00,pass_yds,0,,,,,
player,201010310cin,mia,MarsBr00,pass_td,0,,,,,
player,201010310cin,mia,MarsBr00,pass_int,0,,,,,
player,201010310cin,mia,MarsBr00,pass_sacked,0,,,,,
player,201010310cin,mia,MarsBr00,pass_sacked_yds,,,,,,
player,201010310cin,mia,MarsBr00,pass_long,0,,,,,
player,201010310cin,mia,MarsBr00,pass_rating,,,,,,
player,201010310cin,mia,MarsBr00,rush_att,0,,,,,
player,201010310cin,mia,MarsBr00,rush_yds,0,,,,,
player,201010310cin,mia,MarsBr00,rush_td,0,,,,,
