game,2010,13,20101205,201012050gnb,sfo,"San Francisco 49ers",16,gnb,"Green Bay Packers",34
team,201012050gnb,sfo,First Downs,11,,,,,,
team,201012050gnb,gnb,First Downs,21,,,,,,
team,201012050gnb,sfo,Rush-Yds-TDs,22-97-0,,,,,,
team,201012050gnb,gnb,Rush-Yds-TDs,34-136-1,,,,,,
team,201012050gnb,sfo,Cmp-Att-Yd-TD-INT,10-25-194-1-1,,,,,,
team,201012050gnb,gnb,Cmp-Att-Yd-TD-INT,21-30-298-3-0,,,,,,
team,201012050gnb,sfo,Sacked-Yards,4-22,,,,,,
team,201012050gnb,gnb,Sacked-Yards,4-24,,,,,,
team,201012050gnb,sfo,Net Pass Yards,172,,,,,,
team,201012050gnb,gnb,Net Pass Yards,274,,,,,,
team,201012050gnb,sfo,Total Yards,269,,,,,,
team,201012050gnb,gnb,Total Yards,410,,,,,,
team,201012050gnb,sfo,Fumbles-Lost,0-0,,,,,,
team,201012050gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201012050gnb,sfo,Turnovers,1,,,,,,
team,201012050gnb,gnb,Turnovers,0,,,,,,
team,201012050gnb,sfo,Penalties-Yards,6-32,,,,,,
team,201012050gnb,gnb,Penalties-Yards,5-40,,,,,,
team,201012050gnb,sfo,Third Down Conv.,3-12,,,,,,
team,201012050gnb,gnb,Third Down Conv.,9-15,,,,,,
team,201012050gnb,sfo,Fourth Down Conv.,1-1,,,,,,
team,201012050gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201012050gnb,sfo,Time of Possession,22:49,,,,,,
team,201012050gnb,gnb,Time of Possession,37:11,,,,,,
player,201012050gnb,sfo,SmitTr02,pass_cmp,10,,,,,
player,201012050gnb,sfo,SmitTr02,pass_att,25,,,,,
player,201012050gnb,sfo,SmitTr02,pass_yds,194,,,,,
player,201012050gnb,sfo,SmitTr02,pass_td,1,,,,,
player,201012050gnb,sfo,SmitTr02,pass_int,1,,,,,
player,201012050gnb,sfo,SmitTr02,pass_sacked,4,,,,,
player,201012050gnb,sfo,SmitTr02,pass_sacked_yds,22,,,,,
player,201012050gnb,sfo,SmitTr02,pass_long,66,,,,,
player,201012050gnb,sfo,SmitTr02,pass_rating,64.4,,,,,
player,201012050gnb,sfo,SmitTr02,rush_att,3,,,,,
player,201012050gnb,sfo,SmitTr02,rush_yds,28,,,,,
player,201012050gnb,sfo,SmitTr02,rush_td,0,,,,,
player,201012050gnb,sfo,SmitTr02,rush_long,16,,,,,
player,201012050gnb,sfo,SmitTr02,targets,0,,,,,
player,201012050gnb,sfo,SmitTr02,rec,0,,,,,
player,201012050gnb,sfo,SmitTr02,rec_yds,0,,,,,
player,201012050gnb,sfo,SmitTr02,rec_td,0,,,,,
player,201012050gnb,sfo,SmitTr02,rec_long,0,,,,,
player,201012050gnb,sfo,SmitTr02,fumbles,0,,,,,
player,201012050gnb,sfo,SmitTr02,fumbles_lost,,,,,,
player,201012050gnb,sfo,DixoAn00,pass_cmp,0,,,,,
player,201012050gnb,sfo,DixoAn00,pass_att,0,,,,,
player,201012050gnb,sfo,DixoAn00,pass_yds,0,,,,,
player,201012050gnb,sfo,DixoAn00,pass_td,0,,,,,
player,201012050gnb,sfo,DixoAn00,pass_int,0,,,,,
player,201012050gnb,sfo,DixoAn00,pass_sacked,,,,,,
player,201012050gnb,sfo,DixoAn00,pass_sacked_yds,,,,,,
player,201012050gnb,sfo,DixoAn00,pass_long,0,,,,,
