game,2010,5,20101010,201010100sfo,phi,"Philadelphia Eagles",27,sfo,"San Francisco 49ers",24
team,201010100sfo,phi,First Downs,17,,,,,,
team,201010100sfo,sfo,First Downs,21,,,,,,
team,201010100sfo,phi,Rush-Yds-TDs,27-125-1,,,,,,
team,201010100sfo,sfo,Rush-Yds-TDs,22-74-0,,,,,,
team,201010100sfo,phi,Cmp-Att-Yd-TD-INT,21-31-253-1-0,,,,,,
team,201010100sfo,sfo,Cmp-Att-Yd-TD-INT,25-39-309-3-2,,,,,,
team,201010100sfo,phi,Sacked-Yards,4-26,,,,,,
team,201010100sfo,sfo,Sacked-Yards,2-19,,,,,,
team,201010100sfo,phi,Net Pass Yards,227,,,,,,
team,201010100sfo,sfo,Net Pass Yards,290,,,,,,
team,201010100sfo,phi,Total Yards,352,,,,,,
team,201010100sfo,sfo,Total Yards,364,,,,,,
team,201010100sfo,phi,Fumbles-Lost,2-1,,,,,,
team,201010100sfo,sfo,Fumbles-Lost,3-3,,,,,,
team,201010100sfo,phi,Turnovers,1,,,,,,
team,201010100sfo,sfo,Turnovers,5,,,,,,
team,201010100sfo,phi,Penalties-Yards,5-30,,,,,,
team,201010100sfo,sfo,Penalties-Yards,10-65,,,,,,
team,201010100sfo,phi,Third Down Conv.,3-12,,,,,,
team,201010100sfo,sfo,Third Down Conv.,8-13,,,,,,
team,201010100sfo,phi,Fourth Down Conv.,0-1,,,,,,
team,201010100sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201010100sfo,phi,Time of Possession,30:48,,,,,,
team,201010100sfo,sfo,Time of Possession,29:12,,,,,,
player,201010100sfo,phi,KolbKe00,pass_cmp,21,,,,,
player,201010100sfo,phi,KolbKe00,pass_att,31,,,,,
player,201010100sfo,phi,KolbKe00,pass_yds,253,,,,,
player,201010100sfo,phi,KolbKe00,pass_td,1,,,,,
player,201010100sfo,phi,KolbKe00,pass_int,0,,,,,
player,201010100sfo,phi,KolbKe00,pass_sacked,4,,,,,
player,201010100sfo,phi,KolbKe00,pass_sacked_yds,26,,,,,
player,201010100sfo,phi,KolbKe00,pass_long,41,,,,,
player,201010100sfo,phi,KolbKe00,pass_rating,103.3,,,,,
player,201010100sfo,phi,KolbKe00,rush_att,3,,,,,
player,201010100sfo,phi,KolbKe00,rush_yds,17,,,,,
player,201010100sfo,phi,KolbKe00,rush_td,0,,,,,
player,201010100sfo,phi,KolbKe00,rush_long,19,,,,,
player,201010100sfo,phi,KolbKe00,targets,0,,,,,
player,201010100sfo,phi,KolbKe00,rec,0,,,,,
player,201010100sfo,phi,KolbKe00,rec_yds,0,,,,,
player,201010100sfo,phi,KolbKe00,rec_td,0,,,,,
player,201010100sfo,phi,KolbKe00,rec_long,0,,,,,
player,201010100sfo,phi,KolbKe00,fumbles,1,,,,,
player,201010100sfo,phi,KolbKe00,fumbles_lost,1,,,,,
player,201010100sfo,phi,McCoLe01,pass_cmp,0,,,,,
player,201010100sfo,phi,McCoLe01,pass_att,0,,,,,
player,201010100sfo,phi,McCoLe01,pass_yds,0,,,,,
player,201010100sfo,phi,McCoLe01,pass_td,0,,,,,
player,201010100sfo,phi,McCoLe01,pass_int,0,,,,,
player,201010100sfo,phi,McCoLe01,pass_sacked,,,,,,
player,201010100sfo,phi,McCoLe01,pass_sacked_yds,,,,,,
player,201010100sfo,phi,McCoLe01,pass_long,0,,,,,
player,201010100sfo,phi,McCoLe01,pass_rating,,,,,,
player,201010100sfo,phi,McCoLe01,rush_att,18,,,,,
player,201010100sfo,phi,McCoLe01,rush_yds,92,,,,,
player,201010100sfo,phi,McCoLe01,rush_td,1,,,,,
player,201010100sfo,phi,McCoLe01,rush_long,29,,,,,
player,201010100sfo,phi,McCoLe01,targets,5,,,,,
player,201010100sfo,phi,McCoLe01,rec,5,,,,,
player,201010100sfo,phi,McCoLe01,rec_yds,46,,,,,
player,201010100sfo,phi,McCoLe01,rec_td,0,,,,,
player,201010100sfo,phi,McCoLe01,rec_long,17,,,,,
player,201010100sfo,phi,McCoLe01,fumbles,1,,,,,
player,201010100sfo,phi,McCoLe01,fumbles_lost,0,,,,,
player,201010100sfo,phi,JackDe00,pass_cmp,0,,,,,
player,201010100sfo,phi,JackDe00,pass_att,0,,,,,
player,201010100sfo,phi,JackDe00,pass_yds,0,,,,,
player,201010100sfo,phi,JackDe00,pass_td,0,,,,,
player,201010100sfo,phi,JackDe00,pass_int,0,,,,,
player,201010100sfo,phi,JackDe00,pass_sacked,,,,,,
player,201010100sfo,phi,JackDe00,pass_sacked_yds,,,,,,
player,201010100sfo,phi,JackDe00,pass_long,0,,,,,
player,201010100sfo,phi,JackDe00,pass_rating,,,,,,
player,201010100sfo,phi,JackDe00,rush_att,1,,,,,
player,201010100sfo,phi,JackDe00,rush_yds,8,,,,,
player,201010100sfo,phi,JackDe00,rush_td,0,,,,,
player,201010100sfo,phi,JackDe00,rush_long,8,,,,,
