game,2010,11,20101121,201011210oti,was,"Washington Redskins",19,oti,"Tennessee Titans",16
team,201011210oti,was,First Downs,32,,,,,,
team,201011210oti,oti,First Downs,15,,,,,,
team,201011210oti,was,Rush-Yds-TDs,33-107-0,,,,,,
team,201011210oti,oti,Rush-Yds-TDs,25-151-0,,,,,,
team,201011210oti,was,Cmp-Att-Yd-TD-INT,30-50-376-1-1,,,,,,
team,201011210oti,oti,Cmp-Att-Yd-TD-INT,15-25-227-0-1,,,,,,
team,201011210oti,was,Sacked-Yards,3-18,,,,,,
team,201011210oti,oti,Sacked-Yards,1-5,,,,,,
team,201011210oti,was,Net Pass Yards,358,,,,,,
team,201011210oti,oti,Net Pass Yards,222,,,,,,
team,201011210oti,was,Total Yards,465,,,,,,
team,201011210oti,oti,Total Yards,373,,,,,,
team,201011210oti,was,Fumbles-Lost,2-0,,,,,,
team,201011210oti,oti,Fumbles-Lost,1-1,,,,,,
team,201011210oti,was,Turnovers,1,,,,,,
team,201011210oti,oti,Turnovers,2,,,,,,
team,201011210oti,was,Penalties-Yards,3-20,,,,,,
team,201011210oti,oti,Penalties-Yards,11-81,,,,,,
team,201011210oti,was,Third Down Conv.,8-16,,,,,,
team,201011210oti,oti,Third Down Conv.,3-11,,,,,,
team,201011210oti,was,Fourth Down Conv.,0-0,,,,,,
team,201011210oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201011210oti,was,Time of Possession,40:09,,,,,,
team,201011210oti,oti,Time of Possession,26:34,,,,,,
player,201011210oti,was,McNaDo00,pass_cmp,30,,,,,
player,201011210oti,was,McNaDo00,pass_att,50,,,,,
player,201011210oti,was,McNaDo00,pass_yds,376,,,,,
player,201011210oti,was,McNaDo00,pass_td,1,,,,,
player,201011210oti,was,McNaDo00,pass_int,1,,,,,
player,201011210oti,was,McNaDo00,pass_sacked,3,,,,,
player,201011210oti,was,McNaDo00,pass_sacked_yds,18,,,,,
player,201011210oti,was,McNaDo00,pass_long,48,,,,,
