game,2010,15,20101219,201012190mia,buf,"Buffalo Bills",17,mia,"Miami Dolphins",14
team,201012190mia,buf,First Downs,15,,,,,,
team,201012190mia,mia,First Downs,22,,,,,,
team,201012190mia,buf,Rush-Yds-TDs,27-71-0,,,,,,
team,201012190mia,mia,Rush-Yds-TDs,19-65-1,,,,,,
team,201012190mia,buf,Cmp-Att-Yd-TD-INT,16-26-223-2-1,,,,,,
team,201012190mia,mia,Cmp-Att-Yd-TD-INT,33-45-276-1-1,,,,,,
team,201012190mia,buf,Sacked-Yards,2-12,,,,,,
team,201012190mia,mia,Sacked-Yards,3-15,,,,,,
team,201012190mia,buf,Net Pass Yards,211,,,,,,
team,201012190mia,mia,Net Pass Yards,261,,,,,,
team,201012190mia,buf,Total Yards,282,,,,,,
team,201012190mia,mia,Total Yards,326,,,,,,
team,201012190mia,buf,Fumbles-Lost,0-0,,,,,,
team,201012190mia,mia,Fumbles-Lost,2-1,,,,,,
team,201012190mia,buf,Turnovers,1,,,,,,
team,201012190mia,mia,Turnovers,2,,,,,,
team,201012190mia,buf,Penalties-Yards,5-44,,,,,,
team,201012190mia,mia,Penalties-Yards,4-35,,,,,,
team,201012190mia,buf,Third Down Conv.,4-12,,,,,,
team,201012190mia,mia,Third Down Conv.,4-12,,,,,,
team,201012190mia,buf,Fourth Down Conv.,1-1,,,,,,
team,201012190mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201012190mia,buf,Time of Possession,28:37,,,,,,
team,201012190mia,mia,Time of Possession,31:23,,,,,,
player,201012190mia,buf,FitzRy00,pass_cmp,16,,,,,
player,201012190mia,buf,FitzRy00,pass_att,26,,,,,
player,201012190mia,buf,FitzRy00,pass_yds,223,,,,,
player,201012190mia,buf,FitzRy00,pass_td,2,,,,,
player,201012190mia,buf,FitzRy00,pass_int,1,,,,,
player,201012190mia,buf,FitzRy00,pass_sacked,2,,,,,
player,201012190mia,buf,FitzRy00,pass_sacked_yds,12,,,,,
player,201012190mia,buf,FitzRy00,pass_long,29,,,,,
player,201012190mia,buf,FitzRy00,pass_rating,98.7,,,,,
player,201012190mia,buf,FitzRy00,rush_att,3,,,,,
player,201012190mia,buf,FitzRy00,rush_yds,19,,,,,
player,201012190mia,buf,FitzRy00,rush_td,0,,,,,
player,201012190mia,buf,FitzRy00,rush_long,9,,,,,
player,201012190mia,buf,FitzRy00,targets,0,,,,,
player,201012190mia,buf,FitzRy00,rec,0,,,,,
