game,2010,11,20101121,201011210car,rav,"Baltimore Ravens",37,car,"Carolina Panthers",13
team,201011210car,rav,First Downs,22,,,,,,
team,201011210car,car,First Downs,9,,,,,,
team,201011210car,rav,Rush-Yds-TDs,31-100-1,,,,,,
team,201011210car,car,Rush-Yds-TDs,22-120-0,,,,,,
team,201011210car,rav,Cmp-Att-Yd-TD-INT,24-33-301-1-0,,,,,,
team,201011210car,car,Cmp-Att-Yd-TD-INT,13-28-173-1-2,,,,,,
team,201011210car,rav,Sacked-Yards,3-23,,,,,,
team,201011210car,car,Sacked-Yards,3-23,,,,,,
team,201011210car,rav,Net Pass Yards,278,,,,,,
team,201011210car,car,Net Pass Yards,150,,,,,,
team,201011210car,rav,Total Yards,378,,,,,,
team,201011210car,car,Total Yards,270,,,,,,
team,201011210car,rav,Fumbles-Lost,4-2,,,,,,
team,201011210car,car,Fumbles-Lost,2-0,,,,,,
team,201011210car,rav,Turnovers,2,,,,,,
team,201011210car,car,Turnovers,2,,,,,,
team,201011210car,rav,Penalties-Yards,3-20,,,,,,
team,201011210car,car,Penalties-Yards,7-54,,,,,,
team,201011210car,rav,Third Down Conv.,2-11,,,,,,
team,201011210car,car,Third Down Conv.,1-13,,,,,,
team,201011210car,rav,Fourth Down Conv.,0-0,,,,,,
team,201011210car,car,Fourth Down Conv.,0-0,,,,,,
team,201011210car,rav,Time of Possession,34:33,,,,,,
team,201011210car,car,Time of Possession,25:27,,,,,,
player,201011210car,rav,FlacJo00,pass_cmp,24,,,,,
player,201011210car,rav,FlacJo00,pass_att,33,,,,,
player,201011210car,rav,FlacJo00,pass_yds,301,,,,,
player,201011210car,rav,FlacJo00,pass_td,1,,,,,
player,201011210car,rav,FlacJo00,pass_int,0,,,,,
player,201011210car,rav,FlacJo00,pass_sacked,3,,,,,
player,201011210car,rav,FlacJo00,pass_sacked_yds,23,,,,,
player,201011210car,rav,FlacJo00,pass_long,56,,,,,
player,201011210car,rav,FlacJo00,pass_rating,110.8,,,,,
player,201011210car,rav,FlacJo00,rush_att,1,,,,,
player,201011210car,rav,FlacJo00,rush_yds,0,,,,,
player,201011210car,rav,FlacJo00,rush_td,0,,,,,
player,201011210car,rav,FlacJo00,rush_long,0,,,,,
player,201011210car,rav,FlacJo00,targets,0,,,,,
player,201011210car,rav,FlacJo00,rec,0,,,,,
player,201011210car,rav,FlacJo00,rec_yds,0,,,,,
player,201011210car,rav,FlacJo00,rec_td,0,,,,,
player,201011210car,rav,FlacJo00,rec_long,0,,,,,
player,201011210car,rav,FlacJo00,fumbles,2,,,,,
player,201011210car,rav,FlacJo00,fumbles_lost,1,,,,,
player,201011210car,rav,RiceRa00,pass_cmp,0,,,,,
player,201011210car,rav,RiceRa00,pass_att,0,,,,,
player,201011210car,rav,RiceRa00,pass_yds,0,,,,,
player,201011210car,rav,RiceRa00,pass_td,0,,,,,
player,201011210car,rav,RiceRa00,pass_int,0,,,,,
player,201011210car,rav,RiceRa00,pass_sacked,,,,,,
player,201011210car,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201011210car,rav,RiceRa00,pass_long,0,,,,,
player,201011210car,rav,RiceRa00,pass_rating,,,,,,
player,201011210car,rav,RiceRa00,rush_att,19,,,,,
player,201011210car,rav,RiceRa00,rush_yds,65,,,,,
player,201011210car,rav,RiceRa00,rush_td,1,,,,,
player,201011210car,rav,RiceRa00,rush_long,13,,,,,
player,201011210car,rav,RiceRa00,targets,7,,,,,
player,201011210car,rav,RiceRa00,rec,6,,,,,
player,201011210car,rav,RiceRa00,rec_yds,66,,,,,
player,201011210car,rav,RiceRa00,rec_td,0,,,,,
player,201011210car,rav,RiceRa00,rec_long,18,,,,,
player,201011210car,rav,RiceRa00,fumbles,0,,,,,
player,201011210car,rav,RiceRa00,fumbles_lost,,,,,,
player,201011210car,rav,McGaWi00,pass_cmp,0,,,,,
player,201011210car,rav,McGaWi00,pass_att,0,,,,,
player,201011210car,rav,McGaWi00,pass_yds,0,,,,,
player,201011210car,rav,McGaWi00,pass_td,0,,,,,
player,201011210car,rav,McGaWi00,pass_int,0,,,,,
player,201011210car,rav,McGaWi00,pass_sacked,,,,,,
player,201011210car,rav,McGaWi00,pass_sacked_yds,,,,,,
player,201011210car,rav,McGaWi00,pass_long,0,,,,,
player,201011210car,rav,McGaWi00,pass_rating,,,,,,
player,201011210car,rav,McGaWi00,rush_att,8,,,,,
player,201011210car,rav,McGaWi00,rush_yds,23,,,,,
player,201011210car,rav,McGaWi00,rush_td,0,,,,,
player,201011210car,rav,McGaWi00,rush_long,6,,,,,
player,201011210car,rav,McGaWi00,targets,2,,,,,
player,201011210car,rav,McGaWi00,rec,2,,,,,
player,201011210car,rav,McGaWi00,rec_yds,-10,,,,,
player,201011210car,rav,McGaWi00,rec_td,0,,,,,
player,201011210car,rav,McGaWi00,rec_long,-4,,,,,
player,201011210car,rav,McGaWi00,fumbles,0,,,,,
player,201011210car,rav,McGaWi00,fumbles_lost,,,,,,
player,201011210car,rav,StalDo00,pass_cmp,0,,,,,
player,201011210car,rav,StalDo00,pass_att,0,,,,,
player,201011210car,rav,StalDo00,pass_yds,0,,,,,
player,201011210car,rav,StalDo00,pass_td,0,,,,,
player,201011210car,rav,StalDo00,pass_int,0,,,,,
player,201011210car,rav,StalDo00,pass_sacked,,,,,,
player,201011210car,rav,StalDo00,pass_sacked_yds,,,,,,
player,201011210car,rav,StalDo00,pass_long,0,,,,,
player,201011210car,rav,StalDo00,pass_rating,,,,,,
player,201011210car,rav,StalDo00,rush_att,1,,,,,
player,201011210car,rav,StalDo00,rush_yds,7,,,,,
player,201011210car,rav,StalDo00,rush_td,0,,,,,
player,201011210car,rav,StalDo00,rush_long,7,,,,,
player,201011210car,rav,StalDo00,targets,1,,,,,
player,201011210car,rav,StalDo00,rec,1,,,,,
player,201011210car,rav,StalDo00,rec_yds,15,,,,,
player,201011210car,rav,StalDo00,rec_td,0,,,,,
player,201011210car,rav,StalDo00,rec_long,15,,,,,
player,201011210car,rav,StalDo00,fumbles,0,,,,,
player,201011210car,rav,StalDo00,fumbles_lost,,,,,,
player,201011210car,rav,McClLe00,pass_cmp,0,,,,,
player,201011210car,rav,McClLe00,pass_att,0,,,,,
player,201011210car,rav,McClLe00,pass_yds,0,,,,,
player,201011210car,rav,McClLe00,pass_td,0,,,,,
player,201011210car,rav,McClLe00,pass_int,0,,,,,
player,201011210car,rav,McClLe00,pass_sacked,,,,,,
player,201011210car,rav,McClLe00,pass_sacked_yds,,,,,,
player,201011210car,rav,McClLe00,pass_long,0,,,,,
player,201011210car,rav,McClLe00,pass_rating,,,,,,
player,201011210car,rav,McClLe00,rush_att,2,,,,,
player,201011210car,rav,McClLe00,rush_yds,5,,,,,
player,201011210car,rav,McClLe00,rush_td,0,,,,,
player,201011210car,rav,McClLe00,rush_long,6,,,,,
player,201011210car,rav,McClLe00,targets,3,,,,,
player,201011210car,rav,McClLe00,rec,2,,,,,
player,201011210car,rav,McClLe00,rec_yds,11,,,,,
player,201011210car,rav,McClLe00,rec_td,0,,,,,
