game,2010,16,20101226,201012260jax,was,"Washington Redskins",20,jax,"Jacksonville Jaguars",17
team,201012260jax,was,First Downs,15,,,,,,
team,201012260jax,jax,First Downs,15,,,,,,
team,201012260jax,was,Rush-Yds-TDs,24-79-1,,,,,,
team,201012260jax,jax,Rush-Yds-TDs,23-78-1,,,,,,
team,201012260jax,was,Cmp-Att-Yd-TD-INT,19-39-182-1-1,,,,,,
team,201012260jax,jax,Cmp-Att-Yd-TD-INT,22-38-299-1-2,,,,,,
team,201012260jax,was,Sacked-Yards,1-10,,,,,,
team,201012260jax,jax,Sacked-Yards,4-41,,,,,,
team,201012260jax,was,Net Pass Yards,172,,,,,,
team,201012260jax,jax,Net Pass Yards,258,,,,,,
team,201012260jax,was,Total Yards,251,,,,,,
team,201012260jax,jax,Total Yards,336,,,,,,
team,201012260jax,was,Fumbles-Lost,0-0,,,,,,
team,201012260jax,jax,Fumbles-Lost,2-0,,,,,,
team,201012260jax,was,Turnovers,1,,,,,,
team,201012260jax,jax,Turnovers,2,,,,,,
team,201012260jax,was,Penalties-Yards,5-40,,,,,,
team,201012260jax,jax,Penalties-Yards,7-66,,,,,,
team,201012260jax,was,Third Down Conv.,4-15,,,,,,
team,201012260jax,jax,Third Down Conv.,7-17,,,,,,
team,201012260jax,was,Fourth Down Conv.,1-1,,,,,,
team,201012260jax,jax,Fourth Down Conv.,0-0,,,,,,
team,201012260jax,was,Time of Possession,29:53,,,,,,
team,201012260jax,jax,Time of Possession,32:54,,,,,,
player,201012260jax,was,GrosRe00,pass_cmp,19,,,,,
player,201012260jax,was,GrosRe00,pass_att,39,,,,,
player,201012260jax,was,GrosRe00,pass_yds,182,,,,,
player,201012260jax,was,GrosRe00,pass_td,1,,,,,
player,201012260jax,was,GrosRe00,pass_int,1,,,,,
player,201012260jax,was,GrosRe00,pass_sacked,1,,,,,
player,201012260jax,was,GrosRe00,pass_sacked_yds,10,,,,,
player,201012260jax,was,GrosRe00,pass_long,38,,,,,
player,201012260jax,was,GrosRe00,pass_rating,60.0,,,,,
player,201012260jax,was,GrosRe00,rush_att,1,,,,,
player,201012260jax,was,GrosRe00,rush_yds,5,,,,,
player,201012260jax,was,GrosRe00,rush_td,0,,,,,
player,201012260jax,was,GrosRe00,rush_long,5,,,,,
player,201012260jax,was,GrosRe00,targets,0,,,,,
player,201012260jax,was,GrosRe00,rec,0,,,,,
player,201012260jax,was,GrosRe00,rec_yds,0,,,,,
player,201012260jax,was,GrosRe00,rec_td,0,,,,,
player,201012260jax,was,GrosRe00,rec_long,0,,,,,
player,201012260jax,was,GrosRe00,fumbles,0,,,,,
player,201012260jax,was,GrosRe00,fumbles_lost,,,,,,
player,201012260jax,was,ToraRy00,pass_cmp,0,,,,,
player,201012260jax,was,ToraRy00,pass_att,0,,,,,
player,201012260jax,was,ToraRy00,pass_yds,0,,,,,
player,201012260jax,was,ToraRy00,pass_td,0,,,,,
player,201012260jax,was,ToraRy00,pass_int,0,,,,,
player,201012260jax,was,ToraRy00,pass_sacked,,,,,,
player,201012260jax,was,ToraRy00,pass_sacked_yds,,,,,,
player,201012260jax,was,ToraRy00,pass_long,0,,,,,
player,201012260jax,was,ToraRy00,pass_rating,,,,,,
player,201012260jax,was,ToraRy00,rush_att,20,,,,,
player,201012260jax,was,ToraRy00,rush_yds,65,,,,,
player,201012260jax,was,ToraRy00,rush_td,1,,,,,
player,201012260jax,was,ToraRy00,rush_long,17,,,,,
player,201012260jax,was,ToraRy00,targets,3,,,,,
player,201012260jax,was,ToraRy00,rec,2,,,,,
player,201012260jax,was,ToraRy00,rec_yds,4,,,,,
player,201012260jax,was,ToraRy00,rec_td,0,,,,,
player,201012260jax,was,ToraRy00,rec_long,3,,,,,
player,201012260jax,was,ToraRy00,fumbles,0,,,,,
player,201012260jax,was,ToraRy00,fumbles_lost,,,,,,
player,201012260jax,was,WillKe03,pass_cmp,0,,,,,
player,201012260jax,was,WillKe03,pass_att,0,,,,,
player,201012260jax,was,WillKe03,pass_yds,0,,,,,
player,201012260jax,was,WillKe03,pass_td,0,,,,,
player,201012260jax,was,WillKe03,pass_int,0,,,,,
player,201012260jax,was,WillKe03,pass_sacked,,,,,,
player,201012260jax,was,WillKe03,pass_sacked_yds,,,,,,
player,201012260jax,was,WillKe03,pass_long,0,,,,,
player,201012260jax,was,WillKe03,pass_rating,,,,,,
player,201012260jax,was,WillKe03,rush_att,2,,,,,
