game,2010,12,20101128,201011280cle,car,"Carolina Panthers",23,cle,"Cleveland Browns",24
team,201011280cle,car,First Downs,16,,,,,,
team,201011280cle,cle,First Downs,26,,,,,,
team,201011280cle,car,Rush-Yds-TDs,27-151-1,,,,,,
team,201011280cle,cle,Rush-Yds-TDs,32-152-3,,,,,,
team,201011280cle,car,Cmp-Att-Yd-TD-INT,16-28-195-0-1,,,,,,
team,201011280cle,cle,Cmp-Att-Yd-TD-INT,24-36-245-0-2,,,,,,
team,201011280cle,car,Sacked-Yards,3-20,,,,,,
team,201011280cle,cle,Sacked-Yards,2-18,,,,,,
team,201011280cle,car,Net Pass Yards,175,,,,,,
team,201011280cle,cle,Net Pass Yards,227,,,,,,
team,201011280cle,car,Total Yards,326,,,,,,
team,201011280cle,cle,Total Yards,379,,,,,,
team,201011280cle,car,Fumbles-Lost,0-0,,,,,,
team,201011280cle,cle,Fumbles-Lost,3-1,,,,,,
team,201011280cle,car,Turnovers,1,,,,,,
team,201011280cle,cle,Turnovers,3,,,,,,
team,201011280cle,car,Penalties-Yards,8-68,,,,,,
team,201011280cle,cle,Penalties-Yards,5-46,,,,,,
team,201011280cle,car,Third Down Conv.,7-15,,,,,,
team,201011280cle,cle,Third Down Conv.,4-11,,,,,,
team,201011280cle,car,Fourth Down Conv.,0-0,,,,,,
team,201011280cle,cle,Fourth Down Conv.,0-1,,,,,,
team,201011280cle,car,Time of Possession,28:16,,,,,,
team,201011280cle,cle,Time of Possession,31:44,,,,,,
player,201011280cle,car,ClauJi00,pass_cmp,16,,,,,
player,201011280cle,car,ClauJi00,pass_att,28,,,,,
player,201011280cle,car,ClauJi00,pass_yds,195,,,,,
player,201011280cle,car,ClauJi00,pass_td,0,,,,,
player,201011280cle,car,ClauJi00,pass_int,1,,,,,
player,201011280cle,car,ClauJi00,pass_sacked,3,,,,,
player,201011280cle,car,ClauJi00,pass_sacked_yds,20,,,,,
player,201011280cle,car,ClauJi00,pass_long,32,,,,,
player,201011280cle,car,ClauJi00,pass_rating,63.8,,,,,
player,201011280cle,car,ClauJi00,rush_att,0,,,,,
player,201011280cle,car,ClauJi00,rush_yds,0,,,,,
player,201011280cle,car,ClauJi00,rush_td,0,,,,,
player,201011280cle,car,ClauJi00,rush_long,0,,,,,
player,201011280cle,car,ClauJi00,targets,0,,,,,
player,201011280cle,car,ClauJi00,rec,0,,,,,
player,201011280cle,car,ClauJi00,rec_yds,0,,,,,
player,201011280cle,car,ClauJi00,rec_td,0,,,,,
player,201011280cle,car,ClauJi00,rec_long,0,,,,,
player,201011280cle,car,ClauJi00,fumbles,0,,,,,
player,201011280cle,car,ClauJi00,fumbles_lost,,,,,,
player,201011280cle,car,StewJo00,pass_cmp,0,,,,,
