game,2010,4,20101003,201010030gnb,det,"Detroit Lions",26,gnb,"Green Bay Packers",28
team,201010030gnb,det,First Downs,24,,,,,,
team,201010030gnb,gnb,First Downs,16,,,,,,
team,201010030gnb,det,Rush-Yds-TDs,21-123-0,,,,,,
team,201010030gnb,gnb,Rush-Yds-TDs,21-92-0,,,,,,
team,201010030gnb,det,Cmp-Att-Yd-TD-INT,34-54-331-2-2,,,,,,
team,201010030gnb,gnb,Cmp-Att-Yd-TD-INT,12-17-181-3-2,,,,,,
team,201010030gnb,det,Sacked-Yards,3-23,,,,,,
team,201010030gnb,gnb,Sacked-Yards,2-12,,,,,,
team,201010030gnb,det,Net Pass Yards,308,,,,,,
team,201010030gnb,gnb,Net Pass Yards,169,,,,,,
team,201010030gnb,det,Total Yards,431,,,,,,
team,201010030gnb,gnb,Total Yards,261,,,,,,
team,201010030gnb,det,Fumbles-Lost,2-1,,,,,,
team,201010030gnb,gnb,Fumbles-Lost,2-2,,,,,,
team,201010030gnb,det,Turnovers,3,,,,,,
team,201010030gnb,gnb,Turnovers,4,,,,,,
team,201010030gnb,det,Penalties-Yards,13-102,,,,,,
team,201010030gnb,gnb,Penalties-Yards,3-31,,,,,,
team,201010030gnb,det,Third Down Conv.,10-17,,,,,,
team,201010030gnb,gnb,Third Down Conv.,3-7,,,,,,
team,201010030gnb,det,Fourth Down Conv.,0-0,,,,,,
team,201010030gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201010030gnb,det,Time of Possession,37:37,,,,,,
team,201010030gnb,gnb,Time of Possession,22:23,,,,,,
player,201010030gnb,det,HillSh00,pass_cmp,34,,,,,
player,201010030gnb,det,HillSh00,pass_att,54,,,,,
player,201010030gnb,det,HillSh00,pass_yds,331,,,,,
player,201010030gnb,det,HillSh00,pass_td,2,,,,,
player,201010030gnb,det,HillSh00,pass_int,2,,,,,
player,201010030gnb,det,HillSh00,pass_sacked,3,,,,,
player,201010030gnb,det,HillSh00,pass_sacked_yds,23,,,,,
player,201010030gnb,det,HillSh00,pass_long,25,,,,,
player,201010030gnb,det,HillSh00,pass_rating,77.0,,,,,
player,201010030gnb,det,HillSh00,rush_att,4,,,,,
player,201010030gnb,det,HillSh00,rush_yds,53,,,,,
player,201010030gnb,det,HillSh00,rush_td,0,,,,,
player,201010030gnb,det,HillSh00,rush_long,40,,,,,
